,County,Child  Population,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*
1,ANDERSON,11761,155,13.2,73,155,117
2,ANDREWS,4007,34,8.5,14,32,14
3,ANGELINA,22546,113,5.0,44,105,78
4,ARANSAS,5107,74,14.5,40,73,59
5,ARCHER,2114,1,0.5,1,1,1
6,ARMSTRONG,507,0,0.0,0,0,0
7,ATASCOSA,12726,125,9.8,39,126,85
8,AUSTIN,6493,26,4.0,16,26,15
9,BAILEY,1841,31,16.8,5,30,26
10,BANDERA,4096,64,15.6,30,66,40
11,BASTROP,19732,201,10.2,84,203,129
12,BAYLOR,775,6,7.7,0,6,4
13,BEE,7492,92,12.3,36,87,51
14,BELL,82014,906,11.0,381,862,548
15,BEXAR,434810,4608,10.6,1583,4589,3239
16,BLANCO,2195,12,5.5,5,11,6
17,BORDEN,116,2,17.2,2,2,0
18,BOSQUE,4113,24,5.8,10,24,20
19,BOWIE,21335,185,8.7,70,182,125
20,BRAZORIA,80665,409,5.1,178,402,286
21,BRAZOS,37829,215,5.7,78,205,149
22,BREWSTER,1973,11,5.6,2,11,7
23,BRISCOE,426,5,11.7,0,6,0
24,BROOKS,2217,34,15.3,6,35,31
25,BROWN,9562,161,16.8,65,153,108
26,BURLESON,4527,33,7.3,10,35,21
27,BURNET,9631,100,10.4,41,104,71
28,CALDWELL,10045,107,10.7,22,103,71
29,CALHOUN,6199,11,1.8,0,13,11
30,CALLAHAN,3131,44,14.1,21,45,32
31,CAMERON,133737,694,5.2,319,675,529
32,CAMP,3378,61,18.1,27,55,28
33,CARSON,1507,6,4.0,0,7,4
34,CASS,6750,80,11.9,33,84,44
35,CASTRO,2089,12,5.7,2,7,7
36,CHAMBERS,8812,58,6.6,37,59,30
37,CHEROKEE,12658,116,9.2,55,109,66
38,CHILDRESS,1762,23,13.1,8,20,20
39,CLAY,2173,12,5.5,0,12,11
40,COCHRAN,833,8,9.6,4,9,7
41,COKE,759,7,9.2,6,7,7
42,COLEMAN,2008,66,32.9,29,62,41
43,COLLIN,200473,416,2.1,188,397,325
44,COLLINGSWORTH,665,10,15.0,4,10,6
45,COLORADO,5291,23,4.3,13,24,15
46,COMAL,24487,208,8.5,98,201,128
47,COMANCHE,3289,15,4.6,2,16,16
48,CONCHO,512,6,11.7,2,6,4
49,COOKE,9765,72,7.4,27,71,55
50,CORYELL,18584,203,10.9,93,181,108
51,COTTLE,398,1,2.5,0,2,2
52,CRANE,1111,3,2.7,2,3,1
53,CROCKETT,1072,13,12.1,4,13,8
54,CROSBY,1679,39,23.2,10,40,29
55,CULBERSON,600,0,0.0,0,0,0
56,DALLAM,1882,9,4.8,1,9,7
57,DALLAS,674958,3301,4.9,1517,3297,2202
58,DAWSON,3570,20,5.6,8,18,13
59,DEAF SMITH,6523,28,4.3,10,26,21
