,County,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***
1,ANDERSON,816,550,446,164,652,50
2,ANDREWS,200,134,116,41,159,9
3,ANGELINA,1320,1044,805,105,1215,22
4,ARANSAS,359,234,196,130,229,30
5,ARCHER,74,56,39,9,65,1
6,ARMSTRONG,19,13,5,0,19,0
7,ATASCOSA,787,566,509,199,588,31
8,AUSTIN,250,195,167,43,207,15
9,BAILEY,119,93,86,19,100,0
10,BANDERA,222,154,139,50,172,28
11,BASTROP,1016,778,705,157,859,74
12,BAYLOR,56,29,25,22,34,0
13,BEE,592,416,360,176,416,22
14,BELL,4971,3871,3703,860,4111,380
15,BEXAR,25799,19096,16978,6506,19293,865
16,BLANCO,82,71,64,6,76,3
17,BORDEN,2,2,1,0,2,2
18,BOSQUE,264,203,186,39,225,10
19,BOWIE,1462,1163,887,178,1284,61
20,BRAZORIA,2896,2088,1789,663,2233,126
21,BRAZOS,1779,1310,1063,237,1542,69
22,BREWSTER,71,50,43,23,48,1
23,BRISCOE,17,12,12,3,14,0
24,BROOKS,209,154,151,46,163,5
25,BROWN,598,431,384,120,478,49
26,BURLESON,196,152,144,18,178,10
27,BURNET,480,343,301,75,405,32
28,CALDWELL,522,427,399,65,457,16
29,CALHOUN,205,155,128,35,170,0
30,CALLAHAN,155,89,79,54,101,29
31,CAMERON,7146,4962,4091,2007,5139,214
32,CAMP,236,153,126,56,180,23
33,CARSON,55,50,50,3,52,0
34,CASS,452,366,316,60,392,27
35,CASTRO,82,57,50,10,72,2
36,CHAMBERS,209,143,127,48,161,27
37,CHEROKEE,847,642,576,143,704,35
38,CHILDRESS,111,76,71,17,94,4
39,CLAY,92,64,41,14,78,0
40,COCHRAN,53,45,44,6,47,0
41,COKE,61,44,43,13,48,4
42,COLEMAN,145,69,66,59,86,28
43,COLLIN,4768,3403,2387,899,3869,168
44,COLLINGSWORTH,40,26,22,7,33,0
45,COLORADO,179,137,114,25,154,10
46,COMAL,1087,745,635,315,772,67
47,COMANCHE,180,145,136,22,158,1
48,CONCHO,39,28,26,13,26,1
49,COOKE,535,464,386,56,479,18
50,CORYELL,1335,1051,1006,197,1138,75
51,COTTLE,14,14,8,0,14,0
52,CRANE,30,21,14,6,24,2
53,CROCKETT,61,49,43,13,48,5
54,CROSBY,135,73,51,30,105,6
55,CULBERSON,20,10,9,5,15,0
56,DALLAM,137,87,80,36,101,1
57,DALLAS,24576,18239,14237,4624,19952,1005
58,DAWSON,221,159,144,39,182,3
59,DEAF SMITH,392,269,249,78,314,6
60,DELTA,62,46,43,9,53,0
61,DENTON,4660,3569,2640,741,3919,205
62,DEWITT,229,199,185,27,202,9
63,DICKENS,58,31,31,23,35,7
64,DIMMIT,163,129,121,32,131,25
65,DONLEY,40,17,15,14,26,3
66,DUVAL,223,150,146,69,154,1
67,EASTLAND,255,183,158,69,186,14
68,ECTOR,2268,1604,1365,489,1779,109
69,EDWARDS,43,42,35,10,33,10
70,ELLIS,1309,1000,736,277,1032,40
71,EL PASO,7751,5175,4125,1880,5871,142
72,ERATH,417,269,247,107,310,9
73,FALLS,185,159,149,20,165,2
74,FANNIN,427,364,280,51,376,9
75,FAYETTE,234,162,147,51,183,15
76,FISHER,42,26,23,11,31,0
77,FLOYD,132,103,99,13,119,5
78,FOARD,22,13,10,8,14,0
79,FORT BEND,2880,2235,1751,604,2276,127
80,FRANKLIN,101,77,62,16,85,6
81,FREESTONE,232,180,165,25,207,5
82,FRIO,371,294,273,83,288,10
83,GAINES,140,98,84,26,114,14
84,GALVESTON,3573,2914,2247,648,2925,119
85,GARZA,104,55,50,32,72,5
86,GILLESPIE,137,75,67,35,102,19
87,GLASSCOCK,3,3,3,0,3,0
88,GOLIAD,61,43,38,19,42,3
89,GONZALES,294,242,216,42,252,0
90,GRAY,424,235,155,125,299,49
91,GRAYSON,1843,1477,1190,159,1684,54
92,GREGG,1776,1385,1171,245,1531,51
93,GRIMES,355,283,250,38,317,12
94,GUADALUPE,1633,1252,1107,309,1324,26
95,HALE,533,345,312,127,406,39
96,HALL,51,40,29,6,45,3
97,HAMILTON,127,104,93,5,122,4
98,HANSFORD,39,30,27,3,36,2
99,HARDEMAN,83,55,47,19,64,6
100,HARDIN,670,507,479,51,619,16
101,HARRIS,35729,28256,21715,6990,28739,2109
102,HARRISON,890,653,554,117,773,38
103,HARTLEY,12,9,9,1,11,0
104,HASKELL,76,68,43,10,66,0
105,HAYS,1244,979,893,143,1101,41
106,HEMPHILL,16,13,11,3,13,0
107,HENDERSON,1148,754,632,244,904,77
108,HIDALGO,11471,8492,7024,2101,9370,138
109,HILL,484,359,328,50,434,20
110,HOCKLEY,356,231,219,77,279,10
111,HOOD,785,461,370,187,598,9
112,HOPKINS,466,339,286,78,388,44
113,HOUSTON,315,229,202,44,271,19
114,HOWARD,654,423,361,218,436,36
115,HUDSPETH,26,22,19,3,23,3
116,HUNT,1136,873,686,232,904,109
117,HUTCHINSON,401,319,283,65,336,3
118,IRION,26,22,22,2,24,2
119,JACK,119,77,67,25,94,5
120,JACKSON,188,146,135,31,157,2
121,JASPER,625,484,372,90,535,18
122,JEFF DAVIS,22,18,11,10,12,0
123,JEFFERSON,3069,2405,2076,366,2703,62
124,JIM HOGG,149,67,56,73,76,5
125,JIM WELLS,777,535,490,243,534,43
126,JOHNSON,2103,1366,1082,430,1673,101
127,JONES,237,163,124,46,191,6
128,KARNES,186,169,150,11,175,7
129,KAUFMAN,1087,886,623,145,942,32
130,KENDALL,162,119,107,27,135,9
131,KENEDY,0,0,0,0,0,0
132,KENT,1,1,1,0,1,0
133,KERR,744,540,478,170,574,61
134,KIMBLE,54,34,28,15,39,7
135,KING,0,0,0,0,0,0
136,KINNEY,30,26,26,3,27,0
137,KLEBERG,487,309,288,174,313,40
138,KNOX,43,34,26,8,35,4
139,LAMAR,756,576,512,95,661,27
140,LAMB,251,210,202,23,228,5
141,LAMPASAS,281,234,223,35,246,8
142,LASALLE,123,84,74,40,83,10
143,LAVACA,155,130,125,15,140,3
144,LEE,196,135,117,46,150,13
145,LEON,214,154,115,37,177,0
