,County,Total,African American,Anglo,Hispanic,Native American,Other
1,ANDERSON,11761,2387,7097,2147,0,130
2,ANDREWS,4007,61,1592,2309,8,37
3,ANGELINA,22546,3448,12173,6662,16,247
4,ARANSAS,5107,95,2868,1894,11,239
5,ARCHER,2114,8,1893,205,1,7
6,ARMSTRONG,507,2,450,54,0,1
7,ATASCOSA,12726,33,3495,9147,5,46
8,AUSTIN,6493,1092,3258,2088,6,49
9,BAILEY,1841,22,683,1132,0,4
10,BANDERA,4096,30,3184,854,6,22
11,BASTROP,19732,1806,9784,8002,11,129
12,BAYLOR,775,29,632,109,3,2
13,BEE,7492,172,1854,5406,13,47
14,BELL,82014,20969,36957,20117,223,3748
15,BEXAR,434810,36085,100823,287288,514,10100
16,BLANCO,2195,16,1689,486,1,3
17,BORDEN,116,0,80,35,0,1
18,BOSQUE,4113,102,2684,1314,2,11
19,BOWIE,21335,6743,13253,1057,35,247
20,BRAZORIA,80665,7145,41945,28677,169,2729
21,BRAZOS,37829,5941,18212,11546,82,2048
22,BREWSTER,1973,16,679,1249,9,20
23,BRISCOE,426,4,266,154,0,2
24,BROOKS,2217,1,126,2088,0,2
25,BROWN,9562,412,6427,2660,9,54
26,BURLESON,4527,1012,2339,1152,2,22
27,BURNET,9631,119,6627,2816,11,58
28,CALDWELL,10045,842,3646,5473,3,81
29,CALHOUN,6199,119,2461,3449,4,166
30,CALLAHAN,3131,17,2820,273,5,16
31,CAMERON,133737,311,9551,122840,53,982
32,CAMP,3378,568,1657,1140,2,11
33,CARSON,1507,19,1371,114,1,2
34,CASS,6750,1799,4697,195,15,44
35,CASTRO,2089,77,660,1346,3,3
36,CHAMBERS,8812,967,6101,1652,11,81
37,CHEROKEE,12658,2118,6866,3604,7,63
38,CHILDRESS,1762,162,1051,545,1,3
39,CLAY,2173,14,1996,138,10,15
40,COCHRAN,833,49,322,462,0,0
41,COKE,759,0,517,237,2,3
42,COLEMAN,2008,54,1461,488,0,5
43,COLLIN,200473,11551,137596,33373,658,17295
44,COLLINGSWORTH,665,35,335,285,5,5
45,COLORADO,5291,1086,2282,1898,2,23
46,COMAL,24487,323,16007,7963,18,176
