,County,Total,African American,Anglo,Hispanic,Native American,Other
47,COMANCHE,3289,4,1931,1348,1,5
48,CONCHO,512,1,312,198,0,1
49,COOKE,9765,361,7091,2190,37,86
50,CORYELL,18584,4254,10303,3296,72,659
51,COTTLE,398,69,173,152,0,4
52,CRANE,1111,29,412,668,0,2
53,CROCKETT,1072,2,300,769,0,1
54,CROSBY,1679,72,580,1021,0,6
55,CULBERSON,600,6,115,477,0,2
56,DALLAM,1882,19,1172,684,2,5
57,DALLAS,674958,137887,163587,339430,1811,32243
58,DAWSON,3570,113,1191,2254,1,11
59,DEAF SMITH,6523,66,1573,4861,4,19
60,DELTA,1142,127,965,41,2,7
61,DENTON,158223,12971,102216,33885,594,8557
62,DEWITT,4648,579,1984,2067,0,18
63,DICKENS,447,14,291,142,0,0
64,DIMMIT,2727,19,242,2445,3,18
65,DONLEY,729,78,568,81,1,1
66,DUVAL,3177,8,286,2867,4,12
67,EASTLAND,4250,74,3357,799,5,15
68,ECTOR,38527,2037,11302,24652,86,450
69,EDWARDS,451,1,156,292,0,2
70,ELLIS,41152,4040,23160,13549,81,322
71,EL PASO,225878,5805,18423,198453,376,2821
72,ERATH,9083,72,6201,2759,11,40
73,FALLS,4325,1348,1755,1210,0,12
74,FANNIN,7556,513,6170,793,27,53
75,FAYETTE,5372,547,3171,1635,3,16
76,FISHER,838,16,539,280,1,2
77,FLOYD,1869,91,656,1116,1,5
78,FOARD,321,19,222,77,1,2
79,FORT BEND,135870,30253,48654,39918,212,16833
80,FRANKLIN,2260,127,1598,523,4,8
81,FREESTONE,4646,840,3033,741,4,28
82,FRIO,4931,8,538,4357,1,27
83,GAINES,5067,63,2481,2504,3,16
84,GALVESTON,71005,13028,33171,22234,203,2369
85,GARZA,1266,63,600,596,0,7
86,GILLESPIE,4630,4,2955,1654,1,16
87,GLASSCOCK,381,3,223,155,0,0
88,GOLIAD,1717,83,647,982,0,5
89,GONZALES,5371,598,1789,2959,4,21
90,GRAY,5160,247,3580,1256,19,58
91,GRAYSON,27949,2501,19957,4684,227,580
92,GREGG,31585,7700,15754,7640,60,431
93,GRIMES,6140,1348,3230,1533,2,27
94,GUADALUPE,31168,1821,13504,15436,24,383
95,HALE,10977,552,3079,7287,17,42
96,HALL,991,82,429,475,0,5
97,HAMILTON,1920,0,1620,294,2,4
98,HANSFORD,1435,5,660,764,1,5
99,HARDEMAN,1014,40,679,284,6,5
100,HARDIN,12373,1322,10505,474,11,61
101,HARRIS,1104113,205049,270636,564843,1816,61769
102,HARRISON,15616,3890,9228,2399,8,91
103,HARTLEY,1274,5,1119,146,1,3
104,HASKELL,1280,45,769,461,0,5
105,HAYS,32984,1143,16502,14897,62,380
106,HEMPHILL,839,0,576,261,0,2
107,HENDERSON,18095,1818,12681,3450,30,116
108,HIDALGO,253765,345,11473,239553,161,2233
109,HILL,9234,994,5650,2563,3,24
110,HOCKLEY,6584,236,2878,3451,4,15
111,HOOD,10428,30,8337,1958,31,72
112,HOPKINS,8766,810,6309,1573,15,59
113,HOUSTON,4912,1637,2641,611,3,20
114,HOWARD,7696,345,3530,3752,3,66
115,HUDSPETH,919,0,140,776,3,0
116,HUNT,21036,2908,14043,3729,73,283
117,HUTCHINSON,6113,197,4242,1600,36,38
118,IRION,289,1,197,91,0,0
119,JACK,1952,17,1669,242,17,7
120,JACKSON,3937,311,2110,1479,4,33
121,JASPER,8690,2028,5951,631,11,69
122,JEFF DAVIS,431,7,248,175,0,1
123,JEFFERSON,60601,24592,20581,12355,111,2962
124,JIM HOGG,1464,3,117,1341,1,2
125,JIM WELLS,12004,51,1958,9928,4,63
126,JOHNSON,43767,1303,30427,11251,169,617
127,JONES,4198,280,2531,1335,5,47
128,KARNES,3366,51,1037,2266,0,12
129,KAUFMAN,26223,2935,16575,6483,36,194
130,KENDALL,7107,12,5077,1984,3,31
131,KENEDY,117,0,22,94,0,1
132,KENT,118,0,113,5,0,0
133,KERR,8896,165,5075,3601,5,50
134,KIMBLE,1047,0,706,332,0,9
135,KING,66,0,57,9,0,0
136,KINNEY,798,0,221,577,0,0
137,KLEBERG,8203,379,1623,6063,15,123
138,KNOX,998,100,507,389,0,2
139,LAMAR,12501,2373,9215,725,63,125
140,LAMB,4375,208,1429,2720,3,15
141,LAMPASAS,5104,172,3531,1368,2,31
142,LASALLE,1553,15,172,1360,0,6
143,LAVACA,4347,437,2869,1024,1,16
144,LEE,4305,509,2252,1513,4,27
145,LEON,3509,463,2485,543,2,16
146,LIBERTY,20295,2256,13738,4132,25,144
147,LIMESTONE,5589,1231,2974,1361,5,18
148,LIPSCOMB,724,2,427,286,4,5
149,LIVE OAK,2410,7,1114,1287,0,2
150,LLANO,2997,11,2588,375,8,15
151,LOVING,3,0,1,2,0,0
152,LUBBOCK,67043,6512,30621,28501,117,1292
153,LYNN,1446,54,629,756,3,4
154,MADISON,2999,605,1782,606,1,5
155,MARION,2229,796,1335,68,7,23
156,MARTIN,1579,30,741,807,0,1
157,MASON,705,0,476,226,1,2
158,MATAGORDA,10454,1371,3886,4827,26,344
159,MAVERICK,18708,11,308,18089,185,115
160,MCCULLOCH,2069,30,1232,804,0,3
161,MCLENNAN,59339,11334,26641,20602,81,681
162,MCMULLEN,122,4,68,50,0,0
163,MEDINA,11498,65,4494,6868,8,63
164,MENARD,475,3,286,183,0,3
165,MIDLAND,35516,2825,15073,16986,66,566
166,MILAM,6870,1004,3575,2263,3,25
167,MILLS,1168,18,908,241,0,1
168,MITCHELL,1761,106,814,835,0,6
169,MONTAGUE,4552,8,4016,480,22,26
170,MONTGOMERY,115177,5327,80694,27274,201,1681
171,MOORE,5994,17,2363,3556,8,50
172,MORRIS,3069,880,1960,206,6,17
173,MOTLEY,260,5,206,48,0,1
174,NACOGDOCHES,14914,2996,8036,3673,18,191
175,NAVARRO,13232,2291,6222,4577,18,124
176,NEWTON,3266,1007,2125,100,9,25
177,NOLAN,3608,219,1894,1483,0,12
178,NUECES,87455,4230,20047,61610,97,1471
179,OCHILTREE,2892,3,1438,1429,8,14
180,OLDHAM,480,13,405,59,1,2
181,ORANGE,20774,2650,16539,1220,62,303
182,PALO PINTO,7172,222,4926,1951,12,61
183,PANOLA,5522,1255,3886,349,6,26
184,PARKER,27112,343,22853,3659,75,182
185,PARMER,2836,15,1068,1747,0,6
186,PECOS,4477,39,1098,3327,0,13
187,POLK,9397,1309,6192,1588,128,180
188,POTTER,35980,3707,14836,16300,95,1042
189,PRESIDIO,2710,3,174,2533,0,0
190,RAINS,2057,47,1779,209,4,18
191,RANDALL,25723,664,19069,5378,92,520
192,REAGAN,777,25,282,469,0,1
193,REAL,611,3,431,174,0,3
194,RED RIVER,3169,718,2135,308,2,6
195,REEVES,2845,43,337,2457,0,8
196,REFUGIO,1721,140,613,947,4,17
197,ROBERTS,175,0,167,8,0,0
198,ROBERTSON,4462,1312,2068,1058,5,19
199,ROCKWALL,19750,789,14172,4438,49,302
200,RUNNELS,2921,28,1509,1368,2,14
201,RUSK,11281,2298,6641,2273,9,60
202,SABINE,2045,243,1710,87,1,4
203,SAN AUGUSTINE,2157,923,1100,128,0,6
204,SAN JACINTO,6005,1053,4486,421,6,39
205,SAN PATRICIO,21302,641,7274,13165,14,208
206,SAN SABA,1362,3,901,456,1,1
207,SCHLEICHER,756,3,268,481,0,4
208,SCURRY,4105,151,2184,1759,1,10
209,SHACKELFORD,816,3,716,97,0,0
210,SHELBY,6825,1661,3658,1483,4,19
211,SHERMAN,796,1,505,285,2,3
212,SMITH,52391,10602,25410,15510,115,754
213,SOMERVELL,2014,7,1494,502,2,9
214,STARR,23913,0,261,23594,10,48
215,STEPHENS,2398,39,1613,744,1,1
216,STERLING,290,1,164,125,0,0
217,STONEWALL,338,6,264,68,0,0
218,SUTTON,1161,2,414,744,0,1
219,SWISHER,2128,131,980,1016,1,0
220,TARRANT,482819,74043,203796,176704,1541,26735
221,TAYLOR,34377,3184,20484,9834,55,820
222,TERRELL,169,0,71,95,2,1
223,TERRY,2995,143,1126,1707,1,18
224,THROCKMORTON,387,0,320,66,0,1
225,TITUS,9127,927,3499,4616,19,66
226,TOM GREEN,26325,1247,12286,12408,41,343
227,TRAVIS,232199,25846,85124,108070,450,12709
228,TRINITY,3139,595,2183,341,3,17
229,TYLER,4648,625,3870,130,5,18
230,UPSHUR,8953,1130,6760,976,15,72
231,UPTON,741,5,306,429,1,0
232,UVALDE,8579,17,1541,6974,4,43
233,VAL VERDE,14821,145,2191,12353,15,117
234,VAN ZANDT,12316,366,10152,1708,12,78
235,VICTORIA,24295,1723,8076,14224,17,255
236,WALKER,11243,2856,5863,2343,7,174
237,WALLER,10201,2598,4132,3413,7,51
238,WARD,2476,132,1091,1235,1,17
239,WASHINGTON,7351,1773,3988,1443,9,138
240,WEBB,89516,59,2045,86822,72,518
241,WHARTON,11413,1882,4316,5158,3,54
242,WHEELER,1108,57,775,262,6,8
243,WICHITA,31797,4393,19221,7067,126,990
244,WILBARGER,3752,353,2112,1239,12,36
245,WILLACY,6681,19,362,6287,0,13
246,WILLIAMSON,106272,7217,64910,30539,177,3429
247,WILSON,10941,74,5791,5021,6,49
248,WINKLER,1643,32,697,909,0,5
249,WISE,14258,107,10588,3445,24,94
250,WOOD,8073,357,6555,1125,8,28
251,YOAKUM,2440,15,909,1515,1,0
252,YOUNG,4367,59,3344,942,6,16
253,ZAPATA,4635,4,143,4484,0,4
254,ZAVALA,3979,12,186,3779,0,2
255,STATE TOTAL,6584709,804001,2427173,3108010,12844,232681
