,County,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity
1,ANDERSON,11761,0,18,0,0,0,0,18,86
2,ANDREWS,4007,0,3,0,0,0,0,3,11
3,ANGELINA,22546,3,33,0,0,0,0,36,102
4,ARANSAS,5107,0,13,0,0,0,0,13,44
5,ARCHER,2114,0,1,0,0,0,0,1,11
6,ARMSTRONG,507,0,2,0,0,0,0,2,4
7,ATASCOSA,12726,0,21,0,0,0,0,21,78
8,AUSTIN,6493,0,13,0,0,1,0,14,69
9,BAILEY,1841,0,10,0,0,0,0,10,39
10,BANDERA,4096,0,18,1,0,0,0,19,196
11,BASTROP,19732,0,38,1,0,0,0,39,173
12,BAYLOR,775,0,1,0,0,0,0,1,4
13,BEE,7492,0,13,1,0,0,0,14,187
14,BELL,82014,10,206,2,0,1,1,220,815
15,BEXAR,434810,36,898,16,1,6,1,958,4098
16,BLANCO,2195,0,6,0,0,0,0,6,16
17,BORDEN,116,0,1,0,0,0,0,1,2
18,BOSQUE,4113,0,5,0,0,0,0,5,17
19,BOWIE,21335,0,19,0,0,0,0,19,44
20,BRAZORIA,80665,2,130,3,1,5,0,141,778
21,BRAZOS,37829,3,57,1,0,1,0,62,210
22,BREWSTER,1973,0,1,0,0,0,0,1,0
23,BRISCOE,426,0,0,0,0,0,0,0,0
24,BROOKS,2217,0,0,0,0,0,0,0,0
25,BROWN,9562,7,72,1,0,0,0,80,353
26,BURLESON,4527,0,2,0,0,0,0,2,2
27,BURNET,9631,0,17,0,0,0,0,17,65
28,CALDWELL,10045,0,26,0,0,1,0,27,284
29,CALHOUN,6199,0,8,0,0,0,0,8,26
30,CALLAHAN,3131,0,9,0,0,0,0,9,24
31,CAMERON,133737,6,159,5,0,0,0,170,1198
32,CAMP,3378,0,6,0,0,0,0,6,23
33,CARSON,1507,0,2,0,0,0,0,2,5
34,CASS,6750,0,6,0,0,0,0,6,19
35,CASTRO,2089,0,15,0,0,0,0,15,57
36,CHAMBERS,8812,0,4,0,0,0,0,4,7
37,CHEROKEE,12658,0,28,0,0,0,0,28,92
38,CHILDRESS,1762,0,2,0,0,0,0,2,7
39,CLAY,2173,0,8,0,0,0,0,8,36
40,COCHRAN,833,0,0,1,0,0,0,1,81
41,COKE,759,0,0,0,0,0,0,0,0
42,COLEMAN,2008,0,8,0,0,0,0,8,39
43,COLLIN,200473,3,204,2,0,0,0,209,590
44,COLLINGSWORTH,665,0,0,0,0,0,0,0,0
45,COLORADO,5291,0,5,0,0,0,0,5,16
46,COMAL,24487,0,50,4,0,1,0,55,302
47,COMANCHE,3289,0,8,0,0,0,0,8,32
48,CONCHO,512,0,3,0,0,0,0,3,7
49,COOKE,9765,0,2,0,0,0,0,2,7
50,CORYELL,18584,0,32,0,0,0,0,32,127
51,COTTLE,398,0,0,0,0,0,0,0,0
52,CRANE,1111,0,1,0,0,0,0,1,2
53,CROCKETT,1072,0,0,0,0,0,0,0,0
54,CROSBY,1679,0,4,0,0,0,0,4,10
55,CULBERSON,600,0,0,0,0,0,0,0,0
56,DALLAM,1882,0,3,0,0,0,0,3,6
57,DALLAS,674958,39,705,7,0,3,0,754,2766
58,DAWSON,3570,0,7,0,0,0,0,7,34
59,DEAF SMITH,6523,0,4,0,0,0,0,4,14
60,DELTA,1142,0,4,0,0,0,0,4,10
61,DENTON,158223,2,175,1,0,1,0,179,592
62,DEWITT,4648,0,11,1,0,0,0,12,89
63,DICKENS,447,0,0,0,0,0,0,0,0
64,DIMMIT,2727,0,6,0,0,0,0,6,10
65,DONLEY,729,0,3,0,0,0,0,3,9
66,DUVAL,3177,0,3,0,0,0,0,3,9
67,EASTLAND,4250,0,13,0,0,0,0,13,47
68,ECTOR,38527,1,37,0,0,0,0,38,116
69,EDWARDS,451,0,0,0,0,0,0,0,0
70,ELLIS,41152,3,94,2,0,0,0,99,501
71,EL PASO,225878,9,226,5,0,0,0,240,911
72,ERATH,9083,1,11,1,0,0,0,13,119
73,FALLS,4325,0,10,0,0,1,0,11,67
74,FANNIN,7556,0,9,0,0,0,0,9,32
75,FAYETTE,5372,0,6,0,0,1,0,7,36
76,FISHER,838,0,3,0,0,0,0,3,3
77,FLOYD,1869,0,2,0,0,0,0,2,7
