,County,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location
1,ANDERSON,707,617,6
2,ANDREWS,193,171,2
3,ANGELINA,1073,904,7
4,ARANSAS,345,314,0
5,ARCHER,58,50,0
6,ARMSTRONG,10,10,0
7,ATASCOSA,651,597,4
8,AUSTIN,244,211,2
9,BAILEY,67,62,0
10,BANDERA,231,199,0
11,BASTROP,901,736,9
12,BAYLOR,55,44,0
13,BEE,435,405,7
14,BELL,4659,4226,31
15,BEXAR,23437,20435,160
16,BLANCO,96,83,0
17,BORDEN,8,5,0
18,BOSQUE,206,188,0
19,BOWIE,1216,1082,10
20,BRAZORIA,2797,2491,21
21,BRAZOS,1374,1225,12
22,BREWSTER,100,92,0
23,BRISCOE,10,9,0
24,BROOKS,160,145,0
25,BROWN,567,468,6
26,BURLESON,177,154,2
27,BURNET,486,440,6
28,CALDWELL,533,455,2
29,CALHOUN,216,162,3
30,CALLAHAN,177,151,0
31,CAMERON,5087,4599,42
32,CAMP,159,139,0
33,CARSON,47,40,0
34,CASS,375,321,5
35,CASTRO,75,67,1
36,CHAMBERS,264,214,0
37,CHEROKEE,700,580,6
38,CHILDRESS,95,83,1
39,CLAY,77,68,0
40,COCHRAN,36,33,0
41,COKE,30,27,0
42,COLEMAN,134,111,1
43,COLLIN,4764,4010,36
44,COLLINGSWORTH,34,31,2
45,COLORADO,179,162,1
46,COMAL,1175,937,10
47,COMANCHE,165,139,0
48,CONCHO,38,35,0
49,COOKE,397,365,5
50,CORYELL,1100,1002,7
51,COTTLE,13,11,0
52,CRANE,24,22,0
53,CROCKETT,37,37,0
54,CROSBY,103,93,0
55,CULBERSON,17,15,0
56,DALLAM,98,92,1
57,DALLAS,23653,20974,187
58,DAWSON,160,147,2
59,DEAF SMITH,269,241,2
60,DELTA,55,43,0
61,DENTON,4478,3792,37
62,DEWITT,211,174,3
63,DICKENS,45,41,0
64,DIMMIT,133,115,1
65,DONLEY,44,40,0
66,DUVAL,184,170,0
67,EASTLAND,237,206,3
68,ECTOR,1999,1854,17
69,EDWARDS,26,25,0
70,ELLIS,1354,1234,7
71,EL PASO,7436,6429,55
72,ERATH,368,341,4
73,FALLS,143,138,1
74,FANNIN,350,324,3
75,FAYETTE,200,184,0
76,FISHER,40,34,0
77,FLOYD,102,85,0
78,FOARD,22,16,0
79,FORT BEND,2920,2597,19
80,FRANKLIN,115,89,0
81,FREESTONE,188,175,0
82,FRIO,256,218,2
83,GAINES,128,118,0
84,GALVESTON,3039,2775,24
85,GARZA,86,81,0
86,GILLESPIE,167,147,0
87,GLASSCOCK,1,1,0
88,GOLIAD,53,43,0
89,GONZALES,310,241,3
90,GRAY,285,267,5
91,GRAYSON,1595,1405,13
92,GREGG,1477,1314,12
93,GRIMES,305,273,0
94,GUADALUPE,1531,1288,12
95,HALE,400,369,5
96,HALL,40,36,0
97,HAMILTON,91,82,2
98,HANSFORD,28,26,0
99,HARDEMAN,66,58,0
100,HARDIN,593,492,5
101,HARRIS,33189,28549,232
102,HARRISON,709,656,7
103,HARTLEY,12,12,0
104,HASKELL,56,45,3
105,HAYS,1335,1143,11
106,HEMPHILL,10,9,0
107,HENDERSON,1056,902,7
