,County,Child  Population,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*
1,ANDERSON,11504,127,11.0,40,125,99
2,ANDREWS,3837,29,7.6,14,25,10
3,ANGELINA,22648,118,5.2,22,113,86
4,ARANSAS,5038,65,12.9,27,56,45
5,ARCHER,2202,2,0.9,0,2,2
6,ARMSTRONG,537,1,1.9,0,1,0
7,ATASCOSA,13399,155,11.6,32,150,82
8,AUSTIN,6760,29,4.3,9,27,13
9,BAILEY,2182,38,17.4,6,36,30
10,BANDERA,4277,60,14.0,9,59,37
11,BASTROP,22312,190,8.5,75,188,124
12,BAYLOR,788,10,12.7,3,10,7
13,BEE,7647,80,10.5,40,81,56
14,BELL,73969,907,12.3,346,874,533
15,BEXAR,421591,4579,10.9,1278,4501,3246
16,BLANCO,2215,7,3.2,0,7,5
17,BORDEN,118,0,0.0,0,0,0
18,BOSQUE,4175,18,4.3,6,18,11
19,BOWIE,21419,204,9.5,74,202,128
20,BRAZORIA,79132,364,4.6,99,351,243
21,BRAZOS,36515,241,6.6,66,234,136
22,BREWSTER,1990,10,5.0,0,10,7
23,BRISCOE,421,6,14.3,5,6,1
24,BROOKS,2528,42,16.6,7,41,34
25,BROWN,9391,175,18.6,52,174,117
26,BURLESON,4548,42,9.2,10,43,15
27,BURNET,9260,113,12.2,32,114,72
28,CALDWELL,10356,150,14.5,34,147,94
29,CALHOUN,5937,19,3.2,0,19,11
30,CALLAHAN,3101,21,6.8,8,18,15
31,CAMERON,132382,552,4.2,226,542,459
32,CAMP,3362,60,17.8,24,58,27
33,CARSON,1485,14,9.4,4,15,9
34,CASS,6624,88,13.3,30,84,38
35,CASTRO,2649,14,5.3,1,13,14
36,CHAMBERS,8654,39,4.5,17,40,23
37,CHEROKEE,12774,97,7.6,41,87,63
38,CHILDRESS,1759,25,14.2,0,22,17
39,CLAY,2377,17,7.2,3,18,15
40,COCHRAN,1072,10,9.3,1,7,5
41,COKE,798,1,1.3,1,2,1
42,COLEMAN,2160,49,22.7,19,47,41
43,COLLIN,205478,465,2.3,113,436,331
44,COLLINGSWORTH,685,9,13.1,4,9,2
45,COLORADO,5261,19,3.6,3,18,15
46,COMAL,23058,154,6.7,75,152,78
47,COMANCHE,3288,19,5.8,1,18,15
48,CONCHO,525,9,17.1,1,9,7
49,COOKE,9833,76,7.7,22,66,47
50,CORYELL,17576,174,9.9,62,160,96
51,COTTLE,396,2,5.1,1,3,3
52,CRANE,1119,1,0.9,1,1,1
53,CROCKETT,1048,14,13.4,2,11,9
54,CROSBY,2116,32,15.1,19,33,23
55,CULBERSON,832,2,2.4,0,3,3
56,DALLAM,1890,24,12.7,1,22,13
57,DALLAS,658483,2992,4.5,1019,3006,2041
58,DAWSON,3875,17,4.4,6,17,10
59,DEAF SMITH,6487,43,6.6,9,44,35
60,DELTA,1136,18,15.8,8,18,16
61,DENTON,173876,451,2.6,122,427,284
62,DEWITT,4646,38,8.2,5,31,27
63,DICKENS,448,5,11.2,2,5,7
64,DIMMIT,3177,69,21.7,12,72,44
65,DONLEY,741,6,8.1,1,7,7
66,DUVAL,3830,41,10.7,8,35,20
67,EASTLAND,4226,41,9.7,12,36,27
68,ECTOR,37839,310,8.2,89,301,207
69,EDWARDS,462,0,0.0,0,0,0
70,ELLIS,40909,186,4.5,64,181,116
71,EL PASO,224462,659,2.9,178,644,516
72,ERATH,8770,54,6.2,14,52,36
73,FALLS,4535,12,2.6,2,12,10
74,FANNIN,8187,71,8.7,9,72,57
75,FAYETTE,5273,69,13.1,28,65,34
76,FISHER,847,9,10.6,0,9,8
77,FLOYD,2337,23,9.8,2,20,20
78,FOARD,336,1,3.0,0,1,1
79,FORT BEND,135413,295,2.2,128,293,200
