,County,Total,African American,Anglo,Hispanic,Native American,Other
1,ANDERSON,228,61,129,29,0,9
2,ANDREWS,76,1,37,36,0,2
3,ANGELINA,137,23,79,31,0,4
4,ARANSAS,167,13,76,72,2,4
5,ARCHER,6,0,6,0,0,0
6,ARMSTRONG,0,0,0,0,0,0
7,ATASCOSA,181,1,31,147,0,2
8,AUSTIN,42,9,20,11,0,2
9,BAILEY,18,0,2,15,0,1
10,BANDERA,57,0,44,11,0,2
11,BASTROP,213,28,112,54,4,15
12,BAYLOR,11,1,8,2,0,0
13,BEE,216,6,30,169,0,11
14,BELL,850,271,343,164,2,70
15,BEXAR,5727,716,793,3992,3,223
16,BLANCO,16,0,12,4,0,0
17,BORDEN,0,0,0,0,0,0
18,BOSQUE,40,3,29,7,0,1
19,BOWIE,291,143,124,7,5,12
20,BRAZORIA,698,110,356,209,0,23
21,BRAZOS,398,142,108,136,0,12
22,BREWSTER,21,0,5,16,0,0
23,BRISCOE,5,0,0,5,0,0
24,BROOKS,75,1,1,73,0,0
25,BROWN,245,30,165,39,0,11
26,BURLESON,59,9,32,16,0,2
27,BURNET,136,10,84,37,0,5
28,CALDWELL,144,21,33,82,1,7
29,CALHOUN,43,0,19,21,0,3
30,CALLAHAN,37,2,32,3,0,0
31,CAMERON,2205,16,53,2109,3,24
32,CAMP,71,18,40,12,0,1
33,CARSON,19,2,15,2,0,0
34,CASS,62,23,33,6,0,0
35,CASTRO,33,1,1,31,0,0
36,CHAMBERS,63,11,44,5,0,3
37,CHEROKEE,170,48,89,26,0,7
38,CHILDRESS,11,0,8,3,0,0
39,CLAY,31,0,29,2,0,0
40,COCHRAN,5,0,0,5,0,0
41,COKE,7,0,4,2,0,1
42,COLEMAN,85,7,60,15,0,3
43,COLLIN,1220,239,621,294,4,62
44,COLLINGSWORTH,10,0,5,5,0,0
45,COLORADO,24,6,12,5,0,1
46,COMAL,325,13,134,171,0,7
47,COMANCHE,32,0,20,12,0,0
48,CONCHO,15,0,12,3,0,0
49,COOKE,105,5,87,11,0,2
50,CORYELL,225,41,155,19,1,9
51,COTTLE,1,0,0,1,0,0
