,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services
1,ANDERSON,5039,7496,428,372,320,693
2,ANDREWS,1081,1837,35,35,30,30
3,ANGELINA,6568,11218,545,478,351,407
4,ARANSAS,2113,5822,169,150,99,75
5,ARCHER,802,1310,62,50,42,40
6,ARMSTRONG,165,455,15,12,7,23
7,ATASCOSA,3872,5191,179,144,89,92
8,AUSTIN,2336,4320,98,89,73,82
9,BAILEY,523,1069,33,35,35,41
10,BANDERA,1858,3853,104,82,60,100
11,BASTROP,7416,9066,242,183,88,63
12,BAYLOR,309,1025,72,70,65,67
13,BEE,2809,3799,136,111,90,113
14,BELL,20801,22744,1440,1022,627,581
15,BEXAR,129685,165268,8123,6668,4511,5220
16,BLANCO,903,1750,34,24,14,13
17,BORDEN,60,192,1,1,1,0
18,BOSQUE,1426,3886,84,60,40,44
19,BOWIE,7760,13590,431,342,242,368
20,BRAZORIA,25616,27988,612,456,270,256
21,BRAZOS,13183,11816,345,279,193,189
22,BREWSTER,800,1521,80,46,40,62
23,BRISCOE,138,420,6,4,1,2
24,BROOKS,679,1282,73,60,37,28
25,BROWN,2968,7167,298,278,202,132
26,BURLESON,1480,3197,59,57,45,66
27,BURNET,3489,8396,158,104,71,70
28,CALDWELL,3219,4473,124,101,63,35
29,CALHOUN,1706,3161,52,42,22,30
30,CALLAHAN,1070,2592,120,105,79,75
31,CAMERON,30235,45640,1488,1188,786,804
32,CAMP,1037,2431,66,51,40,38
33,CARSON,526,1062,18,20,16,19
34,CASS,2388,5883,175,163,105,140
35,CASTRO,670,1225,20,12,10,9
36,CHAMBERS,2890,3264,65,67,43,36
37,CHEROKEE,3878,7543,539,471,356,480
38,CHILDRESS,600,1183,71,52,47,85
39,CLAY,947,2028,85,76,68,62
40,COCHRAN,301,713,45,47,44,69
41,COKE,279,1021,32,21,18,8
42,COLEMAN,682,1970,94,70,55,37
43,COLLIN,70448,51294,753,571,423,293
44,COLLINGSWORTH,238,683,33,27,21,32
45,COLORADO,1760,4243,82,60,51,87
46,COMAL,9294,14918,365,275,177,175
47,COMANCHE,1042,2983,93,78,67,35
48,CONCHO,374,656,18,24,24,32
49,COOKE,3147,6560,157,116,59,54
50,CORYELL,6027,4942,235,200,147,219
51,COTTLE,140,470,18,17,10,9
52,CRANE,352,635,11,12,10,11
53,CROCKETT,366,756,8,7,4,0
54,CROSBY,552,1221,58,53,50,64
55,CULBERSON,260,549,13,12,8,9
56,DALLAM,515,828,22,15,13,24
57,DALLAS,190380,186118,6287,4848,2918,2210
58,DAWSON,1243,2162,141,135,118,120
59,DEAF SMITH,1476,2364,50,41,36,40
60,DELTA,423,1045,31,27,16,23
61,DENTON,60915,39100,891,577,306,278
62,DEWITT,1644,3912,103,74,49,47
63,DICKENS,222,752,33,24,21,25
64,DIMMIT,868,1392,43,34,19,16
65,DONLEY,321,993,16,15,13,21
66,DUVAL,1108,1945,85,66,51,45
67,EASTLAND,1380,4163,215,176,139,92
68,ECTOR,10106,15182,709,591,473,544
69,EDWARDS,177,502,6,6,5,1
70,ELLIS,12543,14261,300,248,204,261
71,EL PASO,60496,74142,3454,2663,1805,2039
72,ERATH,2842,4268,95,71,36,81
73,FALLS,1441,2988,76,71,46,70
74,FANNIN,2761,6273,124,109,86,83
75,FAYETTE,1943,4887,66,58,38,58
76,FISHER,321,940,36,32,22,35
77,FLOYD,598,1318,26,27,21,30
78,FOARD,117,387,27,20,15,10
79,FORT BEND,51099,36554,656,498,331,229
80,FRANKLIN,774,2160,32,27,19,28
81,FREESTONE,1584,3337,72,58,44,50
82,FRIO,1381,1979,59,52,26,18
83,GAINES,1181,1781,42,36,29,40
84,GALVESTON,24717,33628,1075,805,608,698
85,GARZA,427,891,19,16,15,30
86,GILLESPIE,1837,6388,74,65,51,56
87,GLASSCOCK,124,224,2,1,1,4
88,GOLIAD,624,1422,30,27,13,10
89,GONZALES,1596,3255,69,49,30,33
90,GRAY,1682,3877,115,118,88,181
