,County,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA)**,Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity
113,HOUSTON,4929,0,8,0,0,0,0,8,21
114,HOWARD,7837,0,5,0,0,0,0,5,11
115,HUDSPETH,1001,0,0,0,0,0,0,0,0
116,HUNT,21521,0,34,1,0,1,0,36,194
117,HUTCHINSON,5889,0,10,0,0,0,0,10,41
118,IRION,295,0,0,0,0,0,0,0,0
119,JACK,1958,0,2,0,0,0,0,2,5
120,JACKSON,3745,0,11,0,0,0,0,11,46
121,JASPER,9023,0,13,0,0,0,0,13,34
122,JEFF DAVIS,385,0,2,0,0,1,0,3,87
123,JEFFERSON,63079,5,117,4,0,1,0,127,553
124,JIM HOGG,1509,0,0,0,0,0,0,0,0
125,JIM WELLS,12305,0,11,0,0,0,0,11,53
126,JOHNSON,43440,0,82,0,0,0,0,82,270
127,JONES,4545,0,9,0,0,0,0,9,24
128,KARNES,3280,0,0,0,0,0,0,0,0
129,KAUFMAN,26189,0,52,1,0,0,0,53,196
130,KENDALL,7169,1,31,1,0,1,0,34,176
131,KENEDY,115,0,0,0,0,0,0,0,0
132,KENT,118,0,1,0,0,0,0,1,12
133,KERR,9542,2,23,3,0,1,0,29,288
134,KIMBLE,992,0,1,0,0,0,0,1,4
135,KING,74,0,0,0,0,0,0,0,0
136,KINNEY,787,0,1,0,0,0,0,1,3
137,KLEBERG,8875,0,9,0,0,0,0,9,27
138,KNOX,987,0,0,0,0,0,0,0,0
139,LAMAR,12565,0,11,0,0,0,0,11,36
140,LAMB,4296,0,5,0,0,0,0,5,10
141,LAMPASAS,5535,0,20,1,0,0,0,21,122
142,LASALLE,1875,0,2,0,0,0,0,2,6
143,LAVACA,4316,0,5,0,0,0,0,5,26
144,LEE,4333,0,22,0,0,0,0,22,103
145,LEON,3515,0,6,0,0,0,0,6,8
146,LIBERTY,21344,0,25,0,0,0,0,25,76
147,LIMESTONE,5618,0,7,0,0,0,0,7,34
148,LIPSCOMB,692,0,1,0,0,0,0,1,9
149,LIVE OAK,2381,0,6,0,0,0,0,6,24
150,LLANO,3234,0,5,0,0,0,0,5,15
151,LOVING,3,0,0,0,0,0,0,0,0
152,LUBBOCK,63936,8,197,5,0,1,1,212,906
153,LYNN,1737,0,1,0,0,0,0,1,2
154,MADISON,2920,0,3,0,0,0,0,3,3
155,MARION,2238,0,2,0,0,0,0,2,4
156,MARTIN,1576,0,0,0,0,0,0,0,0
157,MASON,744,0,2,0,0,0,0,2,5
158,MATAGORDA,10609,0,11,0,0,0,0,11,31
159,MAVERICK,18632,0,5,0,0,0,0,5,9
160,MCCULLOCH,1980,0,20,0,0,0,0,20,108
161,MCLENNAN,57387,4,104,2,1,1,0,112,744
162,MCMULLEN,126,0,0,0,0,0,0,0,0
163,MEDINA,11742,1,34,0,0,0,0,35,125
164,MENARD,505,0,0,0,0,0,0,0,0
165,MIDLAND,34237,3,44,1,0,0,0,48,187
166,MILAM,6854,0,9,1,0,0,0,10,70
167,MILLS,1114,0,11,0,0,1,0,12,165
168,MITCHELL,1759,0,1,0,0,0,0,1,3
169,MONTAGUE,4444,0,5,0,0,0,0,5,10
170,MONTGOMERY,114616,7,147,3,0,0,0,157,512
171,MOORE,6486,0,3,0,0,0,0,3,7
172,MORRIS,3049,0,3,0,0,0,0,3,13
173,MOTLEY,260,0,0,0,0,0,0,0,0
174,NACOGDOCHES,14978,0,23,0,0,1,0,24,110
175,NAVARRO,13547,3,73,0,0,2,0,78,338
176,NEWTON,3407,0,6,0,0,0,0,6,18
177,NOLAN,4026,0,6,0,0,0,0,6,14
178,NUECES,87371,9,146,2,0,0,1,158,690
179,OCHILTREE,2931,0,1,0,0,0,0,1,2
180,OLDHAM,497,0,3,1,0,0,0,4,451
181,ORANGE,20806,0,28,0,0,0,0,28,121
182,PALO PINTO,6965,0,6,0,0,0,0,6,21
183,PANOLA,5361,0,5,0,0,0,0,5,20
184,PARKER,27526,0,43,1,0,0,0,44,200
185,PARMER,3044,0,6,0,0,0,0,6,13
186,PECOS,4375,0,0,0,0,0,0,0,0
187,POLK,10250,0,15,0,0,0,0,15,58
188,POTTER,35029,8,64,2,0,0,0,74,270
189,PRESIDIO,2677,0,0,0,0,0,0,0,0
190,RAINS,2242,0,6,0,0,0,0,6,13
191,RANDALL,25338,2,99,3,0,0,0,104,448
192,REAGAN,1001,0,1,0,0,0,0,1,2
193,REAL,591,0,1,0,0,0,0,1,3
194,RED RIVER,3364,0,2,0,0,0,0,2,6
195,REEVES,3361,0,1,0,0,0,0,1,3
196,REFUGIO,2034,0,2,0,0,0,0,2,5
197,ROBERTS,175,0,0,0,0,0,0,0,0
198,ROBERTSON,4456,0,6,0,0,0,0,6,5
199,ROCKWALL,20102,0,21,0,0,0,0,21,49
200,RUNNELS,2847,0,3,0,0,0,0,3,6
201,RUSK,11716,0,16,0,0,0,0,16,59
202,SABINE,2050,0,1,0,0,0,0,1,6
203,SAN AUGUSTINE,2079,0,10,0,0,0,0,10,49
204,SAN JACINTO,5484,0,7,0,0,0,0,7,25
205,SAN PATRICIO,21629,0,25,2,0,1,0,28,217
206,SAN SABA,1386,1,10,1,0,0,0,12,121
207,SCHLEICHER,740,0,0,0,0,0,0,0,0
208,SCURRY,4025,0,10,0,0,0,0,10,32
209,SHACKELFORD,800,0,4,0,0,0,0,4,14
210,SHELBY,6937,1,26,0,0,0,0,27,129
211,SHERMAN,809,0,3,0,0,0,0,3,6
212,SMITH,51094,9,126,2,0,3,1,141,639
213,SOMERVELL,2124,0,2,0,0,0,1,3,12
214,STARR,23950,0,9,0,0,0,0,9,50
215,STEPHENS,2396,0,5,0,0,0,0,5,17
216,STERLING,296,0,1,0,0,0,0,1,4
217,STONEWALL,338,0,1,0,0,0,0,1,4
218,SUTTON,1135,0,1,0,0,0,0,1,6
219,SWISHER,2354,0,5,0,0,0,0,5,25
220,TARRANT,474768,35,712,5,0,0,1,753,2449
221,TAYLOR,33995,8,80,4,0,1,0,93,393
222,TERRELL,178,0,0,0,0,0,0,0,0
223,TERRY,3623,0,5,0,0,0,0,5,18
224,THROCKMORTON,383,0,0,0,0,0,0,0,0
225,TITUS,9387,0,3,0,0,0,0,3,14
226,TOM GREEN,25926,1,30,3,0,0,0,34,208
227,TRAVIS,218088,26,353,5,1,4,0,389,1338
228,TRINITY,3115,0,6,0,0,0,0,6,14
229,TYLER,4714,0,18,1,0,1,0,20,96
230,UPSHUR,9084,0,19,0,0,0,0,19,76
231,UPTON,871,0,2,0,0,0,0,2,6
232,UVALDE,8709,0,7,0,0,0,0,7,19
233,VAL VERDE,15177,1,17,0,0,0,0,18,44
234,VAN ZANDT,12527,0,40,0,0,0,0,40,148
235,VICTORIA,24213,3,44,1,0,1,0,49,265
236,WALKER,11422,0,16,1,0,2,0,19,331
237,WALLER,10416,0,22,0,0,0,0,22,34
238,WARD,2928,0,0,0,0,0,0,0,0
239,WASHINGTON,7365,0,6,1,0,0,0,7,38
240,WEBB,89801,3,88,2,0,0,0,93,430
241,WHARTON,11437,0,12,0,0,0,0,12,39
242,WHEELER,1095,0,1,0,0,0,0,1,4
243,WICHITA,31130,4,40,1,0,0,1,46,140
244,WILBARGER,3645,0,2,0,0,0,0,2,6
245,WILLACY,6641,0,3,0,0,0,0,3,11
246,WILLIAMSON,102401,5,264,3,0,1,1,274,1046
247,WILSON,11127,0,32,0,0,0,0,32,121
248,WINKLER,1962,0,2,0,0,0,0,2,3
249,WISE,15671,0,19,0,0,0,0,19,45
250,WOOD,7941,0,18,1,0,0,0,19,106
251,YOAKUM,2299,0,2,0,0,0,0,2,3
252,YOUNG,4257,0,12,0,0,0,0,12,20
253,ZAPATA,4807,0,3,0,0,0,0,3,18
254,ZAVALA,3867,0,2,0,0,0,0,2,4
255,OUT OF STATE,0,0,43,0,0,0,0,43,53
256,STATE TOTAL,6510210,334,9761,150,14,89,13,10361,43107
