,County,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes
1,ANDERSON,9065,9,1046,3,36,27,7
2,ANDREWS,3048,6,289,0,0,9,2
3,ANGELINA,17695,33,3056,2,24,13,5
4,ARANSAS,3705,5,343,0,0,5,0
5,ARCHER,1588,5,248,1,12,2,2
6,ARMSTRONG,423,0,0,0,0,4,1
7,ATASCOSA,10083,14,862,2,24,15,4
8,AUSTIN,5124,10,802,1,12,10,6
9,BAILEY,1755,3,158,0,0,4,1
10,BANDERA,3103,5,392,0,0,1,0
11,BASTROP,16815,43,3009,3,36,22,10
12,BAYLOR,590,3,98,2,24,1,3
13,BEE,6028,10,846,0,0,7,2
14,BELL,60435,160,14350,21,247,105,127
15,BEXAR,330603,587,63672,41,492,383,497
16,BLANCO,1671,3,147,0,0,3,1
17,BORDEN,85,1,13,0,0,0,0
18,BOSQUE,3202,5,214,2,24,4,2
19,BOWIE,16560,44,4255,3,36,50,11
20,BRAZORIA,60605,149,16489,16,192,53,73
21,BRAZOS,29027,66,6270,13,153,46,36
22,BREWSTER,1571,6,403,1,12,8,0
23,BRISCOE,325,0,0,0,0,1,0
24,BROOKS,1996,7,283,1,12,0,0
25,BROWN,7323,17,1165,1,12,8,10
26,BURLESON,3562,5,283,1,12,9,2
27,BURNET,7081,22,1610,3,36,5,2
28,CALDWELL,8049,16,846,1,12,11,1
29,CALHOUN,4604,13,911,1,12,3,1
30,CALLAHAN,2320,4,125,1,12,8,2
31,CAMERON,105977,176,12714,28,333,34,36
32,CAMP,2554,4,402,1,12,9,0
33,CARSON,1125,0,0,0,0,2,3
34,CASS,5041,10,678,3,34,15,1
35,CASTRO,2093,1,55,0,0,6,3
36,CHAMBERS,6216,11,1010,4,48,6,7
37,CHEROKEE,9820,15,1081,1,12,20,2
38,CHILDRESS,1341,4,145,2,24,8,4
39,CLAY,1709,5,219,1,12,1,2
40,COCHRAN,847,1,16,0,0,0,1
41,COKE,606,2,29,0,0,0,0
42,COLEMAN,1695,1,40,5,60,5,3
43,COLLIN,153257,304,43488,82,960,192,241
44,COLLINGSWORTH,507,1,68,1,12,2,2
45,COLORADO,4108,10,678,1,12,8,7
46,COMAL,16959,41,3902,8,93,22,19
47,COMANCHE,2529,4,159,6,72,5,1
48,CONCHO,393,2,85,0,0,0,1
49,COOKE,7497,7,503,10,120,10,14
50,CORYELL,13471,30,2600,2,24,12,11
51,COTTLE,298,1,34,0,0,0,0
52,CRANE,857,1,40,0,0,2,0
53,CROCKETT,802,2,80,1,12,1,0
54,CROSBY,1624,1,0,0,0,1,1
55,CULBERSON,629,1,59,0,0,0,0
56,DALLAM,1443,2,228,1,12,3,1
57,DALLAS,525451,769,88475,105,1253,734,711
58,DAWSON,3083,3,315,4,48,11,1
59,DEAF SMITH,5161,6,468,0,0,20,2
60,DELTA,833,1,58,0,0,4,0
61,DENTON,134178,199,26525,70,840,192,209
62,DEWITT,3619,6,295,2,24,1,2
63,DICKENS,343,0,0,0,0,1,2
64,DIMMIT,2409,5,304,0,0,6,0
65,DONLEY,549,0,0,2,24,1,2
66,DUVAL,2993,6,212,0,0,2,2
67,EASTLAND,3334,8,282,1,12,5,1
68,ECTOR,30131,44,4064,11,132,87,4
69,EDWARDS,328,2,79,0,0,0,0
70,ELLIS,31039,52,5288,7,84,51,35
71,EL PASO,179427,275,25288,153,1825,315,84
72,ERATH,6864,15,933,6,72,10,24
73,FALLS,3382,4,162,1,12,5,1
74,FANNIN,6128,12,701,1,12,4,6
75,FAYETTE,3957,9,455,6,72,12,5
76,FISHER,612,1,60,0,0,1,0
77,FLOYD,1816,2,227,0,0,0,1
78,FOARD,234,1,35,0,0,1,0
79,FORT BEND,95444,222,27402,17,190,105,244
80,FRANKLIN,1669,4,266,1,12,6,0
81,FREESTONE,3652,9,515,1,12,11,4
82,FRIO,3772,6,403,3,36,15,1
83,GAINES,3900,2,102,2,24,4,2
84,GALVESTON,54612,127,14281,21,252,70,78
85,GARZA,955,2,80,0,0,3,0
86,GILLESPIE,3358,11,616,4,48,7,5
87,GLASSCOCK,282,1,12,0,0,0,0
88,GOLIAD,1286,2,104,0,0,3,0
89,GONZALES,4210,9,480,1,12,7,0
90,GRAY,3820,12,845,0,0,6,0
91,GRAYSON,22063,36,2894,7,84,44,23
92,GREGG,23848,52,5611,5,60,57,22
93,GRIMES,4666,8,330,11,131,6,4
94,GUADALUPE,22016,33,2619,2,24,36,35
95,HALE,8792,8,730,5,60,12,5
96,HALL,770,1,37,0,0,1,0
97,HAMILTON,1348,3,131,0,0,6,8
98,HANSFORD,1230,2,91,0,0,5,0
99,HARDEMAN,820,2,95,5,60,5,1
100,HARDIN,9680,15,1681,0,0,2,2
101,HARRIS,850501,1548,170358,119,1415,996,1816
102,HARRISON,11591,18,1719,5,60,54,7
103,HARTLEY,979,1,150,0,0,0,1
104,HASKELL,1049,2,105,1,12,2,1
105,HAYS,26470,75,5308,9,108,51,30
106,HEMPHILL,634,1,68,0,0,2,0
107,HENDERSON,14496,15,1608,4,48,22,2
108,HIDALGO,198825,360,25493,118,1413,205,150
109,HILL,7076,10,479,3,36,9,5
110,HOCKLEY,5284,11,518,6,72,11,1
111,HOOD,7659,19,1584,4,48,12,10
112,HOPKINS,6702,11,1110,5,60,14,3
113,HOUSTON,3737,2,146,3,36,5,6
114,HOWARD,6136,14,1189,0,0,8,1
115,HUDSPETH,697,1,17,0,0,1,0
116,HUNT,16740,23,2477,5,60,31,12
117,HUTCHINSON,4613,6,317,3,36,8,4
118,IRION,210,1,20,0,0,1,1
119,JACK,1532,0,0,3,36,1,3
120,JACKSON,2971,6,306,5,60,11,2
121,JASPER,7022,6,658,2,24,8,5
122,JEFF DAVIS,287,0,0,0,0,2,1
123,JEFFERSON,48722,84,8310,6,72,16,30
124,JIM HOGG,1162,3,180,0,0,6,2
125,JIM WELLS,9616,23,983,1,12,8,1
126,JOHNSON,32578,41,4818,4,48,31,14
127,JONES,3281,5,173,2,24,13,2
128,KARNES,2568,5,163,1,12,4,1
129,KAUFMAN,19363,39,4463,5,60,32,22
130,KENDALL,5043,14,1186,3,36,5,7
131,KENEDY,92,0,0,0,0,0,0
132,KENT,84,0,0,0,0,0,0
133,KERR,7224,17,1285,3,36,14,10
134,KIMBLE,781,2,100,1,12,1,0
135,KING,46,0,0,0,0,0,0
136,KINNEY,592,2,35,0,0,0,1
137,KLEBERG,7290,13,685,1,12,15,7
138,KNOX,758,3,94,0,0,0,0
139,LAMAR,9774,17,1570,6,70,16,7
140,LAMB,3398,3,120,1,12,6,1
141,LAMPASAS,4263,4,235,5,60,5,9
142,LASALLE,1521,2,99,0,0,6,0
143,LAVACA,3317,12,620,10,118,12,6
144,LEE,3301,7,480,5,60,4,0
145,LEON,2689,5,187,3,36,5,0
146,LIBERTY,15953,19,1367,1,12,12,5
147,LIMESTONE,4359,9,743,4,48,6,6
148,LIPSCOMB,518,0,0,0,0,0,0
149,LIVE OAK,1811,4,125,1,12,1,1
150,LLANO,2439,7,336,1,12,4,0
151,LOVING,2,0,0,0,0,0,0
152,LUBBOCK,51380,123,11523,37,444,89,44
153,LYNN,1336,1,25,1,12,5,2
154,MADISON,2292,6,215,2,24,5,2
155,MARION,1725,1,97,2,24,4,1
156,MARTIN,1240,2,86,0,0,2,0
157,MASON,578,4,105,0,0,1,0
158,MATAGORDA,8199,11,950,0,0,20,6
159,MAVERICK,14312,18,1781,0,0,18,4
160,MCCULLOCH,1553,4,179,3,36,5,1
161,MCLENNAN,45360,97,9213,25,300,65,32
162,MCMULLEN,89,0,0,0,0,0,0
163,MEDINA,8670,11,805,1,12,11,13
164,MENARD,400,1,20,0,0,0,0
165,MIDLAND,26829,59,6132,7,81,39,7
166,MILAM,5252,9,548,7,84,16,1
167,MILLS,846,0,0,2,24,3,3
168,MITCHELL,1325,1,93,0,0,2,2
169,MONTAGUE,3459,7,228,3,36,1,4
170,MONTGOMERY,84178,151,17442,19,225,65,38
171,MOORE,4995,5,303,1,10,3,1
172,MORRIS,2349,3,140,1,12,9,3
173,MOTLEY,190,0,0,0,0,0,0
174,NACOGDOCHES,11445,16,2020,1,12,11,7
175,NAVARRO,10460,17,1389,4,48,17,17
176,NEWTON,2567,3,107,0,0,0,0
177,NOLAN,3134,10,604,1,12,6,1
178,NUECES,69780,149,13041,37,443,112,57
179,OCHILTREE,2314,5,335,1,12,1,0
180,OLDHAM,375,2,95,0,0,1,0
181,ORANGE,15563,27,2397,6,72,9,9
182,PALO PINTO,5423,5,429,2,24,13,8
183,PANOLA,4165,7,664,5,60,9,1
184,PARKER,19528,39,3710,0,0,12,12
185,PARMER,2336,1,38,0,0,2,1
186,PECOS,3393,4,319,2,24,4,2
187,POLK,7784,9,819,2,24,5,2
188,POTTER,28362,46,4254,0,0,83,36
189,PRESIDIO,2113,1,19,1,12,5,1
190,RAINS,1658,1,34,0,0,1,2
191,RANDALL,18934,47,4680,2,24,59,52
192,REAGAN,791,1,60,0,0,0,0
193,REAL,427,5,153,0,0,1,0
194,RED RIVER,2590,2,155,4,48,11,1
195,REEVES,2660,3,179,3,36,0,0
196,REFUGIO,1609,3,119,1,12,7,1
197,ROBERTS,140,0,0,0,0,1,0
198,ROBERTSON,3407,4,321,3,36,4,2
199,ROCKWALL,14172,29,3253,6,72,11,4
200,RUNNELS,2209,5,175,3,36,6,2
201,RUSK,9041,10,708,6,72,9,5
202,SABINE,1585,2,180,0,0,1,0
203,SAN AUGUSTINE,1633,4,158,1,12,1,0
204,SAN JACINTO,4052,2,137,0,0,6,0
205,SAN PATRICIO,16727,31,2091,3,36,24,3
206,SAN SABA,1077,1,31,1,12,2,3
207,SCHLEICHER,591,1,20,1,12,0,0
208,SCURRY,3154,4,353,1,12,2,1
209,SHACKELFORD,621,1,51,0,0,2,1
210,SHELBY,5407,5,288,0,0,1,1
211,SHERMAN,584,1,51,0,0,1,1
212,SMITH,39428,90,8451,7,84,58,13
213,SOMERVELL,1575,5,334,1,0,3,1
214,STARR,18934,27,1533,4,48,14,8
215,STEPHENS,1870,4,254,1,12,8,1
216,STERLING,216,0,0,1,12,2,0
217,STONEWALL,261,1,36,1,12,0,0
218,SUTTON,880,2,63,1,12,2,1
219,SWISHER,1902,2,200,0,0,4,2
220,TARRANT,371772,656,70652,83,992,444,820
221,TAYLOR,27664,56,5360,2,24,61,51
222,TERRELL,118,0,0,0,0,0,0
223,TERRY,2914,2,172,2,24,5,3
224,THROCKMORTON,289,0,0,0,0,1,1
225,TITUS,7329,8,1159,0,0,14,2
226,TOM GREEN,20567,50,4768,4,48,49,27
227,TRAVIS,176564,460,42907,42,504,242,194
228,TRINITY,2444,5,339,0,0,0,0
229,TYLER,3571,5,282,3,36,2,0
230,UPSHUR,6894,7,487,3,36,17,0
231,UPTON,675,1,20,0,0,1,0
232,UVALDE,6897,16,1183,2,24,7,1
233,VAL VERDE,12012,16,1253,2,24,17,5
234,VAN ZANDT,9383,14,1366,4,48,18,2
235,VICTORIA,19240,43,3434,25,298,29,12
236,WALKER,8837,24,2264,0,0,28,3
237,WALLER,7902,17,997,1,12,10,6
238,WARD,2288,3,198,1,12,6,0
239,WASHINGTON,5704,11,1304,3,36,11,8
240,WEBB,73020,90,6351,34,407,377,39
241,WHARTON,8789,17,1819,2,24,37,4
242,WHEELER,831,1,102,1,12,1,0
243,WICHITA,24352,49,3819,24,288,32,50
244,WILBARGER,2845,8,465,2,24,6,8
245,WILLACY,5246,8,563,3,36,7,8
246,WILLIAMSON,75897,206,23958,52,617,190,119
247,WILSON,8072,14,1126,1,12,15,6
248,WINKLER,1533,1,65,1,12,3,2
249,WISE,11609,25,1454,0,0,17,9
250,WOOD,6040,10,544,2,24,12,2
251,YOAKUM,1850,2,68,2,24,2,1
252,YOUNG,3292,10,528,2,24,5,6
253,ZAPATA,3714,4,239,0,0,10,0
254,ZAVALA,2969,10,585,0,0,4,0
255,UNKNOWN,0,0,0,0,0,0,1
256,STATE TOTAL,5083816,9342,930060,1617,19276,7305,6700
