,County,Total,African American,Anglo,Hispanic,Native American,Other
1,ANDERSON,11504,2346,6998,2036,0,124
2,ANDREWS,3837,61,1504,2229,8,35
3,ANGELINA,22648,3427,12341,6618,16,246
4,ARANSAS,5038,98,2802,1877,12,249
5,ARCHER,2202,8,1984,201,1,8
6,ARMSTRONG,537,2,484,50,0,1
7,ATASCOSA,13399,33,3906,9407,5,48
8,AUSTIN,6760,835,3724,2146,6,49
9,BAILEY,2182,24,704,1450,0,4
10,BANDERA,4277,26,3335,885,7,24
11,BASTROP,22312,2191,11435,8550,11,125
12,BAYLOR,788,31,633,116,4,4
13,BEE,7647,175,1902,5512,13,45
14,BELL,73969,19263,32630,18467,203,3406
15,BEXAR,421591,31383,98967,280938,499,9804
16,BLANCO,2215,15,1681,514,1,4
17,BORDEN,118,0,84,33,0,1
18,BOSQUE,4175,103,2775,1285,2,10
19,BOWIE,21419,6666,13392,1098,33,230
20,BRAZORIA,79132,6992,41412,27872,167,2689
21,BRAZOS,36515,5706,17334,11515,75,1885
22,BREWSTER,1990,19,691,1250,9,21
23,BRISCOE,421,4,263,152,0,2
24,BROOKS,2528,1,125,2400,0,2
25,BROWN,9391,384,6297,2648,9,53
26,BURLESON,4548,915,2434,1174,2,23
27,BURNET,9260,123,6349,2723,10,55
28,CALDWELL,10356,1053,3782,5439,3,79
29,CALHOUN,5937,121,2281,3363,4,168
30,CALLAHAN,3101,17,2774,288,5,17
31,CAMERON,132382,306,8727,122367,50,932
32,CAMP,3362,560,1659,1127,2,14
33,CARSON,1485,19,1342,120,1,3
34,CASS,6624,1761,4609,193,15,46
35,CASTRO,2649,72,740,1829,4,4
36,CHAMBERS,8654,936,6050,1577,11,80
37,CHEROKEE,12774,2074,7009,3622,7,62
38,CHILDRESS,1759,167,1031,556,1,4
39,CLAY,2377,14,2199,138,10,16
40,COCHRAN,1072,49,367,655,0,1
41,COKE,798,0,505,288,2,3
42,COLEMAN,2160,51,1612,492,0,5
43,COLLIN,205478,11750,140548,34869,671,17640
44,COLLINGSWORTH,685,36,356,281,6,6
45,COLORADO,5261,1018,2338,1876,2,27
46,COMAL,23058,355,15075,7440,17,171
47,COMANCHE,3288,4,1976,1302,1,5
48,CONCHO,525,1,321,202,0,1
49,COOKE,9833,400,7147,2165,36,85
50,CORYELL,17576,3921,9609,3317,72,657
51,COTTLE,396,67,173,152,0,4
52,CRANE,1119,28,408,680,0,3
53,CROCKETT,1048,2,297,748,0,1
54,CROSBY,2116,72,636,1402,0,6
55,CULBERSON,832,7,120,702,0,3
56,DALLAM,1890,21,1202,660,2,5
57,DALLAS,658483,133909,156282,334896,1776,31620
58,DAWSON,3875,117,1211,2534,1,12
59,DEAF SMITH,6487,67,1590,4806,4,20
60,DELTA,1136,127,959,42,2,6
61,DENTON,173876,13113,115561,35473,632,9097
62,DEWITT,4646,571,2081,1976,0,18
63,DICKENS,448,14,288,146,0,0
64,DIMMIT,3177,22,245,2886,3,21
65,DONLEY,741,76,575,88,1,1
66,DUVAL,3830,8,289,3518,4,11
67,EASTLAND,4226,73,3307,825,5,16
68,ECTOR,37839,1950,11436,23921,85,447
69,EDWARDS,462,2,161,297,0,2
70,ELLIS,40909,3978,23266,13231,87,347
71,EL PASO,224462,5965,19375,195753,396,2973
72,ERATH,8770,82,5886,2747,12,43
73,FALLS,4535,1348,1842,1332,0,13
74,FANNIN,8187,501,6649,956,27,54
75,FAYETTE,5273,526,3171,1557,3,16
76,FISHER,847,18,549,277,1,2
77,FLOYD,2337,87,716,1527,1,6
78,FOARD,336,19,236,78,1,2
79,FORT BEND,135413,31214,48197,39120,210,16672
80,FRANKLIN,2194,127,1528,525,5,9
81,FREESTONE,4704,875,2988,809,4,28
82,FRIO,4800,10,536,4225,1,28
83,GAINES,4889,66,2449,2354,3,17
84,GALVESTON,71099,12458,34913,21231,197,2300
85,GARZA,1267,66,597,595,0,9
86,GILLESPIE,4535,5,2896,1615,1,18
87,GLASSCOCK,381,3,223,155,0,0
88,GOLIAD,1670,82,652,930,0,6
89,GONZALES,5308,586,1758,2936,4,24
90,GRAY,5101,277,3488,1258,19,59
91,GRAYSON,28321,2503,20464,4587,216,551
92,GREGG,30598,7431,15542,7168,56,401
93,GRIMES,6033,1269,3214,1523,2,25
94,GUADALUPE,29951,1790,13582,14199,22,358
95,HALE,11057,538,3163,7296,17,43
96,HALL,999,88,439,467,0,5
97,HAMILTON,1792,0,1502,284,2,4
98,HANSFORD,1585,5,722,851,1,6
99,HARDEMAN,1045,44,704,285,6,6
100,HARDIN,12905,1259,11015,558,11,62
101,HARRIS,1070831,187558,265480,555057,1792,60944
102,HARRISON,15271,3822,9019,2327,8,95
103,HARTLEY,1208,5,1053,146,1,3
104,HASKELL,1329,42,793,488,0,6
105,HAYS,34046,1220,17105,15337,54,330
106,HEMPHILL,807,1,560,243,0,3
107,HENDERSON,18783,1806,13515,3316,30,116
108,HIDALGO,252901,365,11423,238992,143,1978
109,HILL,9088,872,5681,2504,3,28
110,HOCKLEY,6615,236,2916,3439,5,19
111,HOOD,10261,32,8226,1896,32,75
112,HOPKINS,8683,806,6168,1634,15,60
113,HOUSTON,4929,1636,2619,649,3,22
114,HOWARD,7837,348,3691,3729,3,66
115,HUDSPETH,1001,0,151,845,5,0
116,HUNT,21521,2834,13763,4544,78,302
117,HUTCHINSON,5889,227,4026,1559,37,40
118,IRION,295,1,197,97,0,0
119,JACK,1958,19,1675,240,17,7
120,JACKSON,3745,300,2063,1344,4,34
121,JASPER,9023,2039,6323,583,11,67
122,JEFF DAVIS,385,6,212,166,0,1
123,JEFFERSON,63079,24482,21735,13834,109,2919
124,JIM HOGG,1509,3,119,1384,1,2
125,JIM WELLS,12305,52,2010,10176,4,63
126,JOHNSON,43440,1288,30594,10759,172,627
127,JONES,4545,282,2784,1425,5,49
128,KARNES,3280,51,1023,2191,0,15
129,KAUFMAN,26189,2967,16433,6569,34,186
130,KENDALL,7169,12,5199,1923,3,32
131,KENEDY,115,0,22,92,0,1
132,KENT,118,0,111,7,0,0
133,KERR,9542,175,5750,3557,5,55
134,KIMBLE,992,0,648,335,0,9
135,KING,74,0,66,8,0,0
136,KINNEY,787,0,211,575,0,1
137,KLEBERG,8875,379,1799,6551,16,130
138,KNOX,987,103,506,376,0,2
139,LAMAR,12565,2310,9284,783,63,125
140,LAMB,4296,203,1396,2678,3,16
141,LAMPASAS,5535,214,3939,1348,2,32
142,LASALLE,1875,14,175,1680,0,6
143,LAVACA,4316,428,2841,1030,1,16
144,LEE,4333,520,2347,1434,4,28
145,LEON,3515,422,2521,555,2,15
146,LIBERTY,21344,2362,14244,4575,24,139
147,LIMESTONE,5618,1201,2978,1417,5,17
148,LIPSCOMB,692,2,399,282,4,5
149,LIVE OAK,2381,7,1122,1250,0,2
150,LLANO,3234,12,2788,412,8,14
151,LOVING,3,0,1,2,0,0
152,LUBBOCK,63936,6349,29108,27108,114,1257
153,LYNN,1737,55,697,974,4,7
154,MADISON,2920,562,1720,632,1,5
155,MARION,2238,754,1383,71,7,23
156,MARTIN,1576,29,758,788,0,1
157,MASON,744,1,516,224,1,2
158,MATAGORDA,10609,1437,3897,4859,29,387
159,MAVERICK,18632,13,314,17959,213,133
160,MCCULLOCH,1980,29,1176,772,0,3
161,MCLENNAN,57387,10977,26177,19527,75,631
162,MCMULLEN,126,4,68,54,0,0
163,MEDINA,11742,72,4794,6798,9,69
164,MENARD,505,3,312,187,0,3
165,MIDLAND,34237,2692,14746,16172,65,562
166,MILAM,6854,983,3562,2279,3,27
167,MILLS,1114,18,855,240,0,1
168,MITCHELL,1759,103,829,821,0,6
169,MONTAGUE,4444,8,3855,532,22,27
170,MONTGOMERY,114616,4775,81136,26729,211,1765
171,MOORE,6486,21,2545,3860,8,52
172,MORRIS,3049,861,1955,210,6,17
173,MOTLEY,260,6,202,50,0,2
174,NACOGDOCHES,14978,3006,7893,3875,18,186
175,NAVARRO,13547,2308,6603,4491,18,127
176,NEWTON,3407,938,2334,102,9,24
177,NOLAN,4026,232,2161,1620,0,13
178,NUECES,87371,4106,20316,61402,96,1451
179,OCHILTREE,2931,5,1424,1478,9,15
180,OLDHAM,497,12,419,62,1,3
