,County,Total,African American,Anglo,Hispanic,Native American,Other
181,ORANGE,20806,2521,16432,1366,83,404
182,PALO PINTO,6965,231,4736,1922,13,63
183,PANOLA,5361,1265,3719,344,6,27
184,PARKER,27526,303,23186,3794,71,172
185,PARMER,3044,16,1067,1955,0,6
186,PECOS,4375,40,1098,3223,0,14
187,POLK,10250,1316,6981,1648,127,178
188,POTTER,35029,3715,14197,15990,94,1033
189,PRESIDIO,2677,3,180,2494,0,0
190,RAINS,2242,49,1966,204,4,19
191,RANDALL,25338,659,18851,5253,86,489
192,REAGAN,1001,25,298,676,0,2
193,REAL,591,4,409,175,0,3
194,RED RIVER,3364,686,2264,404,3,7
195,REEVES,3361,48,338,2966,0,9
196,REFUGIO,2034,143,676,1196,4,15
197,ROBERTS,175,1,166,8,0,0
198,ROBERTSON,4456,1311,2055,1065,5,20
199,ROCKWALL,20102,753,14968,4106,38,237
200,RUNNELS,2847,32,1493,1303,2,17
201,RUSK,11716,2299,7010,2338,9,60
202,SABINE,2050,251,1705,87,2,5
203,SAN AUGUSTINE,2079,856,1091,126,0,6
204,SAN JACINTO,5484,921,4157,359,6,41
205,SAN PATRICIO,21629,702,7433,13274,14,206
206,SAN SABA,1386,3,903,476,2,2
207,SCHLEICHER,740,4,266,466,0,4
208,SCURRY,4025,156,2158,1699,1,11
209,SHACKELFORD,800,3,704,93,0,0
210,SHELBY,6937,1603,3750,1560,4,20
211,SHERMAN,809,3,509,291,2,4
212,SMITH,51094,10439,25610,14252,105,688
213,SOMERVELL,2124,11,1567,535,2,9
214,STARR,23950,0,277,23609,11,53
215,STEPHENS,2396,41,1617,736,1,1
216,STERLING,296,1,167,128,0,0
217,STONEWALL,338,6,264,68,0,0
218,SUTTON,1135,2,412,719,0,2
219,SWISHER,2354,130,1069,1153,2,0
220,TARRANT,474768,73053,204266,169725,1511,26213
221,TAYLOR,33995,3214,19955,9781,66,979
222,TERRELL,178,0,79,94,4,1
223,TERRY,3623,143,1269,2191,1,19
224,THROCKMORTON,383,0,316,66,0,1
225,TITUS,9387,924,3703,4673,19,68
226,TOM GREEN,25926,1253,11944,12320,44,365
227,TRAVIS,218088,23360,81335,101250,415,11728
228,TRINITY,3115,602,2149,339,4,21
229,TYLER,4714,619,3942,130,5,18
230,UPSHUR,9084,971,7061,964,15,73
231,UPTON,871,5,330,534,2,0
232,UVALDE,8709,19,1616,7024,4,46
233,VAL VERDE,15177,156,2217,12670,15,119
234,VAN ZANDT,12527,398,10347,1690,12,80
235,VICTORIA,24213,1647,8666,13631,17,252
236,WALKER,11422,2877,6016,2349,7,173
237,WALLER,10416,2242,4419,3692,8,55
238,WARD,2928,130,1273,1506,1,18
239,WASHINGTON,7365,1760,4062,1400,9,134
240,WEBB,89801,66,2561,86544,77,553
241,WHARTON,11437,1884,4276,5219,3,55
242,WHEELER,1095,56,761,264,6,8
243,WICHITA,31130,4259,19000,6796,121,954
244,WILBARGER,3645,346,2059,1192,12,36
245,WILLACY,6641,20,362,6247,0,12
246,WILLIAMSON,102401,6900,64067,27988,169,3277
247,WILSON,11127,74,5993,5000,6,54
248,WINKLER,1962,32,758,1167,0,5
249,WISE,15671,102,12135,3316,24,94
250,WOOD,7941,372,6388,1141,9,31
251,YOAKUM,2299,17,841,1439,2,0
252,YOUNG,4257,59,3236,938,6,18
253,ZAPATA,4807,5,143,4653,0,6
254,ZAVALA,3867,12,188,3665,0,2
255,STATE TOTAL,6510210,769134,2432267,3066711,12749,229349
