,County,Region,Population Age 18-64 With a Disablilty,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages*
205,SAN PATRICIO,011,5344,9940,400,323,170,58
206,SAN SABA,007,480,1368,22,13,10,5
207,SCHLEICHER,009,213,608,11,11,8,1
208,SCURRY,002,1211,2634,93,68,51,25
209,SHACKELFORD,002,245,723,37,28,21,8
210,SHELBY,005,2034,4629,150,110,86,50
211,SHERMAN,001,300,490,4,4,3,2
212,SMITH,004,14656,34402,1207,830,534,324
213,SOMERVELL,003,517,1628,24,18,14,9
214,STARR,011,6550,7678,202,155,69,35
215,STEPHENS,002,698,1941,122,98,76,30
216,STERLING,009,53,246,2,1,0,0
217,STONEWALL,002,124,398,7,6,3,4
218,SUTTON,009,189,748,28,18,14,8
219,SWISHER,001,673,1424,39,32,22,14
220,TARRANT,003,109922,196373,6499,4488,2350,728
221,TAYLOR,002,12168,19144,1616,1141,834,356
222,TERRELL,009,41,276,3,2,2,0
223,TERRY,001,1284,1969,196,180,145,74
224,THROCKMORTON,002,89,452,12,7,7,5
225,TITUS,004,3023,4441,95,69,44,19
226,TOM GREEN,009,7870,17186,1269,794,555,305
227,TRAVIS,007,59231,95354,4359,2521,983,210
228,TRINITY,005,2197,3952,134,110,83,68
229,TYLER,005,2500,4708,125,82,50,19
230,UPSHUR,004,4392,7528,217,178,137,66
231,UPTON,009,229,615,9,7,3,2
232,UVALDE,008,2028,4533,129,91,23,10
233,VAL VERDE,008,2618,7080,176,128,58,27
234,VAN ZANDT,004,4884,11369,339,236,134,67
235,VICTORIA,008,6891,13501,432,295,157,46
236,WALKER,006,4319,8291,165,133,66,25
237,WALLER,006,3623,6241,138,109,47,36
238,WARD,009,924,1783,79,48,35,14
239,WASHINGTON,007,2437,7188,133,84,31,10
240,WEBB,011,17230,24222,888,610,268,104
241,WHARTON,006,2684,6661,147,115,73,26
242,WHEELER,001,405,1084,10,8,7,5
243,WICHITA,002,9635,18484,1855,1166,905,355
244,WILBARGER,002,1588,2374,140,88,65,27
245,WILLACY,011,2332,3056,142,110,79,54
246,WILLIAMSON,007,26908,57700,1009,682,324,88
247,WILSON,008,3384,7525,132,96,44,13
248,WINKLER,009,605,1082,34,22,14,2
249,WISE,003,5645,9498,229,149,101,11
250,WOOD,004,4151,12635,269,210,136,88
251,YOAKUM,001,604,1085,33,29,19,3
252,YOUNG,002,1572,3718,247,211,154,34
253,ZAPATA,011,1269,1746,59,38,19,8
254,ZAVALA,008,1289,1683,66,45,15,4
255,UNKNOWN,,0,0,74,35,25,5
256,STATEWIDE,,1703522,3225614,110277,78180,43759,16566
