,County,Region,Child Population,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Substitute Care,Children in Substitute Care - Relative*,Children in Substitute Care - Non Relative**,Children in Foster Care***
177,NOLAN,002,3880,42,10.8,15,14,28,27
178,NUECES,011,88747,682,7.7,325,279,385,499
179,OCHILTREE,001,3582,12,3.4,6,2,11,11
180,OLDHAM,001,507,1,2.0,0,0,1,1
181,ORANGE,005,20815,286,13.7,109,120,160,208
182,PALO PINTO,003,7188,241,33.5,75,112,124,171
183,PANOLA,004,5953,52,8.7,26,30,15,23
184,PARKER,003,32833,309,9.4,84,158,132,196
185,PARMER,001,3359,12,3.6,9,8,4,3
186,PECOS,009,4024,20,5.0,4,11,10,14
187,POLK,005,9762,109,11.2,24,48,43,63
188,POTTER,001,35308,434,12.3,116,115,306,361
189,PRESIDIO,010,2231,8,3.6,3,2,4,4
190,RAINS,004,2360,20,8.5,3,8,14,15
191,RANDALL,001,32422,250,7.7,70,104,140,175
192,REAGAN,009,987,2,2.0,0,2,0,2
193,REAL,008,590,18,30.5,9,8,10,12
194,RED RIVER,004,2721,38,14.0,17,19,18,21
195,REEVES,009,3126,27,8.6,15,15,8,11
196,REFUGIO,011,1713,15,8.8,6,11,4,7
197,ROBERTS,001,249,0,0.0,0,0,0,0
198,ROBERTSON,007,4269,22,5.2,4,9,11,11
199,ROCKWALL,003,26263,42,1.6,27,29,10,26
200,RUNNELS,002,2595,51,19.7,22,27,23,38
201,RUSK,004,13131,188,14.3,99,132,45,95
202,SABINE,005,2003,9,4.5,4,5,4,4
203,SAN AUGUSTINE,005,1823,13,7.1,3,5,6,11
204,SAN JACINTO,005,6494,54,8.3,29,13,40,46
205,SAN PATRICIO,011,18202,163,9.0,56,90,72,100
206,SAN SABA,007,1180,50,42.4,13,31,17,18
207,SCHLEICHER,009,1119,13,11.6,4,5,4,4
208,SCURRY,002,4437,37,8.3,24,15,21,23
209,SHACKELFORD,002,815,7,8.6,6,4,3,5
210,SHELBY,005,6943,99,14.3,43,60,35,59
211,SHERMAN,001,857,3,3.5,2,0,3,3
212,SMITH,004,56308,537,9.5,258,281,250,327
213,SOMERVELL,003,2190,15,6.8,6,4,11,12
214,STARR,011,20828,86,4.1,24,25,53,65
215,STEPHENS,002,2280,16,7.0,1,6,10,14
216,STERLING,009,278,7,25.2,1,1,0,0
217,STONEWALL,002,316,5,15.8,0,0,5,5
218,SUTTON,009,1114,6,5.4,4,4,0,0
219,SWISHER,001,2013,24,11.9,0,15,9,10
220,TARRANT,003,529252,2009,3.8,652,585,1298,1610
221,TAYLOR,002,33528,513,15.3,258,199,282,388
222,TERRELL,009,213,0,0.0,0,0,0,0
223,TERRY,001,3384,42,12.4,2,26,13,18
224,THROCKMORTON,002,322,0,0.0,0,0,0,0
225,TITUS,004,10093,73,7.2,43,40,32,43
226,TOM GREEN,009,27329,540,19.8,144,281,241,317
227,TRAVIS,007,277652,1733,6.2,745,986,692,1053
228,TRINITY,005,2976,49,16.5,32,26,23,28
229,TYLER,005,4113,44,10.7,26,25,18,25
230,UPSHUR,004,9926,89,9.0,45,45,41,63
231,UPTON,009,972,7,7.2,2,5,2,2
232,UVALDE,008,7796,87,11.2,38,51,35,49
233,VAL VERDE,008,15158,38,2.5,4,17,18,25
234,VAN ZANDT,004,12538,199,15.9,70,93,101,133
235,VICTORIA,008,23457,220,9.4,42,88,125,148
236,WALKER,006,12035,65,5.4,18,36,26,34
237,WALLER,006,12249,70,5.7,21,40,23,37
238,WARD,009,2879,24,8.3,7,11,12,15
239,WASHINGTON,007,7718,63,8.2,22,37,25,40
240,WEBB,011,93646,641,6.8,191,209,411,497
241,WHARTON,006,10951,29,2.6,10,14,16,21
242,WHEELER,001,1402,6,4.3,0,5,1,3
243,WICHITA,002,31225,294,9.4,89,109,166,239
244,WILBARGER,002,3562,27,7.6,13,3,25,22
245,WILLACY,011,6311,54,8.6,17,34,20,31
246,WILLIAMSON,007,140333,433,3.1,173,215,217,270
247,WILSON,008,11867,102,8.6,34,73,28,52
248,WINKLER,009,2134,14,6.6,7,12,1,6
249,WISE,003,16466,152,9.2,66,63,77,105
250,WOOD,004,8734,136,15.6,30,61,66,86
251,YOAKUM,001,2623,11,4.2,2,7,5,8
252,YOUNG,002,4587,34,7.4,10,19,13,20
253,ZAPATA,011,5327,42,7.9,11,22,20,27
254,ZAVALA,008,3765,54,14.3,23,39,16,16
255,STATEWIDE,,7311923,47348,6.5,17151,22506,23548,31197
