,County,Region,Total,Hispanic,Anglo,African American,Asian,Other*,Native American
118,IRION,009,324,117,199,1,0,5,2
119,JACK,002,1926,462,1418,19,2,25,0
120,JACKSON,008,3555,1501,1739,256,9,43,7
121,JASPER,005,8747,814,5883,1642,49,302,57
122,JEFF DAVIS,010,403,202,193,1,0,7,0
123,JEFFERSON,005,61839,17097,18460,22135,2407,1595,145
124,JIM HOGG,011,1538,1463,59,4,0,2,10
125,JIM WELLS,011,12255,10489,1603,47,36,50,30
126,JOHNSON,003,43808,12790,28085,1111,198,1428,196
127,JONES,002,3786,1241,2245,173,16,103,8
128,KARNES,008,2924,1905,908,63,1,32,15
129,KAUFMAN,003,33503,9351,19470,3288,270,956,168
130,KENDALL,008,8482,2700,5529,30,56,146,21
131,KENEDY,011,93,73,17,0,0,1,2
132,KENT,002,168,47,118,1,0,2,0
133,KERR,008,10372,4483,5432,148,74,219,16
134,KIMBLE,009,902,360,533,3,1,5,0
135,KING,001,56,7,49,0,0,0,0
136,KINNEY,008,686,485,187,4,0,8,2
137,KLEBERG,011,8693,6881,1310,254,141,99,8
138,KNOX,002,946,408,456,60,0,18,4
139,LAMAR,004,12221,1738,7739,1878,85,624,157
140,LAMB,001,3997,2711,1057,169,0,58,2
141,LAMPASAS,007,4989,1437,3126,100,37,253,36
142,LASALLE,008,1600,1450,138,4,1,7,0
143,LAVACA,008,4246,1255,2569,321,17,81,3
144,LEE,007,4088,1516,2093,324,14,135,6
145,LEON,007,3913,1021,2592,215,21,56,8
146,LIBERTY,006,20328,5952,11953,1756,79,533,55
147,LIMESTONE,007,5699,1902,2598,993,17,179,10
148,LIPSCOMB,001,872,402,442,4,4,13,7
149,LIVE OAK,011,2262,1151,1063,15,7,19,7
150,LLANO,007,3139,589,2410,28,20,74,18
151,LOVING,009,6,2,4,0,0,0,0
152,LUBBOCK,001,74078,33900,30840,6038,1365,1670,265
153,LYNN,001,1597,948,598,21,1,21,8
154,MADISON,007,3082,826,1608,512,32,97,7
155,MARION,004,1974,132,1222,505,15,89,11
156,MARTIN,009,1445,767,629,30,0,16,3
157,MASON,009,799,247,540,4,1,4,3
158,MATAGORDA,006,9654,5295,3044,964,189,147,15
159,MAVERICK,008,18896,18160,421,18,26,34,237
160,MCCULLOCH,009,1980,857,1067,29,9,17,1
161,MCLENNAN,007,61339,23020,26296,9498,540,1842,143
162,MCMULLEN,011,144,70,72,2,0,0,0
163,MEDINA,008,12329,7591,4418,69,32,178,41
164,MENARD,009,449,225,224,0,0,-1,1
165,MIDLAND,009,39757,21117,14686,2474,505,824,151
166,MILAM,007,6357,2481,3108,621,17,121,9
167,MILLS,007,1187,279,873,17,0,18,0
168,MITCHELL,002,1830,869,857,78,4,18,4
169,MONTAGUE,002,4614,902,3567,16,10,87,32
170,MONTGOMERY,006,141316,46520,80692,6477,3007,4111,509
171,MOORE,001,7453,4762,1749,67,729,118,28
172,MORRIS,004,3072,522,1716,681,9,132,12
173,MOTLEY,001,241,63,175,2,0,1,0
174,NACOGDOCHES,005,17375,4981,8379,3264,237,450,64
175,NAVARRO,003,13513,5546,5681,1655,73,527,31
176,NEWTON,005,3080,149,2153,643,14,99,22
177,NOLAN,002,3880,1804,1768,205,11,86,6
178,NUECES,011,88747,64475,18400,2793,1328,1542,209
179,OCHILTREE,001,3582,2434,1095,8,5,24,16
180,OLDHAM,001,507,68,411,22,0,2,4
181,ORANGE,005,20815,2189,15701,1982,268,587,88
182,PALO PINTO,003,7188,2232,4585,180,22,142,27
183,PANOLA,004,5953,998,3814,951,23,146,21
184,PARKER,003,32833,6238,25028,397,180,781,209
185,PARMER,001,3359,2557,765,19,6,10,2
186,PECOS,009,4024,3332,616,20,17,27,12
187,POLK,005,9762,2090,6106,993,50,263,260
188,POTTER,001,35308,17764,11327,3193,1657,1233,134
189,PRESIDIO,010,2231,1969,204,9,30,16,3
190,RAINS,004,2360,387,1846,44,13,42,28
191,RANDALL,001,32422,9048,20820,935,492,969,158
192,REAGAN,009,987,764,202,9,0,12,0
193,REAL,008,590,243,329,4,1,8,5
194,RED RIVER,004,2721,376,1728,502,4,91,20
195,REEVES,009,3126,2741,288,43,35,15,4
196,REFUGIO,011,1713,1047,540,96,3,27,0
197,ROBERTS,001,249,30,218,0,0,1,0
198,ROBERTSON,007,4269,1276,1927,954,29,72,11
199,ROCKWALL,003,26263,5885,17171,1598,621,866,122
200,RUNNELS,002,2595,1268,1252,40,3,23,9
