,County,Region,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed
110,HOCKLEY,001,6337,73,11.5,194,43,22.2%
111,HOOD,003,11195,277,24.7,544,165,30.3%
112,HOPKINS,004,9231,123,13.3,347,77,22.2%
113,HOUSTON,005,4846,120,24.8,177,68,38.4%
114,HOWARD,009,8039,124,15.4,297,75,25.3%
115,HUDSPETH,010,947,2,2.1,11,2,18.2%
116,HUNT,003,22788,357,15.7,767,211,27.5%
117,HUTCHINSON,001,5748,107,18.6,179,62,34.6%
118,IRION,009,324,0,0.0,5,0,0.0%
119,JACK,002,1926,54,28.0,79,32,40.5%
120,JACKSON,008,3555,25,7.0,79,16,20.3%
121,JASPER,005,8747,120,13.7,292,78,26.7%
122,JEFF DAVIS,010,403,1,2.5,6,1,16.7%
123,JEFFERSON,005,61839,668,10.8,2062,441,21.4%
124,JIM HOGG,011,1538,24,15.6,54,15,27.8%
125,JIM WELLS,011,12255,162,13.2,460,104,22.6%
126,JOHNSON,003,43808,693,15.8,1405,406,28.9%
127,JONES,002,3786,66,17.4,162,42,25.9%
128,KARNES,008,2924,53,18.1,112,22,19.6%
129,KAUFMAN,003,33503,289,8.6,691,179,25.9%
130,KENDALL,008,8482,43,5.1,164,32,19.5%
131,KENEDY,011,93,2,21.5,3,2,66.7%
132,KENT,002,168,0,0.0,5,0,0.0%
133,KERR,008,10372,151,14.6,342,103,30.1%
134,KIMBLE,009,902,13,14.4,34,9,26.5%
135,KING,001,56,0,0.0,0,0,0.0%
136,KINNEY,008,686,6,8.7,15,3,20.0%
137,KLEBERG,011,8693,96,11.0,269,50,18.6%
138,KNOX,002,946,9,9.5,24,5,20.8%
139,LAMAR,004,12221,242,19.8,521,148,28.4%
140,LAMB,001,3997,52,13.0,134,29,21.6%
141,LAMPASAS,007,4989,73,14.6,215,55,25.6%
142,LA SALLE,008,1600,27,16.9,57,13,22.8%
143,LAVACA,008,4246,27,6.4,100,18,18.0%
144,LEE,007,4088,24,5.9,114,17,14.9%
145,LEON,007,3913,22,5.6,126,15,11.9%
146,LIBERTY,006,20328,302,14.9,673,184,27.3%
147,LIMESTONE,007,5699,61,10.7,207,40,19.3%
148,LIPSCOMB,001,872,2,2.3,11,1,9.1%
149,LIVE OAK,011,2262,60,26.5,89,32,36.0%
150,LLANO,007,3139,82,26.1,172,50,29.1%
151,LOVING,009,6,0,0.0,0,0,0.0%
152,LUBBOCK,001,74078,1138,15.4,2438,611,25.1%
153,LYNN,001,1597,6,3.8,41,6,14.6%
154,MADISON,007,3082,28,9.1,112,21,18.8%
155,MARION,004,1974,51,25.8,107,28,26.2%
156,MARTIN,009,1445,9,6.2,27,7,25.9%
157,MASON,009,799,10,12.5,25,7,28.0%
158,MATAGORDA,006,9654,65,6.7,272,43,15.8%
159,MAVERICK,008,18896,30,1.6,224,20,8.9%
160,MCCULLOCH,009,1980,37,18.7,101,26,25.7%
161,MCLENNAN,007,61339,1053,17.2,2354,654,27.8%
162,MCMULLEN,011,144,1,6.9,10,1,10.0%
163,MEDINA,008,12329,77,6.2,286,54,18.9%
164,MENARD,009,449,6,13.4,18,4,22.2%
165,MIDLAND,009,39757,325,8.2,978,219,22.4%
166,MILAM,007,6357,122,19.2,202,67,33.2%
167,MILLS,007,1187,15,12.6,36,8,22.2%
168,MITCHELL,002,1830,29,15.8,69,15,21.7%
169,MONTAGUE,002,4614,158,34.2,199,86,43.2%
170,MONTGOMERY,006,141316,503,3.6,2729,340,12.5%
171,MOORE,001,7453,65,8.7,177,28,15.8%
172,MORRIS,004,3072,27,8.8,114,19,16.7%
173,MOTLEY,001,241,1,4.1,6,1,16.7%
174,NACOGDOCHES,005,17375,157,9.0,404,104,25.7%
175,NAVARRO,003,13513,95,7.0,410,63,15.4%
176,NEWTON,005,3080,23,7.5,78,16,20.5%
177,NOLAN,002,3880,86,22.2,194,41,21.1%
178,NUECES,011,88747,1316,14.8,3505,828,23.6%
179,OCHILTREE,001,3582,29,8.1,59,19,32.2%
180,OLDHAM,001,507,2,3.9,7,1,14.3%
181,ORANGE,005,20815,280,13.5,875,178,20.3%
182,PALO PINTO,003,7188,239,33.2,367,141,38.4%
183,PANOLA,004,5953,100,16.8,176,66,37.5%
184,PARKER,003,32833,442,13.5,927,268,28.9%
185,PARMER,001,3359,18,5.4,36,9,25.0%
186,PECOS,009,4024,21,5.2,75,14,18.7%
187,POLK,005,9762,109,11.2,437,70,16.0%
188,POTTER,001,35308,647,18.3,1376,370,26.9%
189,PRESIDIO,010,2231,18,8.1,34,12,35.3%
190,RAINS,004,2360,33,14.0,87,22,25.3%
191,RANDALL,001,32422,295,9.1,661,176,26.6%
192,REAGAN,009,987,7,7.1,21,3,14.3%
193,REAL,008,590,13,22.0,30,7,23.3%
194,RED RIVER,004,2721,41,15.1,88,23,26.1%
195,REEVES,009,3126,30,9.6,85,18,21.2%
196,REFUGIO,011,1713,25,14.6,52,18,34.6%
197,ROBERTS,001,249,1,4.0,2,1,50.0%
198,ROBERTSON,007,4269,36,8.4,113,24,21.2%
199,ROCKWALL,003,26263,129,4.9,348,79,22.7%
200,RUNNELS,002,2595,45,17.3,82,20,24.4%
201,RUSK,004,13131,229,17.4,405,127,31.4%
202,SABINE,005,2003,34,17.0,64,16,25.0%
203,SAN AUGUSTINE,005,1823,20,11.0,52,15,28.8%
204,SAN JACINTO,005,6494,99,15.2,257,55,21.4%
205,SAN PATRICIO,011,18202,296,16.3,700,177,25.3%
206,SAN SABA,007,1180,38,32.2,57,20,35.1%
207,SCHLEICHER,009,1119,10,8.9,12,5,41.7%
208,SCURRY,002,4437,71,16.0,168,41,24.4%
209,SHACKELFORD,002,815,7,8.6,24,7,29.2%
210,SHELBY,005,6943,90,13.0,209,54,25.8%
211,SHERMAN,001,857,6,7.0,13,5,38.5%
212,SMITH,004,56308,593,10.5,1434,330,23.0%
213,SOMERVELL,003,2190,19,8.7,62,13,21.0%
214,STARR,011,20828,123,5.9,402,69,17.2%
215,STEPHENS,002,2280,28,12.3,85,15,17.6%
216,STERLING,009,278,17,61.2,14,5,35.7%
217,STONEWALL,002,316,1,3.2,5,1,20.0%
218,SUTTON,009,1114,4,3.6,15,1,6.7%
219,SWISHER,001,2013,32,15.9,43,14,32.6%
220,TARRANT,003,529252,6213,11.7,14122,3840,27.2%
