,County,Region,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location
245,WILLACY,011,282,256,1
246,WILLIAMSON,007,4052,2937,28
247,WILSON,008,384,271,3
248,WINKLER,009,111,80,0
249,WISE,003,727,642,7
250,WOOD,004,410,338,4
251,YOAKUM,001,72,55,0
252,YOUNG,002,268,238,4
253,ZAPATA,011,184,162,0
254,ZAVALA,008,167,141,3
255,UNKNOWN,,32,1,0
256,OUT OF STATE,,105,71,0
257,SWI,,0,0,323
258,STATE TOTAL,,274448,228112,2591
