,County,Region,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity
115,HUDSPETH,010,970,0,1,0,0,0,1,4
116,HUNT,003,22492,0,40,1,0,1,42,192
117,HUTCHINSON,001,5775,0,9,0,0,0,9,32
118,IRION,009,325,0,1,0,0,0,1,0
119,JACK,002,1958,0,3,0,0,0,3,7
120,JACKSON,008,3562,0,8,0,0,0,8,33
121,JASPER,005,8808,0,15,0,0,0,15,55
122,JEFF DAVIS,010,376,0,0,0,0,1,1,84
123,JEFFERSON,005,61099,6,105,4,0,0,115,473
124,JIM HOGG,011,1549,0,0,0,0,0,0,0
125,JIM WELLS,011,12031,0,9,0,0,0,9,27
126,JOHNSON,003,42916,0,68,0,0,0,68,216
127,JONES,002,3753,0,9,0,0,0,9,28
128,KARNES,008,2927,0,1,0,0,0,1,5
129,KAUFMAN,003,32292,0,68,1,0,0,69,239
130,KENDALL,008,8429,1,13,1,0,1,16,129
131,KENEDY,011,97,0,0,0,0,0,0,0
132,KENT,002,172,0,1,0,0,0,1,12
133,KERR,008,10231,3,25,3,0,1,32,287
134,KIMBLE,009,922,0,2,0,0,0,2,6
135,KING,001,60,0,0,0,0,0,0,0
136,KINNEY,008,690,0,2,0,0,0,2,0
137,KLEBERG,011,8460,0,8,0,0,0,8,32
138,KNOX,002,936,0,1,0,0,0,1,5
139,LAMAR,004,12203,0,10,0,0,0,10,28
140,LAMB,001,4013,0,5,0,0,0,5,11
141,LAMPASAS,007,4909,0,17,1,0,0,18,114
142,LA SALLE,008,1525,0,0,0,0,0,0,0
143,LAVACA,008,4310,0,7,0,0,0,7,21
144,LEE,007,4122,0,16,0,0,0,16,61
145,LEON,007,3803,0,7,0,0,0,7,18
146,LIBERTY,006,20022,0,17,0,0,0,17,47
147,LIMESTONE,007,5589,0,10,0,0,0,10,27
148,LIPSCOMB,001,893,0,1,0,0,0,1,2
149,LIVE OAK,011,2245,0,6,0,0,0,6,16
150,LLANO,007,3146,0,1,0,0,0,1,0
151,LOVING,009,7,0,0,0,0,0,0,0
152,LUBBOCK,001,71582,12,193,4,0,1,210,738
