,County,Region,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***
1,ANDERSON,004,600,408,359,76,524,15
2,ANDREWS,009,208,113,94,69,139,11
3,ANGELINA,005,1128,809,695,103,1025,30
4,ARANSAS,011,340,220,182,110,230,31
5,ARCHER,002,62,53,43,9,53,5
6,ARMSTRONG,001,24,21,12,8,16,5
7,ATASCOSA,008,619,335,315,228,391,92
8,AUSTIN,006,219,145,122,55,164,5
9,BAILEY,001,72,52,47,20,52,11
10,BANDERA,008,190,124,112,51,139,14
11,BASTROP,007,888,609,520,170,718,86
12,BAYLOR,002,46,29,20,14,32,0
13,BEE,011,481,297,233,180,301,27
14,BELL,007,5043,3858,3647,854,4189,454
15,BEXAR,008,21984,15499,13785,6244,15740,1217
16,BLANCO,007,102,82,68,7,95,2
17,BORDEN,009,8,2,2,6,2,5
18,BOSQUE,007,180,126,119,26,154,8
19,BOWIE,004,1155,861,618,182,973,92
20,BRAZORIA,006,2233,1656,1325,435,1798,58
21,BRAZOS,007,1533,1082,924,197,1336,46
22,BREWSTER,010,57,36,28,14,43,0
23,BRISCOE,001,11,11,7,0,11,0
24,BROOKS,011,211,169,157,47,164,17
25,BROWN,002,500,357,339,101,399,32
26,BURLESON,007,151,125,116,14,137,15
27,BURNET,007,434,307,277,97,337,56
28,CALDWELL,007,461,329,307,75,386,46
29,CALHOUN,008,239,164,145,53,186,5
30,CALLAHAN,002,153,122,106,18,135,1
31,CAMERON,011,5250,3484,2964,1634,3616,214
32,CAMP,004,199,129,111,62,137,25
33,CARSON,001,63,55,47,5,58,1
34,CASS,004,402,305,251,66,336,34
35,CASTRO,001,97,44,36,37,60,3
36,CHAMBERS,006,279,219,187,59,220,17
37,CHEROKEE,004,593,437,385,83,510,37
38,CHILDRESS,001,87,59,40,23,64,2
39,CLAY,002,83,64,47,9,74,6
40,COCHRAN,001,42,18,16,16,26,4
41,COKE,009,51,40,33,17,34,5
42,COLEMAN,002,161,80,73,66,95,13
43,COLLIN,003,4410,3127,2167,687,3723,165
44,COLLINGSWORTH,001,33,20,14,2,31,1
45,COLORADO,006,193,150,122,37,156,11
46,COMAL,008,1080,671,585,307,773,91
47,COMANCHE,002,150,121,107,31,119,7
48,CONCHO,009,45,40,34,0,45,0
49,COOKE,003,645,428,345,138,507,63
50,CORYELL,007,1225,912,863,219,1006,96
51,COTTLE,002,20,14,10,0,20,0
52,CRANE,009,23,18,18,4,19,5
53,CROCKETT,009,31,25,23,3,28,0
54,CROSBY,001,113,70,59,21,92,3
55,CULBERSON,010,14,10,8,2,12,0
56,DALLAM,001,112,82,77,12,100,0
57,DALLAS,003,22179,16124,12488,3975,18204,1135
58,DAWSON,009,241,143,112,80,161,31
59,DEAF SMITH,001,271,188,183,42,229,9
60,DELTA,004,63,47,47,12,51,2
61,DENTON,003,4469,3470,2625,573,3896,210
62,DE WITT,008,290,243,219,40,250,21
63,DICKENS,001,51,39,31,9,42,0
64,DIMMIT,008,154,123,111,32,122,13
65,DONLEY,001,43,31,21,7,36,0
66,DUVAL,011,188,122,115,53,135,8
67,EASTLAND,002,208,157,129,40,168,8
68,ECTOR,009,2113,1378,1169,407,1706,135
69,EDWARDS,008,14,7,7,5,9,0
70,ELLIS,003,1369,1065,913,186,1183,39
71,EL PASO,010,7131,4724,4022,1577,5554,176
72,ERATH,003,357,206,176,102,255,21
73,FALLS,007,138,107,100,17,121,2
74,FANNIN,003,397,298,223,65,332,10
75,FAYETTE,007,200,154,137,19,181,20
76,FISHER,002,47,35,32,3,44,0
77,FLOYD,001,111,75,63,22,89,17
78,FOARD,002,15,6,4,6,9,2
