,County,Region,Paid Foster  Care Clients,Foster Care  Expenditures*
162,MCMULLEN,011,0,$0
163,MEDINA,008,127,"$1,507,291"
164,MENARD,009,6,"$106,881"
165,MIDLAND,009,135,"$2,105,286"
166,MILAM,007,51,"$705,725"
167,MILLS,007,12,"$150,799"
168,MITCHELL,002,10,"$150,075"
169,MONTAGUE,002,61,"$676,339"
170,MONTGOMERY,006,474,"$7,098,112"
171,MOORE,001,16,"$343,662"
172,MORRIS,004,13,"$92,947"
173,MOTLEY,001,1,"$42,588"
174,NACOGDOCHES,005,161,"$1,737,070"
175,NAVARRO,003,87,"$1,028,904"
176,NEWTON,005,25,"$458,840"
177,NOLAN,002,42,"$409,171"
178,NUECES,011,286,"$3,931,475"
179,OCHILTREE,001,14,"$138,798"
180,OLDHAM,001,1,"$45,927"
181,ORANGE,005,165,"$1,588,643"
182,PALO PINTO,003,104,"$1,116,795"
183,PANOLA,004,17,"$336,836"
184,PARKER,003,145,"$1,516,099"
185,PARMER,001,3,"$89,152"
186,PECOS,009,17,"$256,179"
187,POLK,005,89,"$803,197"
188,POTTER,001,311,"$4,756,161"
189,PRESIDIO,010,7,"$51,388"
190,RAINS,004,9,"$130,180"
191,RANDALL,001,251,"$3,753,840"
192,REAGAN,009,0,$0
193,REAL,008,8,"$105,629"
194,RED RIVER,004,15,"$191,821"
195,REEVES,009,9,"$102,474"
196,REFUGIO,011,12,"$63,808"
197,ROBERTS,001,0,$0
198,ROBERTSON,007,16,"$298,831"
199,ROCKWALL,003,26,"$201,772"
200,RUNNELS,002,17,"$192,980"
201,RUSK,004,53,"$401,178"
202,SABINE,005,7,"$30,523"
203,SAN AUGUSTINE,005,7,"$64,462"
204,SAN JACINTO,005,57,"$611,658"
205,SAN PATRICIO,011,77,"$883,148"
206,SAN SABA,007,8,"$184,369"
207,SCHLEICHER,009,10,"$51,210"
208,SCURRY,002,25,"$286,604"
209,SHACKELFORD,002,0,$0
210,SHELBY,005,62,"$537,624"
211,SHERMAN,001,1,"$85,726"
212,SMITH,004,319,"$3,178,896"
213,SOMERVELL,003,12,"$73,427"
214,STARR,011,102,"$1,026,706"
215,STEPHENS,002,15,"$203,669"
216,STERLING,009,1,$40
217,STONEWALL,002,0,$0
218,SUTTON,009,4,"$52,909"
219,SWISHER,001,8,"$146,861"
220,TARRANT,003,1725,"$20,314,061"
221,TAYLOR,002,220,"$2,328,728"
222,TERRELL,009,0,$0
223,TERRY,001,44,"$606,739"
224,THROCKMORTON,002,4,"$67,117"
225,TITUS,004,37,"$527,087"
226,TOM GREEN,009,354,"$4,778,419"
227,TRAVIS,007,989,"$11,609,248"
228,TRINITY,005,35,"$349,041"
229,TYLER,005,21,"$199,354"
230,UPSHUR,004,39,"$480,059"
231,UPTON,009,7,"$70,179"
232,UVALDE,008,51,"$742,422"
233,VAL VERDE,008,40,"$518,992"
234,VAN ZANDT,004,120,"$1,452,003"
235,VICTORIA,008,182,"$2,395,245"
236,WALKER,006,44,"$634,504"
237,WALLER,006,56,"$445,942"
238,WARD,009,4,"$81,399"
239,WASHINGTON,007,38,"$461,064"
240,WEBB,011,633,"$7,750,131"
241,WHARTON,006,29,"$255,277"
242,WHEELER,001,5,"$23,218"
243,WICHITA,002,247,"$2,894,710"
244,WILBARGER,002,18,"$287,523"
245,WILLACY,011,61,"$565,771"
246,WILLIAMSON,007,278,"$3,923,376"
247,WILSON,008,56,"$686,732"
248,WINKLER,009,5,"$63,186"
249,WISE,003,88,"$791,064"
250,WOOD,004,96,"$997,828"
251,YOAKUM,001,8,"$99,932"
252,YOUNG,002,26,"$308,727"
253,ZAPATA,011,36,"$600,242"
254,ZAVALA,008,24,"$465,670"
255,STATE TOTAL,,30287,"$365,261,654"
