,County,Region,Child  Population,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*
1,ANDERSON,004,11544,118,10.2,32,60,52,75
2,ANDREWS,009,4490,47,10.5,16,24,23,36
3,ANGELINA,005,23650,111,4.7,38,56,58,78
4,ARANSAS,011,4509,100,22.2,32,30,64,73
5,ARCHER,002,2141,7,3.3,5,3,3,4
6,ARMSTRONG,001,378,7,18.5,2,5,2,7
7,ATASCOSA,008,13413,254,18.9,108,152,103,149
8,AUSTIN,006,7417,31,4.2,15,19,11,22
9,BAILEY,001,2349,25,10.6,5,8,17,21
10,BANDERA,008,3990,65,16.3,22,31,34,48
11,BASTROP,007,20899,268,12.8,130,160,100,138
12,BAYLOR,002,759,4,5.3,0,0,4,4
13,BEE,011,6877,135,19.6,42,60,69,88
14,BELL,007,95920,1025,10.7,472,517,462,613
15,BEXAR,008,484144,5571,11.5,1877,2761,2709,3473
16,BLANCO,007,2278,5,2.2,2,3,1,1
17,BORDEN,009,126,8,63.5,5,6,2,5
18,BOSQUE,007,4081,43,10.5,14,16,24,28
19,BOWIE,004,21992,225,10.2,104,118,97,124
20,BRAZORIA,006,93684,269,2.9,93,120,146,192
21,BRAZOS,007,45584,196,4.3,50,75,115,151
22,BREWSTER,010,1957,2,1.0,0,0,3,3
23,BRISCOE,001,341,2,5.9,0,0,2,1
24,BROOKS,011,1999,33,16.5,17,5,28,27
25,BROWN,002,9128,136,14.9,29,64,71,95
26,BURLESON,007,4135,49,11.9,16,22,28,30
27,BURNET,007,10190,139,13.6,65,79,53,83
28,CALDWELL,007,10196,127,12.5,48,87,36,53
29,CALHOUN,008,5799,22,3.8,8,4,18,22
30,CALLAHAN,002,3289,15,4.6,1,6,8,12
31,CAMERON,011,139814,533,3.8,253,238,277,377
32,CAMP,004,3393,60,17.7,32,27,33,36
33,CARSON,001,1531,6,3.9,1,1,5,6
34,CASS,004,6996,78,11.1,40,44,29,32
35,CASTRO,001,2498,36,14.4,10,26,10,18
36,CHAMBERS,006,10550,63,6.0,19,35,23,31
37,CHEROKEE,004,13583,189,13.9,51,66,108,136
38,CHILDRESS,001,1506,18,12.0,5,5,13,13
39,CLAY,002,2381,12,5.0,6,5,7,10
40,COCHRAN,001,886,7,7.9,4,5,2,6
41,COKE,009,643,10,15.6,4,6,3,8
42,COLEMAN,002,1984,37,18.6,14,14,26,29
43,COLLIN,003,243933,468,1.9,206,198,253,332
44,COLLINGSWORTH,001,847,5,5.9,1,1,4,5
45,COLORADO,006,4947,25,5.1,11,13,11,15
46,COMAL,008,27233,243,8.9,114,147,88,146
47,COMANCHE,002,3324,35,10.5,12,26,9,23
48,CONCHO,009,572,6,10.5,0,0,6,6
49,COOKE,003,9817,130,13.2,65,59,66,99
50,CORYELL,007,22515,200,8.9,98,107,74,108
51,COTTLE,002,340,0,0.0,0,0,0,0
52,CRANE,009,1285,5,3.9,5,5,0,3
53,CROCKETT,009,972,4,4.1,0,1,3,3
54,CROSBY,001,1747,16,9.2,7,9,8,10
55,CULBERSON,010,655,6,9.2,6,6,0,0
56,DALLAM,001,2094,12,5.7,0,2,10,11
57,DALLAS,003,675112,4049,6.0,1672,2193,1793,2594
58,DAWSON,009,3418,75,21.9,37,43,28,40
59,DEAF SMITH,001,6438,56,8.7,17,18,37,42
60,DELTA,004,1133,12,10.6,3,10,2,5
61,DENTON,003,199161,636,3.2,199,287,310,409
62,DE WITT,008,4486,57,12.7,21,33,25,35
63,DICKENS,001,474,8,16.9,1,1,7,5
64,DIMMIT,008,2907,74,25.5,18,34,37,46
65,DONLEY,001,717,11,15.3,0,5,6,7
66,DUVAL,011,3032,26,8.6,10,10,14,21
67,EASTLAND,002,4220,44,10.4,9,29,13,25
68,ECTOR,009,41635,469,11.3,168,182,269,324
69,EDWARDS,008,414,14,33.8,1,10,4,7
70,ELLIS,003,45509,75,1.6,43,38,38,55
71,EL PASO,010,246082,831,3.4,311,328,478,588
72,ERATH,003,8809,57,6.5,23,24,31,43
73,FALLS,007,3861,33,8.5,9,16,18,26
74,FANNIN,003,7558,25,3.3,13,13,11,18
75,FAYETTE,007,5441,77,14.2,21,40,33,40
76,FISHER,002,805,6,7.5,0,1,1,2
77,FLOYD,001,1789,49,27.4,19,23,22,32
78,FOARD,002,251,2,8.0,2,0,2,2
79,FORT BEND,006,190409,226,1.2,91,104,119,153
80,FRANKLIN,004,2681,30,11.2,21,20,8,13
81,FREESTONE,007,4644,27,5.8,9,17,13,14
82,FRIO,008,4206,105,25.0,32,51,51,68
83,GAINES,009,6635,27,4.1,7,9,17,21
84,GALVESTON,006,76095,300,3.9,118,153,127,164
85,GARZA,001,1286,37,28.8,22,20,10,21
86,GILLESPIE,008,5164,51,9.9,15,16,30,40
87,GLASSCOCK,009,315,0,0.0,0,0,0,0
88,GOLIAD,008,1594,2,1.3,1,1,1,2
89,GONZALES,008,5521,38,6.9,21,26,14,21
90,GRAY,001,5822,104,17.9,18,37,58,69
91,GRAYSON,003,29448,200,6.8,117,62,137,160
92,GREGG,004,31837,333,10.5,141,121,214,265
93,GRIMES,007,6096,47,7.7,18,21,25,32
94,GUADALUPE,008,39127,215,5.5,52,133,73,108
95,HALE,001,10675,121,11.3,36,44,56,75
96,HALL,001,827,18,21.8,7,13,4,12
97,HAMILTON,007,1784,20,11.2,7,7,13,15
98,HANSFORD,001,1701,6,3.5,3,0,6,6
99,HARDEMAN,002,1030,12,11.7,5,12,0,9
100,HARDIN,005,14451,51,3.5,17,29,21,42
101,HARRIS,006,1185780,6846,5.8,1982,3115,3590,4286
102,HARRISON,004,17372,133,7.7,60,62,73,98
103,HARTLEY,001,1320,0,0.0,0,0,1,1
104,HASKELL,002,1204,10,8.3,5,2,8,10
105,HAYS,007,45356,183,4.0,69,110,67,91
106,HEMPHILL,001,1123,10,8.9,6,2,7,9
107,HENDERSON,004,18266,233,12.8,86,92,128,152
108,HIDALGO,011,280219,1214,4.3,512,455,664,881
109,HILL,007,8710,83,9.5,22,54,28,52
110,HOCKLEY,001,6299,105,16.7,43,41,58,74
111,HOOD,003,11113,134,12.1,53,55,71,98
112,HOPKINS,004,9155,71,7.8,26,28,33,29
113,HOUSTON,005,4806,64,13.3,20,26,35,45
114,HOWARD,009,7939,173,21.8,87,79,85,97
115,HUDSPETH,010,970,1,1.0,0,1,0,0
116,HUNT,003,22492,245,10.9,104,82,153,187
117,HUTCHINSON,001,5775,54,9.4,11,26,27,21
118,IRION,009,325,1,3.1,0,1,0,1
119,JACK,002,1958,19,9.7,9,12,4,8
120,JACKSON,008,3562,14,3.9,10,8,6,6
121,JASPER,005,8808,51,5.8,21,19,32,40
122,JEFF DAVIS,010,376,0,0.0,0,0,0,0
123,JEFFERSON,005,61099,384,6.3,146,150,226,287
124,JIM HOGG,011,1549,25,16.1,9,14,11,11
125,JIM WELLS,011,12031,125,10.4,37,53,69,73
126,JOHNSON,003,42916,396,9.2,124,118,266,319
127,JONES,002,3753,27,7.2,16,13,14,19
128,KARNES,008,2927,51,17.4,23,31,19,28
129,KAUFMAN,003,32292,121,3.7,56,62,61,73
130,KENDALL,008,8429,36,4.3,9,24,10,24
131,KENEDY,011,97,1,10.3,0,0,1,1
132,KENT,002,172,4,23.3,0,0,4,4
133,KERR,008,10231,155,15.2,57,64,81,111
134,KIMBLE,009,922,27,29.3,11,9,16,19
135,KING,001,60,0,0.0,0,0,0,0
136,KINNEY,008,690,5,7.2,0,2,3,3
137,KLEBERG,011,8460,71,8.4,8,32,38,49
138,KNOX,002,936,9,9.6,0,0,9,9
139,LAMAR,004,12203,101,8.3,56,41,58,68
140,LAMB,001,4013,29,7.2,13,18,11,16
141,LAMPASAS,007,4909,69,14.1,27,42,29,36
142,LA SALLE,008,1525,36,23.6,8,17,19,17
143,LAVACA,008,4310,41,9.5,20,19,20,30
144,LEE,007,4122,69,16.7,23,36,24,37
145,LEON,007,3803,36,9.5,13,17,18,20
146,LIBERTY,006,20022,313,15.6,124,189,110,156
147,LIMESTONE,007,5589,40,7.2,8,26,16,16
148,LIPSCOMB,001,893,7,7.8,1,0,8,8
149,LIVE OAK,011,2245,38,16.9,15,16,21,19
150,LLANO,007,3146,63,20.0,21,32,24,30
151,LOVING,009,7,0,0.0,0,0,0,0
152,LUBBOCK,001,71582,883,12.3,327,394,476,574
153,LYNN,001,1592,8,5.0,4,1,7,7
154,MADISON,007,3042,30,9.9,13,23,8,17
155,MARION,004,1948,25,12.8,16,6,17,20
156,MARTIN,009,1441,2,1.4,1,2,0,0
157,MASON,009,822,1,1.2,0,1,1,1
158,MATAGORDA,006,9566,46,4.8,18,17,31,33
159,MAVERICK,008,18555,27,1.5,11,13,15,24
160,MCCULLOCH,009,1999,25,12.5,11,8,18,17
161,MCLENNAN,007,60576,564,9.3,217,274,271,343
162,MCMULLEN,011,120,2,16.7,0,2,0,0
163,MEDINA,008,12176,190,15.6,73,102,83,122
164,MENARD,009,429,8,18.6,1,5,3,6
165,MIDLAND,009,38852,214,5.5,63,107,107,138
166,MILAM,007,6392,109,17.1,48,62,41,53
167,MILLS,007,1160,14,12.1,10,10,5,12
168,MITCHELL,002,1807,11,6.1,5,2,6,8
169,MONTAGUE,002,4592,84,18.3,18,54,21,58
170,MONTGOMERY,006,135765,796,5.9,282,383,395,481
171,MOORE,001,7199,33,4.6,4,10,18,15
172,MORRIS,004,3032,21,6.9,12,15,6,13
173,MOTLEY,001,248,3,12.1,0,0,2,1
174,NACOGDOCHES,005,16625,205,12.3,48,81,115,161
175,NAVARRO,003,13313,107,8.0,40,34,74,88
176,NEWTON,005,3132,26,8.3,7,4,20,24
177,NOLAN,002,3993,61,15.3,15,23,22,37
178,NUECES,011,88215,440,5.0,175,150,277,303
179,OCHILTREE,001,3459,11,3.2,3,3,8,9
180,OLDHAM,001,587,1,1.7,0,0,1,1
181,ORANGE,005,20699,212,10.2,70,58,129,166
182,PALO PINTO,003,7149,133,18.6,65,48,82,103
183,PANOLA,004,5869,22,3.7,2,8,14,17
184,PARKER,003,31917,193,6.0,110,90,98,147
185,PARMER,001,3288,3,0.9,0,0,3,3
186,PECOS,009,3905,22,5.6,8,9,13,16
187,POLK,005,9725,123,12.6,44,56,58,90
188,POTTER,001,34536,361,10.5,100,100,261,315
189,PRESIDIO,010,2225,9,4.0,3,6,3,7
190,RAINS,004,2379,14,5.9,1,3,8,9
191,RANDALL,001,31669,369,11.7,82,116,224,258
192,REAGAN,009,1015,1,1.0,0,0,1,0
193,REAL,008,594,19,32.0,12,11,8,8
194,RED RIVER,004,2721,28,10.3,8,11,14,15
195,REEVES,009,3106,14,4.5,8,2,8,9
196,REFUGIO,011,1719,9,5.2,10,7,2,13
197,ROBERTS,001,243,0,0.0,0,0,0,0
198,ROBERTSON,007,4205,40,9.5,9,26,13,15
199,ROCKWALL,003,25692,46,1.8,21,26,17,26
200,RUNNELS,002,2594,34,13.1,15,18,14,17
201,RUSK,004,12787,117,9.1,64,70,42,52
202,SABINE,005,2033,7,3.4,2,3,4,7
203,SAN AUGUSTINE,005,1813,13,7.2,5,5,6,7
204,SAN JACINTO,005,6431,74,11.5,22,27,39,57
205,SAN PATRICIO,011,17941,137,7.6,60,54,80,77
206,SAN SABA,007,1230,8,6.5,1,2,6,8
207,SCHLEICHER,009,1119,13,11.6,10,4,9,10
208,SCURRY,002,4385,32,7.3,8,20,12,26
209,SHACKELFORD,002,798,0,0.0,0,0,0,0
210,SHELBY,005,6786,82,12.1,31,25,57,63
211,SHERMAN,001,868,1,1.2,0,0,1,1
212,SMITH,004,55509,501,9.0,198,268,225,326
213,SOMERVELL,003,2200,19,8.6,13,10,8,14
214,STARR,011,20723,132,6.4,54,37,85,102
215,STEPHENS,002,2261,20,8.8,12,8,12,15
216,STERLING,009,273,5,18.3,4,4,1,0
217,STONEWALL,002,320,2,6.3,2,1,1,0
218,SUTTON,009,1111,9,8.1,1,2,7,5
219,SWISHER,001,2024,10,4.9,2,1,9,8
220,TARRANT,003,523735,2227,4.3,838,646,1452,1756
221,TAYLOR,002,33119,343,10.4,124,153,161,225
222,TERRELL,009,208,0,0.0,0,0,0,0
223,TERRY,001,3355,68,20.3,25,41,26,44
224,THROCKMORTON,002,333,5,15.0,4,4,1,5
225,TITUS,004,10059,56,5.6,16,26,29,37
226,TOM GREEN,009,26945,566,21.0,175,257,285,356
227,TRAVIS,007,266648,1607,6.0,639,822,718,1014
228,TRINITY,005,3016,47,15.6,10,30,16,35
229,TYLER,005,4207,30,7.1,18,12,18,20
230,UPSHUR,004,9872,82,8.3,57,48,35,40
231,UPTON,009,945,7,7.4,4,0,7,7
232,UVALDE,008,7708,88,11.4,19,54,34,52
233,VAL VERDE,008,15012,57,3.8,23,23,32,38
234,VAN ZANDT,004,12674,152,12.0,70,48,103,118
235,VICTORIA,008,23254,252,10.8,88,93,158,181
236,WALKER,006,11540,99,8.6,42,54,40,50
237,WALLER,006,11599,79,6.8,33,40,33,56
238,WARD,009,2891,6,2.1,3,4,2,4
239,WASHINGTON,007,7599,61,8.0,26,26,32,39
240,WEBB,011,91337,755,8.3,289,223,518,629
241,WHARTON,006,11090,50,4.5,9,14,32,31
242,WHEELER,001,1373,9,6.6,1,5,5,6
243,WICHITA,002,31023,289,9.3,114,76,204,252
244,WILBARGER,002,3432,21,6.1,2,8,11,18
245,WILLACY,011,6008,76,12.6,36,33,43,60
246,WILLIAMSON,007,133482,431,3.2,127,213,206,289
247,WILSON,008,11739,119,10.1,46,88,24,55
248,WINKLER,009,2118,8,3.8,3,3,5,5
249,WISE,003,16072,150,9.3,70,89,55,88
250,WOOD,004,8752,153,17.5,74,68,76,95
251,YOAKUM,001,2567,12,4.7,10,9,4,8
252,YOUNG,002,4523,52,11.5,8,24,17,26
253,ZAPATA,011,5013,44,8.8,7,20,25,36
254,ZAVALA,008,3659,45,12.3,9,25,20,23
255,UNKNOWN,,0,0,0.0,6,0,0,0
256,OUT OF STATE,,0,0,0.0,0,0,0,0
257,STATE TOTAL,,7159172,46649,6.5,17022,21267,23892,30740
