,County,Region,Total,African American,Anglo,Hispanic,Native American,Other**
1,ANDERSON,004,11544,1709,6632,2695,39,469
2,ANDREWS,009,4490,62,1499,2840,20,69
3,ANGELINA,005,23650,3641,11843,7375,58,733
4,ARANSAS,011,4509,54,2273,1996,17,169
5,ARCHER,002,2141,12,1816,270,9,34
6,ARMSTRONG,001,378,4,316,49,2,7
7,ATASCOSA,008,13413,82,3468,9743,20,100
8,AUSTIN,006,7417,734,3668,2822,23,170
9,BAILEY,001,2349,10,520,1797,5,17
10,BANDERA,008,3990,33,2754,1121,18,64
11,BASTROP,007,20899,1378,8268,10445,52,756
12,BAYLOR,002,759,14,554,175,3,13
13,BEE,011,6877,105,1516,5128,10,118
14,BELL,007,95920,20836,37781,27998,394,8911
15,BEXAR,008,484144,32010,95854,334156,848,21276
16,BLANCO,007,2278,7,1514,714,7,36
17,BORDEN,009,126,0,95,31,0,0
18,BOSQUE,007,4081,75,2663,1252,10,81
19,BOWIE,004,21992,6137,12598,2017,124,1116
20,BRAZORIA,006,93684,11209,38808,34474,289,8904
21,BRAZOS,007,45584,6437,19132,16906,96,3013
22,BREWSTER,010,1957,11,773,1101,4,68
23,BRISCOE,001,341,8,183,143,0,7
24,BROOKS,011,1999,4,116,1869,2,8
25,BROWN,002,9128,307,5556,2919,38,308
26,BURLESON,007,4135,519,2260,1258,11,87
27,BURNET,007,10190,184,6088,3641,30,247
28,CALDWELL,007,10196,518,2997,6428,22,231
29,CALHOUN,008,5799,109,1667,3713,7,303
30,CALLAHAN,002,3289,41,2719,419,21,89
31,CAMERON,011,139814,282,6389,132037,105,1001
32,CAMP,004,3393,541,1490,1204,8,150
33,CARSON,001,1531,13,1277,197,7,37
34,CASS,004,6996,1305,4939,509,25,218
35,CASTRO,001,2498,47,584,1841,9,17
36,CHAMBERS,006,10550,704,6466,3024,32,324
37,CHEROKEE,004,13583,1810,6514,4755,15,489
38,CHILDRESS,001,1506,68,883,509,10,36
39,CLAY,002,2381,15,2110,180,33,43
40,COCHRAN,001,886,18,245,616,0,7
41,COKE,009,643,1,447,183,1,11
42,COLEMAN,002,1984,42,1377,516,8,41
43,COLLIN,003,243933,22884,127801,50280,1142,41826
44,COLLINGSWORTH,001,847,23,376,422,10,16
45,COLORADO,006,4947,680,1983,2171,3,110
46,COMAL,008,27233,410,16014,10006,65,738
47,COMANCHE,002,3324,8,1802,1461,8,45
48,CONCHO,009,572,4,308,256,1,3
49,COOKE,003,9817,244,6401,2712,95,365
50,CORYELL,007,22515,2955,11940,5302,121,2197
51,COTTLE,002,340,21,200,114,3,2
52,CRANE,009,1285,38,339,895,7,6
53,CROCKETT,009,972,0,206,760,2,4
54,CROSBY,001,1747,56,469,1209,0,13
55,CULBERSON,010,655,1,86,558,1,9
56,DALLAM,001,2094,17,926,1080,5,66
57,DALLAS,003,675112,150519,119632,358334,1719,44908
58,DAWSON,009,3418,123,921,2320,6,48
59,DEAF SMITH,001,6438,29,1148,5188,12,61
60,DELTA,004,1133,91,846,119,10,67
61,DENTON,003,199161,16924,106405,52449,1015,22368
62,DE WITT,008,4486,351,1946,2042,9,138
63,DICKENS,001,474,3,250,211,7,3
64,DIMMIT,008,2907,24,241,2623,0,19
65,DONLEY,001,717,51,542,106,1,17
66,DUVAL,011,3032,2,232,2785,2,11
67,EASTLAND,002,4220,54,3023,1068,15,60
68,ECTOR,009,41635,1664,10912,28081,159,819
69,EDWARDS,008,414,2,118,292,2,0
70,ELLIS,003,45509,4339,24155,15558,137,1320
71,EL PASO,010,246082,5405,19107,216158,681,4731
72,ERATH,003,8809,111,5564,2910,45,179
73,FALLS,007,3861,1016,1479,1255,9,102
74,FANNIN,003,7558,359,5674,1162,82,281
75,FAYETTE,007,5441,445,2973,1901,14,108
76,FISHER,002,805,18,481,295,0,11
77,FLOYD,001,1789,51,422,1304,0,12
78,FOARD,002,251,19,177,53,0,2
79,FORT BEND,006,190409,42028,54134,57012,411,36824
80,FRANKLIN,004,2681,117,1866,606,14,78
81,FREESTONE,007,4644,681,2842,1019,25,77
82,FRIO,008,4206,9,449,3708,8,32
83,GAINES,009,6635,84,3959,2513,8,71
84,GALVESTON,006,76095,10519,36602,23986,241,4747
85,GARZA,001,1286,70,503,691,9,13
86,GILLESPIE,008,5164,10,3140,1916,12,86
87,GLASSCOCK,009,315,3,183,128,0,1
88,GOLIAD,008,1594,74,722,772,4,22
89,GONZALES,008,5521,310,1554,3554,14,89
90,GRAY,001,5822,151,3161,2326,19,165
91,GRAYSON,003,29448,1963,19610,5966,457,1452
92,GREGG,004,31837,6895,14439,9036,111,1356
93,GRIMES,007,6096,882,2940,2116,12,146
94,GUADALUPE,008,39127,2153,17084,18135,115,1640
95,HALE,001,10675,375,2447,7670,25,158
96,HALL,001,827,64,333,426,2,2
97,HAMILTON,007,1784,12,1404,336,8,24
98,HANSFORD,001,1701,9,697,976,1,18
99,HARDEMAN,002,1030,46,545,406,4,29
100,HARDIN,005,14451,912,12126,1034,25,354
101,HARRIS,006,1185780,214890,255764,626809,2052,86265
102,HARRISON,004,17372,3481,9576,3667,75,573
103,HARTLEY,001,1320,7,873,414,6,20
104,HASKELL,002,1204,37,656,473,7,31
105,HAYS,007,45356,1219,20842,21714,120,1461
106,HEMPHILL,001,1123,0,627,480,6,10
107,HENDERSON,004,18266,1204,12563,3786,80,633
108,HIDALGO,011,280219,704,9354,267193,150,2818
109,HILL,007,8710,576,5187,2703,31,213
110,HOCKLEY,001,6299,220,2268,3698,23,90
111,HOOD,003,11113,46,8572,2158,63,274
112,HOPKINS,004,9155,613,5746,2365,44,387
113,HOUSTON,005,4806,1263,2535,797,19,192
114,HOWARD,009,7939,362,3264,4062,44,207
115,HUDSPETH,010,970,5,88,862,2,13
116,HUNT,003,22492,2070,13873,5455,166,928
117,HUTCHINSON,001,5775,114,3620,1793,64,184
118,IRION,009,325,2,207,109,2,5
119,JACK,002,1958,23,1465,443,2,25
120,JACKSON,008,3562,264,1735,1508,7,48
121,JASPER,005,8808,1667,5954,802,56,329
122,JEFF DAVIS,010,376,1,170,200,0,5
123,JEFFERSON,005,61099,22289,18819,16095,143,3753
124,JIM HOGG,011,1549,4,56,1475,9,5
125,JIM WELLS,011,12031,44,1654,10242,23,68
126,JOHNSON,003,42916,1110,28132,11974,201,1499
127,JONES,002,3753,156,2243,1226,11,117
128,KARNES,008,2927,55,941,1887,14,30
129,KAUFMAN,003,32292,3231,19192,8602,166,1101
130,KENDALL,008,8429,36,5563,2615,24,191
131,KENEDY,011,97,0,16,77,3,1
132,KENT,002,172,1,120,48,1,2
133,KERR,008,10231,147,5430,4349,21,284
134,KIMBLE,009,922,3,550,365,0,4
135,KING,001,60,0,51,9,0,0
136,KINNEY,008,690,5,176,498,2,9
137,KLEBERG,011,8460,240,1263,6756,6,195
138,KNOX,002,936,59,449,404,5,19
139,LAMAR,004,12203,1895,7895,1619,148,646
140,LAMB,001,4013,173,1095,2689,4,52
141,LAMPASAS,007,4909,98,3158,1364,32,257
142,LA SALLE,008,1525,4,133,1380,1,7
143,LAVACA,008,4310,332,2672,1219,3,84
144,LEE,007,4122,335,2125,1527,7,128
145,LEON,007,3803,212,2575,945,8,63
146,LIBERTY,006,20022,1790,12023,5577,54,578
147,LIMESTONE,007,5589,992,2583,1828,10,176
148,LIPSCOMB,001,893,5,458,405,7,18
149,LIVE OAK,011,2245,18,1064,1132,6,25
150,LLANO,007,3146,29,2448,575,14,80
151,LOVING,009,7,0,4,3,0,0
152,LUBBOCK,001,71582,5896,30015,32675,239,2757
153,LYNN,001,1592,18,593,948,10,23
154,MADISON,007,3042,523,1592,805,6,116
155,MARION,004,1948,511,1213,127,9,88
156,MARTIN,009,1441,28,641,752,3,17
157,MASON,009,822,4,546,262,3,7
158,MATAGORDA,006,9566,982,3071,5164,18,331
159,MAVERICK,008,18555,19,393,17849,232,62
160,MCCULLOCH,009,1999,36,1086,850,2,25
161,MCLENNAN,007,60576,9486,26522,22109,150,2309
162,MCMULLEN,011,120,2,53,65,0,0
163,MEDINA,008,12176,81,4396,7467,38,194
164,MENARD,009,429,0,206,223,0,0
165,MIDLAND,009,38852,2490,14817,20243,134,1168
166,MILAM,007,6392,640,3198,2422,12,120
167,MILLS,007,1160,20,841,284,1,14
168,MITCHELL,002,1807,74,858,847,6,22
169,MONTAGUE,002,4592,19,3589,860,33,91
170,MONTGOMERY,006,135765,6218,79881,42696,495,6475
171,MOORE,001,7199,64,1743,4640,23,729
172,MORRIS,004,3032,683,1718,488,14,129
173,MOTLEY,001,248,2,176,67,2,1
174,NACOGDOCHES,005,16625,3126,8051,4784,53,611
175,NAVARRO,003,13313,1704,5842,5201,27,539
176,NEWTON,005,3132,648,2215,147,21,101
177,NOLAN,002,3993,211,1807,1881,7,87
178,NUECES,011,88215,2846,18499,64058,193,2619
179,OCHILTREE,001,3459,8,1111,2294,17,29
180,OLDHAM,001,587,30,450,95,4,8
181,ORANGE,005,20699,2065,15734,2046,83,771
182,PALO PINTO,003,7149,184,4617,2169,27,152
183,PANOLA,004,5869,948,3811,942,19,149
184,PARKER,003,31917,387,24757,5658,217,898
185,PARMER,001,3288,17,799,2458,2,12
186,PECOS,009,3905,20,596,3245,9,35
187,POLK,005,9725,1032,6132,2032,241,288
188,POTTER,001,34536,3219,11355,17199,130,2633
189,PRESIDIO,010,2225,11,187,1978,4,45
190,RAINS,004,2379,45,1886,371,26,51
191,RANDALL,001,31669,917,20783,8534,142,1293
192,REAGAN,009,1015,12,200,790,0,13
193,REAL,008,594,4,322,256,4,8
194,RED RIVER,004,2721,519,1740,360,18,84
195,REEVES,009,3106,45,291,2724,3,43
196,REFUGIO,011,1719,98,556,1036,2,27
197,ROBERTS,001,243,0,217,25,0,1
198,ROBERTSON,007,4205,954,1948,1199,11,93
199,ROCKWALL,003,25692,1602,16883,5751,115,1341
200,RUNNELS,002,2594,40,1286,1235,9,24
201,RUSK,004,12787,1864,7293,3134,57,439
202,SABINE,005,2033,172,1642,139,9,71
203,SAN AUGUSTINE,005,1813,499,1040,233,2,39
204,SAN JACINTO,005,6431,669,4264,1287,21,190
205,SAN PATRICIO,011,17941,205,5451,11845,38,402
206,SAN SABA,007,1230,5,671,536,7,11
207,SCHLEICHER,009,1119,12,577,524,0,6
