,County,Region,Total,African American,Anglo,Hispanic,Native American,Other**
208,SCURRY,002,4385,93,1867,2328,9,88
209,SHACKELFORD,002,798,6,657,114,1,20
210,SHELBY,005,6786,1209,3603,1853,15,106
211,SHERMAN,001,868,2,350,506,4,6
212,SMITH,004,55509,10323,26748,15899,167,2372
213,SOMERVELL,003,2200,29,1436,657,11,67
214,STARR,011,20723,2,765,19911,5,40
215,STEPHENS,002,2261,36,1418,759,12,36
216,STERLING,009,273,3,155,102,5,8
217,STONEWALL,002,320,10,222,74,0,14
218,SUTTON,009,1111,0,320,784,0,7
219,SWISHER,001,2024,123,761,1087,12,41
220,TARRANT,003,523735,83750,196516,198373,1859,43237
221,TAYLOR,002,33119,2700,17223,11373,107,1716
222,TERRELL,009,208,0,84,121,1,2
223,TERRY,001,3355,100,1088,2125,7,35
224,THROCKMORTON,002,333,3,266,58,0,6
225,TITUS,004,10059,791,3279,5719,44,226
226,TOM GREEN,009,26945,840,11680,13489,83,853
227,TRAVIS,007,266648,21798,95715,125430,567,23138
228,TRINITY,005,3016,323,2159,442,17,75
229,TYLER,005,4207,392,3438,234,25,118
230,UPSHUR,004,9872,820,7302,1258,52,440
231,UPTON,009,945,12,341,575,11,6
232,UVALDE,008,7708,34,1261,6312,21,80
233,VAL VERDE,008,15012,134,1614,13074,21,169
234,VAN ZANDT,004,12674,352,9733,2140,99,350
235,VICTORIA,008,23254,1423,7690,13407,43,691
236,WALKER,006,11540,2499,5436,2997,36,572
237,WALLER,006,11599,2099,3849,5368,27,256
238,WARD,009,2891,153,964,1705,13,56
239,WASHINGTON,007,7599,1520,3819,1989,13,258
240,WEBB,011,91337,135,2119,88598,16,469
241,WHARTON,006,11090,1455,3714,5756,10,155
242,WHEELER,001,1373,38,686,618,2,29
243,WICHITA,002,31023,3174,17421,8319,316,1793
244,WILBARGER,002,3432,283,1643,1382,29,95
245,WILLACY,011,6008,18,381,5568,7,34
246,WILLIAMSON,007,133482,8524,68881,43327,388,12362
247,WILSON,008,11739,125,5823,5579,27,185
248,WINKLER,009,2118,32,639,1394,9,44
249,WISE,003,16072,111,10946,4555,97,363
250,WOOD,004,8752,391,6517,1532,41,271
251,YOAKUM,001,2567,10,685,1839,6,27
252,YOUNG,002,4523,48,3051,1312,22,90
253,ZAPATA,011,5013,2,111,4886,2,12
254,ZAVALA,008,3659,15,122,3514,1,7
255,STATE TOTAL,,7159172,827289,2336977,3533665,20495,440746
