,County,Region,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location
1,ANDERSON,004,514,445,5
2,ANDREWS,009,214,171,1
3,ANGELINA,005,997,781,8
4,ARANSAS,011,294,264,0
5,ARCHER,002,64,51,0
6,ARMSTRONG,001,16,13,0
7,ATASCOSA,008,526,412,4
8,AUSTIN,006,222,197,2
9,BAILEY,001,63,46,0
10,BANDERA,008,207,153,0
11,BASTROP,007,811,685,9
12,BAYLOR,002,37,33,0
13,BEE,011,392,331,4
14,BELL,007,4196,3742,30
15,BEXAR,008,19838,15676,180
16,BLANCO,007,73,62,0
17,BORDEN,009,6,4,0
18,BOSQUE,007,151,129,0
19,BOWIE,004,977,821,9
20,BRAZORIA,006,2228,1989,16
21,BRAZOS,007,1210,1037,9
22,BREWSTER,010,65,57,1
23,BRISCOE,001,9,9,0
24,BROOKS,011,140,121,0
25,BROWN,002,423,355,5
26,BURLESON,007,140,125,0
27,BURNET,007,433,360,5
28,CALDWELL,007,453,381,1
29,CALHOUN,008,169,148,2
30,CALLAHAN,002,140,113,0
31,CAMERON,011,4148,3447,36
32,CAMP,004,154,139,0
33,CARSON,001,61,46,0
34,CASS,004,349,291,4
35,CASTRO,001,70,61,0
36,CHAMBERS,006,258,213,0
37,CHEROKEE,004,566,487,4
38,CHILDRESS,001,69,55,4
39,CLAY,002,63,57,0
40,COCHRAN,001,28,25,0
41,COKE,009,29,27,0
42,COLEMAN,002,142,111,0
43,COLLIN,003,4413,3602,37
44,COLLINGSWORTH,001,25,23,0
45,COLORADO,006,140,131,1
46,COMAL,008,909,782,10
47,COMANCHE,002,167,134,0
48,CONCHO,009,27,23,0
49,COOKE,003,532,485,4
50,CORYELL,007,950,872,7
51,COTTLE,002,14,11,0
52,CRANE,009,23,17,0
53,CROCKETT,009,38,36,0
54,CROSBY,001,82,74,0
55,CULBERSON,010,13,10,0
56,DALLAM,001,86,74,0
57,DALLAS,003,20508,18104,175
58,DAWSON,009,213,187,2
59,DEAF SMITH,001,207,180,3
60,DELTA,004,52,38,0
61,DENTON,003,4235,3528,35
62,DE WITT,008,244,177,2
63,DICKENS,001,27,24,0
64,DIMMIT,008,123,103,2
65,DONLEY,001,25,23,0
66,DUVAL,011,157,142,0
67,EASTLAND,002,205,168,3
68,ECTOR,009,1769,1539,11
69,EDWARDS,008,13,11,0
70,ELLIS,003,1248,1047,8
71,EL PASO,010,6716,5402,62
72,ERATH,003,294,271,3
73,FALLS,007,145,131,1
74,FANNIN,003,353,312,1
75,FAYETTE,007,216,192,0
76,FISHER,002,33,28,0
77,FLOYD,001,73,62,0
78,FOARD,002,15,13,0
79,FORT BEND,006,2440,2098,17
80,FRANKLIN,004,97,81,1
81,FREESTONE,007,157,146,0
82,FRIO,008,204,164,4
83,GAINES,009,106,89,0
84,GALVESTON,006,2810,2431,25
85,GARZA,001,64,54,0
86,GILLESPIE,008,160,120,0
87,GLASSCOCK,009,1,1,0
88,GOLIAD,008,70,58,0
89,GONZALES,008,231,172,2
90,GRAY,001,298,267,4
91,GRAYSON,003,1417,1215,14
92,GREGG,004,1259,1087,13
93,GRIMES,007,204,178,0
94,GUADALUPE,008,1242,901,11
95,HALE,001,320,295,4
96,HALL,001,27,22,0
97,HAMILTON,007,73,60,2
98,HANSFORD,001,35,30,0
99,HARDEMAN,002,49,40,0
100,HARDIN,005,550,478,4
101,HARRIS,006,29464,24807,238
102,HARRISON,004,652,560,6
