,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages
225,TITUS,004,2502,4116,97,84,65,57
226,TOM GREEN,009,8719,16424,1003,813,648,594
227,TRAVIS,007,67912,85742,3418,2320,1377,1139
228,TRINITY,005,1659,3629,181,146,122,117
229,TYLER,005,2416,4547,111,66,52,43
230,UPSHUR,004,3738,6960,175,146,94,79
231,UPTON,009,283,564,22,20,16,10
232,UVALDE,008,1904,4284,116,105,50,41
233,VAL VERDE,008,3488,6695,207,205,124,124
234,VAN ZANDT,004,4620,10597,248,199,138,119
235,VICTORIA,008,6680,12763,324,297,160,120
236,WALKER,006,4255,7639,163,121,96,81
237,WALLER,006,2580,5485,92,90,65,49
238,WARD,009,882,1701,54,54,49,44
239,WASHINGTON,007,2343,6770,96,75,34,24
240,WEBB,011,20776,22240,659,499,305,219
241,WHARTON,006,2232,6307,148,116,96,96
242,WHEELER,001,371,1061,23,22,13,11
243,WICHITA,002,12253,17896,1417,1138,935,681
244,WILBARGER,002,1239,2293,109,95,83,59
245,WILLACY,011,1978,2819,156,129,99,78
246,WILLIAMSON,007,28582,49084,837,647,419,314
247,WILSON,008,3773,6536,103,67,35,18
248,WINKLER,009,598,999,35,29,25,21
249,WISE,003,3421,8677,160,118,88,64
250,WOOD,004,3656,11574,230,188,135,120
251,YOAKUM,001,581,1006,28,23,18,12
252,YOUNG,002,1641,3596,201,169,143,117
253,ZAPATA,011,1116,1645,60,46,34,25
254,ZAVALA,008,854,1553,41,47,18,10
255,UNKNOWN,0,0,0,67,30,21,29
256,STATE TOTAL,,1710430,2954572,87260,69383,48392,38197
