,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services
1,ANDERSON,6050,7777,382,354,291,466
2,ANDREWS,1200,1751,34,32,18,10
3,ANGELINA,8970,12572,693,559,358,369
4,ARANSAS,2010,6148,197,177,128,108
5,ARCHER,870,1533,116,93,71,67
6,ARMSTRONG,130,423,7,5,2,2
7,ATASCOSA,3500,6420,199,156,93,109
8,AUSTIN,1650,4905,117,82,51,82
9,BAILEY,490,1048,43,40,37,41
10,BANDERA,1770,4652,110,81,45,52
11,BASTROP,5250,9768,377,296,171,182
12,BAYLOR,320,957,81,81,70,88
13,BEE,3090,3590,159,142,124,127
14,BELL,20390,29410,1565,1299,916,703
15,BEXAR,135590,188632,9876,7709,4528,5626
16,BLANCO,750,2156,31,20,14,17
17,BORDEN,50,143,2,2,2,1
18,BOSQUE,1120,4094,130,93,58,32
19,BOWIE,8960,13695,481,403,252,286
20,BRAZORIA,17780,33281,680,581,401,353
21,BRAZOS,11760,15426,386,338,237,230
22,BREWSTER,670,1700,90,68,57,100
23,BRISCOE,110,407,11,9,8,8
24,BROOKS,630,1314,64,50,34,31
25,BROWN,3380,7062,418,332,268,273
26,BURLESON,1190,3225,81,62,44,60
27,BURNET,2760,8723,177,140,80,69
28,CALDWELL,2510,4992,173,165,99,90
29,CALHOUN,1630,3456,83,64,31,25
30,CALLAHAN,1250,2615,129,110,75,84
31,CAMERON,33090,48338,1664,1447,1004,1207
32,CAMP,1100,2153,91,70,55,54
33,CARSON,430,1094,13,8,6,9
34,CASS,2880,6133,179,139,81,73
35,CASTRO,570,1146,22,15,15,16
36,CHAMBERS,2070,3812,60,48,30,46
37,CHEROKEE,4500,8050,540,472,373,546
38,CHILDRESS,500,1110,73,52,43,96
39,CLAY,1040,2025,165,142,128,93
40,COCHRAN,220,510,95,87,86,116
41,COKE,240,866,28,21,14,7
42,COLEMAN,810,2024,86,78,57,60
43,COLLIN,45060,72084,1053,859,616,540
44,COLLINGSWORTH,210,566,20,17,14,23
45,COLORADO,1170,4212,87,64,45,83
46,COMAL,9250,19096,451,326,217,207
47,COMANCHE,1160,3036,110,84,66,90
48,CONCHO,410,607,25,24,23,20
49,COOKE,2060,6510,168,109,78,62
50,CORYELL,4700,6229,189,165,114,123
51,COTTLE,130,387,21,20,15,15
52,CRANE,370,556,19,14,11,12
53,CROCKETT,320,608,14,11,10,12
54,CROSBY,440,1103,55,56,44,53
55,CULBERSON,160,397,7,5,5,2
56,DALLAM,480,698,20,19,15,16
57,DALLAS,129140,218059,8309,6718,4610,3837
58,DAWSON,1150,2018,124,119,89,48
59,DEAF SMITH,1360,2281,45,38,28,30
60,DELTA,480,1127,43,38,22,19
61,DENTON,37740,54739,1223,856,629,471
62,DEWITT,1620,3822,116,91,52,55
63,DICKENS,180,516,22,26,17,17
64,DIMMIT,750,1554,37,35,16,18
65,DONLEY,250,799,21,15,10,25
66,DUVAL,1040,2031,46,44,29,24
67,EASTLAND,1630,3858,218,171,140,156
68,ECTOR,11250,14754,730,619,463,557
69,EDWARDS,160,485,7,5,5,4
70,ELLIS,8570,17056,399,287,206,226
71,EL PASO,52360,87302,3658,2934,1948,2085
72,ERATH,1950,5077,102,86,63,60
73,FALLS,1320,2999,103,69,48,43
74,FANNIN,1930,6159,142,132,115,102
75,FAYETTE,1620,5617,84,80,42,50
76,FISHER,350,916,37,24,22,17
77,FLOYD,450,1168,45,37,31,35
78,FOARD,120,335,16,16,14,7
