,County,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***
1,ANDERSON,809,597,554,93,716,40
2,ANDREWS,152,98,82,34,118,14
3,ANGELINA,1169,841,701,120,1049,24
4,ARANSAS,356,209,172,132,224,38
5,ARCHER,43,29,22,6,37,0
6,ARMSTRONG,20,16,14,3,17,0
7,ATASCOSA,827,559,513,243,584,88
8,AUSTIN,173,134,116,28,145,10
9,BAILEY,82,70,70,6,76,4
10,BANDERA,203,148,140,42,161,21
11,BASTROP,1009,719,607,155,854,81
12,BAYLOR,52,41,35,5,47,0
13,BEE,422,266,207,166,256,42
14,BELL,4757,3701,3494,706,4051,360
15,BEXAR,24476,17570,15813,6584,17892,1356
16,BLANCO,76,70,63,1,75,1
17,BORDEN,0,0,0,0,0,3
18,BOSQUE,241,171,160,34,207,11
19,BOWIE,1394,1092,828,193,1201,103
20,BRAZORIA,2472,1969,1717,315,2157,59
21,BRAZOS,1645,1232,1084,189,1456,74
22,BREWSTER,71,64,53,8,63,0
23,BRISCOE,13,8,6,7,6,1
24,BROOKS,142,99,87,57,85,12
25,BROWN,532,390,332,112,420,53
26,BURLESON,189,145,136,19,170,18
27,BURNET,545,387,372,86,459,37
28,CALDWELL,493,353,315,65,428,50
29,CALHOUN,244,187,174,41,203,11
30,CALLAHAN,178,125,118,36,142,4
31,CAMERON,6264,4227,3667,1809,4455,152
32,CAMP,161,124,110,21,140,11
33,CARSON,63,47,40,3,60,2
34,CASS,483,389,312,58,425,38
35,CASTRO,124,83,83,33,91,10
36,CHAMBERS,320,239,209,57,263,26
37,CHEROKEE,752,572,516,109,643,65
38,CHILDRESS,90,59,39,29,61,5
39,CLAY,67,47,29,9,58,2
40,COCHRAN,32,20,20,2,30,1
41,COKE,21,18,16,3,18,4
42,COLEMAN,127,85,67,28,99,8
43,COLLIN,4540,3343,2173,596,3944,150
44,COLLINGSWORTH,41,27,21,7,34,0
45,COLORADO,173,130,102,26,147,2
46,COMAL,1006,560,496,340,666,79
47,COMANCHE,139,89,72,36,103,16
48,CONCHO,24,17,15,7,17,4
49,COOKE,595,457,394,66,529,20
50,CORYELL,1044,804,774,155,889,78
51,COTTLE,25,22,22,3,22,0
52,CRANE,26,26,24,1,25,1
53,CROCKETT,50,34,32,12,38,2
54,CROSBY,130,100,92,15,115,2
55,CULBERSON,28,18,18,10,18,0
56,DALLAM,116,89,88,13,103,3
57,DALLAS,23788,18024,14471,3630,20158,984
58,DAWSON,181,124,104,45,136,3
59,DEAF SMITH,308,234,227,32,276,6
60,DELTA,86,64,63,18,68,9
61,DENTON,4609,3575,2785,566,4043,231
