,County,Child  Population,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*
135,KING,61,0,0.0,0,0,0
136,KINNEY,689,5,7.3,3,5,3
137,KLEBERG,8369,85,10.2,19,87,58
138,KNOX,936,10,10.7,4,11,11
139,LAMAR,12128,118,9.7,47,114,83
140,LAMB,4035,33,8.2,5,28,22
141,LAMPASAS,4926,70,14.2,30,70,57
142,LASALLE,1522,27,17.7,12,28,17
143,LAVACA,4357,27,6.2,16,27,19
144,LEE,4195,71,16.9,16,65,51
145,LEON,3795,29,7.6,12,29,20
146,LIBERTY,19812,275,13.9,123,271,150
147,LIMESTONE,5557,59,10.6,20,60,39
148,LIPSCOMB,899,8,8.9,2,8,7
149,LIVE OAK,2270,29,12.8,15,29,21
150,LLANO,3119,57,18.3,28,59,42
151,LOVING,7,0,0.0,0,0,0
152,LUBBOCK,70284,899,12.8,276,856,606
153,LYNN,1597,8,5.0,1,8,8
154,MADISON,3021,46,15.2,20,47,30
155,MARION,1970,23,11.7,9,20,6
156,MARTIN,1438,2,1.4,1,2,0
157,MASON,835,5,6.0,0,3,2
158,MATAGORDA,9557,52,5.4,22,47,37
159,MAVERICK,18421,29,1.6,10,30,14
160,MCCULLOCH,2004,20,10.0,11,18,17
161,MCLENNAN,60271,515,8.5,157,494,349
162,MCMULLEN,121,3,24.8,2,2,0
163,MEDINA,12056,215,17.8,66,206,143
164,MENARD,436,12,27.5,4,12,10
165,MIDLAND,38364,220,5.7,73,206,141
166,MILAM,6448,101,15.7,41,96,62
167,MILLS,1163,9,7.7,4,8,7
168,MITCHELL,1816,16,8.8,7,16,16
169,MONTAGUE,4557,116,25.5,30,100,78
170,MONTGOMERY,132405,870,6.6,318,838,508
171,MOORE,7140,44,6.2,18,43,21
172,MORRIS,3035,16,5.3,4,16,13
173,MOTLEY,249,2,8.0,0,2,1
174,NACOGDOCHES,16124,201,12.5,67,199,161
175,NAVARRO,13134,107,8.1,37,105,80
176,NEWTON,3177,27,8.5,13,24,19
177,NOLAN,3978,82,20.6,51,79,58
178,NUECES,88188,681,7.7,211,653,435
179,OCHILTREE,3380,15,4.4,6,15,11
180,OLDHAM,630,2,3.2,1,2,2
181,ORANGE,20590,217,10.5,79,209,189
182,PALO PINTO,7095,112,15.8,53,111,74
183,PANOLA,5851,32,5.5,11,29,16
184,PARKER,31106,98,3.2,45,92,69
185,PARMER,3268,4,1.2,0,4,4
186,PECOS,3884,34,8.8,16,34,23
187,POLK,9670,117,12.1,45,114,80
188,POTTER,34211,372,10.9,105,370,307
189,PRESIDIO,2247,14,6.2,10,14,12
190,RAINS,2374,20,8.4,6,15,10
191,RANDALL,31181,466,14.9,135,444,299
192,REAGAN,1017,4,3.9,1,4,4
193,REAL,604,9,14.9,1,8,7
194,RED RIVER,2730,34,12.5,11,34,22
195,REEVES,3111,8,2.6,0,8,6
196,REFUGIO,1739,6,3.5,2,5,4
197,ROBERTS,238,0,0.0,0,0,0
198,ROBERTSON,4212,40,9.5,18,40,19
199,ROCKWALL,25042,48,1.9,16,47,24
200,RUNNELS,2614,36,13.8,7,35,19
201,RUSK,12632,108,8.5,44,94,42
202,SABINE,2051,11,5.4,3,9,5
203,SAN AUGUSTINE,1840,7,3.8,6,7,4
204,SAN JACINTO,6410,82,12.8,33,74,68
205,SAN PATRICIO,18070,111,6.1,62,112,83
206,SAN SABA,1247,14,11.2,3,10,6
207,SCHLEICHER,1121,5,4.5,3,5,5
208,SCURRY,4325,28,6.5,9,29,24
209,SHACKELFORD,816,0,0.0,0,0,0
210,SHELBY,6739,73,10.8,38,73,69
211,SHERMAN,879,1,1.1,0,1,1
212,SMITH,54893,463,8.4,231,455,300
213,SOMERVELL,2206,12,5.4,3,12,10
214,STARR,20668,132,6.4,58,123,103
215,STEPHENS,2280,8,3.5,2,8,8
216,STERLING,275,0,0.0,0,0,0
217,STONEWALL,325,0,0.0,0,0,0
218,SUTTON,1109,6,5.4,3,6,4
219,SWISHER,2026,24,11.8,0,24,10
220,TARRANT,517952,2136,4.1,791,2057,1742
221,TAYLOR,32799,331,10.1,130,323,224
222,TERRELL,207,0,0.0,0,0,0
223,TERRY,3317,70,21.1,20,71,46
224,THROCKMORTON,345,1,2.9,0,1,1
225,TITUS,9999,61,6.1,24,59,36
226,TOM GREEN,26599,557,20.9,169,538,379
227,TRAVIS,259016,1584,6.1,647,1496,956
228,TRINITY,3008,60,19.9,36,58,42
229,TYLER,4251,21,4.9,7,17,9
230,UPSHUR,9830,53,5.4,21,50,26
231,UPTON,943,9,9.5,2,7,3
232,UVALDE,7636,105,13.8,36,106,65
233,VAL VERDE,14849,46,3.1,21,46,35
234,VAN ZANDT,12663,160,12.6,43,152,100
235,VICTORIA,23152,227,9.8,86,231,172
236,WALKER,11453,92,8.0,50,95,64
237,WALLER,11256,84,7.5,23,77,55
238,WARD,2887,8,2.8,1,6,3
239,WASHINGTON,7510,51,6.8,28,48,34
240,WEBB,90260,709,7.9,357,705,572
241,WHARTON,11007,69,6.3,10,66,39
242,WHEELER,1364,14,10.3,7,12,6
243,WICHITA,30823,298,9.7,101,279,233
244,WILBARGER,3411,29,8.5,17,29,23
245,WILLACY,5958,56,9.4,20,51,43
246,WILLIAMSON,129411,504,3.9,139,483,327
247,WILSON,11587,88,7.6,49,90,48
248,WINKLER,2102,7,3.3,4,6,5
249,WISE,15837,119,7.5,43,111,83
250,WOOD,8708,132,15.2,68,130,103
251,YOAKUM,2519,10,4.0,3,9,6
252,YOUNG,4489,53,11.8,6,51,36
253,ZAPATA,4920,54,11.0,15,57,45
254,ZAVALA,3646,52,14.3,13,52,38
255,UNKNOWN,0,0,0.0,2,1,0
256,OUT OF STATE,0,6,0.0,1,1,1
257,STATE TOTAL,7054634,47137,6.7,16972,45694,"31,302*"
