,County,Total,African American,Anglo,Hispanic,Native American,Other**
1,ANDERSON,11498,1743,6603,2656,38,458
2,ANDREWS,4431,65,1498,2770,22,76
3,ANGELINA,23448,3606,11902,7181,56,703
4,ARANSAS,4505,55,2276,1985,17,172
5,ARCHER,2159,13,1832,268,10,36
6,ARMSTRONG,396,5,330,51,3,7
7,ATASCOSA,13238,82,3437,9592,21,106
8,AUSTIN,7331,731,3687,2726,22,165
9,BAILEY,2302,10,518,1752,5,17
10,BANDERA,4003,35,2777,1109,18,64
11,BASTROP,20398,1359,8286,9976,50,727
12,BAYLOR,760,14,553,176,3,14
13,BEE,6904,106,1528,5147,10,113
14,BELL,93172,20567,36616,27099,377,8513
15,BEXAR,477922,31504,95605,329412,820,20581
16,BLANCO,2281,8,1533,695,7,38
17,BORDEN,128,0,95,33,0,0
18,BOSQUE,4102,77,2700,1227,10,88
19,BOWIE,22147,6179,12789,1954,122,1103
20,BRAZORIA,91471,10823,38415,33488,275,8470
21,BRAZOS,43546,6326,18299,16011,90,2820
22,BREWSTER,1929,11,745,1101,4,68
23,BRISCOE,344,8,186,142,0,8
24,BROOKS,1983,4,114,1854,2,9
25,BROWN,9115,313,5597,2876,36,293
26,BURLESON,4118,538,2253,1230,11,86
27,BURNET,10064,174,6100,3517,30,243
28,CALDWELL,10088,511,2995,6325,22,235
29,CALHOUN,5726,108,1670,3638,7,303
30,CALLAHAN,3262,41,2703,411,21,86
31,CAMERON,137876,285,6450,130061,103,977
32,CAMP,3396,546,1490,1205,8,147
33,CARSON,1545,15,1294,190,8,38
34,CASS,7036,1334,4965,494,25,218
35,CASTRO,2497,53,586,1833,8,17
36,CHAMBERS,10367,714,6409,2896,32,316
37,CHEROKEE,13396,1800,6501,4609,15,471
38,CHILDRESS,1520,72,894,506,11,37
39,CLAY,2394,15,2117,185,33,44
40,COCHRAN,885,19,243,615,0,8
41,COKE,661,1,459,187,1,13
42,COLEMAN,1957,41,1352,515,8,41
43,COLLIN,237706,22033,127190,47767,1082,39634
44,COLLINGSWORTH,840,23,377,414,10,16
45,COLORADO,4928,690,2018,2105,3,112
46,COMAL,26685,403,15784,9739,62,697
47,COMANCHE,3337,9,1809,1464,9,46
48,CONCHO,568,4,306,254,1,3
49,COOKE,9788,260,6407,2673,93,355
50,CORYELL,22088,2983,11798,5052,118,2137
51,COTTLE,342,24,196,116,3,3
52,CRANE,1286,37,343,891,8,7
53,CROCKETT,970,0,203,761,2,4
54,CROSBY,1737,56,475,1191,0,15
55,CULBERSON,658,1,91,555,1,10
56,DALLAM,2065,19,908,1067,5,66
57,DALLAS,667394,149685,121647,350694,1672,43696
58,DAWSON,3418,128,914,2320,6,50
59,DEAF SMITH,6363,28,1160,5105,12,58
60,DELTA,1153,99,857,119,10,68
61,DENTON,193415,16332,105325,49717,957,21084
62,DEWITT,4478,354,1952,2017,9,146
63,DICKENS,473,3,251,208,8,3
