,County,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes
1,ANDERSON,9054,11,1182,2,24,18,4
2,ANDREWS,3445,4,362,0,0,3,1
3,ANGELINA,18302,35,3166,3,36,8,4
4,ARANSAS,3383,5,343,0,0,3,0
5,ARCHER,1569,4,224,1,12,3,1
6,ARMSTRONG,294,0,0,0,0,2,2
7,ATASCOSA,10033,13,818,2,24,6,3
8,AUSTIN,5570,11,922,0,0,10,2
9,BAILEY,1836,3,158,0,0,1,0
10,BANDERA,2895,5,370,0,0,1,0
11,BASTROP,15551,36,2958,6,72,24,11
12,BAYLOR,603,3,160,0,0,2,1
13,BEE,5371,7,770,1,12,5,1
14,BELL,75604,163,14786,25,297,85,126
15,BEXAR,373075,580,60908,35,420,236,447
16,BLANCO,1687,4,209,0,0,2,0
17,BORDEN,82,1,13,0,0,0,0
18,BOSQUE,3116,5,238,2,24,3,2
19,BOWIE,17084,40,3882,4,48,40,11
20,BRAZORIA,71661,147,17283,11,132,63,65
21,BRAZOS,35576,71,6872,13,153,66,29
22,BREWSTER,1505,4,295,1,12,9,0
23,BRISCOE,276,0,0,0,0,1,0
24,BROOKS,1571,6,290,0,0,0,1
25,BROWN,7005,15,1197,0,0,9,10
26,BURLESON,3113,6,335,1,12,4,2
27,BURNET,7688,20,1583,2,24,6,1
28,CALDWELL,7664,15,865,0,0,12,1
29,CALHOUN,4392,15,905,1,12,0,1
30,CALLAHAN,2461,4,148,1,12,5,1
31,CAMERON,107244,214,15007,23,275,31,32
32,CAMP,2596,6,437,2,24,1,0
33,CARSON,1146,0,0,0,0,5,2
34,CASS,5331,5,455,0,0,20,0
35,CASTRO,1931,3,80,0,0,3,1
36,CHAMBERS,7779,15,1397,2,24,6,3
37,CHEROKEE,10484,13,1143,1,12,14,3
38,CHILDRESS,1168,3,84,3,36,14,3
39,CLAY,1763,4,168,1,12,1,3
40,COCHRAN,690,1,55,0,0,0,0
41,COKE,496,1,17,0,0,0,0
42,COLEMAN,1518,3,134,4,48,2,2
43,COLLIN,183830,330,47963,102,1203,244,196
44,COLLINGSWORTH,649,0,0,1,12,1,1
45,COLORADO,3782,8,608,3,36,6,4
46,COMAL,19914,43,4447,4,48,17,14
47,COMANCHE,2577,4,143,4,48,3,2
48,CONCHO,456,2,85,0,0,1,1
49,COOKE,7519,8,643,9,108,14,14
50,CORYELL,17788,32,2764,4,48,18,9
51,COTTLE,267,1,34,0,0,0,0
52,CRANE,994,1,40,0,0,1,0
53,CROCKETT,762,2,80,1,12,0,0
54,CROSBY,1342,0,0,0,0,2,1
55,CULBERSON,500,1,59,0,0,2,0
56,DALLAM,1666,1,54,2,24,6,2
57,DALLAS,530907,800,91026,134,1581,796,671
58,DAWSON,2697,2,322,3,36,9,0
59,DEAF SMITH,5068,6,450,1,8,20,1
60,DELTA,861,0,0,1,11,2,0
61,DENTON,151149,244,32313,93,1116,208,192
62,DEWITT,3441,6,317,2,24,2,1
63,DICKENS,370,1,20,0,0,0,1
64,DIMMIT,2266,5,309,0,0,3,0
65,DONLEY,552,0,0,2,24,3,1
66,DUVAL,2342,6,225,0,0,0,2
67,EASTLAND,3236,9,304,2,24,6,2
68,ECTOR,32788,48,4558,9,108,54,5
69,EDWARDS,324,0,0,0,0,0,0
70,ELLIS,33619,56,6207,8,96,54,26
71,EL PASO,187555,278,26240,147,1757,346,95
72,ERATH,6849,13,909,6,72,9,15
73,FALLS,3008,3,217,1,12,5,1
74,FANNIN,5799,8,547,1,12,15,6
75,FAYETTE,4040,9,487,6,72,11,3
76,FISHER,612,0,0,0,0,0,0
77,FLOYD,1392,2,227,0,0,1,1
78,FOARD,185,1,35,0,0,0,0
79,FORT BEND,139745,262,33055,36,432,99,199
80,FRANKLIN,2069,4,269,1,12,4,0
81,FREESTONE,3608,8,471,2,24,14,4
82,FRIO,3299,6,465,2,24,5,1
83,GAINES,5143,2,102,3,36,2,1
84,GALVESTON,58491,128,14154,15,173,63,65
85,GARZA,997,2,80,0,0,3,0
86,GILLESPIE,3796,11,515,4,48,8,3
87,GLASSCOCK,232,1,12,0,0,0,0
88,GOLIAD,1183,2,141,0,0,2,0
89,GONZALES,4322,7,350,1,12,11,1
90,GRAY,4562,11,845,0,0,5,0
91,GRAYSON,22698,35,3234,9,108,46,20
92,GREGG,24896,56,6369,5,60,36,20
93,GRIMES,4625,7,326,10,119,6,4
94,GUADALUPE,28729,34,3037,9,104,29,34
95,HALE,8359,7,664,8,96,10,4
96,HALL,626,1,47,0,0,1,0
97,HAMILTON,1335,3,165,4,48,3,6
98,HANSFORD,1330,2,89,0,0,5,2
99,HARDEMAN,785,2,95,4,48,2,1
100,HARDIN,11034,13,1537,1,12,4,4
101,HARRIS,926013,1545,173198,183,2178,916,1524
102,HARRISON,13401,18,1693,5,60,25,9
103,HARTLEY,1032,1,150,0,0,1,1
104,HASKELL,947,2,95,1,12,1,1
105,HAYS,33459,79,5627,12,140,57,31
106,HEMPHILL,898,1,98,0,0,2,0
107,HENDERSON,13897,16,1667,3,36,18,3
108,HIDALGO,215911,417,29876,99,1185,69,113
109,HILL,6646,12,610,2,24,12,3
110,HOCKLEY,4962,9,514,6,72,4,1
111,HOOD,8449,18,1368,6,72,9,10
112,HOPKINS,7048,9,1026,5,60,15,1
113,HOUSTON,3724,2,267,2,24,8,4
114,HOWARD,6228,11,1095,1,12,5,2
115,HUDSPETH,741,1,34,0,0,1,0
116,HUNT,16978,25,2543,4,48,36,10
117,HUTCHINSON,4493,5,262,4,48,7,3
118,IRION,232,1,20,0,0,1,0
119,JACK,1484,2,118,1,12,2,1
120,JACKSON,2758,6,305,6,72,17,2
121,JASPER,6878,8,853,2,24,5,3
122,JEFF DAVIS,283,0,0,0,0,3,0
123,JEFFERSON,47215,82,8346,8,96,22,27
124,JIM HOGG,1208,4,219,0,0,4,2
125,JIM WELLS,9264,23,1011,2,24,6,2
126,JOHNSON,32409,37,4508,5,60,27,18
127,JONES,2842,3,89,1,12,5,3
128,KARNES,2265,5,152,1,12,4,3
129,KAUFMAN,23972,35,4237,4,48,41,21
130,KENDALL,6011,15,1336,3,36,7,2
131,KENEDY,73,0,0,0,0,0,0
132,KENT,128,0,0,0,0,1,0
133,KERR,7748,15,1411,4,48,15,4
134,KIMBLE,687,2,100,1,12,2,0
135,KING,41,0,0,0,0,0,0
136,KINNEY,493,0,0,0,0,0,0
137,KLEBERG,6602,12,676,1,12,5,5
138,KNOX,749,3,94,0,0,0,1
139,LAMAR,9301,15,1350,8,94,21,5
140,LAMB,3145,3,127,1,12,4,0
141,LAMPASAS,3658,4,307,4,48,4,6
