,County,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity
1,ANDERSON,11498,0,10,0,0,0,0,10,40
2,ANDREWS,4431,0,5,0,0,0,0,5,19
3,ANGELINA,23448,3,23,0,0,0,0,26,72
4,ARANSAS,4505,0,5,0,0,0,0,5,25
5,ARCHER,2159,0,4,0,0,0,0,4,5
6,ARMSTRONG,396,0,0,0,0,0,0,0,0
7,ATASCOSA,13238,0,16,0,0,0,0,16,45
8,AUSTIN,7331,0,6,0,0,1,0,7,51
9,BAILEY,2302,0,5,0,0,0,0,5,24
10,BANDERA,4003,0,10,1,0,0,0,11,162
11,BASTROP,20398,0,46,1,0,0,0,47,185
12,BAYLOR,760,0,0,0,0,0,0,0,0
13,BEE,6904,0,11,1,0,0,0,12,181
14,BELL,93172,8,219,2,0,1,1,231,793
15,BEXAR,477922,39,1006,14,0,7,0,1066,4150
16,BLANCO,2281,0,2,0,0,0,0,2,1
17,BORDEN,128,0,0,0,0,0,0,0,0
18,BOSQUE,4102,0,7,0,0,0,0,7,15
19,BOWIE,22147,0,19,0,0,0,0,19,52
20,BRAZORIA,91471,1,137,3,0,3,0,144,708
21,BRAZOS,43546,3,54,1,0,1,0,59,197
22,BREWSTER,1929,0,1,0,0,0,0,1,0
23,BRISCOE,344,0,2,0,0,0,0,2,3
24,BROOKS,1983,0,1,0,0,0,0,1,6
25,BROWN,9115,8,71,1,0,0,0,80,349
26,BURLESON,4118,0,3,0,0,0,0,3,6
27,BURNET,10064,1,12,0,0,0,0,13,41
28,CALDWELL,10088,0,22,0,0,2,0,24,277
29,CALHOUN,5726,0,10,0,0,0,0,10,39
30,CALLAHAN,3262,0,6,0,0,0,0,6,23
31,CAMERON,137876,7,152,6,0,0,0,165,1378
32,CAMP,3396,0,9,0,0,0,0,9,28
33,CARSON,1545,0,1,0,0,0,0,1,0
34,CASS,7036,0,9,0,0,0,0,9,33
35,CASTRO,2497,0,6,0,0,0,0,6,18
36,CHAMBERS,10367,0,7,0,0,0,0,7,15
37,CHEROKEE,13396,0,20,0,0,0,0,20,55
38,CHILDRESS,1520,0,1,0,0,0,0,1,3
39,CLAY,2394,0,7,0,0,0,0,7,27
40,COCHRAN,885,0,0,0,0,0,0,0,0
41,COKE,661,0,0,0,0,0,0,0,0
42,COLEMAN,1957,0,7,0,0,0,0,7,16
43,COLLIN,237706,4,209,1,0,0,0,214,544
44,COLLINGSWORTH,840,0,0,0,0,0,0,0,0
45,COLORADO,4928,0,2,0,0,0,0,2,8
46,COMAL,26685,1,55,4,0,1,0,61,339
47,COMANCHE,3337,1,11,0,0,0,0,12,34
48,CONCHO,568,0,2,0,0,0,0,2,6
49,COOKE,9788,0,2,0,1,0,0,3,7
50,CORYELL,22088,0,38,0,0,0,0,38,141
51,COTTLE,342,0,0,0,0,0,0,0,0
52,CRANE,1286,0,0,0,0,0,0,0,0
53,CROCKETT,970,0,0,0,0,0,0,0,0
54,CROSBY,1737,0,2,0,0,0,0,2,8
55,CULBERSON,658,0,0,0,0,0,0,0,0
56,DALLAM,2065,0,1,0,0,0,0,1,0
57,DALLAS,667394,48,715,5,0,4,0,772,2631
58,DAWSON,3418,0,5,0,0,0,0,5,24
59,DEAF SMITH,6363,0,1,0,0,0,0,1,5
60,DELTA,1153,0,3,0,0,0,0,3,7
61,DENTON,193415,1,169,1,0,0,0,171,479
62,DEWITT,4478,0,7,1,0,0,0,8,68
63,DICKENS,473,0,0,0,0,0,0,0,0
64,DIMMIT,2932,0,4,0,0,0,0,4,5
65,DONLEY,729,0,5,0,0,0,0,5,14
66,DUVAL,3044,0,1,0,0,0,0,1,6
67,EASTLAND,4197,0,13,0,0,0,0,13,44
68,ECTOR,40880,1,49,0,0,0,0,50,148
69,EDWARDS,412,0,0,0,0,0,0,0,0
70,ELLIS,44792,2,86,2,0,0,0,90,453
71,EL PASO,244164,8,190,6,0,0,0,204,862
72,ERATH,8657,1,13,1,0,0,0,15,116
73,FALLS,3871,0,10,0,0,1,0,11,61
74,FANNIN,7539,0,9,0,0,0,0,9,20
75,FAYETTE,5434,0,4,0,0,1,0,5,32
76,FISHER,827,0,1,0,0,0,0,1,2
77,FLOYD,1813,0,3,0,0,0,0,3,13
78,FOARD,264,0,0,0,0,0,0,0,0
79,FORT BEND,184786,3,274,2,0,5,0,284,1065
80,FRANKLIN,2649,0,5,0,0,0,0,5,17
81,FREESTONE,4644,0,8,1,0,0,0,9,74
82,FRIO,4226,0,9,0,0,0,0,9,39
83,GAINES,6436,0,5,0,0,0,0,5,15
84,GALVESTON,75257,1,98,2,0,1,0,102,349
85,GARZA,1272,0,1,0,0,0,0,1,2
86,GILLESPIE,5119,0,8,0,0,0,0,8,18
87,GLASSCOCK,329,0,0,0,0,0,0,0,0
88,GOLIAD,1613,0,9,1,0,0,0,10,54
89,GONZALES,5447,1,6,0,0,1,0,8,93
90,GRAY,5714,0,7,0,0,0,0,7,20
91,GRAYSON,29242,0,25,1,0,0,0,26,67
92,GREGG,31504,2,39,0,0,0,0,41,111
93,GRIMES,6083,0,8,0,0,0,0,8,20
94,GUADALUPE,38282,1,76,0,0,1,0,78,234
95,HALE,10553,0,17,0,0,0,0,17,51
96,HALL,829,0,0,0,0,0,0,0,0
97,HAMILTON,1790,1,0,0,0,0,0,1,0
98,HANSFORD,1697,0,1,0,0,0,0,1,2
99,HARDEMAN,1018,0,5,0,0,0,0,5,14
100,HARDIN,14333,0,10,0,0,0,0,10,41
101,HARRIS,1171213,51,1498,21,4,23,1,1598,5794
102,HARRISON,17217,0,21,2,0,1,0,24,176
103,HARTLEY,1322,0,3,0,0,0,0,3,11
104,HASKELL,1210,0,1,0,0,0,0,1,2
105,HAYS,43078,2,73,1,0,2,0,78,502
106,HEMPHILL,1122,0,1,0,0,0,0,1,3
107,HENDERSON,18071,0,33,0,0,0,0,33,95
108,HIDALGO,276110,7,129,1,0,0,0,137,602
109,HILL,8639,0,8,1,0,0,0,9,90
110,HOCKLEY,6277,0,15,0,0,2,0,17,112
111,HOOD,11029,1,8,0,0,0,0,9,23
112,HOPKINS,9087,1,15,0,0,0,0,16,39
113,HOUSTON,4822,0,9,0,0,0,0,9,29
114,HOWARD,7854,1,12,0,0,0,0,13,28
115,HUDSPETH,991,0,1,0,0,0,0,1,5
116,HUNT,22135,0,36,1,0,1,0,38,182
117,HUTCHINSON,5815,0,11,0,0,0,0,11,40
118,IRION,338,0,0,0,0,0,0,0,0
119,JACK,1957,0,3,0,0,0,0,3,5
120,JACKSON,3559,0,7,0,0,0,0,7,16
121,JASPER,8846,0,18,0,0,0,0,18,57
122,JEFF DAVIS,388,0,0,0,0,1,0,1,84
123,JEFFERSON,60731,6,107,4,0,0,0,117,502
124,JIM HOGG,1515,0,0,0,0,0,0,0,0
125,JIM WELLS,11941,0,9,0,0,0,0,9,30
126,JOHNSON,42338,0,58,0,0,0,0,58,201
127,JONES,3740,0,6,0,0,0,0,6,24
128,KARNES,2934,0,3,0,0,0,0,3,7
129,KAUFMAN,31438,0,78,1,0,0,0,79,245
130,KENDALL,8338,1,20,1,0,1,0,23,158
131,KENEDY,96,0,0,0,0,0,0,0,0
132,KENT,178,0,1,0,0,0,0,1,12
133,KERR,10128,4,21,3,0,1,0,29,283
134,KIMBLE,920,0,3,0,0,0,0,3,11
135,KING,61,0,0,0,0,0,0,0,0
136,KINNEY,689,0,1,0,0,0,0,1,5
137,KLEBERG,8369,0,8,0,0,0,0,8,37
138,KNOX,936,0,0,0,0,0,0,0,0
139,LAMAR,12128,0,4,0,0,0,0,4,15
140,LAMB,4035,0,3,0,0,0,0,3,10
141,LAMPASAS,4926,0,17,1,0,0,0,18,119
142,LASALLE,1522,0,0,0,0,0,0,0,0
143,LAVACA,4357,0,8,0,0,0,0,8,30
144,LEE,4195,0,17,0,0,0,0,17,71
145,LEON,3795,0,7,0,0,0,0,7,17
146,LIBERTY,19812,0,14,0,0,0,0,14,40
147,LIMESTONE,5557,0,8,0,0,0,0,8,21
148,LIPSCOMB,899,0,0,0,0,0,0,0,0
149,LIVE OAK,2270,0,5,0,0,0,0,5,12
150,LLANO,3119,0,3,0,0,0,0,3,7
151,LOVING,7,0,0,0,0,0,0,0,0
152,LUBBOCK,70284,11,191,4,0,1,1,208,812
153,LYNN,1597,0,2,0,0,0,0,2,3
154,MADISON,3021,0,2,0,0,0,0,2,2
155,MARION,1970,0,1,0,0,0,0,1,4
156,MARTIN,1438,0,1,0,0,0,0,1,2
157,MASON,835,0,1,0,0,0,0,1,2
158,MATAGORDA,9557,0,5,0,0,1,0,6,40
159,MAVERICK,18421,0,8,0,0,0,0,8,11
160,MCCULLOCH,2004,1,16,0,0,0,0,17,66
