,County,Region,Child  Population,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*
108,HIDALGO,011,284166,1048,3.7,369,393,607,789
109,HILL,007,8734,105,12.0,55,65,43,55
110,HOCKLEY,001,6387,90,14.1,24,35,49,51
111,HOOD,003,11219,129,11.5,51,48,79,101
112,HOPKINS,004,9229,90,9.8,49,45,35,39
113,HOUSTON,005,4811,64,13.3,17,27,35,51
114,HOWARD,009,8012,172,21.5,48,100,68,110
115,HUDSPETH,010,953,1,1.0,3,1,0,0
116,HUNT,003,22830,263,11.5,142,125,132,190
117,HUTCHINSON,001,5750,55,9.6,31,16,39,44
118,IRION,009,310,1,3.2,0,0,1,1
119,JACK,002,1959,26,13.3,15,18,9,14
120,JACKSON,008,3562,18,5.1,8,15,3,10
121,JASPER,005,8806,48,5.5,19,20,29,39
122,JEFF DAVIS,010,367,0,0.0,0,0,0,0
123,JEFFERSON,005,61551,383,6.2,181,125,248,325
124,JIM HOGG,011,1548,11,7.1,0,8,1,3
125,JIM WELLS,011,12095,91,7.5,32,50,39,53
126,JOHNSON,003,43533,413,9.5,153,149,251,325
127,JONES,002,3758,17,4.5,0,12,5,8
128,KARNES,008,2924,56,19.2,16,29,22,30
129,KAUFMAN,003,33128,147,4.4,71,80,66,90
130,KENDALL,008,8456,39,4.6,17,23,14,27
131,KENEDY,011,99,0,0.0,0,0,0,0
132,KENT,002,162,4,24.7,0,0,4,4
133,KERR,008,10314,156,15.1,56,76,73,118
134,KIMBLE,009,910,23,25.3,4,8,14,21
135,KING,001,57,0,0.0,0,0,0,0
136,KINNEY,008,681,5,7.3,0,0,5,3
137,KLEBERG,011,8565,96,11.2,34,41,51,66
138,KNOX,002,931,9,9.7,3,0,9,9
139,LAMAR,004,12229,138,11.3,79,75,55,86
140,LAMB,001,4020,54,13.4,31,31,23,31
141,LAMPASAS,007,4923,75,15.2,34,45,21,32
142,LA SALLE,008,1562,27,17.3,6,11,16,15
143,LAVACA,008,4263,30,7.0,3,11,15,18
144,LEE,007,4076,57,14.0,19,42,15,28
145,LEON,007,3867,52,13.4,28,23,29,30
146,LIBERTY,006,20300,273,13.4,94,155,114,164
147,LIMESTONE,007,5653,50,8.8,26,38,15,29
148,LIPSCOMB,001,878,2,2.3,0,1,1,1
149,LIVE OAK,011,2218,58,26.1,38,31,27,33
150,LLANO,007,3144,61,19.4,29,46,14,29
151,LOVING,009,7,0,0.0,0,0,0,0
152,LUBBOCK,001,72975,920,12.6,306,382,526,633
153,LYNN,001,1594,15,9.4,7,6,8,7
154,MADISON,007,3082,23,7.5,7,12,10,11
155,MARION,004,1925,22,11.4,9,7,10,11
156,MARTIN,009,1449,1,0.7,0,1,0,0
157,MASON,009,803,1,1.2,1,1,0,1
158,MATAGORDA,006,9567,56,5.9,20,34,23,43
159,MAVERICK,008,18645,28,1.5,8,10,19,22
160,MCCULLOCH,009,1998,23,11.5,2,10,13,14
161,MCLENNAN,007,61080,702,11.5,307,401,296,417
162,MCMULLEN,011,121,4,33.1,4,4,0,1
163,MEDINA,008,12245,197,16.1,68,104,79,105
164,MENARD,009,422,5,11.8,0,2,3,3
165,MIDLAND,009,39433,187,4.7,45,80,97,115
166,MILAM,007,6366,110,17.3,49,71,37,60
167,MILLS,007,1153,12,10.4,1,7,5,10
168,MITCHELL,002,1813,6,3.3,0,1,5,5
169,MONTAGUE,002,4611,64,13.9,18,27,29,41
170,MONTGOMERY,006,139135,668,4.8,200,330,315,424
171,MOORE,001,7286,25,3.4,8,7,17,21
172,MORRIS,004,3038,21,6.9,10,17,4,11
173,MOTLEY,001,244,2,8.2,0,0,2,1
174,NACOGDOCHES,005,17077,184,10.8,75,64,117,146
175,NAVARRO,003,13432,97,7.2,17,28,66,73
176,NEWTON,005,3067,22,7.2,8,5,14,17
177,NOLAN,002,4006,46,11.5,9,19,23,31
178,NUECES,011,88260,471,5.3,278,210,265,374
179,OCHILTREE,001,3525,9,2.6,1,3,6,6
180,OLDHAM,001,541,1,1.8,0,0,1,1
181,ORANGE,005,20768,225,10.8,110,80,138,175
182,PALO PINTO,003,7172,215,30.0,111,90,114,145
183,PANOLA,004,5913,34,5.8,17,18,13,25
184,PARKER,003,32597,283,8.7,141,157,115,185
185,PARMER,001,3335,3,0.9,0,1,2,3
186,PECOS,009,3967,27,6.8,10,15,9,15
187,POLK,005,9774,128,13.1,58,76,48,78
188,POTTER,001,34841,435,12.5,153,92,343,368
189,PRESIDIO,010,2215,9,4.1,1,3,4,4
190,RAINS,004,2379,22,9.2,14,9,13,14
191,RANDALL,001,32138,280,8.7,67,101,168,204
192,REAGAN,009,1004,2,2.0,2,0,2,2
193,REAL,008,595,20,33.6,5,15,5,7
194,RED RIVER,004,2700,33,12.2,20,21,10,19
195,REEVES,009,3126,17,5.4,7,1,16,17
196,REFUGIO,011,1710,16,9.4,10,8,7,10
197,ROBERTS,001,241,0,0.0,0,0,0,0
198,ROBERTSON,007,4243,27,6.4,6,16,8,18
199,ROCKWALL,003,26244,37,1.4,11,20,16,21
200,RUNNELS,002,2576,37,14.4,14,22,16,23
201,RUSK,004,12988,159,12.2,84,100,54,76
202,SABINE,005,2022,9,4.5,7,7,1,4
203,SAN AUGUSTINE,005,1810,11,6.1,3,4,7,11
204,SAN JACINTO,005,6435,49,7.6,11,22,26,34
205,SAN PATRICIO,011,17858,165,9.2,81,98,65,114
206,SAN SABA,007,1212,36,29.7,27,25,11,10
207,SCHLEICHER,009,1132,13,11.5,1,8,5,10
208,SCURRY,002,4460,28,6.3,9,11,15,19
209,SHACKELFORD,002,803,1,1.2,1,1,0,0
210,SHELBY,005,6856,66,9.6,34,37,29,48
211,SHERMAN,001,854,1,1.2,0,0,1,1
212,SMITH,004,56163,485,8.6,168,232,238,284
213,SOMERVELL,003,2203,16,7.3,2,7,9,14
214,STARR,011,20650,106,5.1,30,42,66,87
215,STEPHENS,002,2265,21,9.3,3,8,13,16
216,STERLING,009,277,4,14.4,0,4,0,0
217,STONEWALL,002,320,1,3.1,0,1,0,0
218,SUTTON,009,1112,5,4.5,0,1,1,1
219,SWISHER,001,2025,23,11.4,16,16,7,12
220,TARRANT,003,529400,2104,4.0,673,586,1406,1661
221,TAYLOR,002,33477,361,10.8,135,140,207,276
222,TERRELL,009,213,0,0.0,0,0,0,0
223,TERRY,001,3378,78,23.1,29,46,23,28
224,THROCKMORTON,002,323,0,0.0,0,0,0,0
225,TITUS,004,10095,47,4.7,16,24,24,29
226,TOM GREEN,009,27232,589,21.6,192,273,307,354
227,TRAVIS,007,274241,1617,5.9,631,838,704,961
228,TRINITY,005,3000,41,13.7,10,16,17,24
229,TYLER,005,4170,30,7.2,14,15,15,22
230,UPSHUR,004,9982,84,8.4,29,45,29,51
231,UPTON,009,963,8,8.3,2,3,5,6
232,UVALDE,008,7748,84,10.8,34,36,44,50
233,VAL VERDE,008,15133,54,3.6,17,37,13,27
234,VAN ZANDT,004,12704,191,15.0,83,79,106,128
235,VICTORIA,008,23319,255,10.9,72,112,133,168
236,WALKER,006,11681,89,7.6,26,41,35,45
237,WALLER,006,11991,65,5.4,29,35,27,39
238,WARD,009,2893,22,7.6,16,8,14,13
239,WASHINGTON,007,7696,64,8.3,25,33,28,44
240,WEBB,011,92593,697,7.5,230,214,477,589
241,WHARTON,006,11154,36,3.2,14,15,21,30
242,WHEELER,001,1372,11,8.0,4,4,7,5
243,WICHITA,002,31177,310,9.9,124,115,192,285
244,WILBARGER,002,3466,21,6.1,5,5,17,16
245,WILLACY,011,6085,83,13.6,35,29,51,55
246,WILLIAMSON,007,137516,440,3.2,180,202,217,250
247,WILSON,008,11834,111,9.4,33,82,25,52
248,WINKLER,009,2129,8,3.8,3,4,4,8
249,WISE,003,16317,154,9.4,56,83,54,76
250,WOOD,004,8810,164,18.6,73,77,81,108
251,YOAKUM,001,2597,15,5.8,5,11,5,6
252,YOUNG,002,4524,34,7.5,16,24,10,24
253,ZAPATA,011,5076,47,9.3,13,19,29,38
254,ZAVALA,008,3701,47,12.7,14,31,16,21
255,UNKNOWN,,n/a,0,n/a,3,0,0,0
256,OUT OF STATE,,n/a,0,n/a,1,0,0,0
257,STATE TOTAL,,7266760,46823,6.4,17378,21994,23631,31176
