,County,Region,Not Open To Services,Family Preservation,Family Subsitute Care*,Total
1,ANDERSON,004,380,32,25,437
2,ANDREWS,009,98,14,5,117
3,ANGELINA,005,591,47,32,670
4,ARANSAS,011,183,65,24,272
5,ARCHER,002,45,11,2,58
6,ARMSTRONG,001,12,2,0,14
7,ATASCOSA,008,321,63,23,407
8,AUSTIN,006,118,22,9,149
9,BAILEY,001,38,8,3,49
10,BANDERA,008,104,15,9,128
11,BASTROP,007,576,27,65,668
12,BAYLOR,002,27,7,0,34
13,BEE,011,216,49,27,292
14,BELL,007,2752,197,211,3160
15,BEXAR,008,10624,2166,768,13558
16,BLANCO,007,32,3,10,45
17,BORDEN,009,1,0,0,1
18,BOSQUE,007,116,10,15,141
19,BOWIE,004,698,25,40,763
20,BRAZORIA,006,1421,158,50,1629
21,BRAZOS,007,903,45,28,976
22,BREWSTER,010,44,6,0,50
23,BRISCOE,001,7,2,1,10
24,BROOKS,011,71,22,1,94
25,BROWN,002,247,62,29,338
26,BURLESON,007,149,6,12,167
27,BURNET,007,350,25,34,409
28,CALDWELL,007,290,27,18,335
29,CALHOUN,008,124,34,10,168
30,CALLAHAN,002,101,12,2,115
31,CAMERON,011,2629,526,95,3250
32,CAMP,004,97,5,5,107
33,CARSON,001,22,6,2,30
34,CASS,004,198,17,27,242
35,CASTRO,001,39,3,0,42
36,CHAMBERS,006,156,24,12,192
37,CHEROKEE,004,342,49,25,416
38,CHILDRESS,001,35,5,0,40
39,CLAY,002,51,8,4,63
40,COCHRAN,001,21,2,1,24
41,COKE,009,28,5,0,33
42,COLEMAN,002,52,18,2,72
43,COLLIN,003,2737,317,115,3169
44,COLLINGSWORTH,001,17,1,2,20
45,COLORADO,006,92,14,3,109
46,COMAL,008,647,141,64,852
47,COMANCHE,002,104,18,2,124
48,CONCHO,009,17,3,0,20
49,COOKE,003,319,30,23,372
50,CORYELL,007,577,50,54,681
51,COTTLE,002,7,2,2,11
52,CRANE,009,14,3,0,17
53,CROCKETT,009,29,6,3,38
54,CROSBY,001,44,17,2,63
55,CULBERSON,010,21,3,2,26
56,DALLAM,001,54,8,0,62
57,DALLAS,003,12173,1399,950,14522
58,DAWSON,009,122,23,12,157
59,DEAF SMITH,001,107,9,8,124
60,DELTA,004,23,2,7,32
61,DENTON,003,2779,270,127,3176
62,DE WITT,008,127,18,9,154
63,DICKENS,001,19,5,2,26
64,DIMMIT,008,82,13,9,104
65,DONLEY,001,20,8,0,28
66,DUVAL,011,62,20,3,85
67,EASTLAND,002,136,29,4,169
68,ECTOR,009,981,152,67,1200
69,EDWARDS,008,8,0,0,8
70,ELLIS,003,810,134,35,979
71,EL PASO,010,3945,807,108,4860
72,ERATH,003,168,36,4,208
73,FALLS,007,113,10,6,129
74,FANNIN,003,187,30,13,230
75,FAYETTE,007,109,6,8,123
76,FISHER,002,27,6,0,33
77,FLOYD,001,42,6,3,51
78,FOARD,002,6,0,0,6
79,FORT BEND,006,1553,383,52,1988
80,FRANKLIN,004,48,2,5,55
81,FREESTONE,007,124,2,9,135
82,FRIO,008,131,30,8,169
83,GAINES,009,70,13,2,85
84,GALVESTON,006,1678,189,65,1932
85,GARZA,001,27,8,2,37
86,GILLESPIE,008,101,8,3,112
87,GLASSCOCK,009,2,0,0,2
88,GOLIAD,008,36,11,2,49
89,GONZALES,008,130,19,8,157
90,GRAY,001,193,38,8,239
91,GRAYSON,003,931,123,52,1106
92,GREGG,004,768,118,50,936
93,GRIMES,007,144,13,14,171
94,GUADALUPE,008,844,76,36,956
95,HALE,001,186,52,21,259
96,HALL,001,21,2,0,23
97,HAMILTON,007,54,4,1,59
98,HANSFORD,001,15,2,1,18
99,HARDEMAN,002,26,5,2,33
100,HARDIN,005,447,26,10,483
101,HARRIS,006,17611,2170,876,20657
102,HARRISON,004,408,38,29,475
103,HARTLEY,001,10,0,1,11
104,HASKELL,002,25,8,0,33
105,HAYS,007,823,61,54,938
106,HEMPHILL,001,11,3,1,15
107,HENDERSON,004,532,90,56,678
108,HIDALGO,011,4892,1003,104,5999
109,HILL,007,222,22,34,278
110,HOCKLEY,001,147,32,10,189
111,HOOD,003,367,87,15,469
112,HOPKINS,004,231,10,30,271
113,HOUSTON,005,128,14,9,151
114,HOWARD,009,254,41,27,322
115,HUDSPETH,010,15,2,0,17
116,HUNT,003,575,78,74,727
117,HUTCHINSON,001,160,26,9,195
118,IRION,009,10,0,0,10
119,JACK,002,49,10,6,65
120,JACKSON,008,69,20,4,93
121,JASPER,005,280,19,9,308
122,JEFF DAVIS,010,9,1,0,10
123,JEFFERSON,005,1793,91,90,1974
124,JIM HOGG,011,54,9,0,63
125,JIM WELLS,011,286,48,16,350
126,JOHNSON,003,954,216,68,1238
127,JONES,002,121,30,0,151
128,KARNES,008,97,10,3,110
129,KAUFMAN,003,562,63,39,664
130,KENDALL,008,141,11,10,162
131,KENEDY,011,0,0,0,0
132,KENT,002,6,1,0,7
133,KERR,008,350,66,32,448
134,KIMBLE,009,32,2,4,38
135,KING,001,1,0,0,1
136,KINNEY,008,20,1,0,21
137,KLEBERG,011,192,38,11,241
138,KNOX,002,15,3,1,19
139,LAMAR,004,421,24,34,479
140,LAMB,001,75,10,11,96
141,LAMPASAS,007,148,15,18,181
142,LA SALLE,008,47,8,7,62
143,LAVACA,008,83,12,4,99
144,LEE,007,104,6,6,116
145,LEON,007,104,3,12,119
146,LIBERTY,006,533,99,61,693
147,LIMESTONE,007,164,13,16,193
148,LIPSCOMB,001,12,0,0,12
149,LIVE OAK,011,49,13,12,74
150,LLANO,007,153,13,20,186
151,LOVING,009,0,0,0,0
152,LUBBOCK,001,1824,371,143,2338
153,LYNN,001,36,9,1,46
154,MADISON,007,80,4,4,88
155,MARION,004,84,4,5,93
156,MARTIN,009,18,3,0,21
157,MASON,009,27,1,0,28
158,MATAGORDA,006,216,47,10,273
159,MAVERICK,008,215,10,6,231
160,MCCULLOCH,009,73,13,2,88
161,MCLENNAN,007,1704,198,153,2055
162,MCMULLEN,011,5,2,2,9
163,MEDINA,008,210,61,27,298
164,MENARD,009,12,1,0,13
165,MIDLAND,009,748,62,31,841
166,MILAM,007,160,13,24,197
167,MILLS,007,37,1,3,41
168,MITCHELL,002,68,17,0,85
169,MONTAGUE,002,140,27,8,175
170,MONTGOMERY,006,2126,224,98,2448
171,MOORE,001,149,11,2,162
172,MORRIS,004,129,5,5,139
173,MOTLEY,001,3,1,0,4
174,NACOGDOCHES,005,305,9,32,346
175,NAVARRO,003,339,33,10,382
176,NEWTON,005,64,6,3,73
177,NOLAN,002,184,49,4,237
178,NUECES,011,2726,545,107,3378
179,OCHILTREE,001,61,9,0,70
180,OLDHAM,001,7,0,0,7
181,ORANGE,005,795,34,54,883
182,PALO PINTO,003,212,69,34,315
183,PANOLA,004,155,20,8,183
184,PARKER,003,736,99,53,888
185,PARMER,001,30,4,1,35
186,PECOS,009,77,13,4,94
187,POLK,005,394,20,28,442
188,POTTER,001,1173,216,67,1456
189,PRESIDIO,010,12,3,1,16
190,RAINS,004,70,7,6,83
191,RANDALL,001,694,79,35,808
192,REAGAN,009,19,1,1,21
193,REAL,008,21,1,2,24
194,RED RIVER,004,90,6,11,107
