,County,Region,Total,African American,Anglo,Hispanic,Native American,Other **
127,JONES,002,3758,156,2236,1247,7,112
128,KARNES,008,2924,53,926,1902,14,29
129,KAUFMAN,003,33128,3301,19491,9024,159,1153
130,KENDALL,008,8456,33,5537,2673,20,193
131,KENEDY,011,99,0,16,79,3,1
132,KENT,002,162,1,112,47,0,2
133,KERR,008,10314,146,5440,4430,15,283
134,KIMBLE,009,910,3,542,361,0,4
135,KING,001,57,0,49,8,0,0
136,KINNEY,008,681,4,176,491,1,9
137,KLEBERG,011,8565,244,1292,6814,7,208
138,KNOX,002,931,58,446,404,4,19
139,LAMAR,004,12229,1903,7860,1677,136,653
140,LAMB,001,4020,175,1080,2707,2,56
141,LAMPASAS,007,4923,91,3147,1397,30,258
142,LASALLE,008,1562,4,136,1414,0,8
143,LAVACA,008,4263,328,2619,1230,1,85
144,LEE,007,4076,328,2096,1519,3,130
145,LEON,007,3867,212,2602,982,5,66
146,LIBERTY,006,20300,1812,12043,5798,52,595
147,LIMESTONE,007,5653,978,2610,1875,9,181
148,LIPSCOMB,001,878,4,447,402,7,18
149,LIVE OAK,011,2218,18,1049,1121,5,25
150,LLANO,007,3144,28,2448,576,12,80
151,LOVING,009,7,0,4,3,0,0
152,LUBBOCK,001,72975,5947,30557,33328,252,2891
153,LYNN,001,1594,17,604,945,7,21
154,MADISON,007,3082,514,1621,818,6,123
155,MARION,004,1925,498,1206,124,8,89
156,MARTIN,009,1449,29,642,759,2,17
157,MASON,009,803,4,535,255,3,6
158,MATAGORDA,006,9567,969,3058,5201,14,325
159,MAVERICK,008,18645,19,399,17916,245,66
160,MCCULLOCH,009,1998,33,1086,853,0,26
161,MCLENNAN,007,61080,9468,26489,22630,143,2350
162,MCMULLEN,011,121,2,55,64,0,0
163,MEDINA,008,12245,78,4399,7540,37,191
164,MENARD,009,422,0,201,221,0,0
165,MIDLAND,009,39433,2521,14801,20766,134,1211
166,MILAM,007,6366,616,3166,2455,7,122
167,MILLS,007,1153,19,842,276,0,16
168,MITCHELL,002,1813,74,864,849,4,22
169,MONTAGUE,002,4611,18,3590,882,29,92
170,MONTGOMERY,006,139135,6414,80575,44978,477,6691
171,MOORE,001,7286,64,1745,4680,24,773
172,MORRIS,004,3038,663,1722,512,10,131
173,MOTLEY,001,244,2,174,65,2,1
174,NACOGDOCHES,005,17077,3224,8257,4910,57,629
175,NAVARRO,003,13432,1660,5790,5388,27,567
176,NEWTON,005,3067,632,2166,146,20,103
177,NOLAN,002,4006,209,1797,1908,4,88
178,NUECES,011,88260,2810,18297,64271,194,2688
179,OCHILTREE,001,3525,8,1102,2372,15,28
180,OLDHAM,001,541,26,428,79,4,4
181,ORANGE,005,20768,2045,15740,2108,79,796
182,PALO PINTO,003,7172,179,4627,2195,23,148
183,PANOLA,004,5913,957,3812,971,18,155
184,PARKER,003,32597,403,25021,6039,206,928
185,PARMER,001,3335,16,786,2520,1,12
186,PECOS,009,3967,19,604,3302,8,34
187,POLK,005,9774,1017,6143,2077,242,295
188,POTTER,001,34841,3203,11287,17505,124,2722
189,PRESIDIO,010,2215,10,188,1971,3,43
190,RAINS,004,2379,45,1887,371,25,51
191,RANDALL,001,32138,960,20823,8896,136,1323
192,REAGAN,009,1004,9,201,782,0,12
193,REAL,008,595,3,323,258,5,6
194,RED RIVER,004,2700,492,1735,369,17,87
195,REEVES,009,3126,45,290,2743,3,45
196,REFUGIO,011,1710,94,549,1041,0,26
197,ROBERTS,001,241,0,213,27,0,1
198,ROBERTSON,007,4243,948,1950,1240,10,95
199,ROCKWALL,003,26244,1625,17165,5950,114,1390
200,RUNNELS,002,2576,38,1276,1231,8,23
201,RUSK,004,12988,1884,7329,3261,57,457
202,SABINE,005,2022,177,1626,145,6,68
203,SAN AUGUSTINE,005,1810,487,1047,234,2,40
204,SAN JACINTO,005,6435,657,4252,1317,16,193
205,SAN PATRICIO,011,17858,203,5385,11822,37,411
206,SAN SABA,007,1212,5,656,534,8,9
207,SCHLEICHER,009,1132,12,582,532,0,6
208,SCURRY,002,4460,93,1895,2375,6,91
209,SHACKELFORD,002,803,6,659,117,0,21
210,SHELBY,005,6856,1204,3616,1914,13,109
211,SHERMAN,001,854,2,338,504,4,6
212,SMITH,004,56163,10485,26695,16396,149,2438
213,SOMERVELL,003,2203,28,1425,672,10,68
214,STARR,011,20650,2,744,19860,5,39
215,STEPHENS,002,2265,35,1425,760,10,35
216,STERLING,009,277,3,156,105,5,8
217,STONEWALL,002,320,9,221,76,0,14
218,SUTTON,009,1112,0,319,786,0,7
219,SWISHER,001,2025,120,746,1106,11,42
220,TARRANT,003,529400,84549,195355,202907,1897,44692
221,TAYLOR,002,33477,2702,17328,11591,99,1757
222,TERRELL,009,213,0,85,125,0,3
223,TERRY,001,3378,100,1087,2150,7,34
224,THROCKMORTON,002,323,3,260,55,0,5
225,TITUS,004,10095,764,3233,5821,45,232
226,TOM GREEN,009,27232,838,11761,13675,84,874
227,TRAVIS,007,274241,21830,98564,129034,594,24219
228,TRINITY,005,3000,321,2142,445,16,76
229,TYLER,005,4170,389,3418,228,21,114
230,UPSHUR,004,9982,827,7315,1328,51,461
231,UPTON,009,963,12,343,591,11,6
232,UVALDE,008,7748,32,1260,6357,21,78
233,VAL VERDE,008,15133,134,1638,13163,23,175
234,VAN ZANDT,004,12704,336,9687,2224,96,361
235,VICTORIA,008,23319,1409,7598,13583,37,692
236,WALKER,006,11681,2522,5436,3071,43,609
237,WALLER,006,11991,2210,3867,5633,25,256
238,WARD,009,2893,149,970,1708,11,55
239,WASHINGTON,007,7696,1546,3802,2077,13,258
240,WEBB,011,92593,131,2130,89818,16,498
241,WHARTON,006,11154,1444,3673,5871,9,157
242,WHEELER,001,1372,37,672,631,1,31
243,WICHITA,002,31177,3195,17329,8500,321,1832
244,WILBARGER,002,3466,284,1643,1412,28,99
245,WILLACY,011,6085,19,379,5648,7,32
246,WILLIAMSON,007,137516,8780,69954,45476,395,12911
247,WILSON,008,11834,127,5844,5659,22,182
248,WINKLER,009,2129,32,640,1408,8,41
249,WISE,003,16317,108,10986,4746,97,380
250,WOOD,004,8810,410,6504,1578,41,277
251,YOAKUM,001,2597,10,679,1877,5,26
252,YOUNG,002,4524,47,3025,1340,21,91
253,ZAPATA,011,5076,2,109,4955,0,10
254,ZAVALA,008,3701,13,123,3557,1,7
255,STATE TOTAL,,7266760,835497,2343432,3610544,20500,456787
