,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages
1,ANDERSON,004,5613,8343,297,224,153,142
2,ANDREWS,009,938,1873,30,31,16,11
3,ANGELINA,005,8398,13437,566,441,311,279
4,ARANSAS,011,2372,6777,179,155,93,77
5,ARCHER,002,606,1604,84,71,57,44
6,ARMSTRONG,001,111,477,5,6,3,3
7,ATASCOSA,008,4414,7151,201,156,118,109
8,AUSTIN,006,1500,5492,151,93,63,44
9,BAILEY,001,515,1110,61,54,51,53
10,BANDERA,008,2258,5288,147,82,48,32
11,BASTROP,007,5245,11303,365,302,183,142
12,BAYLOR,002,325,964,75,56,45,36
13,BEE,011,4069,3856,202,165,116,97
14,BELL,007,25158,32440,1563,1116,690,488
15,BEXAR,008,140101,205046,9118,6561,3657,2822
16,BLANCO,007,791,2452,43,46,28,13
17,BORDEN,009,26,161,7,4,1,0
18,BOSQUE,007,1573,4407,95,78,42,30
19,BOWIE,004,8129,14483,377,306,176,119
20,BRAZORIA,006,20575,37531,689,557,432,371
21,BRAZOS,007,10939,16859,375,329,232,171
22,BREWSTER,010,881,1867,97,62,46,17
23,BRISCOE,001,88,435,3,3,1,2
24,BROOKS,011,1217,1379,66,63,35,33
25,BROWN,002,2528,7620,407,316,242,164
26,BURLESON,007,1817,3443,74,67,47,24
27,BURNET,007,4504,9724,136,118,73,64
28,CALDWELL,007,4064,5592,191,144,91,61
29,CALHOUN,008,2371,3757,94,71,45,20
30,CALLAHAN,002,1169,2820,106,85,60,41
31,CAMERON,011,28220,52384,1741,1381,931,806
32,CAMP,004,1334,2322,92,75,51,26
33,CARSON,001,328,1148,18,16,11,9
34,CASS,004,3248,6473,155,129,83,49
35,CASTRO,001,411,1218,16,15,14,13
36,CHAMBERS,006,2834,4375,89,67,50,34
37,CHEROKEE,004,3894,8611,355,259,198,154
38,CHILDRESS,001,609,1141,49,43,35,35
39,CLAY,002,1026,2169,146,116,102,90
40,COCHRAN,001,300,556,105,103,98,104
41,COKE,009,131,888,23,15,14,11
42,COLEMAN,002,631,2176,84,66,57,44
43,COLLIN,003,28737,86148,1118,905,588,374
44,COLLINGSWORTH,001,266,593,17,19,17,16
45,COLORADO,006,1429,4454,81,64,36,25
46,COMAL,008,7696,22038,401,282,167,99
47,COMANCHE,002,1213,3161,82,69,53,36
48,CONCHO,009,480,696,21,23,20,20
49,COOKE,003,3019,6959,153,135,108,86
50,CORYELL,007,5974,6851,275,212,137,99
51,COTTLE,002,129,407,13,9,7,8
52,CRANE,009,327,627,20,11,5,4
53,CROCKETT,009,165,670,17,23,22,13
54,CROSBY,001,616,1187,58,51,37,34
55,CULBERSON,010,252,442,16,13,9,12
56,DALLAM,001,474,802,29,19,13,8
57,DALLAS,003,126341,232082,8381,6656,4458,3044
58,DAWSON,009,1100,2092,95,84,67,54
59,DEAF SMITH,001,1086,2404,51,47,34,31
60,DELTA,004,580,1203,32,22,9,9
61,DENTON,003,33960,65141,1075,826,568,311
62,DE WITT,008,1750,4019,74,70,36,17
63,DICKENS,001,245,557,23,21,15,14
64,DIMMIT,008,1236,1707,38,25,16,4
65,DONLEY,001,264,828,11,10,9,7
66,DUVAL,011,1770,2160,80,70,52,32
67,EASTLAND,002,1944,4050,235,195,160,128
68,ECTOR,009,11426,15742,684,596,437,310
69,EDWARDS,008,129,537,10,10,9,5
70,ELLIS,003,12011,19552,398,312,256,217
71,EL PASO,010,56679,93957,3490,2767,1780,1036
72,ERATH,003,2408,5465,147,130,95,81
73,FALLS,007,2007,3176,85,60,43,22
74,FANNIN,003,3669,6678,183,150,130,98
75,FAYETTE,007,1466,6052,69,68,39,35
76,FISHER,002,258,940,22,21,15,3
77,FLOYD,001,294,1194,69,64,54,52
78,FOARD,002,261,356,19,16,9,12
79,FORT BEND,006,25483,61641,853,644,378,272
80,FRANKLIN,004,1085,2249,39,31,20,14
81,FREESTONE,007,1657,3753,74,66,46,24
82,FRIO,008,2230,2292,84,66,41,32
83,GAINES,009,999,1774,30,19,15,11
84,GALVESTON,006,20294,37915,1266,967,547,345
85,GARZA,001,860,817,42,39,27,24
86,GILLESPIE,008,1648,7487,88,72,45,31
87,GLASSCOCK,009,36,220,0,0,0,0
88,GOLIAD,008,775,1654,28,15,6,4
89,GONZALES,008,1830,3404,77,72,43,24
90,GRAY,001,1404,3731,123,106,69,61
91,GRAYSON,003,9569,21644,721,591,511,399
92,GREGG,004,10995,18167,609,477,342,272
93,GRIMES,007,2341,4411,113,89,60,47
94,GUADALUPE,008,10288,19197,417,303,186,126
95,HALE,001,2221,4657,163,134,108,92
96,HALL,001,164,806,20,17,16,17
97,HAMILTON,007,697,2193,30,29,9,2
98,HANSFORD,001,389,858,8,3,2,3
99,HARDEMAN,002,487,902,46,41,36,19
100,HARDIN,005,5560,8645,239,181,115,86
101,HARRIS,006,227128,395311,13175,10712,7216,5775
102,HARRISON,004,4899,10172,293,226,164,127
103,HARTLEY,001,280,828,12,11,7,5
104,HASKELL,002,657,1325,50,48,39,33
105,HAYS,007,11286,18666,328,299,193,113
106,HEMPHILL,001,244,584,13,11,8,4
107,HENDERSON,004,8263,16972,589,450,355,315
108,HIDALGO,011,64076,87153,2610,2408,1391,1092
109,HILL,007,3337,7392,204,184,123,89
110,HOCKLEY,001,1510,3284,173,148,117,121
111,HOOD,003,3667,13220,210,204,162,152
112,HOPKINS,004,3129,6207,168,122,97,83
113,HOUSTON,005,2964,5076,213,161,146,138
114,HOWARD,009,4527,5036,258,189,124,87
115,HUDSPETH,010,457,611,19,13,11,4
116,HUNT,003,8223,14508,637,535,420,324
117,HUTCHINSON,001,1569,3464,117,114,88,57
118,IRION,009,62,365,5,3,3,2
119,JACK,002,1046,1528,88,76,65,53
120,JACKSON,008,1000,2459,48,39,19,13
121,JASPER,005,3489,6634,223,195,147,127
122,JEFF DAVIS,010,326,709,13,9,6,1
123,JEFFERSON,005,20847,33635,1623,1175,806,656
124,JIM HOGG,011,538,960,22,21,10,7
125,JIM WELLS,011,4684,6063,205,180,125,85
126,JOHNSON,003,10453,21915,565,425,301,254
127,JONES,002,2361,3155,180,133,97,73
128,KARNES,008,2020,2317,40,34,23,16
129,KAUFMAN,003,8429,13836,386,343,276,216
130,KENDALL,008,2098,7208,96,64,39,28
131,KENEDY,011,0,83,0,0,0,0
132,KENT,002,54,235,8,3,3,1
133,KERR,008,3968,13941,349,264,151,108
134,KIMBLE,009,462,1267,26,25,19,24
135,KING,001,39,46,0,0,0,0
136,KINNEY,008,336,978,15,9,3,6
137,KLEBERG,011,2487,4210,185,170,115,109
138,KNOX,002,353,798,28,19,18,17
139,LAMAR,004,5064,9208,365,257,165,113
140,LAMB,001,800,2297,135,107,100,99
141,LAMPASAS,007,1703,3690,115,89,68,54
142,LA SALLE,008,1121,1096,17,14,9,7
143,LAVACA,008,1405,4444,65,60,28,16
144,LEE,007,1175,3037,63,50,34,19
145,LEON,007,1417,4233,51,49,34,25
146,LIBERTY,006,9721,10590,409,323,253,197
147,LIMESTONE,007,2275,4377,135,110,69,30
148,LIPSCOMB,001,185,553,9,9,8,8
149,LIVE OAK,011,1115,2425,39,40,24,17
150,LLANO,007,1704,6557,96,84,58,48
151,LOVING,009,3,20,1,1,1,0
152,LUBBOCK,001,22239,33769,2890,2480,1933,1734
153,LYNN,001,496,1056,63,49,34,30
154,MADISON,007,806,2189,42,36,25,20
155,MARION,004,1400,2730,120,102,69,52
156,MARTIN,009,444,704,21,15,12,7
157,MASON,009,283,1147,15,15,9,12
158,MATAGORDA,006,3215,5964,151,117,102,92
159,MAVERICK,008,4498,6715,189,155,94,60
160,MCCULLOCH,009,679,1904,87,84,73,59
161,MCLENNAN,007,16903,31941,1275,982,638,329
162,MCMULLEN,011,106,213,3,3,2,2
163,MEDINA,008,4156,7801,145,114,52,35
164,MENARD,009,278,696,11,10,9,8
165,MIDLAND,009,10379,16617,416,332,212,136
166,MILAM,007,2941,4854,130,112,80,53
167,MILLS,007,237,1228,27,20,12,5
168,MITCHELL,002,1079,1374,60,53,33,22
169,MONTAGUE,002,1681,4415,211,188,174,140
170,MONTGOMERY,006,30400,64073,1402,1137,825,629
171,MOORE,001,1303,2322,42,37,22,19
172,MORRIS,004,1789,2750,93,74,58,34
173,MOTLEY,001,99,363,7,8,6,2
174,NACOGDOCHES,005,5506,8652,299,251,212,191
175,NAVARRO,003,4773,7975,276,215,166,141
176,NEWTON,005,1262,2666,114,83,51,56
177,NOLAN,002,1287,2790,170,142,108,55
178,NUECES,011,34581,47121,2319,1809,1081,841
