,County,Region,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***
1,ANDERSON,004,723,496,440,105,618,46
2,ANDREWS,009,190,139,102,41,149,3
3,ANGELINA,005,1135,781,606,166,969,72
4,ARANSAS,011,458,311,271,164,294,38
5,ARCHER,002,93,52,46,31,62,1
6,ARMSTRONG,001,27,18,10,4,23,0
7,ATASCOSA,008,702,481,445,193,509,41
8,AUSTIN,006,244,193,166,56,188,20
9,BAILEY,001,77,49,49,21,56,6
10,BANDERA,008,192,133,116,40,152,20
11,BASTROP,007,1092,746,661,192,900,120
12,BAYLOR,002,57,47,32,9,48,0
13,BEE,011,481,325,288,142,339,54
14,BELL,007,4897,3759,3537,751,4146,351
15,BEXAR,008,22559,16531,14748,5704,16855,1150
16,BLANCO,007,79,41,41,25,54,16
17,BORDEN,009,1,1,1,0,1,0
18,BOSQUE,007,238,175,150,48,190,24
19,BOWIE,004,1267,949,717,137,1130,68
20,BRAZORIA,006,2574,1958,1570,421,2153,78
21,BRAZOS,007,1605,1257,1105,128,1477,41
22,BREWSTER,010,77,66,62,10,67,0
23,BRISCOE,001,19,12,7,7,12,2
24,BROOKS,011,165,113,99,50,115,3
25,BROWN,002,543,373,333,166,377,50
26,BURLESON,007,271,190,175,42,229,30
27,BURNET,007,663,472,426,107,556,60
28,CALDWELL,007,529,394,328,79,450,33
29,CALHOUN,008,276,147,135,80,196,17
30,CALLAHAN,002,186,135,116,26,160,3
31,CAMERON,011,5696,3992,3463,1324,4372,186
32,CAMP,004,184,136,121,17,167,11
33,CARSON,001,46,25,19,18,28,5
34,CASS,004,392,261,209,87,305,54
35,CASTRO,001,70,52,42,10,60,2
36,CHAMBERS,006,309,217,189,64,245,18
37,CHEROKEE,004,699,499,441,120,579,47
38,CHILDRESS,001,61,43,33,7,54,0
39,CLAY,002,93,70,48,14,79,2
40,COCHRAN,001,41,28,25,6,35,0
41,COKE,009,51,41,33,11,40,2
42,COLEMAN,002,102,65,61,33,69,0
43,COLLIN,003,4884,3363,2267,824,4060,220
44,COLLINGSWORTH,001,40,27,14,6,34,4
45,COLORADO,006,170,135,131,29,141,6
46,COMAL,008,1371,906,785,405,966,117
47,COMANCHE,002,211,152,130,37,174,5
48,CONCHO,009,30,22,22,5,25,0
49,COOKE,003,615,398,327,107,508,48
50,CORYELL,007,1070,786,733,182,888,76
51,COTTLE,002,20,11,11,6,14,4
52,CRANE,009,18,15,15,3,15,0
53,CROCKETT,009,62,35,33,14,48,3
54,CROSBY,001,131,69,69,46,85,5
55,CULBERSON,010,37,24,23,8,29,0
56,DALLAM,001,109,93,87,10,99,0
57,DALLAS,003,23603,16925,13192,4395,19208,1616
58,DAWSON,009,288,175,147,76,212,30
59,DEAF SMITH,001,215,159,150,34,181,12
60,DELTA,004,57,38,36,20,37,15
61,DENTON,003,4745,3672,2843,693,4052,203
62,DE WITT,008,255,190,151,50,205,16
63,DICKENS,001,45,26,24,14,31,3
64,DIMMIT,008,179,131,117,43,136,20
65,DONLEY,001,51,25,21,18,33,3
66,DUVAL,011,164,133,125,46,118,6
67,EASTLAND,002,280,188,159,57,223,7
68,ECTOR,009,1937,1395,1224,431,1506,113
69,EDWARDS,008,18,15,15,0,18,1
70,ELLIS,003,1583,1182,876,307,1276,59
71,EL PASO,010,8029,5529,4648,1815,6214,174
72,ERATH,003,334,246,195,65,269,5
73,FALLS,007,253,169,147,32,221,10
74,FANNIN,003,410,265,210,83,327,14
75,FAYETTE,007,171,133,118,23,148,17
76,FISHER,002,53,36,35,14,39,0
77,FLOYD,001,87,67,58,17,70,6
78,FOARD,002,6,5,2,0,6,0
79,FORT BEND,006,3048,2432,1772,773,2275,81
80,FRANKLIN,004,84,64,60,12,72,14
81,FREESTONE,007,230,183,161,32,198,20
82,FRIO,008,340,232,227,94,246,9
83,GAINES,009,134,98,83,29,105,9
84,GALVESTON,006,3002,2473,1988,431,2571,91
85,GARZA,001,70,41,35,21,49,3
86,GILLESPIE,008,164,132,117,19,145,4
87,GLASSCOCK,009,5,5,5,0,5,0
88,GOLIAD,008,85,61,57,24,61,5
89,GONZALES,008,270,194,168,54,216,15
90,GRAY,001,372,258,171,87,285,8
91,GRAYSON,003,1811,1170,878,356,1455,84
92,GREGG,004,1538,969,752,320,1218,77
93,GRIMES,007,286,193,164,50,236,24
94,GUADALUPE,008,1475,1140,1006,200,1275,54
95,HALE,001,482,284,235,162,320,46
96,HALL,001,31,23,19,3,28,0
97,HAMILTON,007,94,79,62,7,87,2
98,HANSFORD,001,32,21,20,10,22,0
99,HARDEMAN,002,62,35,26,18,44,4
100,HARDIN,005,740,563,501,58,682,13
101,HARRIS,006,32395,25623,20833,5341,27054,1500
102,HARRISON,004,739,506,416,124,615,51
103,HARTLEY,001,20,15,15,1,19,1
104,HASKELL,002,53,28,25,17,36,0
105,HAYS,007,1527,1102,915,218,1309,101
106,HEMPHILL,001,20,12,11,6,14,1
107,HENDERSON,004,1140,750,608,266,874,92
108,HIDALGO,011,10380,7982,6856,2375,8005,196
109,HILL,007,446,299,267,101,345,49
110,HOCKLEY,001,315,196,170,84,231,12
111,HOOD,003,732,475,391,188,544,30
112,HOPKINS,004,435,331,294,75,360,48
113,HOUSTON,005,238,154,137,39,199,16
114,HOWARD,009,533,341,276,127,406,39
115,HUDSPETH,010,29,14,14,4,25,3
116,HUNT,003,1194,812,609,289,905,133
117,HUTCHINSON,001,331,229,208,67,264,18
118,IRION,009,16,14,14,0,16,0
119,JACK,002,108,67,60,37,71,11
120,JACKSON,008,167,100,91,50,117,8
121,JASPER,005,510,411,326,51,459,10
122,JEFF DAVIS,010,19,18,16,1,18,0
123,JEFFERSON,005,3139,2428,2090,332,2807,159
124,JIM HOGG,011,115,77,70,26,89,0
125,JIM WELLS,011,587,503,466,95,492,25
126,JOHNSON,003,2047,1382,1097,537,1510,128
127,JONES,002,248,170,114,58,190,0
128,KARNES,008,187,144,128,22,165,8
129,KAUFMAN,003,1035,692,525,197,838,65
130,KENDALL,008,254,181,169,36,218,17
131,KENEDY,011,0,0,0,0,0,0
132,KENT,002,15,9,9,1,14,0
133,KERR,008,720,516,460,162,558,37
134,KIMBLE,009,54,44,38,6,48,4
135,KING,001,2,0,0,0,2,0
136,KINNEY,008,28,28,23,2,26,0
137,KLEBERG,011,431,300,262,93,338,23
138,KNOX,002,32,17,8,10,22,3
139,LAMAR,004,789,568,505,112,677,67
140,LAMB,001,168,107,100,44,124,25
141,LAMPASAS,007,314,214,190,71,243,27
142,LA SALLE,008,103,69,62,33,70,10
143,LAVACA,008,142,109,93,23,119,4
144,LEE,007,182,130,121,22,160,19
145,LEON,007,193,144,127,32,161,29
146,LIBERTY,006,1121,782,662,269,852,98
147,LIMESTONE,007,318,230,221,50,268,25
148,LIPSCOMB,001,23,23,20,0,23,0
149,LIVE OAK,011,129,74,65,54,75,35
150,LLANO,007,278,186,170,56,222,32
151,LOVING,009,0,0,0,0,0,0
152,LUBBOCK,001,3946,2541,2164,1041,2905,264
153,LYNN,001,88,51,48,24,64,1
154,MADISON,007,139,114,86,13,126,5
155,MARION,004,155,120,93,18,137,11
156,MARTIN,009,32,24,22,4,28,0
157,MASON,009,46,41,39,1,45,1
158,MATAGORDA,006,452,327,273,107,345,14
159,MAVERICK,008,372,343,329,31,341,8
160,MCCULLOCH,009,132,96,84,26,106,1
161,MCLENNAN,007,3340,2337,2161,676,2664,273
162,MCMULLEN,011,13,4,4,8,5,4
163,MEDINA,008,498,361,320,172,326,60
164,MENARD,009,18,11,7,2,16,0
165,MIDLAND,009,1326,998,899,166,1160,38
166,MILAM,007,324,216,198,71,253,47
167,MILLS,007,68,59,52,5,63,1
168,MITCHELL,002,152,114,108,35,117,0
169,MONTAGUE,002,306,198,169,61,245,18
170,MONTGOMERY,006,3767,3129,2621,573,3194,159
171,MOORE,001,265,209,195,25,240,7
172,MORRIS,004,213,180,144,19,194,7
173,MOTLEY,001,6,5,3,2,4,0
174,NACOGDOCHES,005,559,433,392,77,482,61
175,NAVARRO,003,629,493,413,87,542,16
176,NEWTON,005,116,94,79,18,98,4
177,NOLAN,002,394,291,251,95,299,5
178,NUECES,011,5679,4162,3476,1273,4406,212
179,OCHILTREE,001,120,92,68,16,104,0
180,OLDHAM,001,11,11,11,0,11,0
181,ORANGE,005,1361,1050,885,158,1203,99
182,PALO PINTO,003,575,328,282,201,374,60
183,PANOLA,004,315,194,170,57,258,14
184,PARKER,003,1418,968,817,317,1101,99
185,PARMER,001,58,33,33,11,47,0
186,PECOS,009,153,103,92,32,121,6
187,POLK,005,724,550,494,92,632,44
188,POTTER,001,2482,1633,1327,571,1911,127
189,PRESIDIO,010,28,21,18,6,22,1
190,RAINS,004,124,99,84,19,105,12
191,RANDALL,001,1229,840,691,208,1021,58
192,REAGAN,009,38,36,33,4,34,0
193,REAL,008,41,38,35,6,35,5
194,RED RIVER,004,180,132,116,32,148,13
195,REEVES,009,119,82,66,19,100,7
196,REFUGIO,011,87,58,57,28,59,7
197,ROBERTS,001,6,6,6,0,6,0
198,ROBERTSON,007,149,123,110,13,136,7
199,ROCKWALL,003,485,379,295,60,425,8
200,RUNNELS,002,126,92,90,31,95,10
201,RUSK,004,601,398,345,109,492,71
202,SABINE,005,135,110,70,26,109,1
203,SAN AUGUSTINE,005,86,70,45,11,75,2
204,SAN JACINTO,005,426,335,291,37,389,7
205,SAN PATRICIO,011,1350,957,875,327,1023,66
206,SAN SABA,007,112,63,51,41,71,26
207,SCHLEICHER,009,56,28,25,24,32,7
208,SCURRY,002,294,210,184,57,237,4
209,SHACKELFORD,002,44,29,23,15,29,0
210,SHELBY,005,280,190,160,65,215,22
211,SHERMAN,001,21,19,19,1,20,0
212,SMITH,004,2006,1431,1209,403,1603,112
213,SOMERVELL,003,81,61,50,18,63,2
214,STARR,011,528,343,275,183,345,24
215,STEPHENS,002,135,98,90,27,108,1
216,STERLING,009,21,17,15,2,19,0
217,STONEWALL,002,12,6,6,6,6,0
218,SUTTON,009,27,23,17,8,19,0
219,SWISHER,001,124,82,74,28,96,5
220,TARRANT,003,21241,14391,10651,3461,17780,595
221,TAYLOR,002,2683,1691,1448,798,1885,131
222,TERRELL,009,3,2,1,1,2,0
223,TERRY,001,232,129,121,76,156,18
224,THROCKMORTON,002,14,11,7,3,11,0
225,TITUS,004,290,228,215,35,255,13
226,TOM GREEN,009,1844,1212,1019,522,1322,157
227,TRAVIS,007,11212,8685,7838,1033,10179,446
228,TRINITY,005,189,135,123,14,175,10
229,TYLER,005,390,293,266,50,340,13
230,UPSHUR,004,565,439,380,68,497,21
231,UPTON,009,36,28,24,6,30,0
232,UVALDE,008,397,313,285,95,302,15
233,VAL VERDE,008,305,254,241,31,274,17
234,VAN ZANDT,004,727,514,425,141,586,66
235,VICTORIA,008,1164,848,759,182,982,28
236,WALKER,006,481,365,295,98,383,26
237,WALLER,006,366,277,236,94,272,31
238,WARD,009,189,121,101,32,157,7
239,WASHINGTON,007,287,199,177,43,244,28
240,WEBB,011,3030,2277,1967,1304,1726,162
241,WHARTON,006,469,397,362,61,408,8
242,WHEELER,001,51,35,16,12,39,0
243,WICHITA,002,2384,1626,1272,568,1816,103
244,WILBARGER,002,129,86,62,29,100,2
245,WILLACY,011,452,271,226,119,333,26
246,WILLIAMSON,007,3356,2551,2333,426,2930,151
247,WILSON,008,378,297,262,59,319,19
248,WINKLER,009,114,79,76,11,103,0
249,WISE,003,601,409,329,142,459,47
250,WOOD,004,469,299,250,114,355,60
251,YOAKUM,001,66,35,30,25,41,3
252,YOUNG,002,284,220,198,46,238,11
253,ZAPATA,011,189,124,111,59,130,13
254,ZAVALA,008,199,142,137,49,150,14
255,OUT OF STATE,,51,41,20,1,50,0
256,TOTAL,,273091,199082,165957,52842,220249,13599
