,County,Region,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location
1,ANDERSON,004,643,543,7
2,ANDREWS,009,179,144,2
3,ANGELINA,005,1044,868,10
4,ARANSAS,011,385,338,0
5,ARCHER,002,75,68,0
6,ARMSTRONG,001,10,9,0
7,ATASCOSA,008,601,482,5
8,AUSTIN,006,248,208,2
9,BAILEY,001,66,60,0
10,BANDERA,008,189,146,0
11,BASTROP,007,1045,882,9
12,BAYLOR,002,56,54,0
13,BEE,011,447,380,5
14,BELL,007,4671,4142,44
15,BEXAR,008,22084,17215,189
16,BLANCO,007,94,85,0
17,BORDEN,009,7,4,0
18,BOSQUE,007,168,144,0
19,BOWIE,004,1188,988,11
20,BRAZORIA,006,2565,2266,22
21,BRAZOS,007,1357,1181,13
22,BREWSTER,010,63,57,1
23,BRISCOE,001,20,16,0
24,BROOKS,011,128,107,0
25,BROWN,002,431,351,6
26,BURLESON,007,239,208,0
27,BURNET,007,584,512,7
28,CALDWELL,007,538,412,5
29,CALHOUN,008,224,188,3
30,CALLAHAN,002,135,112,0
31,CAMERON,011,4737,3839,45
32,CAMP,004,163,141,0
33,CARSON,001,61,47,0
34,CASS,004,349,287,5
35,CASTRO,001,64,57,0
36,CHAMBERS,006,298,242,0
37,CHEROKEE,004,605,537,6
38,CHILDRESS,001,51,44,4
39,CLAY,002,78,68,0
40,COCHRAN,001,33,29,0
41,COKE,009,39,34,0
42,COLEMAN,002,108,87,0
43,COLLIN,003,4652,3978,47
44,COLLINGSWORTH,001,35,26,0
45,COLORADO,006,146,130,1
46,COMAL,008,1135,895,9
47,COMANCHE,002,147,127,0
48,CONCHO,009,33,30,0
49,COOKE,003,524,488,6
50,CORYELL,007,1005,902,11
51,COTTLE,002,29,26,0
52,CRANE,009,33,19,0
53,CROCKETT,009,46,44,0
54,CROSBY,001,95,83,0
55,CULBERSON,010,33,29,0
