,County,Region,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity
145,LEON,007,3867,1,3,0,0,0,4,6
146,LIBERTY,006,20300,0,22,0,0,0,22,54
147,LIMESTONE,007,5653,0,7,0,0,0,7,14
148,LIPSCOMB,001,878,0,1,0,0,0,1,2
149,LIVE OAK,011,2218,0,7,0,0,0,7,14
150,LLANO,007,3144,0,2,0,0,0,2,6
151,LOVING,009,7,0,0,0,0,0,0,0
152,LUBBOCK,001,72975,13,218,4,0,1,236,791
153,LYNN,001,1594,0,2,0,0,0,2,8
154,MADISON,007,3082,0,3,0,0,0,3,4
155,MARION,004,1925,0,1,0,0,0,1,4
156,MARTIN,009,1449,0,2,0,0,0,2,2
157,MASON,009,803,0,1,0,0,0,1,2
158,MATAGORDA,006,9567,0,6,0,0,1,7,33
159,MAVERICK,008,18645,0,3,0,0,0,3,5
160,MCCULLOCH,009,1998,0,17,0,0,0,17,67
161,MCLENNAN,007,61080,3,99,3,0,1,106,671
162,MCMULLEN,011,121,0,0,0,0,0,0,0
163,MEDINA,008,12245,1,27,1,0,0,29,109
164,MENARD,009,422,0,0,0,0,0,0,0
165,MIDLAND,009,39433,3,50,1,0,0,54,157
166,MILAM,007,6366,0,3,1,0,0,4,60
167,MILLS,007,1153,0,9,0,0,1,10,151
168,MITCHELL,002,1813,0,0,0,0,0,0,0
169,MONTAGUE,002,4611,0,5,0,0,0,5,10
170,MONTGOMERY,006,139135,7,180,5,0,1,193,712
171,MOORE,001,7286,0,3,0,0,0,3,11
172,MORRIS,004,3038,0,6,0,0,0,6,19
173,MOTLEY,001,244,0,0,0,0,0,0,0
174,NACOGDOCHES,005,17077,1,42,0,0,0,43,136
175,NAVARRO,003,13432,2,48,1,0,1,52,225
176,NEWTON,005,3067,0,1,0,0,0,1,5
177,NOLAN,002,4006,0,5,0,0,0,5,11
178,NUECES,011,88260,10,117,3,0,0,130,760
179,OCHILTREE,001,3525,0,5,0,0,0,5,7
180,OLDHAM,001,541,0,0,1,0,0,1,437
181,ORANGE,005,20768,0,44,0,0,0,44,159
182,PALO PINTO,003,7172,0,7,0,0,0,7,16
183,PANOLA,004,5913,0,3,0,0,0,3,8
184,PARKER,003,32597,0,45,1,0,0,46,195
185,PARMER,001,3335,0,3,0,0,0,3,10
186,PECOS,009,3967,0,1,0,0,0,1,1
187,POLK,005,9774,0,18,0,0,0,18,85
188,POTTER,001,34841,7,47,1,0,0,55,156
189,PRESIDIO,010,2215,0,0,0,0,0,0,0
190,RAINS,004,2379,0,4,0,0,0,4,12
191,RANDALL,001,32138,2,100,4,0,0,106,439
192,REAGAN,009,1004,0,2,0,0,0,2,3
193,REAL,008,595,0,0,0,0,0,0,0
194,RED RIVER,004,2700,0,3,0,0,0,3,5
195,REEVES,009,3126,0,2,0,0,0,2,3
196,REFUGIO,011,1710,0,4,0,0,0,4,15
197,ROBERTS,001,241,0,0,0,0,0,0,0
198,ROBERTSON,007,4243,0,3,0,0,0,3,11
199,ROCKWALL,003,26244,0,30,0,0,0,30,80
200,RUNNELS,002,2576,0,6,0,0,0,6,14
201,RUSK,004,12988,0,22,0,0,0,22,67
202,SABINE,005,2022,0,2,0,0,0,2,7
203,SAN AUGUSTINE,005,1810,0,8,0,0,0,8,30
204,SAN JACINTO,005,6435,0,7,0,0,0,7,11
205,SAN PATRICIO,011,17858,0,22,2,0,1,25,181
206,SAN SABA,007,1212,2,6,1,0,0,9,89
207,SCHLEICHER,009,1132,0,1,0,0,0,1,3
208,SCURRY,002,4460,0,3,0,0,0,3,9
209,SHACKELFORD,002,803,0,2,0,0,0,2,6
210,SHELBY,005,6856,1,18,0,0,0,19,63
211,SHERMAN,001,854,0,0,0,0,0,0,0
212,SMITH,004,56163,11,112,3,0,3,129,568
213,SOMERVELL,003,2203,0,4,0,0,0,4,9
214,STARR,011,20650,0,8,0,0,0,8,40
215,STEPHENS,002,2265,0,1,0,0,0,1,2
216,STERLING,009,277,0,1,0,0,0,1,2
217,STONEWALL,002,320,0,2,0,0,0,2,8
218,SUTTON,009,1112,0,3,0,0,0,3,9
219,SWISHER,001,2025,0,6,0,0,0,6,24
220,TARRANT,003,529400,31,686,5,0,1,723,2158
221,TAYLOR,002,33477,7,90,4,0,0,101,358
222,TERRELL,009,213,0,0,0,0,0,0,0
223,TERRY,001,3378,0,2,0,0,0,2,5
224,THROCKMORTON,002,323,0,0,0,0,0,0,0
225,TITUS,004,10095,0,4,0,0,0,4,8
226,TOM GREEN,009,27232,4,36,3,0,0,43,220
227,TRAVIS,007,274241,25,356,5,0,2,388,1133
228,TRINITY,005,3000,0,7,0,0,0,7,23
229,TYLER,005,4170,0,9,1,0,1,11,82
230,UPSHUR,004,9982,0,21,0,0,0,21,88
231,UPTON,009,963,0,1,0,0,0,1,2
232,UVALDE,008,7748,0,5,0,0,0,5,14
233,VAL VERDE,008,15133,1,10,0,0,0,11,22
234,VAN ZANDT,004,12704,0,50,0,0,0,50,166
235,VICTORIA,008,23319,3,40,2,0,1,46,244
236,WALKER,006,11681,0,10,1,0,1,12,285
237,WALLER,006,11991,0,15,0,0,0,15,40
238,WARD,009,2893,0,0,0,0,0,0,0
239,WASHINGTON,007,7696,0,4,1,0,0,5,35
240,WEBB,011,92593,2,84,2,0,0,88,408
241,WHARTON,006,11154,0,14,0,0,0,14,51
242,WHEELER,001,1372,0,0,0,0,0,0,0
243,WICHITA,002,31177,4,43,1,0,0,48,156
244,WILBARGER,002,3466,0,2,0,0,0,2,3
245,WILLACY,011,6085,0,4,1,0,0,5,58
246,WILLIAMSON,007,137516,9,233,4,0,1,247,881
247,WILSON,008,11834,0,30,0,0,0,30,86
248,WINKLER,009,2129,0,0,0,0,0,0,0
249,WISE,003,16317,0,14,0,0,0,14,40
250,WOOD,004,8810,0,20,1,0,0,21,110
251,YOAKUM,001,2597,0,2,0,0,0,2,5
252,YOUNG,002,4524,0,9,0,0,0,9,18
253,ZAPATA,011,5076,0,4,0,0,0,4,15
254,ZAVALA,008,3701,0,1,0,0,0,1,0
255,OUT OF STATE,,0,0,137,0,0,0,137,280
256,STATE TOTAL,,7266760,381,9692,156,3,75,10307,40525
