,County,Region,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity
1,ANDERSON,004,11594,0,16,0,0,0,16,33
2,ANDREWS,009,4542,0,7,0,0,0,7,31
3,ANGELINA,005,23772,2,39,0,0,0,41,119
4,ARANSAS,011,4520,0,5,0,0,0,5,20
5,ARCHER,002,2117,0,5,0,0,0,5,10
6,ARMSTRONG,001,375,0,0,0,0,0,0,0
7,ATASCOSA,008,13538,0,17,0,0,0,17,45
8,AUSTIN,006,7524,0,5,0,0,2,7,116
9,BAILEY,001,2383,0,6,0,0,0,6,29
10,BANDERA,008,3979,0,11,1,0,0,12,173
11,BASTROP,007,21379,0,44,1,0,0,45,180
12,BAYLOR,002,764,0,2,0,0,0,2,6
13,BEE,011,6856,0,8,1,0,0,9,172
14,BELL,007,98721,8,224,2,0,1,235,758
15,BEXAR,008,491136,35,1072,14,0,7,1128,4014
16,BLANCO,007,2278,0,0,0,0,0,0,0
17,BORDEN,009,117,0,0,0,0,0,0,0
18,BOSQUE,007,4089,0,6,0,0,0,6,20
19,BOWIE,004,21900,0,24,0,0,0,24,68
20,BRAZORIA,006,96020,1,121,3,0,3,128,676
21,BRAZOS,007,47729,3,51,1,0,1,56,187
22,BREWSTER,010,1947,0,1,0,0,0,1,3
23,BRISCOE,001,333,0,2,0,0,0,2,4
24,BROOKS,011,1996,0,0,0,0,0,0,0
25,BROWN,002,9154,6,53,1,0,0,60,261
26,BURLESON,007,4140,0,2,0,0,0,2,6
27,BURNET,007,10299,0,21,0,0,0,21,52
28,CALDWELL,007,10317,0,26,0,0,1,27,292
29,CALHOUN,008,5879,0,3,0,0,0,3,13
30,CALLAHAN,002,3306,0,13,0,0,0,13,35
31,CAMERON,011,141748,10,197,10,0,0,217,2138
32,CAMP,004,3404,0,7,0,0,0,7,16
33,CARSON,001,1509,0,6,0,0,0,6,15
34,CASS,004,6993,0,7,0,0,0,7,29
35,CASTRO,001,2502,0,3,0,0,0,3,9
36,CHAMBERS,006,10728,0,10,0,0,0,10,27
37,CHEROKEE,004,13753,0,12,0,0,0,12,34
38,CHILDRESS,001,1524,0,1,0,0,0,1,0
39,CLAY,002,2362,0,8,0,0,0,8,18
40,COCHRAN,001,884,0,1,0,0,0,1,1
41,COKE,009,630,0,1,0,0,0,1,1
42,COLEMAN,002,1970,0,4,0,0,0,4,18
43,COLLIN,003,250047,3,194,1,0,0,198,468
44,COLLINGSWORTH,001,838,0,2,0,0,0,2,3
45,COLORADO,006,4972,0,1,0,0,0,1,0
46,COMAL,008,27772,1,46,4,0,1,52,315
47,COMANCHE,002,3350,1,9,0,0,0,10,37
48,CONCHO,009,568,0,2,0,0,0,2,6
49,COOKE,003,9873,0,7,0,0,0,7,17
50,CORYELL,007,22926,1,30,0,0,0,31,100
51,COTTLE,002,341,0,0,0,0,0,0,0
52,CRANE,009,1293,0,0,0,0,0,0,0
53,CROCKETT,009,968,0,2,0,0,0,2,4
54,CROSBY,001,1772,0,2,0,0,0,2,7
55,CULBERSON,010,651,0,0,0,0,0,0,0
56,DALLAM,001,2138,0,0,0,0,0,0,0
57,DALLAS,003,684069,48,717,4,0,4,773,2469
58,DAWSON,009,3405,0,6,0,0,0,6,27
59,DEAF SMITH,001,6519,0,4,0,0,0,4,9
60,DELTA,004,1116,0,7,0,0,0,7,15
61,DENTON,003,204770,3,205,1,0,0,209,528
62,DE WITT,008,4497,0,5,1,0,0,6,64
63,DICKENS,001,461,0,1,0,0,0,1,0
64,DIMMIT,008,2903,0,1,0,0,0,1,4
65,DONLEY,001,728,0,2,0,0,0,2,8
66,DUVAL,011,3025,0,0,0,0,0,0,0
67,EASTLAND,002,4237,0,8,0,0,0,8,28
68,ECTOR,009,42345,2,35,0,0,0,37,84
69,EDWARDS,008,406,0,2,0,0,0,2,2
70,ELLIS,003,46146,3,92,1,0,0,96,460
71,EL PASO,010,248080,9,185,6,0,0,200,849
72,ERATH,003,8966,1,11,1,0,0,13,111
73,FALLS,007,3876,0,7,0,0,1,8,50
74,FANNIN,003,7611,0,12,0,0,0,12,34
75,FAYETTE,007,5417,0,4,0,0,1,5,24
76,FISHER,002,805,0,0,0,0,0,0,0
77,FLOYD,001,1784,0,2,0,0,0,2,1
78,FOARD,002,247,0,0,0,0,0,0,0
79,FORT BEND,006,195786,5,267,1,0,4,277,1081
80,FRANKLIN,004,2717,0,5,0,0,0,5,13
81,FREESTONE,007,4646,0,8,1,0,0,9,76
82,FRIO,008,4250,0,9,0,0,0,9,18
83,GAINES,009,6804,0,5,0,0,0,5,10
84,GALVESTON,006,76964,3,83,1,0,1,88,292
85,GARZA,001,1303,0,1,0,0,0,1,2
86,GILLESPIE,008,5226,0,4,0,0,0,4,13
87,GLASSCOCK,009,304,0,0,0,0,0,0,0
88,GOLIAD,008,1583,0,5,0,0,0,5,20
89,GONZALES,008,5590,1,5,1,0,1,8,145
90,GRAY,001,5972,0,11,0,0,0,11,33
91,GRAYSON,003,29638,0,12,1,0,0,13,51
92,GREGG,004,32181,4,38,0,0,0,42,121
93,GRIMES,007,6105,0,2,0,0,0,2,7
94,GUADALUPE,008,39986,0,73,0,0,1,74,242
95,HALE,001,10700,0,17,0,0,0,17,53
96,HALL,001,805,0,1,0,0,0,1,6
97,HAMILTON,007,1789,1,1,0,0,0,2,1
98,HANSFORD,001,1702,0,0,0,0,0,0,0
99,HARDEMAN,002,1028,0,2,0,0,0,2,11
100,HARDIN,005,14554,0,18,0,0,0,18,51
101,HARRIS,006,1201493,53,1300,20,3,19,1395,5277
102,HARRISON,004,17542,0,28,2,0,1,31,229
103,HARTLEY,001,1297,0,1,0,0,0,1,5
104,HASKELL,002,1205,0,1,0,0,0,1,3
105,HAYS,007,47624,3,80,1,0,3,87,520
106,HEMPHILL,001,1144,0,1,0,0,0,1,4
107,HENDERSON,004,18376,1,30,0,0,0,31,86
108,HIDALGO,011,284166,9,140,0,0,0,149,601
109,HILL,007,8734,0,6,1,0,0,7,79
110,HOCKLEY,001,6387,0,21,0,0,2,23,126
111,HOOD,003,11219,1,13,0,0,0,14,34
112,HOPKINS,004,9229,1,13,0,0,0,14,24
113,HOUSTON,005,4811,0,4,0,0,0,4,14
114,HOWARD,009,8012,0,7,0,0,0,7,13
115,HUDSPETH,010,953,0,0,0,0,0,0,0
116,HUNT,003,22830,1,34,1,0,1,37,168
117,HUTCHINSON,001,5750,0,9,0,0,0,9,36
118,IRION,009,310,0,0,0,0,0,0,0
119,JACK,002,1959,0,3,0,0,0,3,7
120,JACKSON,008,3562,0,10,0,0,0,10,35
121,JASPER,005,8806,0,18,0,0,0,18,73
122,JEFF DAVIS,010,367,0,0,0,0,1,1,84
123,JEFFERSON,005,61551,6,95,4,0,0,105,430
124,JIM HOGG,011,1548,0,0,0,0,0,0,0
125,JIM WELLS,011,12095,0,8,0,0,0,8,23
126,JOHNSON,003,43533,0,71,0,0,0,71,209
127,JONES,002,3758,0,8,0,0,0,8,15
128,KARNES,008,2924,0,2,0,0,0,2,4
129,KAUFMAN,003,33128,0,62,1,0,0,63,235
130,KENDALL,008,8456,1,26,1,0,1,29,159
131,KENEDY,011,99,0,0,0,0,0,0,0
132,KENT,002,162,0,1,0,0,0,1,12
133,KERR,008,10314,4,25,3,0,1,33,284
134,KIMBLE,009,910,0,2,0,0,0,2,6
135,KING,001,57,0,0,0,0,0,0,0
136,KINNEY,008,681,0,0,0,0,0,0,0
137,KLEBERG,011,8565,0,11,0,0,0,11,46
138,KNOX,002,931,0,1,0,0,0,1,6
139,LAMAR,004,12229,0,15,0,0,0,15,34
140,LAMB,001,4020,0,9,0,0,0,9,28
141,LAMPASAS,007,4923,0,18,1,0,0,19,107
142,LA SALLE,008,1562,0,1,0,0,0,1,0
143,LAVACA,008,4263,0,7,0,0,0,7,28
144,LEE,007,4076,0,14,0,0,0,14,55
