,County,Region,Total,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other
1,ANDERSON,004,34,8,3,6,6,3,8,0
2,ANDREWS,009,11,2,0,5,1,0,3,0
3,ANGELINA,005,53,16,3,18,5,5,5,1
4,ARANSAS,011,38,17,0,9,2,7,3,0
5,ARCHER,002,4,1,0,3,0,0,0,0
6,ARMSTRONG,001,3,3,0,0,0,0,0,0
7,ATASCOSA,008,85,31,0,7,13,28,5,1
8,AUSTIN,006,19,8,0,5,3,3,0,0
9,BAILEY,001,10,3,0,4,1,1,1,0
10,BANDERA,008,25,2,4,4,3,5,6,1
11,BASTROP,007,125,52,0,30,16,20,6,1
12,BAYLOR,002,0,0,0,0,0,0,0,0
13,BEE,011,36,9,0,17,5,2,3,0
14,BELL,007,440,142,21,161,45,49,18,4
15,BEXAR,008,2059,500,38,268,417,676,153,7
16,BLANCO,007,10,3,0,7,0,0,0,0
17,BORDEN,009,1,0,0,1,0,0,0,0
18,BOSQUE,007,18,9,0,8,1,0,0,0
19,BOWIE,004,101,45,0,32,9,7,5,3
20,BRAZORIA,006,79,23,7,34,4,1,9,1
21,BRAZOS,007,52,5,3,6,15,16,6,1
22,BREWSTER,010,1,0,0,0,0,0,1,0
23,BRISCOE,001,0,0,0,0,0,0,0,0
24,BROOKS,011,12,7,0,0,0,1,4,0
25,BROWN,002,40,14,3,2,13,3,5,0
26,BURLESON,007,16,7,0,3,6,0,0,0
27,BURNET,007,86,23,3,33,8,12,7,0
28,CALDWELL,007,39,15,3,8,4,7,1,1
29,CALHOUN,008,12,10,0,2,0,0,0,0
30,CALLAHAN,002,1,0,0,0,1,0,0,0
31,CAMERON,011,226,96,14,91,7,4,12,2
32,CAMP,004,28,4,0,13,10,1,0,0
33,CARSON,001,7,3,0,1,0,0,0,3
34,CASS,004,65,18,0,39,5,1,2,0
35,CASTRO,001,22,13,0,0,0,9,0,0
36,CHAMBERS,006,24,6,2,13,3,0,0,0
37,CHEROKEE,004,63,22,1,8,11,15,6,0
38,CHILDRESS,001,1,0,0,0,0,0,1,0
39,CLAY,002,7,3,0,3,0,0,1,0
40,COCHRAN,001,2,0,0,0,1,0,1,0
41,COKE,009,6,6,0,0,0,0,0,0
42,COLEMAN,002,7,3,0,2,1,0,1,0
43,COLLIN,003,195,62,5,62,35,7,19,5
44,COLLINGSWORTH,001,2,0,0,0,0,0,0,2
45,COLORADO,006,7,2,0,0,3,2,0,0
46,COMAL,008,80,29,4,24,4,13,6,0
47,COMANCHE,002,7,4,0,0,2,0,1,0
48,CONCHO,009,1,0,0,0,1,0,0,0
49,COOKE,003,57,9,0,26,12,6,4,0
50,CORYELL,007,86,30,3,36,6,8,2,1
51,COTTLE,002,1,0,0,0,0,0,1,0
52,CRANE,009,4,4,0,0,0,0,0,0
53,CROCKETT,009,5,3,0,1,1,0,0,0
54,CROSBY,001,1,0,0,0,1,0,0,0
55,CULBERSON,010,4,0,0,4,0,0,0,0
56,DALLAM,001,3,1,0,1,0,0,1,0
57,DALLAS,003,1594,431,116,602,165,139,113,28
58,DAWSON,009,28,14,0,11,1,1,1,0
59,DEAF SMITH,001,14,11,0,0,1,0,2,0
60,DELTA,004,3,0,0,2,1,0,0,0
61,DENTON,003,245,68,8,57,59,37,12,4
62,DE WITT,008,12,9,0,1,0,1,1,0
63,DICKENS,001,4,3,0,1,0,0,0,0
64,DIMMIT,008,15,4,0,3,1,4,3,0
65,DONLEY,001,2,0,0,0,0,0,2,0
66,DUVAL,011,1,0,0,0,0,0,0,1
67,EASTLAND,002,8,1,0,2,0,1,4,0
68,ECTOR,009,147,34,4,52,31,18,8,0
69,EDWARDS,008,5,3,0,2,0,0,0,0
70,ELLIS,003,32,11,0,13,3,2,3,0
71,EL PASO,010,342,138,6,75,63,39,17,4
72,ERATH,003,24,12,0,3,5,4,0,0
73,FALLS,007,10,4,0,0,2,3,1,0
74,FANNIN,003,9,0,0,5,0,2,2,0
75,FAYETTE,007,30,6,0,4,4,14,2,0
76,FISHER,002,1,0,0,1,0,0,0,0
77,FLOYD,001,22,16,0,1,4,1,0,0
78,FOARD,002,1,0,0,0,1,0,0,0
79,FORT BEND,006,61,23,0,21,8,1,8,0
