,County,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location
218,SUTTON,38,33,0
219,SWISHER,88,75,1
220,TARRANT,19364,17397,138
221,TAYLOR,2020,1759,16
222,TERRELL,2,1,0
223,TERRY,163,148,2
224,THROCKMORTON,30,19,0
225,TITUS,319,253,4
226,TOM GREEN,1338,1186,13
227,TRAVIS,12461,10772,64
228,TRINITY,199,174,3
229,TYLER,193,157,2
230,UPSHUR,507,439,4
231,UPTON,27,21,0
232,UVALDE,355,317,3
233,VAL VERDE,329,300,4
234,VAN ZANDT,638,558,4
235,VICTORIA,1199,1040,9
236,WALKER,413,345,2
237,WALLER,311,284,2
238,WARD,124,113,1
239,WASHINGTON,267,237,4
240,WEBB,2862,2191,21
241,WHARTON,362,313,3
242,WHEELER,52,47,0
243,WICHITA,1808,1524,14
244,WILBARGER,185,155,1
245,WILLACY,293,276,1
246,WILLIAMSON,3591,2821,21
247,WILSON,353,296,3
248,WINKLER,85,75,0
249,WISE,679,588,6
250,WOOD,485,398,4
251,YOAKUM,43,40,0
252,YOUNG,290,258,3
253,ZAPATA,178,164,0
254,ZAVALA,190,178,0
255,UNKNOWN,33,3,0
256,OUT OF STATE,158,81,0
257,SWI,0,0,330
258,STATE TOTAL,255575,222541,2189
