,County,Total,African American,Anglo,Hispanic,Native American,Other
52,CRANE,1114,27,410,675,1,1
53,CROCKETT,1066,1,298,766,0,1
54,CROSBY,1681,71,580,1024,0,6
55,CULBERSON,577,6,113,456,0,2
56,DALLAM,1874,19,1173,676,0,6
57,DALLAS,678936,136449,160035,347969,1271,33212
58,DAWSON,3562,110,1191,2248,1,12
59,DEAF SMITH,6566,63,1574,4908,4,17
60,DELTA,1114,121,943,40,1,9
61,DENTON,162374,13379,103938,35584,411,9062
62,DEWITT,4686,588,1971,2108,1,18
63,DICKENS,451,14,295,142,0,0
64,DIMMIT,2678,17,232,2407,0,22
65,DONLEY,739,81,575,81,0,2
66,DUVAL,3158,5,280,2856,2,15
67,EASTLAND,4269,76,3372,802,4,15
68,ECTOR,38841,2049,11116,25117,91,468
69,EDWARDS,444,0,150,292,2,0
70,ELLIS,42250,4128,23432,14259,41,390
71,EL PASO,227531,5760,17879,200602,414,2876
72,ERATH,9233,72,6295,2816,10,40
73,FALLS,4281,1318,1730,1223,1,9
74,FANNIN,7598,523,6178,820,17,60
75,FAYETTE,5455,554,3171,1713,2,15
76,FISHER,816,12,523,278,0,3
77,FLOYD,1864,90,659,1109,0,6
78,FOARD,322,19,224,76,0,3
79,FORT BEND,137850,30703,48480,41211,192,17264
80,FRANKLIN,2272,128,1595,537,2,10
81,FREESTONE,4715,851,3090,740,8,26
82,FRIO,4942,8,526,4381,5,22
83,GAINES,5172,65,2511,2580,2,14
84,GALVESTON,71609,13050,32892,22998,129,2540
85,GARZA,1265,62,600,596,3,4
86,GILLESPIE,4675,4,2969,1684,2,16
87,GLASSCOCK,372,3,215,154,0,0
88,GOLIAD,1734,86,638,1005,1,4
89,GONZALES,5435,612,1790,3011,3,19
90,GRAY,5161,246,3558,1277,8,72
91,GRAYSON,28207,2545,19927,4889,202,644
92,GREGG,31957,7708,15664,8070,39,476
93,GRIMES,6213,1357,3253,1573,2,28
94,GUADALUPE,31772,1856,13572,15921,28,395
95,HALE,10966,550,3071,7288,8,49
96,HALL,1003,78,434,487,2,2
97,HAMILTON,1927,0,1616,306,1,4
98,HANSFORD,1436,5,663,763,0,5
99,HARDEMAN,1011,38,684,281,1,7
100,HARDIN,12282,1351,10405,455,5,66
101,HARRIS,1117039,204360,264752,582875,1511,63541
102,HARRISON,15597,3843,9153,2501,12,88
103,HARTLEY,1297,5,1142,148,0,2
104,HASKELL,1295,46,775,469,1,4
105,HAYS,34231,1184,16914,15664,36,433
106,HEMPHILL,846,0,577,267,1,1
107,HENDERSON,18230,1815,12642,3631,16,126
108,HIDALGO,259479,332,11649,244956,128,2414
109,HILL,9364,1011,5670,2655,4,24
110,HOCKLEY,6614,233,2873,3488,4,16
111,HOOD,10577,27,8381,2072,18,79
112,HOPKINS,8844,806,6359,1604,8,67
113,HOUSTON,4926,1627,2661,618,2,18
114,HOWARD,7696,337,3495,3796,12,56
115,HUDSPETH,904,0,137,764,0,3
116,HUNT,21239,2944,14059,3861,57,318
117,HUTCHINSON,6092,193,4208,1617,19,55
118,IRION,292,1,201,90,0,0
119,JACK,1967,16,1686,241,2,22
120,JACKSON,3988,303,2129,1518,5,33
121,JASPER,8642,2030,5885,648,11,68
122,JEFF DAVIS,423,8,244,170,0,1
123,JEFFERSON,60449,24476,20136,12731,114,2992
124,JIM HOGG,1444,2,116,1323,2,1
125,JIM WELLS,12090,54,1969,10002,16,49
126,JOHNSON,44740,1334,30657,11932,97,720
127,JONES,4188,284,2505,1347,4,48
128,KARNES,3410,49,1037,2313,4,7
129,KAUFMAN,26938,2986,16781,6948,29,194
130,KENDALL,7188,11,5103,2041,4,29
131,KENEDY,118,0,22,95,1,0
132,KENT,115,0,110,5,0,0
133,KERR,8900,155,5023,3670,4,48
134,KIMBLE,1060,0,715,336,0,9
135,KING,66,0,57,9,0,0
136,KINNEY,795,0,223,572,0,0
137,KLEBERG,8211,392,1614,6065,4,136
138,KNOX,1001,106,508,387,0,0
139,LAMAR,12535,2397,9222,726,35,155
140,LAMB,4428,212,1456,2745,1,14
141,LAMPASAS,5182,174,3556,1418,4,30
142,LASALLE,1586,16,175,1391,1,3
143,LAVACA,4394,438,2890,1048,1,17
144,LEE,4350,506,2260,1553,1,30
145,LEON,3557,475,2522,542,2,16
146,LIBERTY,20386,2242,13695,4280,14,155
147,LIMESTONE,5590,1222,2962,1384,1,21
148,LIPSCOMB,718,1,424,287,2,4
149,LIVE OAK,2424,7,1103,1312,0,2
150,LLANO,3066,11,2646,387,3,19
151,LOVING,3,0,1,2,0,0
152,LUBBOCK,67626,6515,30710,28938,117,1346
153,LYNN,1422,54,626,735,2,5
154,MADISON,3046,612,1816,613,0,5
155,MARION,2233,805,1334,63,3,28
156,MARTIN,1590,30,737,822,0,1
157,MASON,704,0,473,229,1,1
158,MATAGORDA,10427,1377,3828,4855,19,348
159,MAVERICK,18819,10,290,18223,234,62
160,MCCULLOCH,2091,25,1265,799,0,2
161,MCLENNAN,60002,11346,26440,21444,47,725
162,MCMULLEN,119,3,65,51,0,0
163,MEDINA,11545,61,4495,6917,12,60
164,MENARD,478,1,295,179,3,0
165,MIDLAND,35971,2864,15040,17410,68,589
166,MILAM,6940,1008,3598,2305,3,26
167,MILLS,1200,18,939,242,0,1
168,MITCHELL,1769,107,814,842,1,5
169,MONTAGUE,4578,7,4041,486,12,32
170,MONTGOMERY,118020,5489,81783,28825,137,1786
171,MOORE,5900,16,2356,3472,2,54
172,MORRIS,3082,878,1974,209,2,19
173,MOTLEY,254,4,203,46,1,0
174,NACOGDOCHES,15040,3010,8024,3788,18,200
175,NAVARRO,13385,2289,6192,4766,7,131
176,NEWTON,3219,1024,2066,95,6,28
177,NOLAN,3603,211,1883,1498,1,10
178,NUECES,87714,4201,19699,62213,110,1491
179,OCHILTREE,2932,3,1450,1456,8,15
180,OLDHAM,486,13,410,61,1,1
181,ORANGE,20515,2626,16309,1200,37,343
182,PALO PINTO,7229,219,4931,2004,11,64
183,PANOLA,5521,1262,3864,366,3,26
184,PARKER,27403,343,22955,3852,49,204
185,PARMER,2814,15,1074,1720,1,4
186,PECOS,4491,39,1106,3334,3,9
187,POLK,9445,1311,6190,1629,143,172
188,POTTER,36351,3692,14821,16682,54,1102
189,PRESIDIO,2753,2,170,2581,0,0
190,RAINS,2064,45,1788,208,8,15
191,RANDALL,25611,648,18848,5493,62,560
192,REAGAN,775,25,280,469,0,1
193,REAL,616,3,438,172,1,2
194,RED RIVER,3173,711,2133,320,2,7
195,REEVES,2795,42,342,2405,0,6
196,REFUGIO,1704,140,617,925,1,21
197,ROBERTS,183,0,175,8,0,0
198,ROBERTSON,4460,1314,2047,1075,3,21
199,ROCKWALL,20662,823,14640,4834,29,336
200,RUNNELS,2942,27,1510,1390,4,11
201,RUSK,11317,2279,6613,2355,8,62
202,SABINE,2047,236,1716,91,0,4
203,SAN AUGUSTINE,2172,933,1100,133,0,6
204,SAN JACINTO,6055,1086,4512,413,4,40
205,SAN PATRICIO,21382,634,7224,13302,19,203
206,SAN SABA,1382,3,917,460,1,1
207,SCHLEICHER,772,2,270,496,0,4
208,SCURRY,4120,143,2196,1773,1,7
209,SHACKELFORD,825,3,721,101,0,0
210,SHELBY,6858,1665,3643,1529,3,18
211,SHERMAN,782,0,493,286,1,2
212,SMITH,53330,10592,25358,16465,60,855
213,SOMERVELL,2047,7,1512,519,1,8
214,STARR,24328,0,261,24011,6,50
215,STEPHENS,2426,38,1617,770,0,1
216,STERLING,284,1,162,121,0,0
217,STONEWALL,337,5,262,70,0,0
218,SUTTON,1168,2,419,746,0,1
219,SWISHER,2133,130,984,1018,0,1
220,TARRANT,491551,74819,202082,185250,1212,28188
221,TAYLOR,34551,3180,20500,9961,53,857
222,TERRELL,155,0,66,86,1,2
223,TERRY,2977,144,1123,1690,3,17
224,THROCKMORTON,397,0,329,67,0,1
225,TITUS,9204,937,3459,4724,14,70
226,TOM GREEN,26373,1234,12200,12552,34,353
227,TRAVIS,235554,26003,84603,111357,325,13266
228,TRINITY,3148,606,2171,354,3,14
229,TYLER,4661,636,3880,122,4,19
230,UPSHUR,8977,1129,6754,1011,9,74
231,UPTON,727,4,300,422,1,0
232,UVALDE,8641,17,1534,7043,10,37
233,VAL VERDE,14881,137,2176,12438,14,116
234,VAN ZANDT,12444,352,10215,1784,20,73
235,VICTORIA,24406,1719,7930,14480,16,261
236,WALKER,11189,2809,5847,2354,11,168
237,WALLER,10387,2638,4182,3511,5,51
238,WARD,2460,132,1103,1206,4,15
239,WASHINGTON,7431,1774,3991,1516,7,143
240,WEBB,91533,53,1960,88901,20,599
241,WHARTON,11407,1875,4283,5193,3,53
242,WHEELER,1098,58,769,257,1,13
243,WICHITA,31659,4405,18924,7192,171,967
244,WILBARGER,3756,357,2105,1246,11,37
245,WILLACY,6680,18,355,6292,2,13
246,WILLIAMSON,108861,7455,65531,32215,111,3549
247,WILSON,11106,74,5835,5146,6,45
248,WINKLER,1633,33,700,895,1,4
249,WISE,14405,100,10597,3594,24,90
250,WOOD,8143,345,6610,1154,4,30
251,YOAKUM,2471,13,928,1529,0,1
252,YOUNG,4394,58,3348,967,4,17
253,ZAPATA,4736,4,142,4587,0,3
254,ZAVALA,3976,11,175,3788,0,2
255,STATE TOTAL,6663942,805252,2418551,3188151,10177,241811
