,County,Total,African American,Anglo,Hispanic,Native American,Other
1,ANDERSON,11844,2396,7115,2201,10,122
2,ANDREWS,4056,63,1602,2345,10,36
3,ANGELINA,22656,3435,12087,6870,19,245
4,ARANSAS,5091,92,2851,1892,23,233
5,ARCHER,2105,7,1883,210,1,4
6,ARMSTRONG,514,2,454,57,0,1
7,ATASCOSA,12801,32,3485,9234,8,42
8,AUSTIN,6584,1122,3248,2160,6,48
9,BAILEY,1834,19,693,1118,1,3
10,BANDERA,4133,33,3209,862,6,23
11,BASTROP,20172,1841,9807,8388,9,127
12,BAYLOR,780,28,638,110,1,3
13,BEE,7508,171,1841,5434,5,57
14,BELL,83087,21174,37035,20724,176,3978
15,BEXAR,438724,36625,100152,290870,425,10652
16,BLANCO,2232,15,1716,498,0,3
17,BORDEN,111,0,76,34,0,1
18,BOSQUE,4161,96,2684,1368,1,12
19,BOWIE,21313,6756,13163,1110,28,256
20,BRAZORIA,81797,7246,41989,29562,94,2906
21,BRAZOS,38287,5914,18345,11827,68,2133
22,BREWSTER,2002,17,672,1282,2,29
23,BRISCOE,428,4,270,152,0,2
24,BROOKS,2212,1,129,2080,0,2
25,BROWN,9651,407,6463,2718,7,56
26,BURLESON,4591,1027,2365,1178,2,19
27,BURNET,9853,119,6734,2927,8,65
28,CALDWELL,10198,858,3660,5593,8,79
29,CALHOUN,6195,113,2452,3473,3,154
30,CALLAHAN,3166,18,2853,276,4,15
31,CAMERON,136046,306,9665,124999,102,974
32,CAMP,3410,556,1659,1182,1,12
33,CARSON,1508,16,1379,110,1,2
34,CASS,6731,1799,4675,194,6,57
35,CASTRO,2084,77,668,1333,2,4
36,CHAMBERS,8852,978,6051,1733,8,82
37,CHEROKEE,12719,2120,6845,3687,2,65
38,CHILDRESS,1765,158,1055,550,0,2
39,CLAY,2141,11,1971,135,10,14
40,COCHRAN,837,51,330,456,0,0
41,COKE,757,0,514,239,0,4
42,COLEMAN,2000,50,1456,492,0,2
43,COLLIN,204247,11775,138783,35202,491,17996
44,COLLINGSWORTH,658,37,323,289,4,5
45,COLORADO,5357,1110,2262,1959,1,25
46,COMAL,25006,322,16273,8218,16,177
47,COMANCHE,3282,3,1907,1367,1,4
48,CONCHO,513,1,314,198,0,0
49,COOKE,9847,357,7105,2265,25,95
50,CORYELL,18291,4142,10134,3284,38,693
51,COTTLE,396,67,170,156,2,1
