,County,Child  Population,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*
1,ANDERSON,11844,155,13.1,35,149,110
2,ANDREWS,4056,42,10.4,19,41,19
3,ANGELINA,22656,106,4.7,38,101,75
4,ARANSAS,5091,90,17.7,48,84,74
5,ARCHER,2105,0,0.0,0,1,1
6,ARMSTRONG,514,2,3.9,2,2,0
7,ATASCOSA,12801,173,13.5,74,172,116
8,AUSTIN,6584,19,2.9,7,20,12
9,BAILEY,1834,29,15.8,4,27,24
10,BANDERA,4133,68,16.5,23,66,53
11,BASTROP,20172,192,9.5,70,187,110
12,BAYLOR,780,1,1.3,1,1,1
13,BEE,7508,97,12.9,36,92,58
14,BELL,83087,935,11.3,392,865,612
15,BEXAR,438724,5238,11.9,2046,5184,3564
16,BLANCO,2232,11,4.9,3,11,8
17,BORDEN,111,0,0.0,0,0,0
18,BOSQUE,4161,28,6.7,15,28,26
19,BOWIE,21313,179,8.4,73,168,95
20,BRAZORIA,81797,388,4.7,122,370,251
21,BRAZOS,38287,225,5.9,96,217,175
22,BREWSTER,2002,7,3.5,0,7,6
23,BRISCOE,428,0,0.0,0,1,0
24,BROOKS,2212,45,20.3,14,41,31
25,BROWN,9651,147,15.2,28,146,108
26,BURLESON,4591,38,8.3,13,38,25
27,BURNET,9853,113,11.5,46,113,79
28,CALDWELL,10198,103,10.1,38,106,77
29,CALHOUN,6195,16,2.6,7,16,16
30,CALLAHAN,3166,35,11.1,2,32,28
31,CAMERON,136046,641,4.7,207,620,478
32,CAMP,3410,65,19.1,27,57,29
33,CARSON,1508,5,3.3,3,5,4
34,CASS,6731,74,11.0,25,69,40
35,CASTRO,2084,4,1.9,0,5,5
36,CHAMBERS,8852,58,6.6,20,56,33
37,CHEROKEE,12719,164,12.9,91,159,109
38,CHILDRESS,1765,16,9.1,4,16,19
39,CLAY,2141,10,4.7,3,10,10
40,COCHRAN,837,6,7.2,1,6,5
41,COKE,757,7,9.2,0,7,7
42,COLEMAN,2000,71,35.5,18,62,40
43,COLLIN,204247,465,2.3,191,437,336
44,COLLINGSWORTH,658,10,15.2,0,10,6
45,COLORADO,5357,35,6.5,21,35,22
46,COMAL,25006,257,10.3,94,243,151
47,COMANCHE,3282,13,4.0,2,14,15
48,CONCHO,513,8,15.6,4,7,6
49,COOKE,9847,89,9.0,39,86,68
50,CORYELL,18291,202,11.0,80,191,122
51,COTTLE,396,0,0.0,0,0,0
52,CRANE,1114,4,3.6,2,4,3
53,CROCKETT,1066,8,7.5,0,9,6
54,CROSBY,1681,26,15.5,2,24,20
55,CULBERSON,577,0,0.0,0,0,0
56,DALLAM,1874,11,5.9,3,10,9
57,DALLAS,678936,3716,5.5,1589,3663,2347
58,DAWSON,3562,26,7.3,13,26,17
59,DEAF SMITH,6566,52,7.9,34,48,31
60,DELTA,1114,11,9.9,7,11,4
61,DENTON,162374,596,3.7,241,579,416
62,DEWITT,4686,48,10.2,16,50,30
63,DICKENS,451,19,42.1,5,17,10
64,DIMMIT,2678,99,37.0,28,99,59
65,DONLEY,739,17,23.0,5,17,16
66,DUVAL,3158,32,10.1,18,34,24
67,EASTLAND,4269,38,8.9,9,37,28
68,ECTOR,38841,409,10.5,164,396,298
69,EDWARDS,444,13,29.3,5,13,1
70,ELLIS,42250,111,2.6,45,103,66
71,EL PASO,227531,843,3.7,268,820,609
72,ERATH,9233,51,5.5,24,52,41
73,FALLS,4281,21,4.9,11,21,15
74,FANNIN,7598,41,5.4,15,38,34
75,FAYETTE,5455,71,13.0,25,69,32
76,FISHER,816,5,6.1,1,5,5
77,FLOYD,1864,30,16.1,14,30,25
78,FOARD,322,0,0.0,0,0,0
79,FORT BEND,137850,298,2.2,82,270,152
80,FRANKLIN,2272,14,6.2,3,12,10
81,FREESTONE,4715,26,5.5,6,29,25
82,FRIO,4942,74,15.0,29,75,47
83,GAINES,5172,40,7.7,16,40,31
84,GALVESTON,71609,348,4.9,124,315,174
85,GARZA,1265,22,17.4,9,22,18
86,GILLESPIE,4675,61,13.0,25,58,45
87,GLASSCOCK,372,0,0.0,0,0,0
88,GOLIAD,1734,6,3.5,2,7,7
89,GONZALES,5435,22,4.0,12,23,17
90,GRAY,5161,160,31.0,74,153,87
91,GRAYSON,28207,163,5.8,45,161,129
92,GREGG,31957,287,9.0,105,284,209
93,GRIMES,6213,40,6.4,9,40,24
94,GUADALUPE,31772,182,5.7,88,179,91
95,HALE,10966,132,12.0,48,125,99
96,HALL,1003,15,15.0,5,15,9
97,HAMILTON,1927,21,10.9,7,21,15
98,HANSFORD,1436,6,4.2,3,6,3
99,HARDEMAN,1011,7,6.9,0,6,6
100,HARDIN,12282,65,5.3,10,64,48
101,HARRIS,1117039,8057,7.2,2388,7878,4888
102,HARRISON,15597,138,8.8,52,132,100
103,HARTLEY,1297,0,0.0,0,1,1
104,HASKELL,1295,6,4.6,6,6,6
105,HAYS,34231,177,5.2,82,176,108
106,HEMPHILL,846,2,2.4,1,2,1
107,HENDERSON,18230,264,14.5,106,246,166
108,HIDALGO,259479,959,3.7,615,952,783
109,HILL,9364,57,6.1,18,52,36
110,HOCKLEY,6614,96,14.5,21,91,83
111,HOOD,10577,94,8.9,40,94,75
112,HOPKINS,8844,77,8.7,29,67,47
113,HOUSTON,4926,45,9.1,20,42,39
114,HOWARD,7696,108,14.0,36,103,65
115,HUDSPETH,904,3,3.3,0,3,3
116,HUNT,21239,256,12.1,100,246,166
117,HUTCHINSON,6092,54,8.9,23,56,27
118,IRION,292,6,20.5,3,6,6
119,JACK,1967,17,8.6,8,17,6
120,JACKSON,3988,5,1.3,1,5,3
121,JASPER,8642,49,5.7,8,48,36
122,JEFF DAVIS,423,0,0.0,0,0,0
123,JEFFERSON,60449,305,5.0,126,296,251
124,JIM HOGG,1444,14,9.7,9,14,2
125,JIM WELLS,12090,113,9.3,58,108,83
126,JOHNSON,44740,413,9.2,151,396,314
127,JONES,4188,15,3.6,2,12,10
128,KARNES,3410,33,9.7,17,35,28
129,KAUFMAN,26938,137,5.1,64,136,89
130,KENDALL,7188,46,6.4,26,44,30
131,KENEDY,118,1,8.5,1,1,1
132,KENT,115,0,0.0,0,0,0
133,KERR,8900,247,27.8,76,237,165
134,KIMBLE,1060,23,21.7,1,17,17
135,KING,66,0,0.0,0,0,0
136,KINNEY,795,3,3.8,2,3,0
137,KLEBERG,8211,100,12.2,29,94,58
138,KNOX,1001,8,8.0,0,9,8
139,LAMAR,12535,132,10.5,61,124,94
140,LAMB,4428,38,8.6,16,41,37
141,LAMPASAS,5182,47,9.1,19,50,38
142,LASALLE,1586,25,15.8,7,25,16
143,LAVACA,4394,11,2.5,5,11,6
144,LEE,4350,78,17.9,41,76,54
145,LEON,3557,23,6.5,12,23,17
146,LIBERTY,20386,222,10.9,108,222,125
147,LIMESTONE,5590,53,9.5,19,52,33
148,LIPSCOMB,718,6,8.4,2,6,5
149,LIVE OAK,2424,21,8.7,10,24,15
150,LLANO,3066,64,20.9,23,60,31
151,LOVING,3,0,0.0,0,0,0
152,LUBBOCK,67626,899,13.3,310,868,646
153,LYNN,1422,8,5.6,4,8,8
154,MADISON,3046,38,12.5,9,37,18
155,MARION,2233,18,8.1,5,17,13
156,MARTIN,1590,2,1.3,0,2,1
157,MASON,704,6,8.5,2,6,5
158,MATAGORDA,10427,40,3.8,17,38,28
159,MAVERICK,18819,42,2.2,11,39,23
160,MCCULLOCH,2091,22,10.5,6,18,13
161,MCLENNAN,60002,490,8.2,205,488,376
162,MCMULLEN,119,0,0.0,0,0,0
163,MEDINA,11545,201,17.4,69,194,129
164,MENARD,478,13,27.2,8,13,11
165,MIDLAND,35971,218,6.1,75,211,147
166,MILAM,6940,86,12.4,29,78,47
167,MILLS,1200,8,6.7,0,8,4
168,MITCHELL,1769,12,6.8,4,12,10
169,MONTAGUE,4578,113,24.7,46,106,73
170,MONTGOMERY,118020,933,7.9,338,895,482
171,MOORE,5900,31,5.3,18,32,20
172,MORRIS,3082,36,11.7,21,36,12
173,MOTLEY,254,3,11.8,1,3,2
174,NACOGDOCHES,15040,183,12.2,75,175,141
175,NAVARRO,13385,101,7.5,30,107,87
176,NEWTON,3219,17,5.3,11,17,17
177,NOLAN,3603,37,10.3,20,37,26
178,NUECES,87714,785,8.9,253,755,560
179,OCHILTREE,2932,11,3.8,5,14,10
180,OLDHAM,486,1,2.1,0,1,1
181,ORANGE,20515,188,9.2,106,184,173
182,PALO PINTO,7229,84,11.6,40,82,61
183,PANOLA,5521,35,6.3,14,34,29
184,PARKER,27403,73,2.7,25,73,64
185,PARMER,2814,11,3.9,1,10,7
186,PECOS,4491,38,8.5,8,37,25
187,POLK,9445,126,13.3,47,125,93
188,POTTER,36351,332,9.1,116,326,288
189,PRESIDIO,2753,4,1.5,1,4,3
190,RAINS,2064,22,10.7,10,22,17
191,RANDALL,25611,409,16.0,154,391,293
192,REAGAN,775,5,6.5,1,5,5
193,REAL,616,10,16.2,3,10,9
194,RED RIVER,3173,37,11.7,16,37,20
195,REEVES,2795,24,8.6,10,25,13
196,REFUGIO,1704,12,7.0,10,12,12
197,ROBERTS,183,0,0.0,0,0,0
198,ROBERTSON,4460,26,5.8,12,26,14
199,ROCKWALL,20662,53,2.6,29,52,30
200,RUNNELS,2942,40,13.6,10,44,34
201,RUSK,11317,103,9.1,51,99,53
202,SABINE,2047,18,8.8,3,16,15
203,SAN AUGUSTINE,2172,3,1.4,1,3,1
204,SAN JACINTO,6055,61,10.1,20,61,60
205,SAN PATRICIO,21382,100,4.7,27,99,78
206,SAN SABA,1382,13,9.4,1,13,5
207,SCHLEICHER,772,2,2.6,1,2,2
208,SCURRY,4120,23,5.6,0,20,20
209,SHACKELFORD,825,0,0.0,0,0,0
210,SHELBY,6858,66,9.6,21,63,56
211,SHERMAN,782,1,1.3,0,1,1
212,SMITH,53330,370,6.9,142,370,288
213,SOMERVELL,2047,14,6.8,7,11,10
214,STARR,24328,108,4.4,53,106,95
215,STEPHENS,2426,13,5.4,0,12,11
216,STERLING,284,0,0.0,0,0,0
217,STONEWALL,337,0,0.0,0,0,0
218,SUTTON,1168,4,3.4,2,4,3
219,SWISHER,2133,25,11.7,7,27,18
220,TARRANT,491551,2194,4.5,762,2085,1657
221,TAYLOR,34551,318,9.2,111,297,222
222,TERRELL,155,0,0.0,0,0,0
223,TERRY,2977,60,20.2,30,58,34
224,THROCKMORTON,397,1,2.5,0,2,2
225,TITUS,9204,119,12.9,27,105,55
226,TOM GREEN,26373,503,19.1,174,479,379
227,TRAVIS,235554,1403,6.0,627,1386,965
228,TRINITY,3148,38,12.1,12,38,32
229,TYLER,4661,17,3.6,6,17,11
230,UPSHUR,8977,69,7.7,19,67,34
231,UPTON,727,8,11.0,3,10,7
232,UVALDE,8641,102,11.8,48,99,62
233,VAL VERDE,14881,48,3.2,8,47,29
234,VAN ZANDT,12444,189,15.2,70,168,127
235,VICTORIA,24406,206,8.4,79,202,141
236,WALKER,11189,77,6.9,35,80,60
237,WALLER,10387,86,8.3,37,78,48
238,WARD,2460,21,8.5,3,19,5
239,WASHINGTON,7431,39,5.2,15,40,26
240,WEBB,91533,597,6.5,224,589,475
241,WHARTON,11407,97,8.5,37,86,52
242,WHEELER,1098,14,12.8,3,14,8
243,WICHITA,31659,285,9.0,93,282,238
244,WILBARGER,3756,14,3.7,5,15,15
245,WILLACY,6680,74,11.1,16,71,63
246,WILLIAMSON,108861,580,5.3,188,555,383
247,WILSON,11106,57,5.1,39,55,25
248,WINKLER,1633,11,6.7,2,9,8
249,WISE,14405,104,7.2,42,102,72
250,WOOD,8143,125,15.4,39,125,81
251,YOAKUM,2471,17,6.9,2,14,4
252,YOUNG,4394,51,11.6,27,49,43
253,ZAPATA,4736,69,14.6,22,70,53
254,ZAVALA,3976,46,11.6,12,46,37
255,UNKNOWN,0,0,0.0,0,0,0
256,OUT OF STATE,0,0,0.0,0,0,0
257,STATE TOTAL,6663942,46063,6.9,17108,44780,31092
