,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services
1,ANDERSON,5045,7301,463,437,369,477
2,ANDREWS,1096,1936,70,62,46,21
3,ANGELINA,6639,11704,646,536,387,467
4,ARANSAS,2206,6629,195,161,98,100
5,ARCHER,815,1376,68,52,44,39
6,ARMSTRONG,168,480,7,8,6,13
7,ATASCOSA,3980,5544,266,220,149,195
8,AUSTIN,2430,4363,99,77,55,75
9,BAILEY,506,1032,52,50,49,82
10,BANDERA,1921,4023,118,79,42,41
11,BASTROP,7875,8679,387,314,141,102
12,BAYLOR,306,993,70,63,56,75
13,BEE,2828,3640,146,129,97,88
14,BELL,21860,23702,1759,1260,827,795
15,BEXAR,134216,170835,9721,7811,4652,5681
16,BLANCO,931,1846,38,35,21,21
17,BORDEN,61,197,0,0,0,0
18,BOSQUE,1426,3602,109,94,45,37
19,BOWIE,7813,12964,481,370,226,276
20,BRAZORIA,27349,31323,751,565,373,343
21,BRAZOS,13575,11827,386,293,193,198
22,BREWSTER,802,1567,59,66,49,63
23,BRISCOE,136,422,6,4,0,0
24,BROOKS,663,1274,74,71,44,50
25,BROWN,2978,7188,342,265,185,165
26,BURLESON,1505,3224,95,75,50,58
27,BURNET,3732,9987,170,137,73,59
28,CALDWELL,3335,4367,167,142,76,50
29,CALHOUN,1764,3381,81,62,34,29
30,CALLAHAN,1102,2734,151,116,88,137
31,CAMERON,31464,48153,1734,1424,844,795
32,CAMP,1072,2311,88,70,44,54
33,CARSON,533,1108,30,27,21,20
34,CASS,2368,6186,237,185,109,69
35,CASTRO,636,1135,29,25,22,17
36,CHAMBERS,3121,3696,70,49,32,47
37,CHEROKEE,3947,7359,641,589,484,733
38,CHILDRESS,608,1183,59,58,48,100
39,CLAY,951,2057,140,117,98,80
40,COCHRAN,292,654,59,58,57,80
41,COKE,280,1003,13,9,6,2
42,COLEMAN,676,1999,108,91,66,79
43,COLLIN,78988,58379,1081,819,548,520
44,COLLINGSWORTH,242,644,11,11,7,17
45,COLORADO,1781,4114,97,80,53,46
46,COMAL,10350,17406,432,317,203,191
47,COMANCHE,1048,3000,111,90,56,39
48,CONCHO,368,642,23,24,19,29
