,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2006,Subsequently Confirmed Victims in Fiscal Years 2006 - 2011,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other**,Other***,Family Reunification,Custody Given to Relative,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other*,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP*,TOTAL,CBCAP,FSP*,TFTS
42,COLLIN,45060,72084,1053,859,616,540,68,60,5,4578,3824,35,4540,3343,2173,596,3944,150,237706,1082,4.6,2885,682,23.6%,551,97,4,0,429,1.8,159,409,311,358,0,168,24,59,33,137,304,3357288,2,22,6,189,"$71,902.86",409,12,"$4,031.54",913,237706,22033,127190,47767,1082,39634,,,,,,,,183830,330,47963,102,1203,244,196,237706,4,209,1,0,0,0,214,544,553,0,237,0,790,,,
43,COLLINGSWORTH,210,566,20,17,14,23,0,0,0,28,22,2,41,27,21,7,34,0,840,14,16.7,22,8,36.4%,16,0,,,11,13.1,2,11,7,9,0,2,0,0,4,3,7,30401,0,0,0,0,$0.00,11,4,$590.85,14,840,23,377,414,10,16,,,,,,,,649,0,0,1,12,1,1,840,0,0,0,0,0,0,0,0,7,0,0,0,7,,,
44,COLORADO,1170,4212,87,64,45,83,0,0,0,152,138,1,173,130,102,26,147,2,4928,31,6.3,95,18,18.9%,51,3,,,27,5.5,2,25,13,23,0,4,0,7,5,8,13,207390,0,0,0,2,"$3,417.39",25,0,$0.00,60,4928,690,2018,2105,3,112,,,,,,,,3782,8,608,3,36,6,4,4928,0,2,0,0,0,0,2,8,62,0,15,0,77,,,
45,COMAL,9250,19096,451,326,217,207,39,29,6,1051,876,10,1006,560,496,340,666,79,26685,421,15.8,619,238,38.4%,169,53,2,1,218,8.2,71,211,123,182,0,79,17,26,32,58,120,1384907,0,7,3,1,$95.00,211,6,"$1,010.32",511,26685,403,15784,9739,62,697,,,,,,,,19914,43,4447,4,48,17,14,26685,1,55,4,0,1,0,61,339,541,0,17,0,558,,,
46,COMANCHE,1160,3036,110,84,66,90,0,0,0,130,108,0,139,89,72,36,103,16,3337,44,13.2,75,22,29.3%,57,14,,,24,7.2,15,26,16,18,0,15,1,0,1,2,16,130553,2,1,1,8,"$1,605.58",26,0,$0.00,35,3337,9,1809,1464,9,46,,,,,,,,2577,4,143,4,48,3,2,3337,1,11,0,0,0,0,12,34,13,0,0,0,13,3,0,10
47,CONCHO,410,607,25,24,23,20,0,0,0,24,22,0,24,17,15,7,17,4,568,7,12.3,15,4,26.7%,5,2,,,6,10.6,3,7,9,5,0,1,3,1,0,0,9,143986,0,0,1,3,"$2,015.26",7,0,$0.00,12,568,4,306,254,1,3,,,,,,,,456,2,85,0,0,1,1,568,0,2,0,0,0,0,2,6,0,0,0,0,0,,,
48,COOKE,2060,6510,168,109,78,62,1,0,0,483,445,5,595,457,394,66,529,20,9788,122,12.5,348,78,22.4%,119,25,1,0,87,8.9,27,87,73,67,0,27,0,20,4,18,76,986803,0,0,1,38,"$7,887.99",87,1,$195.50,94,9788,260,6407,2673,93,355,,,,,,,,7519,8,643,9,108,14,14,9788,0,2,0,1,0,0,3,7,27,0,35,0,62,,,
49,CORYELL,4700,6229,189,165,114,123,2,1,0,937,860,8,1044,804,774,155,889,78,22088,214,9.7,652,128,19.6%,318,68,,,217,9.8,99,200,110,198,0,101,16,5,8,103,110,928767,1,8,6,4,"$9,300.00",200,1,$508.95,316,22088,2983,11798,5052,118,2137,,,,,,,,17788,32,2764,4,48,18,9,22088,0,38,0,0,0,0,38,141,46,0,40,0,86,,,
50,COTTLE,130,387,21,20,15,15,0,0,0,18,18,0,25,22,22,3,22,0,342,3,8.8,14,1,7.1%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,3,342,24,196,116,3,3,,,,,,,,267,1,34,0,0,0,0,342,0,0,0,0,0,0,0,0,3,0,0,0,3,,,
51,CRANE,370,556,19,14,11,12,0,0,0,25,17,0,26,26,24,1,25,1,1286,0,0.0,16,0,0.0%,11,0,,,2,1.6,0,2,1,2,0,0,0,0,0,2,1,28844,0,0,0,0,$0.00,2,0,$0.00,4,1286,37,343,891,8,7,,,,,,,,994,1,40,0,0,1,0,1286,0,0,0,0,0,0,0,0,3,0,0,0,3,,,
52,CROCKETT,320,608,14,11,10,12,0,0,0,37,32,0,50,34,32,12,38,2,970,16,16.5,31,11,35.5%,36,5,,,7,7.2,2,8,6,4,0,2,0,0,1,2,6,52985,0,0,0,1,$97.46,8,1,$91.55,19,970,0,203,761,2,4,,,,,,,,762,2,80,1,12,0,0,970,0,0,0,0,0,0,0,0,4,0,1,0,5,,,
53,CROSBY,440,1103,55,56,44,53,0,0,0,91,88,0,130,100,92,15,115,2,1737,29,16.7,70,13,18.6%,4,0,,,16,9.2,6,18,12,13,0,6,0,1,5,2,12,145052,0,0,0,0,$0.00,18,0,$0.00,45,1737,56,475,1191,0,15,,,,,,,,1342,0,0,0,0,2,1,1737,0,2,0,0,0,0,2,8,37,0,0,0,37,,,
54,CULBERSON,160,397,7,5,5,2,0,0,0,18,13,0,28,18,18,10,18,0,658,10,15.2,12,4,33.3%,14,5,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,17,658,1,91,555,1,10,,,,,,,,500,1,59,0,0,2,0,658,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
55,DALLAM,480,698,20,19,15,16,0,0,0,77,71,1,116,89,88,13,103,3,2065,22,10.7,66,16,24.2%,54,12,1,0,11,5.3,3,11,9,4,0,3,1,0,0,0,8,283741,0,0,1,0,$0.00,11,2,$168.00,33,2065,19,908,1067,5,66,,,,,,,,1666,1,54,2,24,6,2,2065,0,1,0,0,0,0,1,0,15,0,2,0,17,,,
56,DALLAS,129140,218059,8309,6718,4610,3837,255,212,35,21273,18533,176,23788,18024,14471,3630,20158,984,667394,5107,7.7,14450,3183,22.0%,3605,557,11,1,3948,5.9,1597,3877,2465,3316,56,1628,219,315,273,1321,2444,26647969,25,93,24,1596,"$924,795.23",3875,101,"$28,579.49",5663,667394,149685,121647,350694,1672,43696,,,,,,,,530907,800,91026,134,1581,796,671,667394,48,715,5,0,4,0,772,2631,796,2030,441,0,3267,,,
57,DAWSON,1150,2018,124,119,89,48,0,0,0,167,144,1,181,124,104,45,136,3,3418,54,15.8,96,26,27.1%,53,24,,,33,9.7,14,34,20,30,0,14,3,10,1,3,20,243008,0,1,0,6,"$1,370.16",34,3,$577.78,87,3418,128,914,2320,6,50,,,,,,,,2697,2,322,3,36,9,0,3418,0,5,0,0,0,0,5,24,4,0,3,0,7,,,
58,DEAF SMITH,1360,2281,45,38,28,30,1,1,0,229,187,3,308,234,227,32,276,6,6363,66,10.4,167,34,20.4%,73,14,,,55,8.6,14,56,39,43,0,15,3,14,7,9,36,423296,0,1,0,1,$84.00,56,9,"$2,345.79",91,6363,28,1160,5105,12,58,,,,,,,,5068,6,450,1,8,20,1,6363,0,1,0,0,0,0,1,5,113,0,29,0,142,,,
59,DELTA,480,1127,43,38,22,19,0,0,0,63,52,0,86,64,63,18,68,9,1153,22,19.1,54,15,27.8%,25,5,,,14,12.1,8,14,13,14,0,8,0,1,0,5,13,134019,0,0,0,3,$608.53,14,2,$474.42,26,1153,99,857,119,10,68,,,,,,,,861,0,0,1,11,2,0,1153,0,3,0,0,0,0,3,7,47,0,0,0,47,,,
60,DENTON,37740,54739,1223,856,629,471,278,263,35,4483,3790,37,4609,3575,2785,566,4043,231,193415,929,4.8,3012,617,20.5%,450,64,2,0,684,3.5,271,652,458,578,0,271,7,104,92,153,454,4222697,1,14,3,334,"$165,870.31",652,22,"$6,507.47",811,193415,16332,105325,49717,957,21084,,,,,,,,151149,244,32313,93,1116,208,192,193415,1,169,1,0,0,0,171,479,563,0,108,0,671,,,
61,DEWITT,1620,3822,116,91,52,55,1,0,0,214,156,1,259,218,188,32,227,10,4478,35,7.8,157,25,15.9%,53,8,,,48,10.7,8,49,28,31,0,8,7,15,5,3,27,484201,0,0,1,1,$400.00,49,0,$0.00,41,4478,354,1952,2017,9,146,,,,,,,,3441,6,317,2,24,2,1,4478,0,7,1,0,0,0,8,68,50,0,0,0,50,,,
62,DICKENS,180,516,22,26,17,17,0,0,0,27,25,0,31,22,18,6,25,3,473,9,19.0,17,5,29.4%,7,1,,,10,21.1,0,10,8,5,0,0,0,2,0,3,8,170840,0,0,0,0,$0.00,10,0,$0.00,18,473,3,251,208,8,3,,,,,,,,370,1,20,0,0,0,1,473,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
63,DIMMIT,750,1554,37,35,16,18,0,0,0,123,103,0,186,156,145,19,167,13,2932,28,9.5,98,13,13.3%,43,13,,,80,27.3,5,83,50,31,0,5,3,12,5,7,52,877207,0,1,2,1,$296.89,83,3,$327.00,29,2932,24,238,2651,0,19,,,,,,,,2266,5,309,0,0,3,0,2932,0,4,0,0,0,0,4,5,8,0,0,0,8,,,
64,DONLEY,250,799,21,15,10,25,0,0,0,42,38,0,57,36,30,11,46,7,729,21,28.8,28,9,32.1%,7,0,,,14,19.2,4,13,10,10,0,4,4,0,0,7,10,174509,0,2,0,3,$252.00,13,0,$0.00,18,729,52,554,104,1,18,,,,,,,,552,0,0,2,24,3,1,729,0,5,0,0,0,0,5,14,5,0,0,0,5,,,
65,DUVAL,1040,2031,46,44,29,24,0,0,0,123,109,0,131,92,83,41,90,8,3044,34,11.2,74,20,27.0%,79,28,,,29,9.5,7,31,26,17,0,7,0,2,1,8,25,334362,0,0,0,2,$800.00,31,6,"$1,169.45",100,3044,3,232,2795,2,12,,,,,,,,2342,6,225,0,0,0,2,3044,0,1,0,0,0,0,1,6,3,0,0,0,3,,,
66,EASTLAND,1630,3858,218,171,140,156,11,9,4,229,182,0,243,170,156,48,195,7,4197,59,14.1,147,37,25.2%,48,11,,,49,11.7,18,49,37,32,0,18,2,4,0,13,37,326510,1,1,0,9,"$6,210.82",49,3,$81.00,81,4197,48,3011,1061,15,62,,,,,,,,3236,9,304,2,24,6,2,4197,0,13,0,0,0,0,13,44,42,0,0,0,42,,,
67,ECTOR,11250,14754,730,619,463,557,7,6,2,1917,1666,19,2179,1476,1308,451,1728,143,40880,633,15.5,1289,384,29.8%,458,103,4,0,446,10.9,158,422,313,345,0,162,19,40,22,118,314,4433217,0,10,2,111,"$88,148.13",422,54,"$6,508.63",753,40880,1642,10893,27371,159,815,,,,,,,,32788,48,4558,9,108,54,5,40880,1,49,0,0,0,0,50,148,111,0,21,0,132,,,
68,EDWARDS,160,485,7,5,5,4,0,0,0,16,12,0,27,20,20,6,21,0,412,4,9.7,14,3,21.4%,0,0,,,16,38.8,0,17,5,7,0,0,2,5,0,0,5,48551,0,0,0,0,$0.00,17,0,$0.00,2,412,2,118,290,2,0,,,,,,,,324,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,13,0,0,0,13,,,
69,ELLIS,8570,17056,399,287,206,226,3,4,2,1237,1035,6,1152,920,738,159,993,24,44792,208,4.6,736,132,17.9%,291,43,,,75,1.7,30,76,52,69,0,25,0,13,16,27,52,720294,0,11,3,61,"$32,892.11",76,4,"$1,876.92",294,44792,4236,24086,15058,133,1279,,,,,,,,33619,56,6207,8,96,54,26,44792,2,86,2,0,0,0,90,453,98,0,43,0,141,,,
70,EL PASO,52360,87302,3658,2934,1948,2085,273,274,52,7111,5959,55,7532,5185,4437,1357,6175,176,244164,2081,8.5,4462,1191,26.7%,1478,306,4,1,814,3.3,297,788,624,647,0,298,37,118,89,211,608,7298146,2,42,9,268,"$240,851.71",788,42,"$7,136.28",2527,244164,5408,19121,214450,653,4532,,,,,,,,187555,278,26240,147,1757,346,95,244164,8,190,6,0,0,0,204,862,751,1350,112,0,2213,,,
71,ERATH,1950,5077,102,86,63,60,3,6,0,329,298,3,370,244,204,64,306,22,8657,114,13.2,233,76,32.6%,63,13,1,0,62,7.2,23,61,41,52,0,23,2,7,6,20,40,394583,0,1,0,32,"$13,206.37",61,4,"$1,463.63",89,8657,100,5506,2836,43,172,,,,,,,,6849,13,909,6,72,9,15,8657,1,13,1,0,0,0,15,116,178,0,16,0,194,,,
72,FALLS,1320,2999,103,69,48,43,2,2,0,130,111,1,191,137,131,24,167,9,3871,50,12.9,116,32,27.6%,33,3,,,25,6.5,9,26,16,16,0,9,0,7,0,1,16,219465,1,2,0,1,$400.00,26,1,$28.70,12,3871,1030,1487,1240,9,105,,,,,,,,3008,3,217,1,12,5,1,3871,0,10,0,0,1,0,11,61,12,0,0,0,12,,,
73,FANNIN,1930,6159,142,132,115,102,0,0,0,347,312,2,292,232,186,24,268,5,7539,52,6.9,188,37,19.7%,61,9,,,30,4.0,5,27,21,23,0,3,2,2,5,13,19,361374,0,4,2,12,"$3,906.58",27,0,$0.00,43,7539,360,5684,1137,81,277,,,,,,,,5799,8,547,1,12,15,6,7539,0,9,0,0,0,0,9,20,105,0,0,0,105,,,
74,FAYETTE,1620,5617,84,80,42,50,2,1,0,172,146,0,199,107,89,48,151,28,5434,80,14.7,113,42,37.2%,36,9,,,82,15.1,31,72,42,64,0,31,3,16,10,22,42,439422,0,0,1,1,"$3,000.00",72,0,$0.00,54,5434,448,3016,1847,14,109,,,,,,,,4040,9,487,6,72,11,3,5434,0,4,0,0,1,0,5,32,68,0,17,0,85,,,
75,FISHER,350,916,37,24,22,17,0,0,0,43,37,0,38,19,18,14,24,2,827,17,20.6,25,12,48.0%,21,8,,,6,7.3,2,6,6,2,0,2,0,0,0,0,6,120866,0,1,0,1,"$1,280.61",6,0,$0.00,26,827,22,492,302,0,11,,,,,,,,612,0,0,0,0,0,0,827,0,1,0,0,0,0,1,2,4,0,0,0,4,,,
76,FLOYD,450,1168,45,37,31,35,0,0,0,88,82,0,118,64,45,26,92,10,1813,41,22.6,56,22,39.3%,30,10,,,39,21.5,15,38,23,27,0,16,0,2,3,7,22,282802,0,0,0,0,$0.00,38,0,$0.00,43,1813,54,435,1311,0,13,,,,,,,,1392,2,227,0,0,1,1,1813,0,3,0,0,0,0,3,13,8,0,0,0,8,,,
77,FOARD,120,335,16,16,14,7,0,0,0,13,11,0,14,14,14,0,14,0,264,0,0.0,6,0,0.0%,3,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,264,22,186,54,0,2,,,,,,,,185,1,35,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,FORT BEND,35100,51098,840,650,377,415,245,227,26,2558,2208,22,2677,2045,1575,405,2272,57,184786,535,2.9,1726,378,21.9%,365,40,3,0,238,1.3,73,233,156,191,0,73,14,15,34,75,147,1975894,6,25,24,50,"$42,365.27",233,23,"$4,147.97",840,184786,40765,53600,54440,397,35584,,,,,,,,139745,262,33055,36,432,99,199,184786,3,274,2,0,5,0,284,1065,168,0,86,0,254,,,
79,FRANKLIN,890,2114,37,30,19,16,3,9,1,112,93,1,129,94,88,17,112,5,2649,34,12.8,81,22,27.2%,18,2,,,11,4.2,6,11,6,8,0,6,0,0,2,1,3,13350,0,1,0,1,$95.00,11,8,$714.65,35,2649,122,1844,584,15,84,,,,,,,,2069,4,269,1,12,4,0,2649,0,5,0,0,0,0,5,17,7,0,0,0,7,,,
80,FREESTONE,1390,3490,79,73,40,35,5,4,0,131,109,0,187,140,131,24,163,9,4644,38,8.2,107,20,18.7%,37,8,,,28,6.0,9,31,24,20,0,11,0,7,8,3,25,349633,0,0,1,7,"$12,800.00",31,0,$0.00,16,4644,691,2854,998,25,76,,,,,,,,3608,8,471,2,24,14,4,4644,0,8,1,0,0,0,9,74,18,0,0,0,18,,,
81,FRIO,1350,2100,62,41,24,27,1,0,0,283,248,4,382,251,229,125,257,37,4226,124,29.3,210,70,33.3%,156,21,1,0,100,23.7,38,96,61,84,0,44,0,14,15,14,60,675548,0,2,0,0,$0.00,96,6,$231.00,119,4226,11,459,3715,8,33,,,,,,,,3299,6,465,2,24,5,1,4226,0,9,0,0,0,0,9,39,4,0,0,0,4,,,
82,GAINES,1290,1650,41,31,21,14,1,1,0,117,94,0,101,68,61,16,85,7,6436,26,4.0,61,17,27.9%,36,4,,,35,5.4,8,26,18,26,0,8,1,3,3,12,18,318938,0,2,0,5,"$4,545.35",26,0,$0.00,32,6436,85,3803,2466,8,74,,,,,,,,5143,2,102,3,36,2,1,6436,0,5,0,0,0,0,5,15,23,0,0,0,23,,,
83,GALVESTON,17080,34982,1146,996,533,436,31,25,2,2986,2600,23,3238,2730,2441,476,2762,64,75257,451,6.0,2020,301,14.9%,1038,148,3,0,327,4.3,98,305,169,264,0,99,14,34,43,101,167,2248520,2,20,13,49,"$43,999.51",305,11,$974.08,870,75257,10542,36453,23523,229,4510,,,,,,,,58491,128,14154,15,173,63,65,75257,1,98,2,0,1,0,102,349,398,804,3,0,1205,,,
84,GARZA,530,763,62,53,42,50,0,0,0,82,72,0,101,57,55,23,78,3,1272,44,34.6,60,23,38.3%,20,3,,,20,15.7,6,20,14,8,0,6,0,0,0,2,17,198539,0,1,0,3,$162.00,20,0,$0.00,58,1272,72,504,673,9,14,,,,,,,,997,2,80,0,0,3,0,1272,0,1,0,0,0,0,1,2,2,0,0,0,2,,,
85,GILLESPIE,1830,7037,87,53,39,34,1,1,0,175,139,0,212,154,149,43,169,20,5119,55,10.7,135,30,22.2%,31,3,,,56,10.9,20,53,38,40,0,20,2,3,4,16,38,560241,0,0,0,8,"$7,323.65",53,4,$226.20,61,5119,11,3125,1883,13,87,,,,,,,,3796,11,515,4,48,8,3,5119,0,8,0,0,0,0,8,18,46,0,46,0,92,,,
86,GLASSCOCK,100,188,5,2,2,2,0,0,0,1,1,0,4,2,2,2,2,0,329,2,6.1,3,2,66.7%,1,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,1,329,6,192,130,0,1,,,,,,,,232,1,12,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,GOLIAD,600,1510,35,22,14,12,0,0,0,82,71,0,107,82,70,11,96,0,1613,21,13.0,68,13,19.1%,8,0,,,6,3.7,0,2,2,5,0,0,0,0,0,5,2,46569,1,1,0,1,$400.00,2,0,$0.00,15,1613,72,732,782,4,23,,,,,,,,1183,2,141,0,0,2,0,1613,0,9,1,0,0,0,10,54,8,0,0,0,8,,,
88,GONZALES,1520,3190,84,64,38,17,1,1,0,248,201,3,288,215,190,42,246,8,5447,70,12.9,171,37,21.6%,53,11,,,26,4.8,8,25,17,23,0,8,1,7,2,7,17,223021,0,0,1,0,$0.00,25,1,$27.00,41,5447,311,1560,3472,14,90,,,,,,,,4322,7,350,1,12,11,1,5447,1,6,0,0,1,0,8,93,88,0,0,0,88,,,
89,GRAY,1600,3662,112,88,60,62,7,6,3,352,331,5,408,274,210,82,326,26,5714,111,19.4,246,70,28.5%,40,7,,,138,24.2,26,128,82,114,0,26,23,26,11,41,87,1271126,0,1,0,13,"$7,866.00",128,17,"$2,652.40",120,5714,151,3143,2236,19,165,,,,,,,,4562,11,845,0,0,5,0,5714,0,7,0,0,0,0,7,20,32,0,0,0,32,,,
90,GRAYSON,6730,20170,710,611,450,487,22,18,6,1557,1355,14,1797,1292,1041,223,1574,54,29242,453,15.5,1094,271,24.8%,174,24,,,146,5.0,61,146,120,127,0,61,9,16,21,41,120,1305463,2,10,0,92,"$41,436.47",146,2,$340.15,335,29242,1957,19606,5794,451,1434,,,,,,,,22698,35,3234,9,108,46,20,29242,0,25,1,0,0,0,26,67,281,0,33,0,314,,,
91,GREGG,11050,17229,747,572,402,523,107,110,10,1380,1158,13,1531,1137,948,227,1304,74,31504,373,11.8,983,233,23.7%,370,70,3,0,279,8.9,85,276,211,207,0,85,4,43,19,66,210,3044668,0,5,5,41,"$35,693.55",276,36,"$3,959.35",334,31504,6866,14503,8695,109,1331,,,,,,,,24896,56,6369,5,60,36,20,31504,2,39,0,0,0,0,41,111,218,0,9,0,227,,,
92,GRIMES,1990,4004,103,85,66,58,0,1,1,230,199,0,247,186,168,18,229,10,6083,54,8.9,154,33,21.4%,69,14,,,43,7.1,13,41,24,29,0,13,0,3,6,8,25,343643,2,3,0,4,"$7,698.84",41,0,$0.00,33,6083,904,2952,2064,12,151,,,,,,,,4625,7,326,10,119,6,4,6083,0,8,0,0,0,0,8,20,144,0,0,0,144,,,
93,GUADALUPE,10740,17128,440,370,224,182,26,24,7,1401,1054,10,1549,1106,942,337,1212,89,38282,404,10.6,934,226,24.2%,345,74,,,250,6.5,121,244,142,211,0,119,5,33,21,71,138,1256451,0,6,4,7,"$7,368.17",244,19,"$2,289.00",427,38282,2131,16818,17621,113,1599,,,,,,,,28729,34,3037,9,104,29,34,38282,1,76,0,0,1,0,78,234,176,0,8,0,184,,,
94,HALE,2580,4495,165,130,105,118,1,1,0,390,359,3,559,311,258,133,426,39,10553,209,19.8,279,108,38.7%,112,28,,,130,12.3,46,120,76,83,0,50,1,8,7,22,74,991832,0,3,2,5,"$6,953.00",120,9,$882.36,168,10553,375,2445,7550,25,158,,,,,,,,8359,7,664,8,96,10,4,10553,0,17,0,0,0,0,17,51,49,0,12,0,61,,,
95,HALL,220,788,13,11,8,27,0,0,0,58,56,0,73,47,30,21,52,6,829,25,30.2,37,13,35.1%,6,5,,,15,18.1,4,16,16,11,0,4,3,2,1,1,16,220081,0,0,0,1,$510.00,16,4,$563.40,32,829,68,336,421,2,2,,,,,,,,626,1,47,0,0,1,0,829,0,0,0,0,0,0,0,0,3,0,0,0,3,,,
96,HAMILTON,500,2137,57,41,21,14,0,0,0,76,67,2,102,77,69,8,94,3,1790,19,10.6,64,14,21.9%,18,2,1,0,18,10.1,3,18,15,10,0,3,2,0,2,3,15,225691,0,0,0,0,$0.00,18,0,$0.00,9,1790,13,1413,332,8,24,,,,,,,,1335,3,165,4,48,3,6,1790,1,0,0,0,0,0,1,0,5,0,0,0,5,,,
97,HANSFORD,390,814,14,9,7,6,0,0,0,27,20,0,40,35,34,2,38,0,1697,5,2.9,18,3,16.7%,2,0,,,4,2.4,0,4,3,1,0,0,0,0,0,1,3,75982,0,1,0,0,$0.00,4,0,$0.00,9,1697,9,702,965,1,20,,,,,,,,1330,2,89,0,0,5,2,1697,0,1,0,0,0,0,1,2,5,0,15,0,20,,,
98,HARDEMAN,360,862,67,55,40,38,0,0,0,50,41,0,34,22,21,8,26,0,1018,12,11.8,22,8,36.4%,11,4,,,9,8.8,4,9,9,9,0,4,3,0,1,1,8,18412,0,4,0,0,$0.00,9,0,$0.00,12,1018,50,541,393,4,30,,,,,,,,785,2,95,4,48,2,1,1018,0,5,0,0,0,0,5,14,71,0,0,0,71,,,
99,HARDIN,6160,7938,281,234,163,175,7,7,0,603,484,4,688,538,498,72,616,7,14333,134,9.3,419,88,21.0%,117,27,,,51,3.6,16,50,42,36,0,16,4,7,6,12,42,442252,0,3,1,10,"$8,621.39",50,2,$63.48,119,14333,924,12054,993,24,338,,,,,,,,11034,13,1537,1,12,4,4,14333,0,10,0,0,0,0,10,41,49,0,0,0,49,,,
100,HARRIS,220070,360999,13794,11370,7492,7646,412,356,70,30773,25985,243,32790,26673,20934,4496,28294,1393,1171213,5383,4.6,20612,3575,17.3%,6566,726,45,5,7420,6.3,1781,7177,4441,5322,1,1839,230,1065,942,1638,4311,58823466,23,146,169,1835,"$1,887,098.37",7177,448,"$105,564.24",9255,1171213,213908,257986,613534,1993,83792,,,,,,,,926013,1545,173198,183,2178,916,1524,1171213,51,1498,21,4,23,1,1598,5794,1168,2111,569,0,3848,,,
101,HARRISON,6320,9368,350,304,242,311,0,0,0,721,631,5,912,707,574,86,826,42,17217,184,10.7,548,114,20.8%,136,37,3,0,130,7.6,45,124,90,93,0,45,5,5,2,57,86,1034089,2,13,1,20,"$7,661.92",124,16,$872.00,123,17217,3527,9583,3495,71,541,,,,,,,,13401,18,1693,5,60,25,9,17217,0,21,2,0,1,0,24,176,169,0,38,0,207,,,
102,HARTLEY,470,798,13,11,8,8,0,0,0,14,14,0,13,6,6,0,13,0,1322,3,2.3,8,2,25.0%,17,3,,,0,0.0,0,1,1,0,0,0,0,0,0,0,1,4302,0,1,0,0,$0.00,1,0,$0.00,0,1322,8,883,404,6,21,,,,,,,,1032,1,150,0,0,1,1,1322,0,3,0,0,0,0,3,11,6,0,0,0,6,,,
103,HASKELL,530,1292,54,53,44,73,0,0,0,56,45,4,59,41,27,4,55,2,1210,18,14.9,30,6,20.0%,15,3,,,8,6.6,2,8,7,5,0,2,0,2,2,1,7,68941,0,1,0,0,$0.00,8,2,$54.00,18,1210,40,664,464,8,34,,,,,,,,947,2,95,1,12,1,1,1210,0,1,0,0,0,0,1,2,16,0,0,0,16,,,
104,HAYS,10370,15745,340,230,120,126,30,24,5,1157,971,12,1439,1064,915,185,1254,61,43078,315,7.3,884,198,22.4%,202,35,,,177,4.1,72,173,89,145,0,89,4,16,6,56,89,1228663,0,4,6,17,"$11,062.09",173,5,"$1,051.78",251,43078,1186,19734,20651,115,1392,,,,,,,,33459,79,5627,12,140,57,31,43078,2,73,1,0,2,0,78,502,404,0,80,0,484,,,
105,HEMPHILL,260,544,8,7,4,3,0,0,0,15,14,0,30,19,16,8,22,4,1122,11,9.8,16,4,25.0%,0,0,,,6,5.3,4,6,5,6,0,4,0,0,1,1,5,62199,0,1,0,1,$84.00,6,0,$0.00,7,1122,0,629,478,6,9,,,,,,,,898,1,98,0,0,2,0,1122,0,1,0,0,0,0,1,3,1,0,0,0,1,,,
106,HENDERSON,6920,15912,624,551,449,765,5,5,0,1068,923,5,1102,920,791,110,992,57,18071,161,8.9,703,105,14.9%,525,131,1,0,248,13.7,73,228,148,203,0,79,15,25,29,73,148,1826589,1,8,3,39,"$33,334.91",228,29,"$2,880.72",321,18071,1220,12526,3656,75,594,,,,,,,,13897,16,1667,3,36,18,3,18071,0,33,0,0,0,0,33,95,168,0,0,0,168,,,
