,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2005,Subsequently Confirmed Victims in Fiscal Years 2005 - 2010,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes,Foster/ Adoptive Homes*,Adoptive Homes**,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
10,BASTROP,5700,8315,322,252,123,111,8,6,2,901,736,9,1016,778,705,157,859,74,19732,215,10.9,633,137,21.6%,85,17,,,201,10.2,84,203,129,167,0,90,8,18,29,51,133,1836165,1,1,2,25,"$24,231.89",203,7,"$2,636.28",239,19732,1806,9784,8002,11,129,15058,42,3012,3,36,22,8,19732,0,38,1,0,0,0,39,173,256,0,14,0,270,,,
11,BAYLOR,240,988,72,67,60,72,0,0,0,55,44,0,56,29,25,22,34,0,775,25,32.3,32,12,37.5%,11,7,,,6,7.7,0,6,4,6,0,0,0,0,1,5,4,29370,0,1,0,2,$312.00,6,2,$54.00,30,775,29,632,109,3,2,600,3,123,1,12,1,1,775,0,1,0,0,0,0,1,4,9,0,0,0,9,,,
12,BEE,2440,3632,134,116,81,103,2,0,0,435,405,7,592,416,360,176,416,22,7492,156,20.8,302,81,26.8%,169,50,1,0,92,12.3,36,87,51,75,0,36,0,8,6,41,50,692469,0,0,1,21,"$19,022.13",87,18,"$2,050.32",292,7492,172,1854,5406,13,47,5891,9,863,0,0,9,2,7492,0,13,1,0,0,0,14,187,121,0,0,0,121,,,
13,BELL,19750,23411,1562,1124,700,617,80,68,17,4659,4226,31,4971,3871,3703,860,4111,380,82014,959,11.7,3008,588,19.5%,695,135,5,0,906,11.0,381,862,548,754,1,391,20,105,92,288,526,5930036,4,31,22,153,"$128,988.07",862,38,"$4,331.99",1255,82014,20969,36957,20117,223,3748,67579,170,14973,20,232,101,133,82014,10,206,2,0,1,1,220,815,198,0,174,1,373,,,
14,BEXAR,109860,167394,9382,7272,4610,5714,787,673,109,23437,20435,160,25799,19096,16978,6506,19293,865,434810,5999,13.8,14735,3333,22.6%,4757,940,17,1,4608,10.6,1583,4589,3239,3439,0,1605,113,719,762,738,3180,44493735,9,82,41,1755,"$2,257,687.44",4589,803,"$175,483.90",10770,434810,36085,100823,287288,514,10100,343173,582,62309,37,444,401,486,434810,36,898,16,1,6,1,958,4098,1627,1341,215,196,3379,,,
15,BLANCO,680,1767,20,20,14,18,0,0,0,96,83,0,82,71,64,6,76,3,2195,10,4.6,60,7,11.7%,9,4,1,0,12,5.5,5,11,6,9,0,4,0,3,2,2,6,87436,0,0,1,6,"$16,275.00",11,2,$190.00,15,2195,16,1689,486,1,3,1700,3,147,0,0,2,0,2195,0,6,0,0,0,0,6,16,33,0,0,0,33,,,
16,BORDEN,50,196,2,2,2,3,0,0,0,8,5,0,2,2,1,0,2,2,116,0,0.0,2,0,0.0%,0,0,,,2,17.2,2,2,0,2,0,2,0,0,0,2,0,0,0,1,0,0,$0.00,2,0,$0.00,2,116,0,80,35,0,1,86,1,13,0,0,0,0,116,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
17,BOSQUE,1070,3595,93,59,35,23,0,0,0,206,188,0,264,203,186,39,225,10,4113,56,13.6,147,31,21.1%,9,2,1,0,24,5.8,10,24,20,23,0,12,0,10,8,3,20,151260,0,1,0,10,"$8,115.25",24,2,"$1,555.94",69,4113,102,2684,1314,2,11,3186,5,214,2,24,4,2,4113,0,5,0,0,0,0,5,17,75,0,0,0,75,,,
18,BOWIE,6230,12907,458,355,246,352,11,9,4,1216,1082,10,1462,1163,887,178,1284,61,21335,239,11.2,843,164,19.5%,168,38,1,0,185,8.7,70,182,125,141,0,69,1,2,17,61,122,1534058,1,8,6,99,"$67,516.98",182,60,"$12,284.94",283,21335,6743,13253,1057,35,247,16598,43,4036,3,36,54,12,21335,0,19,0,0,0,0,19,44,132,0,0,0,132,,,
19,BRAZORIA,22110,30226,747,598,287,265,35,36,3,2797,2491,21,2896,2088,1789,663,2233,126,80665,735,9.1,1799,438,24.3%,394,74,2,0,409,5.1,178,402,286,312,0,182,12,15,14,129,276,3402665,5,25,21,211,"$99,705.53",402,118,"$50,952.31",1159,80665,7145,41945,28677,169,2729,61932,150,16695,15,180,55,72,80665,2,130,3,1,5,0,141,778,427,0,65,0,492,,,
20,BRAZOS,13390,11629,385,291,196,215,30,22,2,1374,1225,12,1779,1310,1063,237,1542,69,37829,407,10.8,1005,232,23.1%,185,20,1,0,215,5.7,78,205,149,169,0,80,5,36,36,41,143,1809288,1,4,15,67,"$66,437.69",205,4,$302.37,413,37829,5941,18212,11546,82,2048,30220,68,6388,13,153,55,29,37829,3,57,1,0,1,0,62,210,270,0,68,5,343,,,
21,BREWSTER,630,1548,63,62,48,64,1,1,0,100,92,0,71,50,43,23,48,1,1973,21,10.6,47,14,29.8%,0,0,,,11,5.6,2,11,7,6,0,2,0,0,4,0,7,127539,0,0,1,0,$0.00,11,8,"$1,001.83",37,1973,16,679,1249,9,20,1578,5,345,1,12,9,0,1973,0,1,0,0,0,0,1,0,14,0,0,0,14,,,
22,BRISCOE,110,411,3,3,3,2,0,0,0,10,9,0,17,12,12,3,14,0,426,5,11.7,9,2,22.2%,0,0,,,5,11.7,0,6,0,5,0,0,1,0,0,5,0,0,0,0,0,0,$0.00,6,0,$0.00,3,426,4,266,154,0,2,327,0,0,0,0,1,0,426,0,0,0,0,0,0,0,0,3,0,0,0,3,,,
23,BROOKS,460,1281,97,76,53,71,1,1,1,160,145,0,209,154,151,46,163,5,2217,51,23.0,101,24,23.8%,89,29,,,34,15.3,6,35,31,16,0,6,2,3,2,5,31,473727,0,0,0,13,"$34,744.02",35,10,"$3,304.79",67,2217,1,126,2088,0,2,1777,7,258,1,12,0,0,2217,0,0,0,0,0,0,0,0,8,0,0,0,8,,,
24,BROWN,2470,7128,329,250,178,135,23,21,7,567,468,6,598,431,384,120,478,49,9562,142,14.9,363,90,24.8%,54,19,,,161,16.8,65,153,108,131,0,64,6,31,17,26,105,1318821,0,6,2,123,"$83,193.97",153,2,$107.96,145,9562,412,6427,2660,9,54,7570,17,1253,1,12,11,8,9562,7,72,1,0,0,0,80,353,99,0,33,0,132,,,
25,BURLESON,1170,3142,85,56,43,45,0,0,0,177,154,2,196,152,144,18,178,10,4527,42,9.3,120,25,20.8%,23,7,,,33,7.3,10,35,21,22,0,10,0,2,7,5,21,291035,0,1,1,3,"$1,059.75",35,1,$20.00,30,4527,1012,2339,1152,2,22,3609,5,283,1,12,9,2,4527,0,2,0,0,0,0,2,2,135,0,0,0,135,,,
26,BURNET,3020,9556,173,145,101,84,2,1,0,486,440,6,480,343,301,75,405,32,9631,128,13.3,283,80,28.3%,141,18,,,100,10.4,41,104,71,84,0,43,4,26,17,14,68,1155486,0,2,0,36,"$7,558.47",104,9,"$3,163.28",109,9631,119,6627,2816,11,58,7432,23,1635,3,36,5,3,9631,0,17,0,0,0,0,17,65,64,0,66,0,130,,,
27,CALDWELL,2590,4287,140,110,53,18,0,0,0,533,455,2,522,427,399,65,457,16,10045,90,9.0,326,57,17.5%,78,22,,,107,10.7,22,103,71,75,0,26,4,8,17,29,72,1508898,0,0,3,22,"$22,290.29",103,12,"$2,721.35",179,10045,842,3646,5473,3,81,7870,17,882,1,12,14,0,10045,0,26,0,0,1,0,27,284,103,0,6,0,109,,,
28,CALHOUN,1460,3348,75,51,26,19,0,0,0,216,162,3,205,155,128,35,170,0,6199,39,6.3,122,28,23.0%,69,17,,,11,1.8,0,13,11,3,0,0,0,1,2,0,11,268920,1,3,1,0,$0.00,13,6,$946.34,32,6199,119,2461,3449,4,166,4837,14,889,2,24,2,1,6199,0,8,0,0,0,0,8,26,88,0,0,0,88,,,
29,CALLAHAN,920,2701,123,110,75,73,0,0,0,177,151,0,155,89,79,54,101,29,3131,58,18.5,94,33,35.1%,10,1,,,44,14.1,21,45,32,37,0,27,1,4,2,11,25,384019,0,4,1,1,$132.00,45,0,$0.00,59,3131,17,2820,273,5,16,2351,3,105,1,12,9,2,3131,0,9,0,0,0,0,9,24,11,0,0,0,11,,,
30,CAMERON,25130,47028,1620,1340,833,916,364,337,43,5087,4599,42,7146,4962,4091,2007,5139,214,133737,1970,14.7,3815,1010,26.5%,1121,225,4,0,694,5.2,319,675,529,584,0,312,64,29,19,260,513,5679346,9,8,7,272,"$236,982.84",675,160,"$17,951.22",3562,133737,311,9551,122840,53,982,109643,191,13669,26,307,37,31,133737,6,159,5,0,0,0,170,1198,618,0,169,0,787,,,
31,CAMP,820,2266,69,55,42,44,0,0,0,159,139,0,236,153,126,56,180,23,3378,74,21.9,132,39,29.5%,31,12,,,61,18.1,27,55,28,53,0,27,3,6,6,15,28,296204,0,1,0,25,"$12,717.16",55,0,$0.00,88,3378,568,1657,1140,2,11,2565,4,388,2,24,5,0,3378,0,6,0,0,0,0,6,23,11,0,0,0,11,,,
32,CARSON,440,1117,13,13,9,9,0,0,0,47,40,0,55,50,50,3,52,0,1507,5,3.3,33,3,9.1%,1,0,,,6,4.0,0,7,4,4,0,0,0,0,0,4,4,135292,1,1,0,0,$0.00,7,0,$0.00,10,1507,19,1371,114,1,2,1156,0,0,0,0,2,3,1507,0,2,0,0,0,0,2,5,3,0,0,0,3,,,
33,CASS,1890,6082,225,164,115,146,1,1,1,375,321,5,452,366,316,60,392,27,6750,77,11.4,265,50,18.9%,22,9,,,80,11.9,33,84,44,68,0,37,2,10,10,23,41,452672,0,5,1,39,"$36,213.93",84,19,"$1,991.85",97,6750,1799,4697,195,15,44,5195,11,672,2,22,17,1,6750,0,6,0,0,0,0,6,19,25,0,0,0,25,,,
34,CASTRO,440,1126,23,20,17,13,0,0,0,75,67,1,82,57,50,10,72,2,2089,22,10.5,47,12,25.5%,10,0,,,12,5.7,2,7,7,10,0,2,0,1,0,8,9,255772,0,11,0,4,$444.00,7,0,$0.00,73,2089,77,660,1346,3,3,1699,1,17,0,0,7,1,2089,0,15,0,0,0,0,15,57,43,0,0,0,43,,,
35,CHAMBERS,2490,3547,78,62,50,53,0,0,0,264,214,0,209,143,127,48,161,27,8812,59,6.7,136,35,25.7%,56,11,1,0,58,6.6,37,59,30,56,0,39,0,3,2,20,29,279917,0,2,1,18,"$20,281.45",59,4,"$1,996.52",71,8812,967,6101,1652,11,81,5962,11,1064,6,60,6,5,8812,0,4,0,0,0,0,4,7,16,0,0,0,16,,,
36,CHEROKEE,3180,7345,672,586,459,746,352,338,33,700,580,6,847,642,576,143,704,35,12658,192,15.2,486,109,22.4%,68,8,1,0,116,9.2,55,109,66,104,0,55,4,22,11,32,66,722277,2,4,2,68,"$47,845.87",109,13,"$3,772.21",309,12658,2118,6866,3604,7,63,9894,14,1106,1,12,18,1,12658,0,28,0,0,0,0,28,92,223,0,0,0,223,,,
37,CHILDRESS,530,1192,49,39,30,61,0,0,0,95,83,1,111,76,71,17,94,4,1762,32,18.2,66,18,27.3%,14,5,,,23,13.1,8,20,20,15,0,8,0,1,3,7,22,335668,1,0,0,2,"$5,256.00",20,6,"$1,001.85",33,1762,162,1051,545,1,3,1363,4,145,2,24,13,4,1762,0,2,0,0,0,0,2,7,11,0,0,0,11,,,
38,CLAY,740,2041,135,127,102,75,0,0,0,77,68,0,92,64,41,14,78,0,2173,24,11.0,59,15,25.4%,11,3,,,12,5.5,0,12,11,6,0,0,0,1,3,2,12,193470,0,2,0,4,"$7,175.00",12,2,$72.96,24,2173,14,1996,138,10,15,1576,5,219,1,12,1,2,2173,0,8,0,0,0,0,8,36,7,0,1,0,8,,,
39,COCHRAN,210,658,37,32,31,54,0,0,0,36,33,0,53,45,44,6,47,0,833,6,7.2,34,5,14.7%,12,0,,,8,9.6,4,9,7,7,0,4,0,0,2,1,7,97604,0,0,0,0,$0.00,9,0,$0.00,17,833,49,322,462,0,0,674,2,63,0,0,2,0,833,0,0,1,0,0,0,1,81,6,0,0,0,6,,,
40,COKE,230,1014,34,30,20,10,0,0,0,30,27,0,61,44,43,13,48,4,759,15,19.8,32,7,21.9%,0,0,,,7,9.2,6,7,7,6,0,6,0,0,0,0,7,75211,0,0,0,1,$765.00,7,1,$36.48,11,759,0,517,237,2,3,587,1,17,0,0,1,0,759,0,0,0,0,0,0,0,0,8,0,10,0,18,,,
41,COLEMAN,520,2013,107,91,60,51,0,0,0,134,111,1,145,69,66,59,86,28,2008,73,36.4,84,38,45.2%,30,6,,,66,32.9,29,62,41,48,0,29,2,6,2,10,41,513096,0,0,0,14,"$7,496.55",62,1,$113.10,64,2008,54,1461,488,0,5,1588,2,104,4,48,5,4,2008,0,8,0,0,0,0,8,39,30,0,0,0,30,,,
42,COLLIN,62430,54018,904,751,521,399,50,50,7,4764,4010,36,4768,3403,2387,899,3869,168,200473,1260,6.3,2922,728,24.9%,258,44,3,0,416,2.1,188,397,325,338,0,194,7,44,48,104,316,3740512,3,31,5,215,"$104,281.71",397,71,"$21,779.02",1358,200473,11551,137596,33373,658,17295,145530,298,43413,91,1055,204,227,200473,3,204,2,0,0,0,209,590,148,0,325,82,555,,,
43,COLLINGSWORTH,200,651,31,28,23,41,0,0,0,34,31,2,40,26,22,7,33,0,665,11,16.5,24,7,29.2%,7,2,,,10,15.0,4,10,6,8,0,5,0,4,0,0,6,23900,0,0,0,1,$750.00,10,2,$100.00,11,665,35,335,285,5,5,506,0,0,1,12,2,1,665,0,0,0,0,0,0,0,0,12,0,0,0,12,,,
44,COLORADO,1370,4059,71,65,48,82,0,0,0,179,162,1,179,137,114,25,154,10,5291,36,6.8,107,22,20.6%,25,4,,,23,4.3,13,24,15,21,0,13,0,2,7,1,15,200875,0,2,0,14,"$6,054.38",24,0,$0.00,55,5291,1086,2282,1898,2,23,4214,8,631,3,36,7,5,5291,0,5,0,0,0,0,5,16,113,0,29,0,142,,,
45,COMAL,8490,16636,402,342,210,189,15,5,0,1175,937,10,1087,745,635,315,772,67,24487,308,12.6,654,192,29.4%,127,24,,,208,8.5,98,201,128,181,0,101,6,46,14,38,122,1397782,1,10,5,16,"$15,489.95",201,48,"$19,414.86",493,24487,323,16007,7963,18,176,17896,40,3700,6,69,33,18,24487,0,50,4,0,1,0,55,302,671,0,21,27,719,,,
46,COMANCHE,850,2999,103,89,67,49,0,0,0,165,139,0,180,145,136,22,158,1,3289,31,9.4,105,19,18.1%,18,6,,,15,4.6,2,16,16,8,0,2,4,0,1,1,16,317773,2,1,1,5,"$4,939.12",16,1,$204.44,29,3289,4,1931,1348,1,5,2573,4,192,5,60,6,1,3289,0,8,0,0,0,0,8,32,40,0,0,0,40,,,
47,CONCHO,290,646,21,17,16,18,0,0,0,38,35,0,39,28,26,13,26,1,512,11,21.5,25,8,32.0%,5,0,,,6,11.7,2,6,4,4,0,2,0,0,2,0,5,79865,0,0,1,0,$0.00,6,0,$0.00,20,512,1,312,198,0,1,392,2,85,0,0,0,1,512,0,3,0,0,0,0,3,7,4,0,0,0,4,2,0,2
48,COOKE,2590,6721,118,87,52,50,0,0,0,397,365,5,535,464,386,56,479,18,9765,58,5.9,301,41,13.6%,86,22,1,0,72,7.4,27,71,55,57,0,27,1,11,4,16,54,631177,0,0,0,37,"$19,267.19",71,1,$161.58,84,9765,361,7091,2190,37,86,7537,7,528,10,120,12,16,9765,0,2,0,0,0,0,2,7,38,0,26,0,64,,,
49,CORYELL,6100,5150,223,170,123,183,1,1,0,1100,1002,7,1335,1051,1006,197,1138,75,18584,263,14.2,792,151,19.1%,99,18,,,203,10.9,93,181,108,176,0,100,2,8,19,62,107,1107425,0,7,4,24,"$17,033.27",181,3,"$1,229.07",309,18584,4254,10303,3296,72,659,14298,32,2809,2,24,14,10,18584,0,32,0,0,0,0,32,127,18,0,58,0,76,,,
50,COTTLE,110,454,14,13,10,7,0,0,0,13,11,0,14,14,8,0,14,0,398,0,0.0,9,0,0.0%,4,3,,,1,2.5,0,2,2,1,0,0,0,0,0,1,2,42576,0,0,0,0,$0.00,2,1,$27.00,2,398,69,173,152,0,4,301,1,34,0,0,0,0,398,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
51,CRANE,270,629,19,15,14,20,0,0,0,24,22,0,30,21,14,6,24,2,1111,6,5.4,20,5,25.0%,5,1,,,3,2.7,2,3,1,2,0,2,0,0,0,0,1,8085,0,0,0,1,"$1,575.90",3,1,$27.00,15,1111,29,412,668,0,2,855,1,40,0,0,3,0,1111,0,1,0,0,0,0,1,2,3,0,0,0,3,,,
52,CROCKETT,290,798,3,4,3,2,0,0,0,37,37,0,61,49,43,13,48,5,1072,12,11.2,34,8,23.5%,5,0,,,13,12.1,4,13,8,8,0,4,0,0,2,2,8,152965,0,0,0,4,"$7,530.00",13,1,$56.55,30,1072,2,300,769,0,1,826,2,80,1,12,1,0,1072,0,0,0,0,0,0,0,0,2,0,0,0,2,,,
53,CROSBY,390,1168,46,43,40,50,0,0,0,103,93,0,135,73,51,30,105,6,1679,54,32.2,74,31,41.9%,4,0,,,39,23.2,10,40,29,28,0,18,0,5,4,8,29,346640,0,0,2,4,"$1,398.61",40,1,$403.09,61,1679,72,580,1021,0,6,1341,1,21,0,0,2,1,1679,0,4,0,0,0,0,4,10,38,0,0,0,38,,,
54,CULBERSON,160,566,8,11,6,6,0,0,0,17,15,0,20,10,9,5,15,0,600,9,15.0,15,5,33.3%,2,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,2,2292,0,0,0,0,$0.00,0,1,$36.48,26,600,6,115,477,0,2,452,1,59,0,0,0,0,600,0,0,0,0,0,0,0,0,11,0,0,0,11,,,
55,DALLAM,430,837,25,24,20,17,0,0,0,98,92,1,137,87,80,36,101,1,1882,46,24.4,82,27,32.9%,35,5,,,9,4.8,1,9,7,5,0,1,0,0,1,3,7,187440,0,2,0,1,$35.00,9,5,"$1,106.98",67,1882,19,1172,684,2,5,1454,2,228,2,24,4,1,1882,0,3,0,0,0,0,3,6,32,0,5,0,37,,,
56,DALLAS,166250,195537,7647,6008,3764,3004,214,209,19,23653,20974,187,24576,18239,14237,4624,19952,1005,674958,5591,8.3,14386,3389,23.6%,3013,455,17,1,3301,4.9,1517,3297,2202,2680,83,1557,125,269,310,930,2139,26524070,13,113,40,1767,"$1,228,102.88",3297,356,"$142,809.48",7409,674958,137887,163587,339430,1811,32243,543521,777,89275,111,1315,882,716,674958,39,705,7,0,3,0,754,2766,1190,1857,409,339,3795,,,
57,DAWSON,970,2094,135,121,97,74,0,0,0,160,147,2,221,159,144,39,182,3,3570,49,13.7,111,24,21.6%,26,13,,,20,5.6,8,18,13,17,0,9,1,2,2,4,13,314228,0,1,0,10,"$12,125.72",18,5,"$1,007.60",74,3570,113,1191,2254,1,11,2854,3,368,4,48,14,0,3570,0,7,0,0,0,0,7,34,4,0,8,0,12,,,
58,DEAF SMITH,1230,2453,71,66,54,55,2,1,0,269,241,2,392,269,249,78,314,6,6523,105,16.1,211,56,26.5%,45,7,,,28,4.3,10,26,21,21,0,12,0,4,1,8,22,342744,0,2,0,3,$894.00,26,5,$631.42,127,6523,66,1573,4861,4,19,5270,6,468,0,0,17,2,6523,0,4,0,0,0,0,4,14,116,0,35,0,151,,,
59,DELTA,340,977,33,34,23,15,0,0,0,55,43,0,62,46,43,9,53,0,1142,15,13.1,38,11,28.9%,16,7,,,10,8.8,0,6,4,2,0,0,0,0,0,6,11,97285,0,0,0,8,"$3,230.06",6,0,$0.00,16,1142,127,965,41,2,7,840,0,0,1,11,2,0,1142,0,4,0,0,0,0,4,10,22,0,0,0,22,,,
60,DENTON,54040,38992,1115,740,449,435,404,385,44,4478,3792,37,4660,3569,2640,741,3919,205,158223,976,6.2,2939,615,20.9%,207,45,2,0,540,3.4,269,517,374,482,0,270,7,84,58,127,373,3661093,3,35,6,249,"$147,511.30",517,40,"$13,855.64",1089,158223,12971,102216,33885,594,8557,123154,225,29702,77,924,201,203,158223,2,175,1,0,1,0,179,592,602,0,114,64,780,,,
61,DEWITT,1290,3745,99,77,30,26,1,0,0,211,174,3,229,199,185,27,202,9,4648,28,6.0,130,16,12.3%,33,13,,,35,7.5,9,36,33,24,0,9,0,6,3,6,32,581976,1,1,0,5,"$1,168.10",36,3,$218.28,20,4648,579,1984,2067,0,18,3742,7,315,2,24,1,1,4648,0,11,1,0,0,0,12,89,76,0,0,0,76,,,
62,DICKENS,180,618,19,18,17,21,0,0,0,45,41,0,58,31,31,23,35,7,447,23,51.5,24,9,37.5%,2,0,,,14,31.3,4,9,7,9,0,9,0,0,0,0,7,212140,0,0,0,0,$0.00,9,0,$0.00,26,447,14,291,142,0,0,349,0,0,0,0,0,3,447,0,0,0,0,0,0,0,0,5,0,0,0,5,,,
63,DIMMIT,600,1385,38,31,18,6,0,0,0,133,115,1,163,129,121,32,131,25,2727,33,12.1,95,21,22.1%,26,2,,,88,32.3,32,85,45,61,0,32,0,15,4,11,47,710016,0,3,3,0,$0.00,85,6,$552.26,48,2727,19,242,2445,3,18,2133,5,304,0,0,4,0,2727,0,6,0,0,0,0,6,10,8,0,0,0,8,,,
64,DONLEY,230,942,39,30,24,42,0,0,0,44,40,0,40,17,15,14,26,3,729,19,26.1,26,11,42.3%,4,3,,,14,19.2,8,14,14,9,0,8,1,0,0,0,14,300369,0,2,0,2,$316.28,14,7,"$1,354.11",13,729,78,568,81,1,1,561,0,0,2,24,1,2,729,0,3,0,0,0,0,3,9,3,0,0,0,3,,,
65,DUVAL,750,1833,73,58,34,26,0,0,0,184,170,0,223,150,146,69,154,1,3177,68,21.4,104,28,26.9%,67,11,1,0,26,8.2,8,22,14,20,0,8,0,1,0,11,14,205660,0,1,1,9,"$4,476.93",22,10,"$2,832.96",115,3177,8,286,2867,4,12,2530,6,212,0,0,2,2,3177,0,3,0,0,0,0,3,9,10,0,0,0,10,,,
66,EASTLAND,1110,4135,212,187,136,100,11,8,1,237,206,3,255,183,158,69,186,14,4250,64,15.1,142,37,26.1%,29,6,,,42,9.9,14,41,32,26,0,14,0,2,4,9,32,406559,1,1,0,7,"$4,333.16",41,3,$569.44,97,4250,74,3357,799,5,15,3396,9,361,1,12,7,0,4250,0,13,0,0,0,0,13,47,50,0,0,0,50,,,
67,ECTOR,8400,15161,794,680,512,599,5,4,1,1999,1854,17,2268,1604,1365,489,1779,109,38527,592,15.4,1326,347,26.2%,282,84,6,1,341,8.9,142,338,250,250,0,143,6,21,19,82,252,4222018,0,12,1,191,"$193,217.34",338,64,"$7,692.87",601,38527,2037,11302,24652,86,450,31155,44,4096,12,144,103,5,38527,1,37,0,0,0,0,38,116,119,0,21,0,140,,,
68,EDWARDS,130,513,6,8,7,6,0,0,0,26,25,0,43,42,35,10,33,10,451,1,2.2,21,1,4.8%,2,0,,,12,26.6,12,12,1,12,0,12,0,3,0,0,1,2134,0,0,0,0,$0.00,12,2,$40.00,6,451,1,156,292,0,2,318,2,79,0,0,0,0,451,0,0,0,0,0,0,0,0,8,0,0,0,8,,,
69,ELLIS,11000,14546,356,277,204,214,10,7,1,1354,1234,7,1309,1000,736,277,1032,40,41152,282,6.9,795,174,21.9%,98,35,2,1,139,3.4,43,131,88,115,0,41,0,19,22,47,86,1063484,0,11,4,106,"$54,809.15",131,68,"$22,304.01",405,41152,4040,23160,13549,81,322,31079,51,5511,8,96,50,35,41152,3,94,2,0,0,0,99,501,142,0,47,2,191,,,
70,EL PASO,50190,74665,3646,2938,2033,2355,274,250,37,7436,6429,55,7751,5175,4125,1880,5871,142,225878,2285,10.1,4411,1274,28.9%,657,119,3,0,851,3.8,376,852,617,695,0,390,26,87,94,191,591,6785833,8,34,23,356,"$382,414.08",852,179,"$36,042.90",3563,225878,5805,18423,198453,376,2821,184236,278,24916,148,1752,317,83,225878,9,226,5,0,0,0,240,911,804,1955,73,84,2916,,,
71,ERATH,2760,4640,130,108,52,85,6,10,2,368,341,4,417,269,247,107,310,9,9083,123,13.5,244,81,33.2%,104,31,,,41,4.5,13,41,26,34,0,13,2,6,7,9,25,396048,0,1,0,33,"$13,540.33",41,4,"$2,094.01",161,9083,72,6201,2759,11,40,7165,14,969,7,84,10,22,9083,1,11,1,0,0,0,13,119,228,0,2,0,230,,,
72,FALLS,1210,2986,61,60,42,34,6,8,0,143,138,1,185,159,149,20,165,2,4325,23,5.3,115,17,14.8%,51,8,,,12,2.8,5,13,13,7,0,5,0,0,0,2,12,184695,0,1,1,2,$489.16,13,0,$0.00,19,4325,1348,1755,1210,0,12,3291,4,175,1,12,5,1,4325,0,10,0,0,1,0,11,67,5,0,0,0,5,,,
73,FANNIN,2250,6063,174,141,111,101,1,1,0,350,324,3,427,364,280,51,376,9,7556,53,7.0,243,35,14.4%,66,15,,,49,6.5,15,51,36,44,0,15,2,7,16,10,35,495884,1,3,0,28,"$23,786.88",51,5,"$1,032.81",78,7556,513,6170,793,27,53,5647,9,582,1,12,6,6,7556,0,9,0,0,0,0,9,32,123,0,1,0,124,,,
74,FAYETTE,1570,5093,61,63,41,71,3,2,0,200,184,0,234,162,147,51,183,15,5372,71,13.2,140,36,25.7%,39,14,,,59,11.0,21,54,32,42,0,21,6,6,7,9,32,537593,0,3,1,5,"$5,829.50",54,1,$575.00,107,5372,547,3171,1635,3,16,4088,8,457,6,72,12,6,5372,0,6,0,0,1,0,7,36,63,0,14,0,77,,,
75,FISHER,250,971,41,35,21,22,0,0,0,40,34,0,42,26,23,11,31,0,838,16,19.1,28,8,28.6%,6,0,,,4,4.8,0,4,4,0,0,0,0,0,0,0,4,93316,0,2,1,0,$0.00,4,1,$36.48,21,838,16,539,280,1,2,600,0,0,0,0,1,0,838,0,3,0,0,0,0,3,3,3,0,0,0,3,,,
76,FLOYD,410,1183,18,18,16,24,0,0,0,102,85,0,132,103,99,13,119,5,1869,26,13.9,67,16,23.9%,16,4,,,23,12.3,7,22,19,21,0,7,3,9,0,4,18,248359,0,1,0,0,$0.00,22,0,$0.00,25,1869,91,656,1116,1,5,1492,2,227,0,0,1,1,1869,0,2,0,0,0,0,2,7,18,0,0,0,18,,,
