,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2005,Subsequently Confirmed Victims in Fiscal Years 2005 - 2010,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes,Foster/ Adoptive Homes*,Adoptive Homes**,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
235,WALKER,5060,6353,161,150,80,68,5,4,0,414,339,1,387,287,226,99,288,40,11243,92,8.2,246,59,24.0%,81,17,,,93,8.3,37,89,61,82,0,47,2,6,9,41,57,843261,0,6,1,10,"$3,114.64",89,3,"$1,380.67",151,11243,2856,5863,2343,7,174,8694,24,2074,0,0,25,2,11243,0,12,2,0,1,0,15,318,16,0,36,0,52,,,
236,WALLER,3040,3519,155,131,74,81,5,3,0,346,304,1,393,296,232,84,309,29,10201,74,7.3,215,47,21.9%,18,1,1,0,63,6.2,17,62,29,46,0,17,0,13,4,12,31,417488,0,1,3,40,"$14,629.68",62,22,"$9,263.12",139,10201,2598,4132,3413,7,51,7745,19,1058,1,12,10,7,10201,0,16,0,0,0,0,16,43,11,0,1,0,12,,,
237,WARD,620,1647,71,77,66,89,1,1,0,132,121,1,167,93,77,69,98,8,2476,67,27.1,100,41,41.0%,2,0,,,24,9.7,12,25,17,19,0,12,2,0,3,2,17,228615,0,0,0,9,"$5,709.78",25,20,"$6,255.32",107,2476,132,1091,1235,1,17,1990,3,208,0,0,7,0,2476,0,1,0,0,0,0,1,3,2,0,0,0,2,,,
238,WASHINGTON,2180,5558,84,50,32,24,157,162,13,237,220,3,310,236,217,40,270,17,7351,68,9.3,185,48,25.9%,32,4,,,37,5.0,21,38,27,34,0,22,0,5,7,4,26,243419,2,1,2,10,"$11,312.00",38,0,$0.00,43,7351,1773,3988,1443,9,138,5762,11,1076,3,36,8,8,7351,0,6,1,0,0,0,7,41,173,0,18,0,191,,,
239,WEBB,15920,18134,902,706,447,712,28,20,1,3395,2848,19,3350,2532,2292,1051,2299,136,89516,744,8.3,1907,370,19.4%,970,143,4,0,530,5.9,176,523,435,380,0,180,25,58,55,106,444,5431139,2,6,6,191,"$173,759.67",523,92,"$16,604.92",1916,89516,59,2045,86822,72,518,74561,94,6509,34,407,344,35,89516,3,78,2,0,0,0,83,393,391,0,161,52,604,,,
240,WHARTON,2810,5932,206,174,107,127,11,8,1,368,303,1,385,308,239,89,296,31,11413,69,6.0,207,39,18.8%,24,7,,,88,7.7,52,82,49,74,0,56,0,9,3,22,45,351741,0,5,2,44,"$20,926.07",82,31,"$19,519.72",208,11413,1882,4316,5158,3,54,8922,18,1867,2,24,38,4,11413,0,14,0,0,0,0,14,48,216,0,48,0,264,,,
241,WHEELER,310,1078,16,13,10,16,0,0,0,59,52,0,54,39,35,11,43,6,1108,13,11.7,35,8,22.9%,4,0,,,16,14.4,6,13,11,9,0,6,0,0,1,2,11,145220,0,0,0,4,$997.50,13,1,$35.00,19,1108,57,775,262,6,8,854,1,80,0,0,1,0,1108,0,1,0,0,0,0,1,4,17,0,0,0,17,,,
242,WICHITA,8460,16225,1727,1397,1123,1073,290,274,24,1918,1692,14,2248,1568,1192,501,1747,91,31797,629,19.8,1340,373,27.8%,255,67,1,0,278,8.7,116,264,214,224,0,116,16,20,28,62,210,2613215,0,11,7,79,"$75,425.67",264,40,"$3,877.66",710,31797,4393,19221,7067,126,990,24864,54,3914,26,312,26,54,31797,4,39,1,0,0,1,45,155,571,0,124,0,695,,,
243,WILBARGER,960,2455,217,171,138,127,486,450,37,213,176,2,267,195,124,64,203,5,3752,66,17.6,146,33,22.6%,35,5,,,17,4.5,7,19,17,14,0,7,2,1,3,4,16,252321,0,0,0,10,"$14,696.02",19,4,$190.03,100,3752,353,2112,1239,12,36,2928,8,495,2,24,8,8,3752,0,1,0,0,0,0,1,1,59,0,36,0,95,,,
244,WILLACY,1370,2460,191,147,101,123,0,0,0,328,308,1,545,375,293,173,372,21,6681,155,23.2,262,72,27.5%,108,47,1,0,85,12.7,33,87,77,66,0,33,7,2,5,34,76,792665,1,1,0,8,"$12,096.07",87,2,$54.00,253,6681,19,362,6287,0,13,5358,8,544,4,45,6,7,6681,0,5,0,0,0,0,5,17,124,0,0,0,124,,,
245,WILLIAMSON,30970,37425,769,654,475,490,42,46,6,3817,2898,21,2917,2123,1968,425,2492,119,106272,688,6.5,1830,443,24.2%,262,22,3,0,587,5.5,192,547,396,451,0,200,14,65,99,112,395,5361480,2,28,23,103,"$137,280.06",547,83,"$29,437.33",871,106272,7217,64910,30539,177,3429,75972,215,27093,51,610,195,127,106272,6,281,4,0,1,1,293,1121,580,0,35,0,615,,,
246,WILSON,3120,5181,144,83,61,52,0,0,0,351,302,2,341,266,227,46,295,20,10941,67,6.1,205,42,20.5%,89,7,,,29,2.7,20,29,15,24,0,20,0,4,1,6,15,193792,0,2,1,3,$972.00,29,11,"$2,135.82",75,10941,74,5791,5021,6,49,7933,16,1215,1,12,12,5,10941,0,29,0,0,0,0,29,113,118,0,9,1,128,,,
247,WINKLER,410,1096,35,26,25,18,0,0,0,91,78,0,88,60,51,24,64,6,1643,27,16.4,55,18,32.7%,13,6,,,16,9.7,9,14,7,15,0,10,0,0,0,7,7,36444,0,1,0,8,"$5,157.49",14,3,$952.71,48,1643,32,697,909,0,5,1304,1,65,1,12,2,2,1643,0,1,0,0,0,0,1,2,2,0,0,0,2,,,
248,WISE,4240,7399,190,163,91,56,0,0,0,679,627,7,780,617,486,166,614,24,14258,134,9.4,477,87,18.2%,92,18,,,79,5.5,45,79,53,67,0,45,2,5,7,12,52,507839,0,3,3,33,"$2,904.20",79,2,"$1,677.65",246,14258,107,10588,3445,24,94,10514,25,1522,0,0,17,8,14258,0,16,0,0,0,0,16,39,57,0,1,1,59,,,
249,WOOD,2620,12173,270,221,156,175,0,0,0,473,377,4,514,350,311,116,398,47,8073,150,18.6,326,91,27.9%,62,12,1,0,132,16.4,54,126,76,111,0,59,6,13,13,37,73,867968,0,7,3,79,"$62,197.00",126,28,"$3,935.31",138,8073,357,6555,1125,8,28,6277,11,548,2,24,16,2,8073,1,21,1,0,0,0,23,110,25,0,0,0,25,,,
250,YOAKUM,510,1024,28,22,19,34,0,0,0,42,39,0,60,44,34,12,48,3,2440,13,5.3,35,8,22.9%,20,8,,,21,8.6,3,17,11,15,0,3,3,4,0,5,12,95846,0,1,0,0,$0.00,17,0,$0.00,32,2440,15,909,1515,1,0,1979,2,68,2,24,3,0,2440,0,1,0,0,0,0,1,2,3,0,0,0,3,,,
251,YOUNG,1120,3685,348,285,223,269,1,1,0,302,255,1,321,235,212,69,252,11,4367,74,16.9,195,49,25.1%,30,7,,,28,6.4,12,28,21,16,0,12,0,0,1,3,20,209352,0,3,1,1,$79.07,28,12,"$2,962.26",107,4367,59,3344,942,6,16,3407,10,528,1,12,3,7,4367,0,6,0,0,0,0,6,14,28,0,0,0,28,,,
252,ZAPATA,930,1861,50,38,16,16,2,2,0,225,216,0,321,218,193,106,215,18,4635,90,19.4,163,46,28.2%,71,13,1,0,66,14.2,26,66,52,48,0,29,3,5,4,15,52,509857,1,0,0,11,"$5,638.28",66,3,$527.00,173,4635,4,143,4484,0,4,3662,5,300,0,0,10,0,4635,0,4,0,0,0,0,4,19,103,0,0,0,103,,,
253,ZAVALA,790,1456,50,39,15,17,0,0,0,191,181,0,199,161,154,25,174,12,3979,38,9.6,122,23,18.9%,16,0,,,46,11.6,13,46,38,30,0,14,0,8,1,8,38,537333,0,0,1,3,"$1,085.00",46,5,$597.23,38,3979,12,186,3779,0,2,3102,10,591,0,0,7,0,3979,0,1,0,0,0,0,1,0,70,0,0,0,70,,,
254,UNKNOWN,0,0,60,44,19,4,0,17,6,37,5,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0%,7,0,,,0,0.0,0,0,0,,,,,,,,0,0,0,0,0,0,$0.00,0,0,$0.00,10,,,,,,,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,0,0,0,0,0
255,OUT OF STATE,0,0,0,0,0,19,0,0,0,295,69,0,39,30,21,0,39,0,0,8,0.0,24,5,20.8%,,,,,0,0.0,0,0,0,105,0,0,0,0,0****,1,,,8,25,8,,,,,,,,,,,,,,,,,,,,0,0,42,0,0,0,0,42,84,8,0,0,0,8,,,
256,STATE TOTAL,1728180,2516747,103401,82802,56053,60497,10510,9922,1198,264342,231532,2316,288080,213101,175273,57936,230144,12055,6584709,66897,10.2,169583,39337,23.2%,37995,7185,,,42890,6.5,16347,41902,"29,072*",33140,96,16834,1369,4804,4803,9525,28425,371196595,219,1535,800,17371,"$16,390,718.43",41902,6785,"$1,792,029.12",98675,6584709,804001,2427173,3108010,12844,232681,5181296,9436,942839,1684,19954,7589,6537,6584709,341,9731,154,7,79,10,10322,42722,30042,17799,5513,1445,54799,,,
