,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages,Intakes,Completed Investigations,Confirmed Investigations,Total,African American,Anglo,Hispanic,Native American,Other **,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed,Other**,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2009,Subsequently Confirmed Victims in Fiscal Years 2009 - 2014,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*,Other***,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relavive,Long Term Care - Emancipaion,Long Term Care - Other,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Custody Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Paid Foster  Care Clients,Foster Care  Expenditures*,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-Home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving  In-Home Services,Child PopulationAges 0 - 13,Licensed Child Care Centers*,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity,STAR*,CYD**,SYSN***,TOTAL,CBCAP*,TFTS**,CBFS***
30,CAMERON,011,28220,52384,1741,1381,931,806,330,297,16,141748,284,6326,133998,108,1032,4737,3839,45,3250,803,24.7%,2169,254,24,2447,75.3%,,,,5696,3992,3463,1324,4372,186,141748,1547,10.9,3250,803,24.7%,,,,796,2445,101,4.1%,1903,511,572,4.0,276,326,245,360,,,,,,,,,,,,,,,513,0,275,66,15,11,217,1,7,4,356,4046062,316,"$307,163.29",571,206,"$29,956.51",2529,109395,210,14679,24,281,24,25,141748,10,197,10,0,0,217,2138,464,1902,72,2438,,,
31,CAMP,004,1334,2322,92,75,51,26,0,0,0,3404,522,1495,1226,6,155,163,141,0,107,21,19.6%,79,6,1,86,80.4%,,,,184,136,121,17,167,11,3404,39,11.5,107,21,19.6%,,1,0,20,53,2,3.8%,61,10,54,15.9,13,24,30,38,,,,,,,,,,,,,,,47,0,13,3,10,11,17,0,1,2,38,329592,33,"$48,727.84",54,18,"$1,548.12",68,2578,5,377,1,12,0,0,3404,0,7,0,0,0,7,16,18,0,0,18,,,
32,CARSON,001,328,1148,18,16,11,9,0,0,0,1509,12,1256,198,4,39,61,47,0,30,11,36.7%,14,4,1,19,63.3%,,,,46,25,19,18,28,5,1509,21,13.9,30,11,36.7%,,,,8,18,0,0.0%,0,0,12,8.0,6,0,8,8,,,,,,,,,,,,,,,12,0,7,2,0,0,7,0,2,0,9,53647,3,$459.52,8,5,$363.00,23,1115,0,0,0,0,3,1,1509,0,6,0,0,0,6,15,6,0,0,6,,,
33,CASS,004,3248,6473,155,129,83,49,2,2,0,6993,1288,4939,518,23,225,349,287,5,242,68,28.1%,141,21,12,174,71.9%,,,,392,261,209,87,305,54,6993,113,16.2,242,68,28.1%,,,,27,76,1,1.3%,78,14,95,13.6,55,57,37,41,,,,,,,,,,,,,,,94,0,57,3,4,6,62,0,4,0,39,212914,33,"$23,209.07",94,50,"$4,773.35",112,5283,4,334,0,0,6,0,6993,0,7,0,0,0,7,29,44,0,0,44,,,
34,CASTRO,001,411,1218,16,15,14,13,0,0,0,2502,46,578,1854,8,16,64,57,0,42,8,19.0%,27,5,2,34,81.0%,,,,70,52,42,10,60,2,2502,18,7.2,42,8,19.0%,,,,13,42,7,16.7%,10,0,40,16.0,7,21,14,14,,,,,,,,,,,,,,,30,0,7,0,4,9,13,0,3,0,16,182410,13,"$2,841.06",35,10,"$1,023.89",52,1924,3,99,0,0,0,1,2502,0,3,0,0,0,3,9,19,0,0,19,,,
35,CHAMBERS,006,2834,4375,89,67,50,34,0,0,0,10728,709,6507,3159,29,324,298,242,0,192,52,27.1%,121,15,4,140,72.9%,,,,309,217,189,64,245,18,10728,88,8.2,192,52,27.1%,,1,0,35,108,1,0.9%,54,10,58,5.4,20,36,22,34,,,,,,,,,,,,,,,45,0,23,0,3,3,21,1,3,0,33,389661,19,"$31,586.02",58,17,"$3,169.85",106,7922,16,1707,1,12,7,4,10728,0,10,0,0,0,10,27,3,0,0,3,,,
36,CHEROKEE,004,3894,8611,355,259,198,154,629,583,37,13753,1796,6519,4909,16,513,605,537,6,416,117,28.1%,262,36,1,299,71.9%,,,,699,499,441,120,579,47,13753,184,13.4,416,117,28.1%,,1,0,64,147,9,6.1%,105,18,177,12.9,62,76,92,107,,,,,,,,,,,,,,,153,0,78,6,39,26,38,0,2,0,105,1409146,49,"$84,204.94",168,20,"$1,340.27",188,10638,12,1135,1,12,9,3,13753,0,12,0,0,0,12,34,164,0,0,164,,,
37,CHILDRESS,001,609,1141,49,43,35,35,0,0,0,1524,67,891,519,11,36,51,44,4,40,11,27.5%,21,7,1,29,72.5%,,,,61,43,33,7,54,0,1524,15,9.8,40,11,27.5%,,,,13,34,2,5.9%,26,6,10,6.6,3,2,9,11,,,,,,,,,,,,,,,6,0,3,1,1,0,1,0,0,0,15,182376,13,"$14,865.32",11,15,"$2,836.24",33,1161,2,54,3,36,9,3,1524,0,1,0,0,0,1,0,4,0,0,4,,,
38,CLAY,002,1026,2169,146,116,102,90,1,1,0,2362,12,2096,179,33,42,78,68,0,63,19,30.2%,35,8,1,44,69.8%,,,,93,70,48,14,79,2,2362,20,8.5,63,19,30.2%,,,,8,11,0,0.0%,20,2,12,5.1,2,7,4,5,,,,,,,,,,,,,,,9,0,2,0,0,0,7,0,0,0,5,83707,5,"$4,653.70",11,1,$95.00,17,1759,3,151,0,0,3,2,2362,0,8,0,0,0,8,18,0,0,0,0,,,
39,COCHRAN,001,300,556,105,103,98,104,0,0,0,884,18,242,617,0,7,33,29,0,24,6,25.0%,16,2,0,18,75.0%,,,,41,28,25,6,35,0,884,13,14.7,24,6,25.0%,,,,5,13,0,0.0%,11,1,7,7.9,0,1,6,6,,,,,,,,,,,,,,,6,0,0,0,4,1,1,0,0,0,7,103286,2,"$3,582.18",7,0,$0.00,13,687,1,50,0,0,1,0,884,0,1,0,0,0,1,1,10,0,0,10,,,
40,COKE,009,131,888,23,15,14,11,0,0,0,630,1,435,184,0,10,39,34,0,33,5,15.2%,23,5,0,28,84.8%,,,,51,41,33,11,40,2,630,6,9.5,33,5,15.2%,,,,4,13,5,38.5%,7,0,13,20.6,7,9,2,5,,,,,,,,,,,,,,,13,0,6,1,0,0,6,0,0,0,6,77775,3,$569.67,11,0,$0.00,24,464,1,17,0,0,0,0,630,0,1,0,0,0,1,1,14,0,0,14,,,
41,COLEMAN,002,631,2176,84,66,57,44,0,0,0,1970,43,1365,514,7,41,108,87,0,72,22,30.6%,47,3,0,50,69.4%,,,,102,65,61,33,69,0,1970,29,14.7,72,22,30.6%,,,,31,72,1,1.4%,55,23,21,10.7,1,9,12,16,,,,,,,,,,,,,,,11,0,1,0,3,1,6,0,0,0,16,216820,14,"$18,883.66",21,6,$568.45,76,1489,1,64,3,36,2,5,1970,0,4,0,0,0,4,18,33,0,0,33,,,
42,COLLIN,003,28737,86148,1118,905,588,374,61,57,3,250047,23811,128195,52898,1194,43949,4652,3978,47,3169,868,27.4%,1608,602,91,2301,72.6%,,,,4884,3363,2267,824,4060,220,250047,1393,5.6,3169,868,27.4%,,4,1,454,1086,29,2.7%,985,175,504,2.0,227,221,270,327,,,,,,,,,,,,,,,425,0,224,18,51,42,153,1,14,3,322,3934818,544,"$272,507.15",491,35,"$9,614.60",1206,188777,356,54097,103,1229,208,168,250047,3,194,1,0,0,198,468,314,0,152,466,,,
43,COLLINGSWORTH,001,266,593,17,19,17,16,0,0,0,838,22,367,423,10,16,35,26,0,20,7,35.0%,10,1,2,13,65.0%,,,,40,27,14,6,34,4,838,11,13.1,20,7,35.0%,,,,6,17,0,0.0%,26,0,11,13.1,6,6,5,10,,,,,,,,,,,,,,,10,0,6,0,2,0,2,0,0,0,10,43018,1,$187.76,11,6,$759.30,12,654,0,0,1,12,1,0,838,0,2,0,0,0,2,3,11,0,0,11,,,
44,COLORADO,006,1429,4454,81,64,36,25,2,1,0,4972,670,1954,2237,2,109,146,130,1,109,21,19.3%,85,3,0,88,80.7%,,,,170,135,131,29,141,6,4972,29,5.8,109,21,19.3%,,,,19,42,0,0.0%,31,12,22,4.4,10,12,10,12,,,,,,,,,,,,,,,18,0,10,1,9,5,2,0,0,0,12,128032,12,"$11,057.15",22,2,$61.12,42,3802,9,581,2,24,4,4,4972,0,1,0,0,0,1,0,69,0,30,99,,,
45,COMAL,008,7696,22038,401,282,167,99,39,33,3,27772,416,16229,10297,60,770,1135,895,9,852,254,29.8%,525,62,11,598,70.2%,,,,1371,906,785,405,966,117,27772,435,15.7,852,254,29.8%,,,,191,431,24,5.6%,206,44,303,10.9,135,183,112,172,,,,,,,,,,,,,,,256,0,139,6,47,17,62,0,9,0,173,1995449,23,"$23,385.33",295,36,"$6,842.67",480,20340,38,3935,4,46,21,8,27772,1,46,4,0,1,52,315,520,0,13,533,,,
46,COMANCHE,002,1213,3161,82,69,53,36,0,0,0,3350,8,1811,1478,7,46,147,127,0,124,32,25.8%,81,8,3,92,74.2%,,,,211,152,130,37,174,5,3350,45,13.4,124,32,25.8%,,,,18,42,0,0.0%,38,11,19,5.7,3,13,6,12,,,,,,,,,,,,,,,14,0,3,2,3,2,5,0,0,0,12,221322,18,"$8,955.09",19,2,$179.50,53,2540,1,66,5,60,4,2,3350,1,9,0,0,0,10,37,44,0,0,44,,,
47,CONCHO,009,480,696,21,23,20,20,0,0,0,568,4,306,255,1,2,33,30,0,20,5,25.0%,15,0,0,15,75.0%,,,,30,22,22,5,25,0,568,7,12.3,20,5,25.0%,,,,3,5,0,0.0%,19,1,2,3.5,0,0,3,3,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,2,39515,4,"$6,279.26",3,0,$0.00,6,434,2,85,0,0,0,1,568,0,2,0,0,0,2,6,0,0,0,0,,,
48,COOKE,003,3019,6959,153,135,108,86,0,0,0,9873,244,6381,2771,98,379,524,488,6,372,117,31.5%,209,37,9,255,68.5%,,,,615,398,327,107,508,48,9873,198,20.1,372,117,31.5%,,,,54,141,8,5.7%,88,27,148,15.0,56,63,77,99,,,,,,,,,,,,,,,124,0,56,8,8,18,39,0,0,0,101,1039610,150,"$94,445.06",140,2,$329.80,163,7687,9,676,9,108,19,14,9873,0,7,0,0,0,7,17,13,0,33,46,,,
49,CORYELL,007,5974,6851,275,212,137,99,4,5,1,22926,2945,12057,5537,118,2269,1005,902,11,681,162,23.8%,484,25,10,519,76.2%,,,,1070,786,733,182,888,76,22926,259,11.3,681,162,23.8%,,,,73,184,7,3.8%,186,32,175,7.6,78,116,59,102,,,,,,,,,,,,,,,162,0,83,8,16,14,71,1,6,1,105,866746,34,"$40,462.45",175,6,$991.63,210,18304,31,2559,3,34,10,6,22926,1,30,0,0,0,31,100,58,0,54,112,,,
50,COTTLE,002,129,407,13,9,7,8,0,0,0,341,21,202,114,3,1,29,26,0,11,4,36.4%,7,0,0,7,63.6%,,,,20,11,11,6,14,4,341,9,26.4,11,4,36.4%,,,,3,8,0,0.0%,1,0,4,11.7,4,3,1,1,,,,,,,,,,,,,,,4,0,4,0,0,0,1,0,0,0,1,14491,0,$0.00,4,0,$0.00,8,259,1,34,0,0,0,0,341,0,0,0,0,0,0,0,8,0,0,8,,,
51,CRANE,009,327,627,20,11,5,4,0,0,0,1293,36,337,906,7,7,33,19,0,17,3,17.6%,14,0,0,14,82.4%,,,,18,15,15,3,15,0,1293,3,2.3,17,3,17.6%,,,,3,6,0,0.0%,9,3,4,3.1,0,2,2,0,,,,,,,,,,,,,,,4,0,0,0,0,0,4,0,0,0,0,0,1,$95.00,4,0,$0.00,11,986,1,40,0,0,1,0,1293,0,0,0,0,0,0,0,3,0,0,3,,,
52,CROCKETT,009,165,670,17,23,22,13,0,0,0,968,0,212,750,2,4,46,44,0,38,14,36.8%,22,2,0,24,63.2%,,,,62,35,33,14,48,3,968,25,25.8,38,14,36.8%,,,,8,24,6,25.0%,15,1,13,13.4,9,5,5,4,,,,,,,,,,,,,,,13,0,9,0,0,1,4,0,0,0,3,14904,1,$97.46,10,2,$118.55,23,767,2,80,1,12,1,0,968,0,2,0,0,0,2,4,4,0,0,4,,,
53,CROSBY,001,616,1187,58,51,37,34,0,0,0,1772,57,463,1239,0,13,95,83,0,63,27,42.9%,36,0,0,36,57.1%,,,,131,69,69,46,85,5,1772,59,33.3,63,27,42.9%,,,,21,63,1,1.6%,35,17,22,12.4,9,11,11,18,,,,,,,,,,,,,,,17,0,9,0,7,1,0,0,0,0,17,166400,4,"$1,910.14",22,0,$0.00,61,1348,0,0,0,0,2,2,1772,0,2,0,0,0,2,7,30,0,0,30,,,
54,CULBERSON,010,252,442,16,13,9,12,0,0,0,651,1,86,555,0,9,33,29,0,26,7,26.9%,18,1,0,19,73.1%,,,,37,24,23,8,29,0,651,13,20.0,26,7,26.9%,,,,3,5,0,0.0%,5,0,6,9.2,0,6,0,0,,,,,,,,,,,,,,,6,0,0,0,2,0,4,0,0,0,0,0,1,$350.00,6,2,$470.52,5,507,1,59,0,0,0,0,651,0,0,0,0,0,0,0,7,0,0,7,,,
55,DALLAM,001,474,802,29,19,13,8,0,0,0,2138,17,941,1110,4,66,101,82,0,62,12,19.4%,47,2,1,50,80.6%,,,,109,93,87,10,99,0,2138,16,7.5,62,12,19.4%,,,,13,27,0,0.0%,18,0,9,4.2,1,1,7,8,,,,,,,,,,,,,,,5,0,0,1,1,0,3,0,0,0,7,240691,0,$0.00,8,5,$718.92,27,1703,1,54,1,12,3,3,2138,0,0,0,0,0,0,0,13,6,1,20,,,
56,DALLAS,003,126341,232082,8381,6656,4458,3044,362,301,28,684069,151810,118075,366075,1755,46354,22536,19960,215,14522,3659,25.2%,8535,2009,319,10863,74.8%,,,,23603,16925,13192,4395,19208,1616,684069,5967,8.7,14522,3659,25.2%,,14,1,2022,5569,191,3.4%,3755,639,4382,6.4,1826,2417,1907,2864,,,,,,,,,,,,,,,3659,13,1871,256,380,304,1305,20,72,25,2789,29760987,4288,"$3,196,280.86",4324,288,"$77,659.87",6187,545979,784,89966,126,1502,703,541,684069,48,717,4,0,4,773,2469,580,1940,335,2855,,,
57,DAWSON,009,1100,2092,95,84,67,54,0,0,0,3405,123,917,2312,6,47,199,161,0,157,51,32.5%,91,8,7,106,67.5%,,,,288,175,147,76,212,30,3405,105,30.8,157,51,32.5%,,,,32,125,8,6.4%,64,12,80,23.5,35,50,30,44,,,,,,,,,,,,,,,62,0,35,1,5,2,26,0,0,0,45,621853,27,"$16,886.13",80,25,"$4,902.03",127,2689,2,322,3,36,4,0,3405,0,6,0,0,0,6,27,15,0,7,22,,,
58,DEAF SMITH,001,1086,2404,51,47,34,31,2,2,1,6519,28,1130,5288,12,61,202,183,3,124,29,23.4%,91,1,3,95,76.6%,,,,215,159,150,34,181,12,6519,50,7.7,124,29,23.4%,,,,24,70,7,10.0%,26,8,55,8.4,21,15,39,47,,,,,,,,,,,,,,,40,0,28,0,5,1,13,0,2,0,47,511940,39,"$18,059.95",54,20,"$3,608.07",81,5151,6,450,0,0,11,1,6519,0,4,0,0,0,4,9,110,0,24,134,,,
59,DELTA,004,580,1203,32,22,9,9,0,0,0,1116,89,836,116,9,66,45,36,0,32,8,25.0%,22,2,0,24,75.0%,,,,57,38,36,20,37,15,1116,17,15.2,32,8,25.0%,,,,4,15,3,20.0%,10,7,21,18.8,18,9,12,15,,,,,,,,,,,,,,,21,0,18,0,1,1,2,0,1,2,15,237530,9,"$11,376.40",21,10,"$2,020.18",15,846,1,34,0,0,0,1,1116,0,7,0,0,0,7,15,22,0,1,23,,,
60,DENTON,003,33960,65141,1075,826,568,311,315,289,34,204770,17557,107239,55299,1062,23613,4556,3897,42,3176,628,19.8%,2004,486,58,2548,80.2%,,,,4745,3672,2843,693,4052,203,204770,972,4.7,3176,628,19.8%,,3,0,393,887,59,6.7%,641,111,625,3.1,263,266,316,413,,,,,,,,,,,,,,,532,0,267,7,74,96,149,2,9,3,410,4285063,809,"$654,628.98",582,94,"$22,646.54",1006,156798,257,34851,98,1176,197,180,204770,3,205,1,0,0,209,528,549,1,72,622,,,
61,DE WITT,008,1750,4019,74,70,36,17,,,,,,,,,,238,180,3,154,34,22.1%,97,23,0,120,77.9%,,,,255,190,151,50,205,16,4497,60,13.3,154,34,22.1%,,,,32,79,7,8.9%,35,13,64,14.2,26,33,33,38,,,,,,,,,,,,,,,53,0,27,3,12,1,11,0,0,0,39,621160,8,"$2,285.00",66,1,$402.90,89,3460,7,431,1,12,4,0,4497,0,5,1,0,0,6,64,34,0,0,34,,,
62,DICKENS,001,245,557,23,21,15,14,0,0,0,461,3,247,201,8,2,35,32,0,26,9,34.6%,16,1,0,17,65.4%,,,,45,26,24,14,31,3,461,16,34.7,26,9,34.6%,,,,9,16,3,18.8%,4,0,12,26.0,6,5,7,7,,,,,,,,,,,,,,,10,0,7,3,0,0,4,0,0,1,8,74351,1,$287.50,12,0,$0.00,18,361,0,0,0,0,0,1,461,0,1,0,0,0,1,0,8,0,0,8,,,
63,DIMMIT,008,1236,1707,38,25,16,4,0,0,0,2903,25,241,2618,0,19,136,126,0,104,25,24.0%,71,8,0,79,76.0%,,,,179,131,117,43,136,20,2903,43,14.8,104,25,24.0%,,1,0,12,34,0,0.0%,68,17,76,26.2,25,44,36,44,,,,,,,,,,,,,,,41,0,25,1,3,5,10,0,0,0,43,700288,11,"$2,760.09",80,3,$327.00,47,2257,6,448,0,0,3,0,2903,0,1,0,0,0,1,4,0,0,0,0,,,
64,DONLEY,001,264,828,11,10,9,7,0,0,0,728,50,550,110,0,18,46,40,0,28,11,39.3%,14,3,0,17,60.7%,,,,51,25,21,18,33,3,728,22,30.2,28,11,39.3%,,,,11,34,0,0.0%,9,3,12,16.5,3,2,8,8,,,,,,,,,,,,,,,5,0,3,0,0,0,2,0,1,0,8,232860,6,"$2,969.87",10,5,"$1,670.08",38,563,0,0,2,24,3,1,728,0,2,0,0,0,2,8,5,0,0,5,,,
65,DUVAL,011,1770,2160,80,70,52,32,0,0,0,3025,2,224,2787,1,11,121,100,0,85,16,18.8%,63,6,0,69,81.2%,,,,164,133,125,46,118,6,3025,29,9.6,85,16,18.8%,,,,25,87,4,4.6%,116,19,27,8.9,11,10,17,25,,,,,,,,,,,,,,,15,0,10,0,4,0,1,0,0,0,25,375900,9,"$6,359.10",27,10,"$3,401.47",85,2337,6,230,0,0,0,2,3025,0,0,0,0,0,0,0,4,0,0,4,,,
66,EASTLAND,002,1944,4050,235,195,160,128,15,15,9,4237,62,3011,1089,14,61,220,192,4,169,47,27.8%,104,14,4,122,72.2%,,,,280,188,159,57,223,7,4237,77,18.2,169,47,27.8%,,,,32,85,0,0.0%,85,6,25,5.9,5,13,11,17,,,,,,,,,,,,,,,16,0,5,1,2,1,7,0,0,0,17,291284,11,"$7,083.32",24,5,$269.50,89,3293,6,255,1,9,3,1,4237,0,8,0,0,0,8,28,4,0,0,4,,,
67,ECTOR,009,11426,15742,684,596,437,310,6,5,0,42345,1669,10855,28816,161,844,1980,1612,17,1200,294,24.5%,811,76,19,906,75.5%,,,,1937,1395,1224,431,1506,113,42345,497,11.7,1200,294,24.5%,,2,0,233,622,54,8.7%,541,143,457,10.8,147,208,239,301,,,,,,,,,,,,,,,362,0,147,16,90,49,99,0,0,2,301,4753191,309,"$314,534.43",447,105,"$12,436.72",693,33741,44,4651,9,108,34,6,42345,2,35,0,0,0,37,84,64,0,23,87,,,
68,EDWARDS,008,129,537,10,10,9,5,0,0,0,406,2,117,285,2,0,11,9,0,8,3,37.5%,5,0,0,5,62.5%,,,,18,15,15,0,18,1,406,3,7.4,8,3,37.5%,,,,0,0,0,0.0%,5,0,10,24.6,1,1,7,8,,,,,,,,,,,,,,,6,0,1,0,1,0,5,0,1,0,8,160627,1,$525.00,8,0,$0.00,5,338,1,25,0,0,0,0,406,0,2,0,0,0,2,2,11,0,1,12,,,
69,ELLIS,003,12011,19552,398,312,256,217,7,4,1,46146,4396,24178,16079,121,1372,1347,1178,13,979,225,23.0%,574,166,14,754,77.0%,,,,1583,1182,876,307,1276,59,46146,368,8.0,979,225,23.0%,,1,1,156,407,21,5.2%,266,39,118,2.6,75,55,68,93,,,,,,,,,,,,,,,104,0,69,0,14,5,27,0,10,2,91,820597,178,"$93,002.55",123,60,"$23,802.66",424,34211,58,6477,10,120,43,26,46146,3,92,1,0,0,96,460,69,2,32,103,,,
70,EL PASO,010,56679,93957,3490,2767,1780,1036,363,340,45,248080,5423,19068,217942,713,4934,7466,6239,69,4860,1310,27.0%,3042,448,60,3550,73.0%,,,,8029,5529,4648,1815,6214,174,248080,2269,9.1,4860,1310,27.0%,,4,0,1164,3191,137,4.3%,1683,365,849,3.4,290,299,523,648,,,,,,,,,,,,,,,656,0,296,33,101,102,239,1,31,11,635,8088476,620,"$803,482.80",822,130,"$24,188.53",3277,191101,267,25076,127,1520,250,78,248080,9,185,6,0,0,200,849,779,1620,61,2460,,,
71,ERATH,003,2408,5465,147,130,95,81,4,5,0,8966,123,5639,2970,47,187,330,295,3,208,53,25.5%,122,30,3,155,74.5%,,,,334,246,195,65,269,5,8966,81,9.0,208,53,25.5%,,,,52,122,13,10.7%,162,60,49,5.5,16,14,34,38,,,,,,,,,,,,,,,40,0,16,1,4,9,15,0,0,0,40,547666,72,"$41,499.38",48,10,"$4,294.37",136,7150,13,949,5,60,7,15,8966,1,11,1,0,0,13,111,173,0,12,185,,,
72,FALLS,007,2007,3176,85,60,43,22,5,6,0,3876,1016,1490,1264,4,102,182,162,0,129,26,20.2%,92,11,0,103,79.8%,,,,253,169,147,32,221,10,3876,77,19.9,129,26,20.2%,,,,12,40,5,12.5%,11,1,30,7.7,12,14,16,19,,,,,,,,,,,,,,,27,0,12,0,7,5,5,0,1,2,18,98326,12,"$11,590.58",30,1,$28.70,48,3024,4,225,1,12,2,0,3876,0,7,0,0,1,8,50,31,0,10,41,,,
73,FANNIN,003,3669,6678,183,150,130,98,0,0,0,7611,353,5673,1214,82,289,304,281,4,230,74,32.2%,124,29,3,156,67.8%,,,,410,265,210,83,327,14,7611,126,16.6,230,74,32.2%,,,,43,103,11,10.7%,62,12,39,5.1,20,23,18,31,,,,,,,,,,,,,,,36,0,20,2,8,2,7,0,6,0,31,330209,36,"$10,794.25",41,0,$0.00,109,5834,6,628,1,12,13,5,7611,0,12,0,0,0,12,34,31,0,1,32,,,
74,FAYETTE,007,1466,6052,69,68,39,35,8,6,1,5417,435,2911,1948,12,111,212,176,1,123,27,22.0%,85,11,0,96,78.0%,,,,171,133,118,23,148,17,5417,38,7.0,123,27,22.0%,,,,8,18,0,0.0%,51,18,65,12.0,20,44,17,33,,,,,,,,,,,,,,,55,0,22,1,14,18,12,0,1,1,32,303049,21,"$35,427.02",61,1,$28.70,34,4078,8,447,5,60,8,3,5417,0,4,0,0,1,5,24,81,0,17,98,,,
75,FISHER,002,258,940,22,21,15,3,0,0,0,805,19,479,296,0,11,46,33,0,33,7,21.2%,25,0,1,26,78.8%,,,,53,36,35,14,39,0,805,16,19.9,33,7,21.2%,,,,6,19,5,26.3%,21,5,7,8.7,0,1,6,1,,,,,,,,,,,,,,,7,0,5,1,0,0,1,0,0,0,1,22541,1,"$1,280.61",7,0,$0.00,20,614,1,20,0,0,0,0,805,0,0,0,0,0,0,0,2,0,0,2,,,
76,FLOYD,001,294,1194,69,64,54,52,0,0,0,1784,50,417,1305,0,12,59,54,0,51,10,19.6%,36,4,1,41,80.4%,,,,87,67,58,17,70,6,1784,20,11.2,51,10,19.6%,,,,9,20,0,0.0%,18,1,42,23.5,5,10,26,26,,,,,,,,,,,,,,,36,0,9,0,5,5,17,0,0,0,23,271587,5,"$4,719.11",36,0,$0.00,57,1349,2,227,0,0,0,1,1784,0,2,0,0,0,2,1,8,0,0,8,,,
77,FOARD,002,261,356,19,16,9,12,0,0,0,247,17,172,56,0,2,9,7,0,6,1,16.7%,2,2,1,5,83.3%,,,,6,5,2,0,6,0,247,1,4.0,6,1,16.7%,,,,0,0,0,0.0%,4,3,2,8.1,0,0,2,2,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,0,2,40091,1,$400.00,2,0,$0.00,0,189,1,54,0,0,0,0,247,0,0,0,0,0,0,0,6,0,0,6,,,
78,FORT BEND,006,25483,61641,853,644,378,272,339,331,43,195786,43199,54510,59675,427,37975,2837,2404,33,1988,371,18.7%,1226,346,45,1617,81.3%,,,,3048,2432,1772,773,2275,81,195786,531,2.7,1988,371,18.7%,,,,481,1361,11,0.8%,456,71,224,1.1,88,111,109,157,,,,,,,,,,,,,,,170,0,86,19,16,9,52,2,18,9,150,2226328,189,"$162,848.46",220,159,"$43,565.27",1338,145152,282,38068,49,582,88,255,195786,5,267,1,0,4,277,1081,128,0,79,207,,,
79,FRANKLIN,004,1085,2249,39,31,20,14,4,2,1,2717,117,1882,624,13,81,87,73,1,55,11,20.0%,42,2,0,44,80.0%,,,,84,64,60,12,72,14,2717,19,7.0,55,11,20.0%,,,,7,14,2,14.3%,32,8,29,10.7,15,17,11,19,,,,,,,,,,,,,,,26,0,14,0,2,3,8,0,2,1,19,134744,10,"$1,516.71",28,12,"$1,094.65",18,2105,4,320,0,0,3,0,2717,0,5,0,0,0,5,13,1,0,0,1,,,
80,FREESTONE,007,1657,3753,74,66,46,24,3,3,0,4646,669,2850,1028,24,75,169,153,0,135,21,15.6%,103,10,1,114,84.4%,,,,230,183,161,32,198,20,4646,39,8.4,135,21,15.6%,,,,7,17,2,11.8%,19,0,41,8.8,25,22,19,20,,,,,,,,,,,,,,,39,0,25,2,5,5,16,0,1,0,20,376237,10,"$24,800.00",41,1,$67.15,30,3601,7,396,2,24,9,2,4646,0,8,1,0,0,9,76,28,0,0,28,,,
81,FRIO,008,2230,2292,84,66,41,32,0,0,0,4250,8,455,3750,8,29,262,218,3,169,41,24.3%,124,4,0,128,75.7%,,,,340,232,227,94,246,9,4250,97,22.8,169,41,24.3%,,,,33,92,1,1.1%,118,9,92,21.6,10,43,42,65,,,,,,,,,,,,,,,53,0,10,5,17,12,11,0,1,4,68,965569,29,"$18,500.00",85,9,$312.00,113,3299,7,524,1,12,3,1,4250,0,9,0,0,0,9,18,7,0,0,7,,,
