,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location*,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2004,Subsequently Confirmed Victims in Fiscal Years 2004 - 2009,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes,Foster/ Adoptive Homes*,Adoptive Homes**,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA)**,Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
10,BASTROP,7416,9066,242,183,88,63,0,0,0,885,690,7,1002,754,695,133,869,66,22312,213,9.5,586,134,22.9%,66,6,,,190,8.5,75,188,124,156,0,74,3,26,33,46,123,1722563,1,1,7,25,"$28,153.80",188,12,"$3,654.69",153,22312,2191,11435,8550,11,125,16815,43,3009,3,36,22,10,22312,0,41,1,0,0,0,42,169,179,0,86,0,265,,,
11,BAYLOR,309,1025,72,70,65,67,0,0,0,51,43,0,61,50,43,14,47,0,788,11,14.0,34,7,20.6%,11,5,,,10,12.7,3,10,7,8,0,3,2,2,0,4,7,39479,0,2,0,4,$594.00,10,0,$0.00,20,788,31,633,116,4,4,590,3,98,2,24,1,3,788,0,2,0,0,0,0,2,10,6,0,0,0,6,,,
12,BEE,2809,3799,136,111,90,113,1,1,0,437,409,5,583,342,287,222,361,33,7647,216,28.2,312,118,37.8%,189,53,,,80,10.5,40,81,56,63,0,42,4,1,7,15,56,599760,0,0,3,19,"$25,237.69",81,16,"$2,766.74",393,7647,175,1902,5512,13,45,6028,10,846,0,0,7,2,7647,0,16,1,0,0,0,17,194,79,0,0,0,79,,,
13,BELL,20801,22744,1440,1022,627,581,58,48,14,4396,3901,32,5062,4090,3879,679,4383,286,73969,850,11.5,3077,554,18.0%,594,129,10,0,907,12.3,346,874,533,770,2,365,23,96,115,281,516,5354868,5,32,13,178,"$162,954.69",874,47,"$9,714.56",1257,73969,19263,32630,18467,203,3406,60435,160,14350,21,247,105,127,73969,10,188,2,0,1,1,202,775,511,0,129,2,642,,,
14,BEXAR,129685,165268,8123,6668,4511,5220,898,715,71,21814,17906,141,24786,18222,15939,6194,18592,678,421591,5727,13.6,13964,3285,23.5%,3480,718,13,1,4579,10.9,1278,4501,3246,3273,0,1316,140,681,762,823,3182,43066746,14,79,70,1817,"$2,100,349.91",4501,745,"$110,679.41",10502,421591,31383,98967,280938,499,9804,330603,587,63672,41,492,383,497,421591,35,921,17,1,6,1,981,3924,1672,1068,252,233,3225,,,
15,BLANCO,903,1750,34,24,14,13,0,0,0,65,53,0,90,69,52,6,84,1,2215,16,7.2,50,9,18.0%,4,0,,,7,3.2,0,7,5,4,0,0,1,2,0,1,5,82983,0,0,2,8,"$2,254.00",7,0,$0.00,10,2215,15,1681,514,1,4,1671,3,147,0,0,3,1,2215,0,8,0,0,0,0,8,24,29,0,0,0,29,,,
16,BORDEN,60,192,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0.0,0,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,$0.00,0,0,$0.00,0,118,0,84,33,0,1,85,1,13,0,0,0,0,118,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
17,BOSQUE,1426,3886,84,60,40,44,0,0,0,142,129,0,219,173,167,18,201,1,4175,40,9.6,132,28,21.2%,19,5,,,18,4.3,6,18,11,11,0,6,3,0,3,1,10,98882,0,2,0,0,$0.00,18,1,$112.96,61,4175,103,2775,1285,2,10,3202,5,214,2,24,4,2,4175,0,6,0,0,0,0,6,17,84,0,0,0,84,,,
18,BOWIE,7760,13590,431,342,242,368,3,0,0,1166,1013,10,1582,1243,861,242,1340,79,21419,291,13.6,847,170,20.1%,143,16,,,204,9.5,74,202,128,158,0,81,11,18,13,80,130,1619168,3,16,3,134,"$91,945.68",202,80,"$10,891.24",303,21419,6666,13392,1098,33,230,16560,44,4255,3,36,50,11,21419,0,25,1,0,0,0,26,101,119,0,0,0,119,,,
19,BRAZORIA,25616,27988,612,456,270,256,27,29,1,2585,2196,19,2777,1985,1723,600,2177,78,79132,698,8.8,1667,438,26.3%,313,50,1,0,364,4.6,99,351,243,240,0,99,12,17,28,108,233,3313002,6,25,24,200,"$116,965.97",351,95,"$41,270.98",1047,79132,6992,41412,27872,167,2689,60605,149,16489,16,192,53,73,79132,1,144,3,1,5,0,154,805,406,0,149,0,555,,,
