,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages,Intakes,Completed Investigations,Confirmed Investigations,Total,African American,Anglo,Hispanic,Native American,Other**,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2008,Subsequently Confirmed Victims in Fiscal Years 2008 - 2013,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*,Other***,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Custody Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Paid Foster  Care Clients,Foster Care  Expenditures*,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving In-Home Services,Child Population Age 0 - 13,Licensed Child Care Centers*,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity,STAR*,CYD**,SYSN***,TOTAL,CBCAP*,TFTS**
33,CASS,004,2872,6320,141,112,75,65,0,0,0,6996,1305,4939,509,25,218,349,291,4,253,64,25.3%,162,23,4,189,74.7%,,,,402,305,251,66,336,34,6996,89,12.7,253,64,25.3%,,,32,79,4,5.1%,60,8,78,11.1,40,44,29,32,,,,,,,,,,,,,,,74,0,43,3,9,9,28,0,3,1,32,"$172,376",24,"$22,309.51",73,35,"$3,314.52",91,5307,4,334,0,0,5,0,6996,0,6,0,0,0,6,23,38,0,0,38,,
34,CASTRO,001,575,1197,27,25,21,18,0,0,0,2498,47,584,1841,9,17,70,61,0,49,22,44.9%,21,5,1,27,55.1%,,,,97,44,36,37,60,3,2498,53,21.2,49,22,44.9%,,,17,60,8,13.3%,10,0,36,14.4,10,26,10,18,,,,,,,,,,,,,,,27,0,10,0,16,0,1,0,3,0,18,"$220,875",12,"$2,428.57",36,7,$704.82,74,1922,3,91,0,0,0,1,2498,0,4,0,0,0,4,12,26,0,0,26,,
35,CHAMBERS,006,2129,4108,59,43,35,30,1,1,0,10550,704,6466,3024,32,324,258,213,0,192,38,19.8%,133,14,7,154,80.2%,,,,279,219,187,59,220,17,10550,53,5.0,192,38,19.8%,,,25,65,1,1.5%,39,6,63,6.0,19,35,23,31,,,,,,,,,,,,,,,50,0,19,2,9,5,23,0,3,0,33,"$426,437",10,"$9,473.84",58,10,"$1,579.44",80,7867,16,1611,1,12,6,4,10550,0,9,0,0,0,9,29,4,0,0,4,,
36,CHEROKEE,004,4523,8350,350,242,183,174,507,486,32,13583,1810,6514,4755,15,489,566,487,4,395,94,23.8%,267,32,2,301,76.2%,,,,593,437,385,83,510,37,13583,145,10.7,395,94,23.8%,,,37,96,14,14.6%,97,16,189,13.9,51,66,108,136,,,,,,,,,,,,,,,148,0,52,4,40,13,56,0,2,2,131,"$1,484,268",32,"$38,651.94",174,9,$586.76,148,10553,12,1114,1,12,11,3,13583,0,17,0,0,0,17,56,128,0,0,128,,
37,CHILDRESS,001,503,1131,46,50,43,33,2,2,0,1506,68,883,509,10,36,69,55,4,52,17,32.7%,24,7,4,35,67.3%,,,,87,59,40,23,64,2,1506,25,16.6,52,17,32.7%,,,20,52,5,9.6%,25,9,18,12.0,5,5,13,13,,,,,,,,,,,,,,,14,0,2,2,5,3,4,0,0,0,13,"$262,610",8,"$7,355.32",18,7,"$1,909.96",53,1172,4,125,2,24,10,3,1506,0,1,0,0,0,1,4,0,0,0,0,0,0
38,CLAY,002,1040,2099,107,94,81,69,2,2,0,2381,15,2110,180,33,43,63,57,0,52,14,26.9%,26,11,1,38,73.1%,,,,83,64,47,9,74,6,2381,18,7.6,52,14,26.9%,,,4,8,1,12.5%,5,2,12,5.0,6,5,7,10,,,,,,,,,,,,,,,9,0,6,0,1,0,2,0,1,0,9,"$177,885",5,"$4,653.70",12,1,$95.00,11,1764,4,168,1,12,1,3,2381,0,6,0,0,0,6,17,0,0,0,0,0,0
39,COCHRAN,001,222,532,111,111,106,103,0,0,0,886,18,245,616,0,7,28,25,0,21,9,42.9%,10,2,0,12,57.1%,,,,42,18,16,16,26,4,886,24,27.1,21,9,42.9%,,,2,5,0,0.0%,14,0,7,7.9,4,5,2,6,,,,,,,,,,,,,,,6,0,4,1,1,0,0,0,0,0,7,"$107,430",1,"$3,294.68",7,0,$0.00,10,678,1,26,0,0,0,0,886,0,0,0,0,0,0,0,15,0,0,15,,
40,COKE,009,238,876,16,17,12,10,0,0,0,643,1,447,183,1,11,29,27,0,27,5,18.5%,20,2,0,22,81.5%,,,,51,40,33,17,34,5,643,8,12.4,27,5,18.5%,,,2,7,0,0.0%,0,0,10,15.6,4,6,3,8,,,,,,,,,,,,,,,7,0,5,0,0,0,3,0,0,0,8,"$148,389",3,$569.67,9,0,$0.00,12,485,1,17,0,0,0,0,643,0,0,0,0,0,0,0,6,0,3,9,,
41,COLEMAN,002,801,2100,77,70,54,47,0,0,0,1984,42,1377,516,8,41,142,111,0,90,40,44.4%,47,2,1,50,55.6%,,,,161,80,73,66,95,13,1984,73,36.8,90,40,44.4%,,,25,58,4,6.9%,60,23,37,18.6,14,14,26,29,,,,,,,,,,,,,,,26,0,11,1,4,5,11,0,0,0,28,"$316,875",10,"$13,520.38",40,4,$306.45,72,1492,3,134,3,36,2,3,1984,0,4,0,0,0,4,19,24,0,0,24,,
42,COLLIN,003,46806,79144,927,731,522,331,59,54,8,243933,22884,127801,50280,1142,41826,4413,3602,37,2897,729,25.2%,1560,549,59,2168,74.8%,,,,4410,3127,2167,687,3723,165,243933,1168,4.8,2897,729,25.2%,,,416,1011,24,2.4%,712,116,468,1.9,206,198,253,332,,,,,,,,,,,,,,,388,0,205,5,50,52,140,3,16,7,327,"$3,808,460",373,"$161,574.22",451,19,"$4,727.32",1101,186681,346,51045,93,1112,212,174,243933,5,199,1,0,0,205,482,424,0,142,566,,
43,COLLINGSWORTH,001,210,584,16,13,10,9,0,0,0,847,23,376,422,10,16,25,23,0,20,7,35.0%,9,2,2,13,65.0%,,,,33,20,14,2,31,1,847,11,13.0,20,7,35.0%,,,7,16,0,0.0%,7,0,5,5.9,1,1,4,5,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,5,"$45,663",0,$0.00,5,4,$590.85,10,652,0,0,1,12,1,1,847,0,0,0,0,0,0,0,15,0,0,15,,
44,COLORADO,006,1175,4327,75,63,47,39,0,0,0,4947,680,1983,2171,3,110,140,131,1,126,28,22.2%,82,11,5,98,77.8%,,,,193,150,122,37,156,11,4947,41,8.3,126,28,22.2%,,,19,55,0,0.0%,40,8,25,5.1,11,13,11,15,,,,,,,,,,,,,,,21,0,11,1,1,6,7,0,0,2,14,"$166,966",7,"$5,945.41",24,2,$61.12,55,3801,10,645,2,24,3,5,4947,0,2,0,0,0,2,0,87,0,26,113,,
45,COMAL,008,9522,20563,334,241,130,71,61,60,7,27233,410,16014,10006,65,738,909,782,10,670,227,33.9%,393,42,8,443,66.1%,,,,1080,671,585,307,773,91,27233,377,13.8,670,227,33.9%,,,184,436,27,6.2%,195,57,243,8.9,114,147,88,146,,,,,,,,,,,,,,,199,0,117,8,23,24,58,0,5,1,146,"$1,227,525",18,"$16,467.22",235,22,"$4,394.83",484,20206,43,4168,3,36,21,9,27233,1,45,4,0,1,51,322,486,0,11,497,,
46,COMANCHE,002,1163,3094,70,62,46,38,0,0,0,3324,8,1802,1461,8,45,167,134,0,95,19,20.0%,70,4,2,76,80.0%,,,,150,121,107,31,119,7,3324,28,8.4,95,19,20.0%,,,11,21,3,14.3%,57,11,35,10.5,12,26,9,23,,,,,,,,,,,,,,,32,0,14,1,2,0,18,0,1,0,23,"$196,528",15,"$2,866.58",35,0,$0.00,33,2555,4,143,3,36,3,1,3324,1,11,0,0,0,12,41,8,0,0,8,0,8
47,CONCHO,009,410,650,22,15,11,7,0,0,0,572,4,308,256,1,3,27,23,0,24,4,16.7%,18,2,0,20,83.3%,,,,45,40,34,0,45,0,572,4,7.0,24,4,16.7%,,,0,0,0,0.0%,5,4,6,10.5,0,0,6,6,,,,,,,,,,,,,,,4,0,0,0,1,0,3,0,0,0,5,"$65,251",5,"$2,815.26",6,0,$0.00,1,445,2,85,0,0,0,1,572,0,2,0,0,0,2,6,2,0,0,2,,
48,COOKE,003,2069,6706,131,121,95,63,0,0,0,9817,244,6401,2712,95,365,532,485,4,371,114,30.7%,212,40,5,257,69.3%,,,,645,428,345,138,507,63,9817,208,21.2,371,114,30.7%,,,59,138,3,2.2%,88,22,130,13.2,65,59,66,99,,,,,,,,,,,,,,,105,0,65,5,16,11,24,0,0,0,98,"$1,091,881",112,"$45,052.25",125,1,$195.50,159,7610,8,643,9,108,17,14,9817,0,2,0,0,0,2,2,11,0,32,43,,
49,CORYELL,007,4733,6564,222,171,129,103,0,0,0,22515,2955,11940,5302,121,2197,950,872,7,764,164,21.5%,569,27,4,600,78.5%,,,,1225,912,863,219,1006,96,22515,282,12.5,764,164,21.5%,,,81,222,8,3.6%,274,43,200,8.9,98,107,74,108,,,,,,,,,,,,,,,184,0,102,1,21,8,88,0,8,2,106,"$832,833",22,"$25,565.79",181,3,$593.60,290,18057,31,2609,4,46,14,8,22515,1,28,0,0,0,29,104,28,0,59,87,,
50,COTTLE,002,130,399,15,13,9,5,0,0,0,340,21,200,114,3,2,14,11,0,11,3,27.3%,6,2,0,8,72.7%,,,,20,14,10,0,20,0,340,6,17.6,11,3,27.3%,,,1,4,0,0.0%,6,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,$0,0,$0.00,0,0,$0.00,4,264,1,34,0,0,0,0,340,0,0,0,0,0,0,0,4,0,0,4,,
51,CRANE,009,377,590,12,8,4,6,0,0,0,1285,38,339,895,7,6,23,17,0,14,3,21.4%,11,0,0,11,78.6%,,,,23,18,18,4,19,5,1285,5,3.9,14,3,21.4%,,,1,1,0,0.0%,8,2,5,3.9,5,5,0,3,,,,,,,,,,,,,,,5,0,5,0,0,0,0,0,0,0,3,"$45,983",1,$95.00,5,0,$0.00,4,998,1,40,0,0,1,0,1285,0,0,0,0,0,0,0,3,0,0,3,,
52,CROCKETT,009,321,635,25,15,14,13,0,0,0,972,0,206,760,2,4,38,36,0,22,3,13.6%,18,1,0,19,86.4%,,,,31,25,23,3,28,0,972,4,4.1,22,3,13.6%,,,6,17,0,0.0%,38,7,4,4.1,0,1,3,3,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,0,3,"$39,889",1,$97.46,4,1,$91.55,17,764,2,80,1,12,1,0,972,0,2,0,0,0,2,4,10,0,0,10,,
53,CROSBY,001,446,1146,53,49,35,34,0,0,0,1747,56,469,1209,0,13,82,74,0,56,20,35.7%,31,5,0,36,64.3%,,,,113,70,59,21,92,3,1747,37,21.2,56,20,35.7%,,,9,22,2,9.1%,24,2,16,9.2,7,9,8,10,,,,,,,,,,,,,,,11,0,7,0,2,0,2,0,1,0,9,"$138,004",4,"$1,910.14",17,0,$0.00,20,1344,0,0,0,0,1,2,1747,0,2,0,0,0,2,7,28,0,0,28,,
54,CULBERSON,010,161,419,25,20,19,7,0,0,0,655,1,86,558,1,9,13,10,0,9,2,22.2%,6,1,0,7,77.8%,,,,14,10,8,2,12,0,655,3,4.6,9,2,22.2%,,,4,15,6,40.0%,2,1,6,9.2,6,6,0,0,,,,,,,,,,,,,,,6,0,6,0,0,0,0,0,0,0,0,$0,1,$350.00,6,0,$0.00,15,506,1,59,0,0,0,0,655,0,0,0,0,0,0,0,6,0,0,6,,
55,DALLAM,001,486,751,8,8,4,4,0,0,0,2094,17,926,1080,5,66,86,74,0,63,13,20.6%,47,1,2,50,79.4%,,,,112,82,77,12,100,0,2094,29,13.8,63,13,20.6%,,,13,33,0,0.0%,57,13,12,5.7,0,2,10,11,,,,,,,,,,,,,,,5,0,0,0,1,0,5,0,0,0,9,"$170,203",0,$0.00,12,3,$550.92,31,1680,1,54,1,12,2,2,2094,0,0,0,0,0,0,0,17,0,2,19,,
56,DALLAS,003,130044,225284,6894,5446,3891,2929,242,212,31,675112,150519,119632,358334,1719,44908,20508,18104,175,13953,3442,24.7%,8211,2006,294,10511,75.3%,,,,22179,16124,12488,3975,18204,1135,675112,5505,8.2,13953,3442,24.7%,,,2034,5558,441,7.9%,4131,654,4049,6.0,1672,2193,1793,2594,,,,,,,,,,,,,,,3339,29,1693,193,345,246,1297,29,82,26,2553,"$25,830,518",3033,"$1,956,448.31",3984,193,"$51,117.50",6090,538718,778,88124,131,1564,675,560,675112,51,735,5,0,4,795,2609,287,1898,374,2559,,
57,DAWSON,009,1157,2062,109,87,71,61,1,2,0,3418,123,921,2320,6,48,213,187,2,130,48,36.9%,68,14,0,82,63.1%,,,,241,143,112,80,161,31,3418,84,24.6,130,48,36.9%,,,34,95,13,13.7%,45,8,75,21.9,37,43,28,40,,,,,,,,,,,,,,,64,0,47,0,5,8,17,0,0,0,41,"$378,729",17,"$10,611.89",71,14,"$3,492.52",98,2701,2,322,3,36,3,1,3418,0,5,0,0,0,5,26,12,0,4,16,,
58,DEAF SMITH,001,1380,2333,44,39,26,27,4,4,1,6438,29,1148,5188,12,61,207,180,3,156,37,23.7%,115,2,2,119,76.3%,,,,271,188,183,42,229,9,6438,77,12.0,156,37,23.7%,,,26,77,8,10.4%,41,6,56,8.7,17,18,37,42,,,,,,,,,,,,,,,47,0,17,1,13,14,5,0,2,0,42,"$573,521",19,"$3,172.31",55,11,"$2,899.19",81,5110,6,450,0,0,15,1,6438,0,2,0,0,0,2,3,115,0,24,139,,
59,DELTA,004,485,1168,30,26,19,16,1,2,1,1133,91,846,119,10,67,52,38,0,34,8,23.5%,26,0,0,26,76.5%,,,,63,47,47,12,51,2,1133,16,14.1,34,8,23.5%,,,9,24,1,4.2%,8,0,12,10.6,3,10,2,5,,,,,,,,,,,,,,,12,0,3,0,1,2,8,0,0,1,5,"$46,680",8,"$8,376.40",12,4,$729.70,25,852,1,21,0,0,1,0,1133,0,6,0,0,0,6,13,22,0,1,23,,
60,DENTON,003,38983,60008,945,671,524,355,273,254,31,199161,16924,106405,52449,1015,22368,4235,3528,35,3029,624,20.6%,1848,483,74,2405,79.4%,,,,4469,3470,2625,573,3896,210,199161,898,4.5,3029,624,20.6%,,,341,742,28,3.8%,561,116,636,3.2,199,287,310,409,,,,,,,,,,,,,,,525,0,203,9,104,96,179,1,16,0,401,"$4,023,756",611,"$373,761.92",597,33,"$9,034.67",919,154182,247,33294,94,1124,188,184,199161,2,176,1,0,0,179,498,555,0,80,635,,
61,DE WITT,008,1624,3897,99,58,32,23,1,2,0,4486,351,1946,2042,9,138,244,177,2,163,27,16.6%,119,17,0,136,83.4%,,,,290,243,219,40,250,21,4486,46,10.3,163,27,16.6%,,,19,45,0,0.0%,59,12,57,12.7,21,33,25,35,,,,,,,,,,,,,,,44,0,21,2,5,17,3,0,0,0,35,"$483,902",7,"$2,225.00",58,0,$0.00,52,3474,6,330,2,24,5,0,4486,0,6,1,0,0,7,65,43,0,0,43,,
62,DICKENS,001,179,540,18,15,14,11,0,0,0,474,3,250,211,7,3,27,24,0,26,8,30.8%,15,1,2,18,69.2%,,,,51,39,31,9,42,0,474,11,23.2,26,8,30.8%,,,9,26,1,3.8%,9,8,8,16.9,1,1,7,5,,,,,,,,,,,,,,,3,0,1,0,1,2,0,0,0,0,5,"$102,776",0,$0.00,8,0,$0.00,29,367,1,20,0,0,0,1,474,0,0,0,0,0,0,0,13,0,0,13,,
63,DIMMIT,008,754,1614,41,30,21,17,0,0,0,2907,24,241,2623,0,19,123,103,2,95,17,17.9%,71,4,3,78,82.1%,,,,154,123,111,32,122,13,2907,30,10.3,95,17,17.9%,,,11,32,5,15.6%,87,17,74,25.5,18,34,37,46,,,,,,,,,,,,,,,52,0,18,3,12,13,12,0,0,0,48,"$700,576",9,"$2,121.89",71,3,$327.00,55,2246,5,309,0,0,3,0,2907,0,1,0,0,0,1,3,1,0,0,1,,
64,DONLEY,001,252,811,20,21,16,13,0,0,0,717,51,542,106,1,17,25,23,0,23,6,26.1%,12,5,0,17,73.9%,,,,43,31,21,7,36,0,717,10,13.9,23,6,26.1%,,,4,14,0,0.0%,0,0,11,15.3,0,5,6,7,,,,,,,,,,,,,,,6,0,0,0,4,0,2,0,1,0,7,"$197,691",6,"$1,130.06",11,1,$84.00,18,546,0,0,2,24,2,1,717,0,3,0,0,0,3,11,2,0,0,2,,
65,DUVAL,011,1045,2094,65,50,35,31,0,0,0,3032,2,232,2785,2,11,157,142,0,100,24,24.0%,72,4,0,76,76.0%,,,,188,122,115,53,135,8,3032,56,18.5,100,24,24.0%,,,30,101,2,2.0%,147,33,26,8.6,10,10,14,21,,,,,,,,,,,,,,,23,0,11,2,6,3,11,0,0,0,20,"$334,939",8,"$1,800.00",24,8,"$2,087.15",117,2366,5,200,0,0,0,2,3032,0,0,0,0,0,0,0,2,0,0,2,,
66,EASTLAND,002,1627,3990,163,122,95,82,10,9,4,4220,54,3023,1068,15,60,205,168,3,128,28,21.9%,84,15,1,100,78.1%,,,,208,157,129,40,168,8,4220,42,10.0,128,28,21.9%,,,23,51,3,5.9%,96,27,44,10.4,9,29,13,25,,,,,,,,,,,,,,,35,0,9,7,2,5,19,0,0,0,25,"$392,368",10,"$6,610.82",42,5,$269.50,57,3246,8,289,0,0,3,2,4220,0,6,0,0,0,6,20,3,0,0,3,,
67,ECTOR,009,11380,15242,596,476,355,265,2,2,0,41635,1664,10912,28081,159,819,1769,1539,11,1287,386,30.0%,767,95,39,901,70.0%,,,,2113,1378,1169,407,1706,135,41635,662,15.9,1287,386,30.0%,,,223,598,30,5.0%,579,137,469,11.3,168,182,269,324,,,,,,,,,,,,,,,361,0,171,20,60,36,120,0,5,1,315,"$4,615,358",208,"$184,527.26",451,78,"$9,960.53",716,33283,45,4465,10,120,24,7,41635,2,40,0,0,0,42,103,90,0,22,112,,
68,EDWARDS,008,157,521,5,7,5,7,0,0,0,414,2,118,292,2,0,13,11,0,9,4,44.4%,5,0,0,5,55.6%,,,,14,7,7,5,9,0,414,7,16.9,9,4,44.4%,,,3,7,1,14.3%,2,0,14,33.8,1,10,4,7,,,,,,,,,,,,,,,8,0,1,0,0,7,0,0,1,0,7,"$133,675",0,$0.00,14,0,$0.00,11,329,1,17,0,0,0,0,414,0,1,0,0,0,1,2,6,0,0,6,,
69,ELLIS,003,8832,18322,398,354,242,208,10,6,0,45509,4339,24155,15558,137,1320,1248,1047,8,864,161,18.6%,602,89,12,703,81.4%,,,,1369,1065,913,186,1183,39,45509,257,5.6,864,161,18.6%,,,106,264,6,2.3%,262,47,75,1.6,43,38,38,55,,,,,,,,,,,,,,,68,0,43,2,17,12,14,1,13,2,53,"$689,252",125,"$52,510.07",76,27,"$10,209.82",276,33938,56,6300,10,120,44,25,45509,2,93,1,0,0,96,463,68,0,54,122,,
70,EL PASO,010,53363,90687,3098,2675,1799,1061,333,324,67,246082,5405,19107,216158,681,4731,6716,5402,62,4315,1250,29.0%,2655,358,52,3065,71.0%,,,,7131,4724,4022,1577,5554,176,246082,2219,9.0,4315,1250,29.0%,,,970,2633,135,5.1%,1525,331,831,3.4,311,328,478,588,,,,,,,,,,,,,,,666,0,314,20,124,84,199,1,39,11,582,"$7,146,174",435,"$481,794.03",806,78,"$15,711.92",2715,189173,267,25105,134,1604,257,80,246082,9,184,6,0,0,199,865,716,1367,62,2145,,
71,ERATH,003,1951,5293,108,79,65,53,10,10,2,8809,111,5564,2910,45,179,294,271,3,213,86,40.4%,111,15,1,127,59.6%,,,,357,206,176,102,255,21,8809,141,16.0,213,86,40.4%,,,47,127,4,3.1%,116,26,57,6.5,23,24,31,43,,,,,,,,,,,,,,,47,0,23,0,7,1,21,0,1,0,41,"$444,347",61,"$24,167.14",55,9,"$3,067.08",134,6992,12,919,6,72,8,14,8809,1,12,1,0,0,14,110,104,0,24,128,,
72,FALLS,007,1329,3078,87,91,52,39,0,0,0,3861,1016,1479,1255,9,102,145,131,1,88,18,20.5%,65,5,0,70,79.5%,,,,138,107,100,17,121,2,3861,26,6.7,88,18,20.5%,,,6,26,7,26.9%,28,1,33,8.5,9,16,18,26,,,,,,,,,,,,,,,27,0,9,5,4,7,8,0,4,0,26,"$197,750",5,"$4,218.10",34,1,$28.70,25,3022,3,202,1,12,2,2,3861,0,9,1,0,1,11,120,22,0,10,32,,
73,FANNIN,003,1940,6399,117,94,77,60,0,0,0,7558,359,5674,1162,82,281,353,312,1,243,53,21.8%,146,34,10,190,78.2%,,,,397,298,223,65,332,10,7558,91,12.0,243,53,21.8%,,,31,66,0,0.0%,56,5,25,3.3,13,13,11,18,,,,,,,,,,,,,,,21,0,14,1,2,0,5,0,4,2,17,"$256,765",20,"$9,741.05",24,0,$0.00,70,5846,7,692,1,12,13,6,7558,0,11,0,0,0,11,30,53,0,0,53,,
74,FAYETTE,007,1640,5812,75,58,30,24,2,2,0,5441,445,2973,1901,14,108,216,192,0,137,31,22.6%,95,11,0,106,77.4%,,,,200,154,137,19,181,20,5441,41,7.5,137,31,22.6%,,,9,24,2,8.3%,38,13,77,14.2,21,40,33,40,,,,,,,,,,,,,,,62,0,21,1,17,11,22,0,1,0,40,"$477,171",6,"$6,900.25",73,0,$0.00,51,4059,8,447,5,60,9,3,5441,0,3,0,0,1,4,27,93,0,19,112,,
75,FISHER,002,350,931,26,18,14,7,1,0,0,805,18,481,295,0,11,33,28,0,26,8,30.8%,17,1,0,18,69.2%,,,,47,35,32,3,44,0,805,10,12.4,26,8,30.8%,,,3,14,0,0.0%,1,0,6,7.5,0,1,1,2,,,,,,,,,,,,,,,4,0,0,0,0,0,4,0,0,0,2,"$29,600",1,"$1,280.61",2,0,$0.00,24,617,1,12,0,0,1,0,805,0,0,0,0,0,0,0,4,0,0,4,,
76,FLOYD,001,455,1182,65,54,43,34,0,0,0,1789,51,422,1304,0,12,73,62,0,61,17,27.9%,38,5,1,44,72.1%,,,,111,75,63,22,89,17,1789,34,19.0,61,17,27.9%,,,7,13,5,38.5%,13,4,49,27.4,19,23,22,32,,,,,,,,,,,,,,,46,0,19,7,6,3,12,0,0,0,35,"$332,661",4,"$4,675.98",45,0,$0.00,32,1367,2,227,0,0,2,1,1789,0,3,0,0,0,3,15,18,0,0,18,,
77,FOARD,002,121,345,16,17,14,8,0,0,0,251,19,177,53,0,2,15,13,0,9,6,66.7%,2,1,0,3,33.3%,,,,15,6,4,6,9,2,251,9,35.9,9,6,66.7%,,,2,4,0,0.0%,11,3,2,8.0,2,0,2,2,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,0,0,2,"$5,177",0,$0.00,2,0,$0.00,4,189,1,35,0,0,0,0,251,0,0,0,0,0,0,0,1,0,0,1,,
78,FORT BEND,006,36635,56273,709,488,300,206,310,288,36,190409,42028,54134,57012,411,36824,2440,2098,17,1790,373,20.8%,1018,347,52,1417,79.2%,,,,2786,2132,1528,675,2111,89,190409,558,2.9,1790,373,20.8%,,,396,1148,20,1.7%,731,91,226,1.2,91,104,119,153,,,,,,,,,,,,,,,183,0,98,3,19,16,69,2,16,14,149,"$1,946,327",110,"$83,925.41",223,88,"$23,126.85",1159,142684,270,34845,45,539,91,252,190409,5,274,1,0,4,284,1118,125,0,78,203,,
79,FRANKLIN,004,891,2174,36,29,19,20,4,3,0,2681,117,1866,606,14,78,97,81,1,52,17,32.7%,33,2,0,35,67.3%,,,,80,49,46,31,49,16,2681,29,10.8,52,17,32.7%,,,14,37,2,5.4%,18,3,30,11.2,21,20,8,13,,,,,,,,,,,,,,,30,0,23,1,3,1,15,0,2,1,14,"$66,013",6,"$1,272.71",28,9,$809.65,39,2097,3,249,1,12,3,0,2681,0,7,0,0,0,7,25,1,0,0,1,,
80,FREESTONE,007,1398,3618,68,65,42,25,2,3,0,4644,681,2842,1019,25,77,157,146,0,119,27,22.7%,87,4,1,92,77.3%,,,,180,137,128,15,165,9,4644,36,7.8,119,27,22.7%,,,5,12,0,0.0%,22,9,27,5.8,9,17,13,14,,,,,,,,,,,,,,,22,0,8,3,3,5,7,0,1,1,12,"$171,438",8,"$15,800.00",30,0,$0.00,12,3617,7,390,2,24,13,2,4644,0,10,1,0,0,11,71,9,0,0,9,,
81,FRIO,008,1376,2191,53,49,22,26,0,0,0,4206,9,449,3708,8,32,204,164,4,148,47,31.8%,95,4,2,101,68.2%,,,,257,174,164,73,184,32,4206,79,18.8,148,47,31.8%,,,29,85,0,0.0%,146,40,105,25.0,32,51,51,68,,,,,,,,,,,,,,,71,0,32,4,22,11,10,0,1,1,68,"$906,582",14,"$4,575.00",102,8,$285.00,101,3315,5,448,1,12,3,0,4206,0,8,0,0,0,8,25,1,0,0,1,,
82,GAINES,009,1316,1714,30,23,12,8,1,1,0,6635,84,3959,2513,8,71,106,89,0,73,25,34.2%,42,2,4,48,65.8%,,,,118,75,66,19,99,4,6635,40,6.0,73,25,34.2%,,,9,28,0,0.0%,36,2,27,4.1,7,9,17,21,,,,,,,,,,,,,,,18,0,7,0,5,1,5,0,0,0,21,"$479,411",6,"$7,800.63",26,1,$27.00,32,5289,2,102,2,24,1,2,6635,0,2,0,0,0,2,5,17,0,0,17,,
83,GALVESTON,006,17267,36570,1010,780,505,377,21,22,3,76095,10519,36602,23986,241,4747,2810,2431,25,1848,399,21.6%,1238,174,37,1449,78.4%,,,,2890,2225,1891,612,2278,90,76095,603,7.9,1848,399,21.6%,,,407,1165,38,3.3%,720,117,300,3.9,118,153,127,164,,,,,,,,,,,,,,,246,0,120,8,43,40,56,2,16,6,164,"$1,985,757",107,"$83,144.60",280,78,"$16,779.65",1200,58949,123,15303,14,163,45,63,76095,2,83,1,0,1,87,315,464,841,3,1308,,
84,GARZA,001,535,791,45,44,40,38,0,0,0,1286,70,503,691,9,13,64,54,0,50,28,56.0%,20,2,0,22,44.0%,,,,98,32,27,41,57,16,1286,63,49.0,50,28,56.0%,,,16,58,8,13.8%,13,2,37,28.8,22,20,10,21,,,,,,,,,,,,,,,34,0,22,0,0,0,15,0,0,0,21,"$158,615",5,"$4,279.43",30,0,$0.00,74,1017,1,44,0,0,2,0,1286,0,1,0,0,0,1,2,1,0,0,1,,
